date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,date,new_cases,new_deaths,total_cases,total_deaths
2020-02-25,10,2,0.0,8.7,1,1,8,07:36 AM,07:19 PM,06:28 AM,05:45 PM,-4,4,6,4,14,9,50,0.0,1020,10,10,197,9,Afghanistan,2020-02-25,0.0,0.0,1.0,0.0
2020-02-26,13,2,0.0,8.7,1,1,15,08:04 AM,08:13 PM,06:27 AM,05:46 PM,-4,6,8,6,13,16,42,0.0,1018,13,10,195,8,Afghanistan,2020-02-26,0.0,0.0,1.0,0.0
2020-02-27,14,6,0.0,8.7,1,1,23,08:31 AM,09:08 PM,06:26 AM,05:47 PM,2,9,10,9,6,41,59,3.6,1017,14,10,51,5,Afghanistan,2020-02-27,0.0,0.0,1.0,0.0
2020-02-28,12,6,0.0,4.2,1,1,30,08:58 AM,10:02 PM,06:24 AM,05:48 PM,3,8,8,8,7,78,70,17.8,1017,12,9,147,5,Afghanistan,2020-02-28,0.0,0.0,1.0,0.0
2020-02-29,9,3,0.0,7.2,1,1,38,09:28 AM,10:58 PM,06:23 AM,05:49 PM,1,5,5,5,7,63,74,1.5,1018,9,9,50,5,Afghanistan,2020-02-29,0.0,0.0,1.0,0.0
2020-03-01,13,2,0.0,8.7,1,1,44,09:59 AM,11:56 PM,06:22 AM,05:50 PM,0,7,7,7,5,22,65,0.0,1019,13,10,211,3,Afghanistan,2020-03-01,0.0,0.0,1.0,0.0
2020-03-02,16,4,0.0,8.7,1,1,51,10:34 AM,No moonset,06:21 AM,05:50 PM,-2,9,9,9,8,5,46,0.0,1018,16,10,205,5,Afghanistan,2020-03-02,0.0,0.0,1.0,0.0
2020-03-03,14,5,0.0,8.7,1,1,58,11:15 AM,12:54 AM,06:19 AM,05:51 PM,-4,9,9,9,6,10,39,0.0,1016,14,10,208,4,Afghanistan,2020-03-03,0.0,0.0,1.0,0.0
2020-03-04,7,4,0.0,5.7,1,1,65,12:03 PM,01:54 AM,06:18 AM,05:52 PM,2,5,6,5,9,77,75,9.1,1014,7,9,130,8,Afghanistan,2020-03-04,0.0,0.0,1.0,0.0
2020-03-05,8,4,0.0,5.7,1,1,73,12:59 PM,02:52 AM,06:17 AM,05:53 PM,2,5,6,5,6,71,79,7.8,1014,8,8,65,5,Afghanistan,2020-03-05,0.0,0.0,1.0,0.0
2020-03-06,12,3,0.0,8.7,1,1,80,02:01 PM,03:49 AM,06:16 AM,05:54 PM,-2,7,7,7,4,19,53,0.0,1015,12,10,67,3,Afghanistan,2020-03-06,0.0,0.0,1.0,0.0
2020-03-07,10,3,0.0,8.7,1,1,87,03:10 PM,04:40 AM,06:14 AM,05:55 PM,-7,5,6,5,8,22,39,0.4,1017,10,9,215,7,Afghanistan,2020-03-07,0.0,0.0,1.0,0.0
2020-03-08,9,2,0.1,8.7,1,1,95,04:22 PM,05:27 AM,06:13 AM,05:55 PM,-10,5,5,5,5,3,34,0.0,1023,9,10,104,5,Afghanistan,2020-03-08,3.0,0.0,4.0,0.0
2020-03-09,8,1,0.0,5.8,1,1,100,05:35 PM,06:09 AM,06:12 AM,05:56 PM,-3,5,5,5,5,70,54,0.0,1020,8,10,31,4,Afghanistan,2020-03-09,0.0,0.0,4.0,0.0
2020-03-10,6,3,0.0,4.3,1,1,100,06:47 PM,06:47 AM,06:10 AM,05:57 PM,1,4,5,4,7,87,74,5.2,1016,6,6,165,6,Afghanistan,2020-03-10,0.0,0.0,4.0,0.0
2020-03-11,9,2,5.3,4.3,1,1,84,07:59 PM,07:24 AM,06:09 AM,05:58 PM,0,2,5,2,16,83,71,8.9,1014,9,8,44,13,Afghanistan,2020-03-11,0.0,0.0,4.0,0.0
2020-03-12,7,2,1.3,4.3,1,1,76,09:10 PM,08:00 AM,06:08 AM,05:59 PM,-1,3,5,3,10,65,70,5.0,1016,7,8,61,8,Afghanistan,2020-03-12,3.0,0.0,7.0,0.0
2020-03-13,13,1,0.0,11.6,1,1,69,10:20 PM,08:36 AM,06:06 AM,06:00 PM,-3,7,7,7,5,12,52,0.0,1020,13,10,133,4,Afghanistan,2020-03-13,0.0,0.0,7.0,0.0
2020-03-14,14,4,0.0,11.6,1,1,62,11:28 PM,09:16 AM,06:05 AM,06:00 PM,-8,8,9,8,7,2,31,0.0,1022,14,10,258,5,Afghanistan,2020-03-14,0.0,0.0,7.0,0.0
