location,maxtempC,mintempC,humidity,tempC,HeatIndexC,WindChillC,new_cases
Afghanistan,12.0,3.0,53.0,12.0,7.0,6.0,15.0
Albania,16.0,8.0,70.0,16.0,11.5,10.5,40.0
Algeria,19.5,13.5,59.0,19.5,16.5,16.5,48.0
Andorra,6.0,-4.0,85.5,6.0,2.0,-0.5,1.0
Antigua%20and%20Barbuda,26.0,25.0,72.0,26.0,27.0,25.0,0.0
Argentina,33.0,23.0,45.0,33.0,28.0,28.0,55.0
Armenia,15.0,8.0,42.0,15.0,11.0,11.0,25.0
Australia,25.5,14.0,69.0,25.5,19.5,19.0,295.0
Austria,10.0,4.0,59.5,10.0,7.0,4.0,957.0
Azerbaijan,12.0,8.0,69.5,12.0,10.0,7.5,16.0
Bahrain,22.0,19.0,62.0,22.0,21.0,20.0,213.0
Bangladesh,34.0,23.0,40.0,34.0,28.0,28.5,2.0
Belarus,6.0,1.5,81.5,6.0,4.0,0.5,35.0
Belgium,9.0,5.0,79.0,9.0,7.0,3.0,1084.0
Bhutan,11.0,0.0,76.0,11.0,5.0,4.0,0.0
Bolivia,13.0,4.0,74.0,13.0,9.0,7.5,9.0
Bosnia%20and%20Herzegovina,7.5,-0.5,85.0,7.5,4.0,2.5,16.0
Brazil,26.0,19.0,83.0,26.0,23.0,22.0,199.0
Brunei,30.0,25.0,82.0,30.0,31.0,27.0,49.0
Bulgaria,10.0,3.0,77.0,10.0,6.0,5.0,49.0
Burkina%20Faso,40.0,25.0,12.0,40.0,31.0,32.0,1.0
Cambodia,35.0,23.0,55.0,35.0,30.0,29.0,11.0
Cameroon,34.0,22.0,75.0,34.0,28.0,26.0,2.0
Canada,-1.0,-9.0,91.0,-1.0,-5.0,-8.5,303.0
Cayman%20Islands,26.0,22.0,77.0,26.0,28.0,25.0,0.0
Central%20African%20Republic,40.0,24.0,21.0,40.0,32.5,32.0,0.0
Chile,26.0,18.0,36.0,26.0,23.0,22.0,74.0
China,9.5,2.0,38.5,9.5,6.0,4.0,80799.0
Colombia,20.5,13.0,83.5,20.5,16.0,16.0,23.0
Congo,35.0,24.0,68.0,35.0,32.5,29.5,0.0
Costa%20Rica,29.0,14.0,71.0,29.0,21.0,20.0,18.0
Croatia,12.0,6.0,60.5,12.0,8.0,7.0,47.0
Cuba,30.0,20.0,75.0,30.0,24.5,23.5,1.0
Curacao,31.5,24.5,67.5,31.5,30.0,27.0,0.0
Cyprus,18.0,11.0,80.0,18.0,15.0,14.0,31.0
Czech%20Republic,8.0,2.0,73.0,8.0,5.0,2.0,295.0
Cote%20d'Ivoire,37.0,24.0,67.0,37.0,32.0,30.0,2.0
Democratic%20Republic%20of%20Congo,34.0,23.0,69.0,34.0,30.5,28.0,1.0
Denmark,6.0,4.0,82.0,6.0,5.0,1.0,897.0
Dominican%20Republic,28.0,21.0,78.0,28.0,26.0,24.0,4.0
Ecuador,19.0,13.0,76.0,19.0,15.0,15.0,36.0
Egypt,23.0,14.0,54.0,23.0,19.0,18.0,125.0
Equatorial%20Guinea,29.0,26.5,78.0,29.0,32.0,28.0,0.0
Estonia,4.0,0.0,88.0,4.0,2.0,-1.0,204.0
Swaziland,23.5,14.0,86.5,23.5,19.0,18.5,0.0
Ethiopia,21.0,15.0,70.0,21.0,18.0,18.0,0.0
Faeroe%20Islands,6.0,1.0,64.0,6.0,3.0,-2.0,10.0
Finland,3.0,-2.0,85.0,3.0,2.0,-2.0,266.0
France,11.0,6.0,73.5,11.0,8.5,6.0,5377.0
French%20Guiana,29.0,24.0,75.0,29.0,28.0,26.0,2.0
French%20Polynesia,27.0,22.0,77.0,27.0,29.0,26.0,2.0
Gabon,30.0,23.0,79.0,30.0,31.0,27.0,0.0
Georgia,16.0,7.0,55.0,16.0,12.0,12.0,32.0
Germany,9.0,4.0,76.0,9.0,6.0,3.0,4837.0
Ghana,31.0,27.0,73.0,31.0,33.0,29.0,1.0
Gibraltar,15.5,12.0,70.5,15.5,13.5,12.5,0.0
Greece,5.0,-1.0,77.0,5.0,2.0,-3.0,330.0
Guadeloupe,29.0,23.0,72.0,29.0,27.0,25.0,5.0
Guatemala,27.0,14.0,66.0,27.0,21.0,20.0,0.0
Guernsey,10.0,3.0,82.0,10.0,9.0,5.0,0.0
Guinea,30.0,27.0,69.0,30.0,31.0,28.0,0.0
Guyana,31.5,22.5,79.0,31.5,29.0,26.0,6.0
Vatican,17.0,9.0,63.5,17.0,13.0,12.5,0.0
Honduras,30.0,16.0,65.0,30.0,23.0,22.0,0.0
Hungary,12.0,5.0,58.0,12.0,8.5,7.0,37.0
Iceland,0.0,-4.0,69.0,0.0,-2.0,-7.0,136.0
India,27.0,18.0,44.0,27.0,22.0,22.0,113.0
Indonesia,28.0,24.0,84.0,28.0,29.0,26.0,115.0
International,19.0,13.0,46.0,19.0,17.0,17.0,692.0
Iran,16.0,7.0,40.5,16.0,11.5,11.0,14989.0
Iraq,23.0,17.0,39.0,23.0,20.0,20.0,123.0
Ireland,9.0,3.0,80.5,9.0,6.0,2.5,168.0
Israel,23.0,13.0,74.5,23.0,17.5,17.0,199.0
Italy,16.0,9.0,64.0,16.0,12.0,12.0,24745.0
Jamaica,30.5,22.5,70.0,30.5,27.5,25.5,9.0
Japan,6.5,-1.0,81.5,6.5,2.5,0.0,813.0
Jersey,9.5,3.0,79.0,9.5,8.5,5.5,0.0
Jordan,20.0,11.0,57.5,20.0,15.5,15.0,5.0
Kazakhstan,1.5,-4.0,96.0,1.5,0.5,-4.0,0.0
Kenya,28.0,18.0,70.0,28.0,23.0,22.0,0.0
Kuwait,22.0,19.0,46.5,22.0,21.5,20.5,109.0
Latvia,6.0,1.0,79.5,6.0,4.0,1.0,30.0
Lebanon,17.0,12.0,69.5,17.0,15.5,15.0,98.0
Liechtenstein,4.0,-3.0,89.5,4.0,0.5,-1.0,6.0
Lithuania,7.0,2.0,83.5,7.0,4.5,1.5,13.0
Luxembourg,8.0,3.0,86.0,8.0,5.0,2.0,37.0
Malaysia,34.0,23.0,73.0,34.0,31.0,28.0,550.0
Maldives,29.0,28.0,72.0,29.0,32.0,28.0,11.0
Malta,15.0,13.0,73.0,15.0,14.0,13.0,18.0
Martinique,27.0,22.0,74.0,27.0,26.0,25.0,13.0
Mauritania,28.0,18.5,52.5,28.0,23.0,22.5,0.0
Mayotte,29.5,28.5,76.5,29.5,34.0,29.0,0.0
Mexico,29.0,16.0,41.0,29.0,22.0,22.0,51.0
Monaco,14.0,10.0,63.5,14.0,12.5,12.0,8.0
Mongolia,-8.0,-18.0,83.0,-8.0,-12.0,-15.0,0.0
Morocco,19.0,13.0,72.0,19.0,15.5,15.0,27.0
Namibia,27.0,17.5,46.5,27.0,22.0,22.0,0.0
Nepal,19.0,8.5,69.0,19.0,13.0,13.0,0.0
Netherlands,9.0,5.0,82.0,9.0,7.0,4.0,1134.0
New%20Zealand,18.0,13.0,78.0,18.0,16.0,15.5,5.0
Nigeria,41.0,24.0,19.0,41.0,33.5,33.0,1.0
Macedonia,10.0,3.0,69.0,10.0,7.0,6.0,12.0
Norway,1.0,-4.0,89.0,1.0,-1.0,-3.0,1076.0
Palestine,18.5,12.0,71.5,18.5,15.5,15.5,34.0
Oman,25.0,21.0,54.0,25.0,25.0,23.0,20.0
Pakistan,21.0,12.0,55.0,21.0,18.0,18.0,50.0
Panama,33.0,22.0,74.0,33.0,29.0,26.0,42.0
Paraguay,40.5,24.5,40.0,40.5,34.5,33.0,7.0
Peru,26.0,21.5,73.5,26.0,26.0,23.5,70.0
Philippines,31.0,24.0,65.0,31.0,29.0,27.0,139.0
Poland,8.0,4.0,66.0,8.0,6.0,3.0,149.0
Portugal,17.5,11.5,73.0,17.5,14.5,13.0,243.0
Puerto%20Rico,39.0,21.0,48.0,39.0,30.0,30.0,0.0
Qatar,24.0,18.0,53.5,24.0,22.0,21.0,400.0
South%20Korea,8.0,2.0,51.0,8.0,5.0,3.0,8235.0
Moldova,15.0,8.0,60.0,15.0,11.0,9.0,22.0
Romania,14.0,7.0,62.0,14.0,11.0,11.0,157.0
Russia,2.0,-1.0,90.0,2.0,0.0,-4.0,61.0
Rwanda,29.0,17.0,81.0,29.0,23.0,22.0,0.0
Reunion,26.0,24.0,86.0,26.0,28.0,25.0,6.0
Saint%20Barthlemy,39.5,21.5,17.0,39.5,30.0,31.0,2.0
Saint%20Lucia,27.0,24.0,69.0,27.0,27.0,26.0,0.0
Saint%20Vincent%20and%20the%20Grenadines,26.0,26.0,78.5,26.0,28.0,26.0,0.0
San%20Marino,12.0,8.0,71.0,12.0,10.0,9.0,91.0
Saudi%20Arabia,27.0,15.0,22.0,27.0,20.5,21.0,102.0
Senegal,25.0,19.5,64.5,25.0,25.0,23.0,25.0
Serbia,12.0,6.0,65.0,12.0,8.0,7.0,40.0
Seychelles,29.0,27.0,74.0,29.0,32.0,28.0,0.0
Singapore,30.0,26.0,76.0,30.0,31.0,28.0,242.0
Slovakia,10.5,2.5,68.0,10.5,6.0,3.0,60.0
Slovenia,10.0,2.0,77.0,10.0,5.0,5.0,218.0
South%20Africa,30.0,18.0,40.0,30.0,24.0,24.0,50.0
Spain,17.0,9.0,62.0,17.0,12.0,12.0,7752.0
Sri%20Lanka,33.0,21.0,73.0,33.0,28.0,26.0,18.0
Sudan,32.0,20.0,15.0,32.0,25.0,26.0,0.0
Suriname,31.0,23.0,75.0,31.0,29.0,27.0,0.0
Sweden,5.0,0.0,77.0,5.0,3.0,-1.0,991.0
Switzerland,7.5,-0.5,81.5,7.5,3.5,2.0,2199.0
Thailand,35.0,28.0,55.0,35.0,33.0,31.0,112.0
