date,location,new_cases,new_deaths,total_cases,total_deaths,incubationDateStart,incubationDateEnd,maxtempC,mintempC,FeelsLikeC,HeatIndexC,WindChillC,humidity,tempC
2020-02-25 00:00:00,Afghanistan,,,1,,2020-02-11 00:00:00,2020-02-18 00:00:00,3.5,-4.5,-2.0,-0.5,-2.0,40.0,3.5
2020-02-26 00:00:00,Afghanistan,0.0,,1,,2020-02-12 00:00:00,2020-02-19 00:00:00,5.0,-4.5,-2.0,0.0,-2.0,40.0,5.0
2020-02-27 00:00:00,Afghanistan,0.0,,1,,2020-02-13 00:00:00,2020-02-20 00:00:00,5.0,-4.0,-2.5,0.0,-2.5,40.0,5.0
2020-02-28 00:00:00,Afghanistan,0.0,,1,,2020-02-14 00:00:00,2020-02-21 00:00:00,5.0,-4.0,-2.5,0.0,-2.5,40.0,5.0
2020-02-29 00:00:00,Afghanistan,0.0,,1,,2020-02-15 00:00:00,2020-02-22 00:00:00,5.5,-3.5,-1.5,0.5,-1.5,45.0,5.5
2020-03-01 00:00:00,Afghanistan,0.0,,1,,2020-02-16 00:00:00,2020-02-23 00:00:00,6.5,-3.0,-1.0,1.5,-1.0,48.0,6.5
2020-03-02 00:00:00,Afghanistan,0.0,,1,,2020-02-17 00:00:00,2020-02-24 00:00:00,7.0,-2.5,-0.5,2.0,-0.5,48.0,7.0
2020-03-03 00:00:00,Afghanistan,0.0,,1,,2020-02-18 00:00:00,2020-02-25 00:00:00,8.0,-1.5,0.5,3.0,0.5,49.5,8.0
2020-03-04 00:00:00,Afghanistan,0.0,,1,,2020-02-19 00:00:00,2020-02-26 00:00:00,9.5,-0.5,2.0,4.5,2.0,49.5,9.5
2020-03-05 00:00:00,Afghanistan,0.0,,1,,2020-02-20 00:00:00,2020-02-27 00:00:00,10.5,0.5,3.5,5.0,3.5,50.0,10.5
2020-03-06 00:00:00,Afghanistan,0.0,,1,,2020-02-21 00:00:00,2020-02-28 00:00:00,11.0,1.5,4.0,5.5,4.0,50.0,11.0
2020-03-07 00:00:00,Afghanistan,0.0,,1,,2020-02-22 00:00:00,2020-02-29 00:00:00,11.0,2.0,4.5,5.5,4.5,50.5,11.0
2020-03-08 00:00:00,Afghanistan,3.0,,4,,2020-02-23 00:00:00,2020-03-01 00:00:00,11.5,2.0,5.5,6.5,5.5,54.5,11.5
2020-03-09 00:00:00,Afghanistan,0.0,,4,,2020-02-24 00:00:00,2020-03-02 00:00:00,12.5,2.5,6.5,7.5,6.5,54.5,12.5
2020-03-10 00:00:00,Afghanistan,0.0,,4,,2020-02-25 00:00:00,2020-03-03 00:00:00,13.0,3.5,7.5,8.0,7.5,54.5,13.0
2020-03-11 00:00:00,Afghanistan,0.0,,4,,2020-02-26 00:00:00,2020-03-04 00:00:00,13.0,4.0,7.5,8.0,7.5,62.0,13.0
2020-03-12 00:00:00,Afghanistan,3.0,,7,,2020-02-27 00:00:00,2020-03-05 00:00:00,12.5,4.0,7.5,7.5,7.5,67.5,12.5
2020-03-13 00:00:00,Afghanistan,0.0,,7,,2020-02-28 00:00:00,2020-03-06 00:00:00,12.0,4.0,7.0,7.0,7.0,67.5,12.0
2020-03-14 00:00:00,Afghanistan,0.0,,7,,2020-02-29 00:00:00,2020-03-07 00:00:00,11.0,3.5,6.0,6.5,6.0,59.0,11.0
2020-03-15 00:00:00,Afghanistan,3.0,,10,,2020-03-01 00:00:00,2020-03-08 00:00:00,11.0,3.5,6.0,6.5,6.0,49.5,11.0
2020-03-16 00:00:00,Afghanistan,6.0,,16,,2020-03-02 00:00:00,2020-03-09 00:00:00,9.5,3.5,5.0,6.0,5.0,49.5,9.5
2020-03-17 00:00:00,Afghanistan,5.0,,21,,2020-03-03 00:00:00,2020-03-10 00:00:00,8.5,3.0,5.0,6.0,5.0,53.5,8.5
2020-03-09 00:00:00,Albania,,,2,,2020-02-24 00:00:00,2020-03-02 00:00:00,15.0,6.0,10.0,10.0,10.0,71.0,15.0
2020-03-10 00:00:00,Albania,0.0,,2,,2020-02-25 00:00:00,2020-03-03 00:00:00,15.5,6.0,10.0,10.5,10.0,72.0,15.5
2020-03-11 00:00:00,Albania,8.0,,10,,2020-02-26 00:00:00,2020-03-04 00:00:00,12.5,5.0,8.5,9.0,8.5,73.5,12.5
2020-03-12 00:00:00,Albania,0.0,,10,,2020-02-27 00:00:00,2020-03-05 00:00:00,12.0,5.0,8.5,9.0,8.5,74.0,12.0
2020-03-13 00:00:00,Albania,13.0,,23,,2020-02-28 00:00:00,2020-03-06 00:00:00,12.5,6.5,8.5,9.5,8.5,72.0,12.5
2020-03-14 00:00:00,Albania,10.0,,33,1.0,2020-02-29 00:00:00,2020-03-07 00:00:00,13.0,6.5,8.5,9.5,8.5,72.0,13.0
