date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,-1,-10,0.0,8.7,1,1,80,02:07 PM,03:23 AM,07:01 AM,04:58 PM,-11,-10,-7,-10,11,16,72,0.0,1025,-1,10,218,6
2020-01-08,-4,-13,0.0,8.7,1,1,88,02:49 PM,04:24 AM,07:01 AM,04:59 PM,-17,-14,-9,-14,15,1,55,0.0,1027,-4,10,213,9
2020-01-09,-2,-13,0.0,8.7,1,1,95,03:39 PM,05:27 AM,07:01 AM,05:00 PM,-19,-13,-9,-13,15,0,44,0.0,1024,-2,10,197,8
2020-01-10,-1,-14,0.0,8.7,1,1,100,04:36 PM,06:28 AM,07:01 AM,05:01 PM,-19,-12,-8,-12,13,4,41,0.0,1025,-1,10,195,7
2020-01-11,0,-8,0.3,5.4,1,1,100,05:40 PM,07:26 AM,07:01 AM,05:02 PM,-12,-6,-4,-6,12,53,54,0.8,1023,0,9,189,7
2020-01-12,-0,-3,3.3,3.8,1,1,83,06:49 PM,08:18 AM,07:00 AM,05:02 PM,-3,-3,-2,-3,7,90,93,8.8,1019,-0,3,12,5
2020-01-13,0,-8,7.8,7.1,1,1,76,07:59 PM,09:04 AM,07:00 AM,05:03 PM,-6,-6,-4,-6,9,69,87,8.4,1014,0,6,210,5
2020-01-14,-2,-11,0.0,8.7,1,1,69,09:08 PM,09:45 AM,07:00 AM,05:04 PM,-12,-11,-7,-11,12,31,71,0.0,1023,-2,10,194,6
2020-01-15,-1,-10,0.0,8.7,1,1,61,10:16 PM,10:22 AM,07:00 AM,05:05 PM,-13,-11,-7,-11,13,8,63,0.0,1026,-1,10,197,7
2020-01-16,-2,-13,0.0,7.1,1,1,54,11:23 PM,10:56 AM,07:00 AM,05:06 PM,-16,-13,-8,-13,17,27,53,0.0,1026,-2,10,192,9
2020-01-17,-2,-10,0.0,8.7,1,1,47,No moonrise,11:30 AM,06:59 AM,05:07 PM,-15,-11,-7,-11,14,8,52,0.0,1026,-2,10,195,8
2020-01-18,-4,-12,0.0,8.7,1,1,40,12:29 AM,12:04 PM,06:59 AM,05:08 PM,-16,-13,-8,-13,15,1,52,0.0,1026,-4,10,194,8
2020-01-19,-3,-14,0.0,7.1,1,1,32,01:35 AM,12:40 PM,06:59 AM,05:09 PM,-16,-12,-9,-12,12,39,54,0.1,1025,-3,10,200,6
2020-01-20,-2,-9,0.9,7.1,1,1,25,02:40 AM,01:20 PM,06:58 AM,05:10 PM,-8,-7,-5,-7,7,56,81,1.5,1022,-2,8,129,4
2020-01-21,-1,-8,1.4,7.1,1,1,18,03:44 AM,02:04 PM,06:58 AM,05:11 PM,-6,-7,-5,-7,7,73,90,1.5,1024,-1,7,181,4
2020-01-22,-1,-12,0.1,8.7,1,1,11,04:45 AM,02:52 PM,06:58 AM,05:12 PM,-12,-11,-7,-11,14,28,65,0.2,1031,-1,10,196,8
2020-01-23,-3,-13,0.0,8.7,1,1,3,05:43 AM,03:46 PM,06:57 AM,05:13 PM,-15,-12,-8,-12,16,9,59,0.0,1027,-3,10,191,8
2020-01-24,0,-9,0.1,7.1,1,1,0,06:34 AM,04:42 PM,06:57 AM,05:14 PM,-10,-7,-5,-7,12,41,71,0.3,1022,0,9,198,7
2020-01-25,0,-8,0.0,8.7,1,1,0,07:20 AM,05:40 PM,06:56 AM,05:15 PM,-8,-8,-5,-8,12,24,79,0.0,1023,0,10,198,7
2020-01-26,-1,-10,0.0,8.7,1,1,4,08:00 AM,06:38 PM,06:56 AM,05:16 PM,-12,-10,-6,-10,14,6,64,0.0,1023,-1,10,190,8
2020-01-27,-1,-8,0.0,8.7,1,1,11,08:34 AM,07:36 PM,06:55 AM,05:17 PM,-10,-8,-5,-8,11,38,66,0.0,1021,-1,10,196,6
2020-01-28,-2,-9,0.0,8.7,1,1,18,09:06 AM,08:31 PM,06:54 AM,05:18 PM,-13,-11,-7,-11,15,7,59,0.0,1022,-2,10,199,9
2020-01-29,-3,-12,0.0,8.7,1,1,26,09:35 AM,09:26 PM,06:54 AM,05:19 PM,-15,-12,-8,-12,15,36,56,0.0,1024,-3,10,191,8
2020-01-30,-2,-12,0.0,8.7,1,1,33,10:02 AM,10:20 PM,06:53 AM,05:20 PM,-12,-11,-7,-11,15,27,66,0.0,1024,-2,10,191,8
2020-01-31,-1,-8,0.0,4.0,1,1,37,10:29 AM,11:15 PM,06:52 AM,05:21 PM,-10,-9,-5,-9,14,62,70,0.0,1021,-1,10,192,8
2020-02-01,-1,-10,0.0,8.7,1,1,49,10:57 AM,No moonset,06:52 AM,05:22 PM,-13,-10,-6,-10,14,3,60,0.0,1024,-1,10,193,8
2020-02-02,-1,-10,0.0,8.7,1,1,57,11:28 AM,12:10 AM,06:51 AM,05:23 PM,-13,-9,-6,-9,14,4,57,0.0,1025,-1,10,190,8
2020-02-03,0,-8,5.2,4.0,1,1,64,12:01 PM,01:08 AM,06:50 AM,05:24 PM,-8,-6,-4,-6,9,75,73,7.2,1023,0,6,209,5
2020-02-04,-1,-8,6.7,4.0,1,1,72,12:39 PM,02:07 AM,06:49 AM,05:25 PM,-6,-5,-4,-5,7,71,89,6.8,1023,-1,6,202,4
