date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,8,-2,0.0,8.7,1,1,80,01:44 PM,03:33 AM,07:07 AM,04:27 PM,-9,0,2,0,13,1,43,0.0,1025,8,10,134,7
2020-01-08,11,1,0.0,8.7,1,1,88,02:24 PM,04:37 AM,07:07 AM,04:28 PM,-7,5,6,5,10,0,41,0.0,1028,11,10,143,6
2020-01-09,11,5,0.0,8.7,1,1,95,03:14 PM,05:43 AM,07:07 AM,04:29 PM,-3,6,7,6,6,6,50,0.0,1028,11,10,304,4
2020-01-10,11,4,0.0,8.7,1,1,100,04:11 PM,06:44 AM,07:06 AM,04:30 PM,-0,7,7,7,6,21,61,0.0,1024,11,10,275,4
2020-01-11,10,-3,0.0,5.2,1,1,100,05:18 PM,07:41 AM,07:06 AM,04:31 PM,2,5,6,5,6,65,73,5.7,1024,10,9,172,3
2020-01-12,10,4,0.0,3.5,1,1,83,06:29 PM,08:29 AM,07:06 AM,04:32 PM,4,6,7,6,11,73,79,4.9,1026,10,10,67,7
2020-01-13,13,6,0.0,8.7,1,1,76,07:44 PM,09:11 AM,07:05 AM,04:33 PM,4,8,9,8,8,30,71,0.0,1026,13,10,244,5
2020-01-14,14,5,0.0,8.7,1,1,69,08:58 PM,09:47 AM,07:05 AM,04:34 PM,4,9,9,9,7,9,72,0.0,1026,14,10,212,4
2020-01-15,15,7,0.0,8.7,1,1,61,10:10 PM,10:19 AM,07:05 AM,04:35 PM,4,10,10,10,6,0,67,0.0,1027,15,10,335,4
2020-01-16,13,7,0.0,8.7,1,1,54,11:22 PM,10:49 AM,07:04 AM,04:36 PM,1,10,10,10,6,0,55,0.0,1026,13,10,322,4
2020-01-17,13,7,0.0,8.7,1,1,47,No moonrise,11:18 AM,07:04 AM,04:38 PM,1,9,10,9,6,3,55,0.0,1025,13,10,311,4
2020-01-18,12,3,0.0,8.7,1,1,40,12:32 AM,11:48 AM,07:03 AM,04:39 PM,2,8,8,8,8,24,65,0.0,1023,12,10,197,5
2020-01-19,13,7,0.0,3.5,1,1,32,01:42 AM,12:20 PM,07:03 AM,04:40 PM,5,8,9,8,9,72,74,0.3,1023,13,10,210,6
2020-01-20,13,4,0.0,8.7,1,1,25,02:51 AM,12:57 PM,07:02 AM,04:41 PM,0,6,7,6,11,14,62,0.0,1036,13,10,40,7
2020-01-21,12,4,0.0,8.7,1,1,18,03:58 AM,01:39 PM,07:02 AM,04:42 PM,-2,7,8,7,7,5,49,0.0,1039,12,10,328,5
2020-01-22,11,6,0.0,7.0,1,1,11,05:01 AM,02:26 PM,07:01 AM,04:44 PM,-2,7,8,7,5,21,51,0.0,1032,11,10,283,3
2020-01-23,14,6,0.0,8.7,1,1,3,05:58 AM,03:20 PM,07:00 AM,04:45 PM,-0,9,10,9,8,0,52,0.0,1029,14,10,124,5
2020-01-24,15,6,0.0,8.7,1,1,0,06:48 AM,04:18 PM,07:00 AM,04:46 PM,1,10,10,10,8,1,56,0.0,1031,15,10,230,5
2020-01-25,12,3,0.0,3.7,1,1,0,07:31 AM,05:19 PM,06:59 AM,04:47 PM,6,8,9,8,8,75,78,0.3,1027,12,10,148,5
2020-01-26,14,7,0.0,3.7,1,1,4,08:07 AM,06:20 PM,06:58 AM,04:49 PM,8,11,11,11,8,80,78,1.3,1022,14,10,144,5
2020-01-27,13,2,0.0,5.4,1,1,11,08:38 AM,07:21 PM,06:57 AM,04:50 PM,7,8,9,8,12,87,86,25.4,1017,13,9,230,7
2020-01-28,12,7,0.0,3.7,1,1,18,09:05 AM,08:20 PM,06:56 AM,04:51 PM,7,8,10,8,13,86,84,3.2,1017,12,10,171,9
2020-01-29,13,5,0.0,3.7,1,1,26,09:30 AM,09:19 PM,06:55 AM,04:52 PM,7,8,10,8,16,88,83,11.8,1012,13,10,270,10
2020-01-30,13,5,0.0,7.0,1,1,33,09:54 AM,10:16 PM,06:55 AM,04:54 PM,5,8,9,8,10,41,75,2.3,1019,13,10,310,6
2020-01-31,14,4,0.0,8.7,1,1,37,10:17 AM,11:15 PM,06:54 AM,04:55 PM,2,8,9,8,9,21,65,0.0,1022,14,10,213,5
2020-02-01,14,5,0.0,7.1,1,1,49,10:42 AM,No moonset,06:53 AM,04:56 PM,6,9,9,9,6,48,80,0.0,1020,14,10,257,4
2020-02-02,15,7,0.0,8.7,1,1,57,11:09 AM,12:15 AM,06:52 AM,04:57 PM,8,11,11,11,6,26,82,0.0,1020,15,10,264,4
2020-02-03,15,9,0.0,8.7,1,1,64,11:40 AM,01:16 AM,06:51 AM,04:59 PM,9,12,12,12,7,18,81,0.0,1019,15,10,207,5
2020-02-04,16,8,0.0,7.1,1,1,72,12:15 PM,02:19 AM,06:50 AM,05:00 PM,9,11,12,11,18,44,82,6.7,1008,16,10,195,13
2020-02-05,8,3,0.0,8.7,1,1,79,12:59 PM,03:23 AM,06:49 AM,05:01 PM,1,3,6,3,19,52,71,18.5,998,8,9,345,15
2020-02-06,6,-1,0.0,8.7,1,1,87,01:52 PM,04:25 AM,06:47 AM,05:03 PM,-6,-2,2,-2,23,11,56,0.0,1016,6,10,19,14
2020-02-07,9,-2,0.0,8.7,1,1,95,02:54 PM,05:24 AM,06:46 AM,05:04 PM,-6,3,4,3,8,25,51,0.0,1024,9,10,311,5
2020-02-08,14,1,0.0,8.7,1,1,100,04:05 PM,06:17 AM,06:45 AM,05:05 PM,-1,5,6,5,9,0,59,0.0,1028,14,10,220,5
2020-02-09,13,4,0.0,8.7,1,1,100,05:20 PM,07:03 AM,06:44 AM,05:06 PM,1,7,8,7,9,9,65,0.0,1032,13,10,206,6
2020-02-10,12,6,0.0,5.6,1,1,83,06:36 PM,07:43 AM,06:43 AM,05:08 PM,5,7,9,7,13,68,77,0.0,1026,12,10,158,8
2020-02-11,14,9,0.0,4.0,1,1,75,07:53 PM,08:17 AM,06:41 AM,05:09 PM,8,11,12,11,15,80,78,0.6,1014,14,10,189,10
2020-02-12,16,7,0.0,4.0,1,1,68,09:08 PM,08:49 AM,06:40 AM,05:10 PM,9,12,12,12,10,66,80,12.0,1017,16,9,264,6
2020-02-13,16,8,0.0,8.7,1,1,60,10:21 PM,09:19 AM,06:39 AM,05:11 PM,4,11,11,11,8,4,64,0.0,1023,16,10,162,5
2020-02-14,9,3,0.0,4.0,1,1,53,11:33 PM,09:50 AM,06:38 AM,05:13 PM,3,5,7,5,17,69,78,56.4,1017,9,7,120,9
2020-02-15,15,5,0.0,8.7,1,1,45,No moonrise,10:22 AM,06:36 AM,05:14 PM,3,8,10,8,14,3,66,0.0,1023,15,10,41,9
2020-02-16,16,5,0.0,8.7,1,1,38,12:44 AM,10:57 AM,06:35 AM,05:15 PM,3,10,10,10,10,5,61,0.0,1029,16,10,230,6
2020-02-17,15,8,0.0,8.7,1,1,30,01:52 AM,11:38 AM,06:34 AM,05:16 PM,4,11,11,11,6,31,62,0.0,1026,15,10,303,4
2020-02-18,14,6,0.0,8.7,1,1,22,02:56 AM,12:23 PM,06:32 AM,05:18 PM,5,9,10,9,6,5,70,0.0,1021,14,10,313,4
2020-02-19,15,8,0.0,8.7,1,1,15,03:54 AM,01:15 PM,06:31 AM,05:19 PM,7,11,11,11,6,42,77,0.9,1018,15,10,248,4
2020-02-20,11,5,0.0,5.6,1,1,7,04:45 AM,02:10 PM,06:29 AM,05:20 PM,4,7,8,7,11,60,76,11.9,1017,11,8,15,8
2020-02-21,11,4,0.0,8.7,1,1,0,05:30 AM,03:10 PM,06:28 AM,05:21 PM,-1,6,7,6,11,7,57,0.0,1023,11,10,225,8
2020-02-22,12,4,0.0,8.7,1,1,0,06:07 AM,04:10 PM,06:27 AM,05:23 PM,-1,6,8,6,12,2,54,0.0,1028,12,10,128,9
2020-02-23,14,6,0.0,8.7,1,1,0,06:39 AM,05:11 PM,06:25 AM,05:24 PM,0,9,9,9,6,16,54,0.0,1027,14,10,261,4
2020-02-24,16,8,0.0,8.7,1,1,0,07:08 AM,06:11 PM,06:24 AM,05:25 PM,4,12,11,12,7,7,62,0.0,1020,16,10,308,5
2020-02-25,17,10,0.0,8.7,1,1,8,07:33 AM,07:10 PM,06:22 AM,05:26 PM,8,14,13,14,8,8,71,0.0,1016,17,10,233,6
2020-02-26,17,8,0.0,7.2,1,1,15,07:57 AM,08:08 PM,06:21 AM,05:27 PM,7,11,12,11,26,50,74,6.8,1006,17,9,197,18
2020-02-27,7,2,0.0,4.2,1,1,23,08:20 AM,09:07 PM,06:19 AM,05:29 PM,3,3,6,3,30,76,79,24.7,1008,7,8,163,17
2020-02-28,9,1,0.0,4.2,1,1,30,08:44 AM,10:05 PM,06:18 AM,05:30 PM,3,3,5,3,18,64,83,14.6,1013,9,9,194,12
2020-02-29,11,3,0.0,8.7,1,1,38,09:10 AM,11:05 PM,06:16 AM,05:31 PM,-1,6,7,6,7,22,58,0.0,1020,11,10,257,5
2020-03-01,14,4,0.0,8.7,1,1,44,09:38 AM,No moonset,06:15 AM,05:32 PM,1,9,9,9,11,16,57,0.0,1017,14,10,148,6
2020-03-02,18,10,0.0,7.2,1,1,51,10:11 AM,12:06 AM,06:13 AM,05:33 PM,8,12,13,12,21,48,71,0.8,1011,18,10,193,13
2020-03-03,17,10,0.0,4.2,1,1,58,10:50 AM,01:08 AM,06:11 AM,05:34 PM,8,12,13,12,23,79,73,25.4,1006,17,9,172,15
2020-03-04,11,6,0.0,4.2,1,1,65,11:37 AM,02:09 AM,06:10 AM,05:36 PM,6,8,9,8,7,83,85,42.6,1006,11,9,300,6
2020-03-05,13,8,0.0,8.7,1,1,73,12:33 PM,03:09 AM,06:08 AM,05:37 PM,5,10,10,10,7,33,75,0.4,1010,13,10,308,5
2020-03-06,12,7,0.0,4.2,1,1,80,01:39 PM,04:03 AM,06:07 AM,05:38 PM,4,8,10,8,15,75,68,4.6,1008,12,9,138,9
2020-03-07,13,2,0.0,5.7,1,1,87,02:51 PM,04:52 AM,06:05 AM,05:39 PM,8,8,9,8,14,80,87,37.5,1008,13,8,92,9
2020-03-08,11,7,0.0,4.3,1,1,95,04:07 PM,05:34 AM,06:04 AM,05:40 PM,7,8,9,8,13,81,87,27.2,1013,11,8,197,8
2020-03-09,13,6,0.0,4.3,1,1,100,05:25 PM,06:11 AM,06:02 AM,05:41 PM,5,8,8,8,9,71,82,2.1,1012,13,10,302,6
2020-03-10,11,5,0.0,11.4,1,1,100,06:42 PM,06:44 AM,06:00 AM,05:42 PM,3,7,7,7,11,15,74,0.0,1013,11,10,329,6
2020-03-11,15,4,0.0,11.6,1,1,84,07:59 PM,07:16 AM,05:59 AM,05:44 PM,3,8,9,8,10,14,69,0.0,1020,15,10,309,6
2020-03-12,21,9,0.0,11.6,1,1,76,09:15 PM,07:47 AM,05:57 AM,05:45 PM,9,15,15,15,7,7,68,0.0,1020,21,10,309,5
2020-03-13,20,12,0.0,11.6,1,1,69,10:29 PM,08:19 AM,05:55 AM,05:46 PM,9,16,16,16,6,11,66,0.0,1014,20,10,290,5
2020-03-14,20,12,0.0,11.6,1,1,62,11:42 PM,08:55 AM,05:54 AM,05:47 PM,9,15,16,15,5,21,71,0.1,1014,20,10,278,4
2020-03-15,15,9,0.0,7.4,1,1,55,No moonrise,09:35 AM,05:52 AM,05:48 PM,8,11,12,11,10,67,77,5.4,1017,15,9,19,8
2020-03-16,17,7,0.0,11.6,1,1,47,12:49 AM,10:19 AM,05:51 AM,05:49 PM,4,10,11,10,10,5,63,0.0,1026,17,10,178,7
