date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,14,12,0.0,7.0,1,1,80,03:04 PM,04:32 AM,08:01 AM,05:47 PM,8,13,13,13,8,23,70,0.0,1029,14,10,263,7
2020-01-08,17,10,0.0,8.7,1,1,88,03:47 PM,05:36 AM,08:01 AM,05:48 PM,8,12,13,12,8,41,75,0.3,1028,17,10,281,7
2020-01-09,15,12,0.0,3.6,1,1,95,04:37 PM,06:38 AM,08:01 AM,05:49 PM,9,13,13,13,7,79,76,3.1,1026,15,10,312,6
2020-01-10,14,10,0.0,5.3,1,1,100,05:36 PM,07:40 AM,08:01 AM,05:50 PM,8,11,12,11,10,80,77,8.3,1023,14,10,267,8
2020-01-11,13,10,0.0,3.6,1,1,100,06:41 PM,08:36 AM,08:01 AM,05:51 PM,7,9,11,9,19,76,80,14.1,1025,13,9,95,11
2020-01-12,11,3,0.0,3.6,1,1,83,07:51 PM,09:27 AM,08:00 AM,05:52 PM,5,7,9,7,22,83,75,13.7,1028,11,9,316,13
2020-01-13,14,11,0.0,5.3,1,1,76,09:02 PM,10:10 AM,08:00 AM,05:53 PM,7,12,12,12,8,59,71,2.8,1027,14,10,299,7
2020-01-14,20,10,0.0,8.7,1,1,69,10:13 PM,10:49 AM,08:00 AM,05:54 PM,6,14,15,14,9,8,55,0.0,1025,20,10,128,6
2020-01-15,16,11,0.0,3.6,1,1,61,11:23 PM,11:24 AM,08:00 AM,05:55 PM,2,13,14,13,9,62,46,0.0,1027,16,10,258,7
2020-01-16,17,10,0.0,8.7,1,1,54,No moonrise,11:57 AM,07:59 AM,05:56 PM,3,14,13,14,8,28,48,0.0,1029,17,10,78,5
2020-01-17,19,12,0.0,8.7,1,1,47,12:30 AM,12:29 PM,07:59 AM,05:57 PM,5,15,15,15,10,4,52,0.0,1031,19,10,275,9
2020-01-18,18,12,0.0,7.0,1,1,40,01:38 AM,01:02 PM,07:59 AM,05:58 PM,6,15,15,15,8,29,55,0.0,1030,18,10,263,6
2020-01-19,15,11,0.0,3.8,1,1,32,02:45 AM,01:38 PM,07:58 AM,05:59 PM,7,12,13,12,10,68,69,14.6,1016,15,9,155,8
2020-01-20,14,9,0.0,6.8,1,1,25,03:51 AM,02:17 PM,07:58 AM,06:00 PM,6,10,12,10,24,66,65,0.2,1015,14,9,113,18
2020-01-21,19,13,0.0,8.4,1,1,18,04:55 AM,03:01 PM,07:58 AM,06:01 PM,4,14,15,14,22,44,50,1.5,1013,19,10,167,17
2020-01-22,19,13,0.0,10.5,1,1,11,05:57 AM,03:50 PM,07:57 AM,06:02 PM,5,14,15,14,21,26,50,0.1,1017,19,10,150,16
2020-01-23,20,13,0.0,10.5,1,1,3,06:53 AM,04:44 PM,07:57 AM,06:03 PM,8,16,16,16,10,12,59,0.1,1021,20,10,78,8
2020-01-24,21,12,0.0,10.5,1,1,0,07:44 AM,05:42 PM,07:56 AM,06:04 PM,5,16,16,16,12,5,50,0.0,1021,21,10,227,7
2020-01-25,20,13,0.0,10.5,1,1,0,08:27 AM,06:40 PM,07:55 AM,06:05 PM,4,15,16,15,18,7,46,0.0,1020,20,10,201,11
2020-01-26,17,13,0.0,6.8,1,1,4,09:05 AM,07:39 PM,07:55 AM,06:06 PM,7,14,14,14,17,60,63,1.1,1022,17,10,261,12
2020-01-27,19,11,0.0,10.5,1,1,11,09:39 AM,08:37 PM,07:54 AM,06:07 PM,9,14,15,14,11,7,65,0.0,1025,19,10,268,8
2020-01-28,18,12,0.0,10.5,1,1,18,10:08 AM,09:34 PM,07:54 AM,06:08 PM,7,15,15,15,13,13,60,0.0,1025,18,10,259,10
2020-01-29,20,14,0.0,10.6,1,1,26,10:35 AM,10:30 PM,07:53 AM,06:09 PM,8,16,16,16,11,27,58,0.0,1024,20,10,272,8
2020-01-30,20,14,0.0,10.6,1,1,33,11:02 AM,11:26 PM,07:52 AM,06:10 PM,7,17,17,17,8,25,52,0.0,1024,20,10,265,6
