date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,9,-1,0.0,6.9,1,1,80,02:56 PM,04:52 AM,08:23 AM,05:37 PM,-7,1,4,1,21,19,50,0.0,1030,9,10,17,11
2020-01-08,8,-1,0.0,8.7,1,1,88,03:37 PM,05:58 AM,08:23 AM,05:38 PM,-2,0,2,0,14,14,75,0.0,1030,8,10,156,7
2020-01-09,5,-5,0.0,8.7,1,1,95,04:25 PM,07:03 AM,08:23 AM,05:39 PM,-2,-1,0,-1,7,20,83,0.0,1025,5,9,206,4
2020-01-10,2,-4,6.7,3.4,1,1,100,05:24 PM,08:04 AM,08:23 AM,05:40 PM,-4,-5,-2,-5,18,87,85,9.5,1026,2,5,121,11
2020-01-11,6,-4,0.1,8.7,1,1,100,06:30 PM,09:00 AM,08:22 AM,05:41 PM,-12,-4,0,-4,19,3,45,0.0,1031,6,10,16,11
2020-01-12,8,-3,0.0,8.7,1,1,83,07:44 PM,09:48 AM,08:22 AM,05:42 PM,-16,-2,1,-2,15,13,28,0.0,1030,8,10,11,8
2020-01-13,7,-3,0.0,3.5,1,1,76,08:58 PM,10:29 AM,08:22 AM,05:43 PM,-15,-1,-0,-1,4,45,32,0.0,1024,7,10,180,2
2020-01-14,5,-3,0.0,8.7,1,1,69,10:13 PM,11:04 AM,08:21 AM,05:45 PM,-13,-1,1,-1,8,22,37,0.0,1019,5,10,197,4
2020-01-15,4,-3,0.0,8.7,1,1,61,11:27 PM,11:35 AM,08:21 AM,05:46 PM,-11,-1,0,-1,8,12,46,0.0,1022,4,10,261,4
2020-01-16,6,-3,0.0,8.7,1,1,54,No moonrise,12:03 PM,08:21 AM,05:47 PM,-5,-2,-0,-2,9,26,74,0.0,1026,6,8,213,5
2020-01-17,2,-6,5.2,3.5,1,1,47,12:39 AM,12:31 PM,08:20 AM,05:48 PM,-3,-5,-2,-5,14,82,92,7.0,1026,2,6,293,8
2020-01-18,3,-5,0.0,8.7,1,1,40,01:50 AM,01:01 PM,08:20 AM,05:49 PM,-9,-3,-1,-3,8,31,59,0.0,1028,3,10,199,5
2020-01-19,-1,-7,0.2,5.2,1,1,32,03:01 AM,01:33 PM,08:19 AM,05:50 PM,-8,-9,-3,-9,21,64,71,0.8,1025,-1,8,16,18
2020-01-20,-1,-9,0.3,5.2,1,1,25,04:11 AM,02:09 PM,08:18 AM,05:52 PM,-9,-11,-5,-11,23,53,73,0.3,1031,-1,10,44,16
2020-01-21,2,-9,5.4,8.7,1,1,18,05:18 AM,02:50 PM,08:18 AM,05:53 PM,-6,-8,-3,-8,25,52,81,7.6,1028,2,7,86,13
2020-01-22,0,-8,68.4,3.5,1,1,11,06:21 AM,03:38 PM,08:17 AM,05:54 PM,-2,-5,-2,-5,14,94,98,81.2,1022,0,2,95,7
2020-01-23,-1,-7,83.3,3.5,1,1,3,07:19 AM,04:32 PM,08:16 AM,05:55 PM,-3,-5,-2,-5,13,85,97,96.7,1021,-1,4,155,7
2020-01-24,1,-9,0.0,8.7,1,1,0,08:08 AM,05:31 PM,08:16 AM,05:57 PM,-5,-5,-4,-5,6,32,91,0.0,1022,1,8,206,3
2020-01-25,1,-5,4.0,3.5,1,1,0,08:49 AM,06:31 PM,08:15 AM,05:58 PM,-3,-5,-3,-5,9,83,97,4.7,1020,1,3,195,5
2020-01-26,3,-5,2.0,3.5,1,1,4,09:25 AM,07:34 PM,08:14 AM,05:59 PM,-3,-3,-2,-3,5,76,94,2.5,1020,3,7,168,3
2020-01-27,2,-7,0.0,8.3,1,1,11,09:55 AM,08:34 PM,08:13 AM,06:00 PM,-4,-4,-3,-4,7,62,91,0.0,1019,2,6,199,4
2020-01-28,4,-4,0.0,9.9,1,1,18,10:21 AM,09:35 PM,08:12 AM,06:02 PM,-2,-2,-1,-2,9,39,90,0.1,1018,4,7,185,5
2020-01-29,5,-6,0.0,9.9,1,1,26,10:45 AM,10:34 PM,08:11 AM,06:03 PM,-5,-2,0,-2,10,26,69,0.0,1021,5,10,190,5
2020-01-30,5,-4,0.0,6.6,1,1,33,11:08 AM,11:33 PM,08:10 AM,06:04 PM,0,0,2,0,8,54,89,0.1,1020,5,7,189,4
2020-01-31,4,-2,0.0,6.6,1,1,37,11:31 AM,No moonset,08:09 AM,06:05 PM,-0,-0,1,-0,10,55,94,0.4,1021,4,7,185,5
2020-02-01,6,-2,0.0,6.6,1,1,49,11:55 AM,12:32 AM,08:08 AM,06:07 PM,-1,-1,1,-1,14,45,89,0.5,1021,6,7,248,7
2020-02-02,8,-1,0.0,10.0,1,1,57,12:21 PM,01:33 AM,08:07 AM,06:08 PM,0,1,3,1,14,21,83,0.0,1026,8,9,21,7
2020-02-03,9,1,0.0,10.0,1,1,64,12:52 PM,02:35 AM,08:06 AM,06:09 PM,-0,2,4,2,14,2,76,0.0,1027,9,10,94,7
2020-02-04,6,-2,0.0,10.0,1,1,72,01:28 PM,03:39 AM,08:05 AM,06:11 PM,-1,-2,2,-2,21,29,83,0.1,1026,6,10,351,15
2020-02-05,6,-3,0.0,10.1,1,1,79,02:11 PM,04:43 AM,08:04 AM,06:12 PM,-12,-2,1,-2,18,3,44,0.0,1031,6,10,25,11
2020-02-06,7,-4,0.0,10.1,1,1,87,03:04 PM,05:46 AM,08:03 AM,06:13 PM,-13,1,2,1,6,2,38,0.0,1026,7,10,209,4
2020-02-07,7,-3,0.0,6.7,1,1,95,04:07 PM,06:44 AM,08:02 AM,06:15 PM,-12,1,1,1,4,38,42,0.0,1023,7,10,238,2
2020-02-08,6,-3,0.0,10.2,1,1,100,05:18 PM,07:37 AM,08:01 AM,06:16 PM,-7,-1,0,-1,8,8,62,0.0,1024,6,10,246,4
2020-02-09,6,-4,0.0,10.6,1,1,100,06:34 PM,08:21 AM,07:59 AM,06:17 PM,-3,-2,-0,-2,7,28,85,0.0,1027,6,10,213,4
2020-02-10,11,-1,0.0,10.6,1,1,83,07:52 PM,09:00 AM,07:58 AM,06:18 PM,0,4,6,4,10,14,77,0.0,1026,11,10,170,5
2020-02-11,9,0,0.0,10.0,1,1,75,09:09 PM,09:34 AM,07:57 AM,06:20 PM,1,2,4,2,12,39,82,0.0,1024,9,10,232,8
2020-02-12,7,-2,0.0,8.5,1,1,68,10:24 PM,10:04 AM,07:56 AM,06:21 PM,1,1,3,1,9,67,87,0.1,1024,7,8,217,6
2020-02-13,8,-0,0.0,8.5,1,1,60,11:39 PM,10:33 AM,07:54 AM,06:22 PM,1,1,2,1,10,74,89,0.4,1020,8,5,235,6
2020-02-14,10,-2,0.0,10.7,1,1,53,No moonrise,11:03 AM,07:53 AM,06:24 PM,-2,3,5,3,12,10,69,0.0,1025,10,10,193,7
2020-02-15,10,-1,0.0,10.7,1,1,45,12:52 AM,11:35 AM,07:52 AM,06:25 PM,-4,3,4,3,5,3,63,0.0,1025,10,10,205,3
2020-02-16,9,-0,0.0,10.8,1,1,38,02:03 AM,12:09 PM,07:50 AM,06:26 PM,-5,3,4,3,9,4,53,0.0,1023,9,10,213,5
2020-02-17,12,1,0.0,10.8,1,1,30,03:12 AM,12:49 PM,07:49 AM,06:28 PM,-2,5,5,5,8,23,62,0.1,1025,12,10,238,5
2020-02-18,7,-2,0.0,10.8,1,1,22,04:16 AM,01:35 PM,07:48 AM,06:29 PM,-4,1,3,1,12,20,70,0.0,1032,7,10,271,8
2020-02-19,10,-4,0.0,10.8,1,1,15,05:14 AM,02:26 PM,07:46 AM,06:30 PM,-7,0,3,0,13,7,56,0.0,1031,10,10,205,7
2020-02-20,12,0,0.0,10.9,1,1,7,06:05 AM,03:23 PM,07:45 AM,06:31 PM,-9,6,7,6,9,18,40,0.0,1025,12,10,177,5
2020-02-21,12,-1,0.0,10.9,1,1,0,06:48 AM,04:22 PM,07:43 AM,06:33 PM,-7,4,6,4,12,5,47,0.0,1029,12,10,322,6
2020-02-22,14,0,0.0,10.9,1,1,0,07:26 AM,05:24 PM,07:42 AM,06:34 PM,-10,5,7,5,13,4,33,0.0,1032,14,10,210,7
2020-02-23,16,2,0.0,11.0,1,1,0,07:57 AM,06:25 PM,07:40 AM,06:35 PM,-7,7,8,7,10,0,38,0.0,1032,16,10,315,5
