date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,27,24,0.0,8.7,1,1,80,03:07 PM,03:30 AM,06:39 AM,05:49 PM,21,28,28,26,34,57,76,1.7,1016,27,10,107,25
2020-01-08,27,19,0.0,7.2,1,1,88,03:57 PM,04:26 AM,06:39 AM,05:49 PM,22,27,27,25,43,62,77,2.3,1018,27,10,87,31
2020-01-09,27,22,0.0,8.7,1,1,95,04:52 PM,05:25 AM,06:39 AM,05:50 PM,21,28,28,26,51,56,74,1.6,1019,27,10,84,37
2020-01-10,27,22,0.0,8.7,1,1,100,05:52 PM,06:24 AM,06:39 AM,05:50 PM,21,28,28,26,60,53,72,1.0,1019,27,10,74,44
2020-01-11,27,26,0.0,4.2,1,1,100,06:55 PM,07:22 AM,06:40 AM,05:51 PM,21,28,28,26,61,74,74,2.8,1019,27,10,68,45
2020-01-12,26,23,0.0,4.2,1,1,83,07:58 PM,08:17 AM,06:40 AM,05:52 PM,21,27,27,25,59,70,74,5.4,1020,26,10,74,43
2020-01-13,26,22,0.0,4.2,1,1,76,09:00 PM,09:09 AM,06:40 AM,05:52 PM,20,27,27,25,61,77,71,4.8,1019,26,9,68,45
2020-01-14,26,21,0.0,4.2,1,1,69,10:00 PM,09:56 AM,06:40 AM,05:53 PM,21,27,27,25,60,70,74,17.3,1017,26,9,85,40
2020-01-15,26,25,0.0,4.2,1,1,61,10:58 PM,10:41 AM,06:40 AM,05:53 PM,20,27,27,25,49,67,74,6.8,1017,26,9,80,35
2020-01-16,26,25,0.0,4.2,1,1,54,11:56 PM,11:24 AM,06:40 AM,05:54 PM,21,27,27,25,35,71,76,1.6,1017,26,10,76,26
2020-01-17,26,25,0.0,5.7,1,1,47,No moonrise,12:06 PM,06:40 AM,05:55 PM,21,28,28,26,34,66,77,1.2,1018,26,10,82,24
2020-01-18,26,25,0.0,4.2,1,1,40,12:52 AM,12:49 PM,06:40 AM,05:55 PM,21,27,27,25,38,73,78,2.4,1018,26,10,60,28
2020-01-19,25,25,0.0,5.7,1,1,32,01:50 AM,01:35 PM,06:40 AM,05:56 PM,21,27,27,25,47,66,78,10.8,1017,25,10,86,32
2020-01-20,26,25,0.0,7.2,1,1,25,02:47 AM,02:22 PM,06:40 AM,05:56 PM,20,27,27,25,38,49,74,3.8,1016,26,10,108,27
2020-01-21,25,25,0.0,5.7,1,1,18,03:45 AM,03:13 PM,06:40 AM,05:57 PM,21,27,27,25,38,47,78,5.9,1015,25,10,89,28
2020-01-22,25,21,0.0,7.2,1,1,11,04:41 AM,04:05 PM,06:40 AM,05:58 PM,21,26,26,24,33,48,77,0.0,1014,25,10,108,24
2020-01-23,26,25,0.0,8.7,1,1,3,05:37 AM,04:59 PM,06:40 AM,05:58 PM,21,27,27,25,31,54,79,0.2,1013,26,10,136,23
2020-01-24,26,25,0.0,4.2,1,1,0,06:28 AM,05:54 PM,06:40 AM,05:59 PM,22,28,28,26,21,56,80,1.6,1014,26,10,148,16
2020-01-25,26,25,0.0,8.7,1,1,0,07:16 AM,06:47 PM,06:40 AM,05:59 PM,21,28,28,26,18,31,75,0.0,1015,26,10,125,13
2020-01-26,26,25,0.0,7.3,1,1,4,07:59 AM,07:39 PM,06:40 AM,06:00 PM,21,28,28,26,19,72,75,1.5,1015,26,10,119,14
