date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,32,22,0.0,14.5,1,1,80,05:18 PM,03:01 AM,05:50 AM,08:11 PM,8,27,27,26,10,2,33,0.0,1009,32,10,272,9
2020-01-08,36,23,0.0,14.5,1,1,88,06:20 PM,03:43 AM,05:51 AM,08:11 PM,6,29,29,30,18,2,23,0.0,1007,36,10,188,14
2020-01-09,35,26,0.0,12.3,1,1,95,07:22 PM,04:31 AM,05:52 AM,08:11 PM,12,29,29,29,14,50,35,1.2,1007,35,10,166,11
2020-01-10,34,23,0.0,14.5,1,1,100,08:20 PM,05:27 AM,05:53 AM,08:11 PM,14,29,29,29,14,9,42,0.0,1010,34,10,150,12
2020-01-11,37,24,0.0,14.5,1,1,100,09:14 PM,06:30 AM,05:54 AM,08:11 PM,12,31,31,32,8,3,34,0.0,1011,37,10,203,7
2020-01-12,33,24,0.0,14.5,1,1,83,10:01 PM,07:39 AM,05:55 AM,08:11 PM,11,29,29,29,17,13,36,0.0,1014,33,10,94,14
2020-01-13,32,21,0.0,14.5,1,1,76,10:42 PM,08:48 AM,05:56 AM,08:11 PM,10,26,26,26,25,18,39,0.0,1015,32,10,82,20
2020-01-14,38,25,0.0,12.3,1,1,69,11:20 PM,09:58 AM,05:56 AM,08:10 PM,14,31,31,31,20,39,38,0.2,1007,38,10,29,14
2020-01-15,34,27,0.0,12.3,1,1,61,11:54 PM,11:07 AM,05:57 AM,08:10 PM,17,32,32,30,17,51,52,4.2,1004,34,10,204,14
2020-01-16,28,18,0.0,14.5,1,1,54,No moonrise,12:13 PM,05:58 AM,08:10 PM,3,24,24,25,13,2,26,0.0,1018,28,10,224,11
2020-01-17,34,21,0.0,14.5,1,1,47,12:27 AM,01:20 PM,05:59 AM,08:10 PM,7,26,26,26,14,0,32,0.0,1020,34,10,60,12
2020-01-18,32,21,0.0,14.1,1,1,40,01:02 AM,02:25 PM,06:00 AM,08:09 PM,8,26,26,26,14,11,34,0.0,1017,32,10,25,12
2020-01-19,35,25,0.0,11.6,1,1,32,01:38 AM,03:31 PM,06:01 AM,08:09 PM,12,29,29,29,14,18,35,0.0,1012,35,10,37,11
2020-01-20,39,28,0.0,10.5,1,1,25,02:16 AM,04:35 PM,06:02 AM,08:08 PM,18,35,35,33,11,29,44,0.8,1009,39,10,48,9
2020-01-21,36,28,0.0,9.3,1,1,18,03:00 AM,05:37 PM,06:03 AM,08:08 PM,19,33,33,31,15,65,53,2.5,1009,36,10,91,13
2020-01-22,33,23,0.0,10.5,1,1,11,03:48 AM,06:34 PM,06:04 AM,08:08 PM,18,29,29,28,15,20,61,0.0,1013,33,10,93,13
2020-01-23,34,25,0.0,11.6,1,1,3,04:40 AM,07:27 PM,06:05 AM,08:07 PM,16,30,30,29,15,6,49,0.0,1014,34,10,45,13
2020-01-24,37,24,0.0,11.6,1,1,0,05:37 AM,08:13 PM,06:06 AM,08:07 PM,13,31,31,31,15,9,35,0.0,1010,37,10,337,12
2020-01-25,37,26,0.0,11.6,1,1,0,06:34 AM,08:54 PM,06:07 AM,08:06 PM,12,31,31,31,14,5,33,0.0,1006,37,10,168,11
2020-01-26,36,26,0.0,11.6,1,1,4,07:33 AM,09:30 PM,06:08 AM,08:05 PM,13,31,31,30,13,8,38,0.0,1007,36,10,204,11
2020-01-27,30,18,0.0,11.6,1,1,11,08:30 AM,10:02 PM,06:09 AM,08:05 PM,6,23,23,23,21,3,36,0.0,1015,30,10,125,18
2020-01-28,33,21,0.0,11.6,1,1,18,09:26 AM,10:30 PM,06:10 AM,08:04 PM,8,27,27,26,14,4,33,0.0,1011,33,10,106,12
2020-01-29,31,24,0.0,9.3,1,1,26,10:21 AM,10:58 PM,06:11 AM,08:04 PM,12,27,27,27,15,44,42,0.4,1008,31,9,193,12
2020-01-30,31,18,0.0,11.6,1,1,33,11:15 AM,11:26 PM,06:12 AM,08:03 PM,7,23,23,23,17,3,39,0.0,1014,31,10,132,14
2020-01-31,37,20,0.0,11.6,1,1,37,12:10 PM,11:53 PM,06:13 AM,08:02 PM,4,28,28,28,9,1,24,0.0,1014,37,10,253,8
2020-02-01,37,24,0.0,11.6,1,1,49,01:05 PM,No moonset,06:14 AM,08:01 PM,8,29,29,30,11,0,27,0.0,1012,37,10,208,10
2020-02-02,38,26,0.0,11.6,1,1,57,02:02 PM,12:23 AM,06:15 AM,08:01 PM,12,32,32,32,11,4,31,0.0,1012,38,10,214,9
2020-02-03,37,28,0.0,11.6,1,1,64,03:01 PM,12:56 AM,06:16 AM,08:00 PM,15,32,32,32,16,3,36,0.0,1013,37,10,43,13
2020-02-04,37,24,0.0,11.6,1,1,72,04:02 PM,01:34 AM,06:17 AM,07:59 PM,16,31,31,31,22,7,45,0.0,1010,37,10,39,17
2020-02-05,34,28,0.0,11.6,1,1,79,05:03 PM,02:17 AM,06:18 AM,07:58 PM,17,32,32,31,22,27,43,0.0,1009,34,10,31,16
