date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,6,-2,0.0,8.7,1,1,80,03:06 PM,04:47 AM,08:24 AM,05:52 PM,-6,0,1,0,5,11,59,0.0,1026,6,10,262,3
2020-01-08,3,-2,0.0,5.2,1,1,88,03:46 PM,05:51 AM,08:24 AM,05:53 PM,-7,-0,0,-0,5,40,59,0.0,1020,3,10,290,3
2020-01-09,5,-2,0.0,7.0,1,1,95,04:34 PM,06:55 AM,08:24 AM,05:54 PM,-7,1,1,1,4,48,55,0.0,1019,5,10,224,3
2020-01-10,5,-3,0.0,8.7,1,1,100,05:32 PM,07:57 AM,08:24 AM,05:55 PM,-8,0,1,0,4,27,54,0.0,1022,5,10,276,3
2020-01-11,5,-3,0.0,8.7,1,1,100,06:38 PM,08:54 AM,08:24 AM,05:56 PM,-9,-0,0,-0,5,11,50,0.0,1026,5,10,287,3
2020-01-12,3,-4,0.0,5.2,1,1,83,07:49 PM,09:44 AM,08:23 AM,05:57 PM,-10,-1,-0,-1,2,44,47,0.1,1023,3,9,97,2
2020-01-13,4,-2,1.5,5.2,1,1,76,09:02 PM,10:27 AM,08:23 AM,05:58 PM,-5,-1,0,-1,6,54,71,3.4,1024,4,7,305,4
2020-01-14,5,-3,0.0,8.7,1,1,69,10:15 PM,11:04 AM,08:23 AM,05:59 PM,-10,-1,-0,-1,4,5,47,0.0,1031,5,10,272,2
2020-01-15,6,-4,0.0,9.8,1,1,61,11:27 PM,11:37 AM,08:22 AM,06:00 PM,-10,0,1,0,4,27,49,0.0,1029,6,10,87,2
2020-01-16,2,-5,0.0,9.8,1,1,54,No moonrise,12:08 PM,08:22 AM,06:01 PM,-9,-3,-2,-3,6,26,57,0.0,1036,2,10,161,3
2020-01-17,1,-5,0.7,8.3,1,1,47,12:38 AM,12:38 PM,08:22 AM,06:02 PM,-6,-3,-3,-3,5,67,75,0.7,1032,1,9,301,3
2020-01-18,0,-7,0.0,9.8,1,1,40,01:48 AM,01:09 PM,08:21 AM,06:03 PM,-9,-4,-3,-4,5,38,63,0.0,1023,0,10,285,3
2020-01-19,2,-4,0.1,4.9,1,1,32,02:57 AM,01:42 PM,08:21 AM,06:04 PM,-8,-2,-1,-2,3,56,61,0.0,1025,2,10,174,2
2020-01-20,1,-4,0.3,9.9,1,1,25,04:05 AM,02:18 PM,08:20 AM,06:05 PM,-5,-2,-1,-2,3,55,77,0.2,1029,1,10,284,2
2020-01-21,2,-6,0.0,9.9,1,1,18,05:12 AM,03:00 PM,08:20 AM,06:07 PM,-7,-3,-2,-3,6,24,68,0.0,1028,2,10,202,3
2020-01-22,1,-5,0.0,9.9,1,1,11,06:14 AM,03:48 PM,08:19 AM,06:08 PM,-11,-3,-2,-3,6,18,53,0.0,1028,1,10,178,4
2020-01-23,1,-5,0.3,8.3,1,1,3,07:12 AM,04:41 PM,08:18 AM,06:09 PM,-9,-2,-1,-2,4,39,58,0.5,1019,1,8,123,3
2020-01-24,1,-4,3.7,6.6,1,1,0,08:03 AM,05:39 PM,08:18 AM,06:10 PM,-8,-3,-1,-3,7,68,64,3.2,1023,1,7,197,6
2020-01-25,-1,-6,0.0,9.9,1,1,0,08:46 AM,06:39 PM,08:17 AM,06:11 PM,-16,-5,-4,-5,5,12,39,0.0,1034,-1,10,167,3
2020-01-26,3,-6,0.0,10.0,1,1,4,09:23 AM,07:40 PM,08:16 AM,06:12 PM,-14,-3,-2,-3,5,5,41,0.0,1029,3,10,171,3
2020-01-27,5,-4,0.0,10.0,1,1,11,09:55 AM,08:39 PM,08:16 AM,06:14 PM,-12,-1,-0,-1,5,5,41,0.0,1030,5,10,115,3
2020-01-28,3,-4,0.0,10.0,1,1,18,10:23 AM,09:38 PM,08:15 AM,06:15 PM,-12,-2,-1,-2,5,33,43,0.0,1026,3,10,192,2
2020-01-29,5,-3,0.0,10.0,1,1,26,10:49 AM,10:36 PM,08:14 AM,06:16 PM,-9,0,1,0,4,49,49,0.0,1021,5,10,114,2
2020-01-30,6,-2,0.0,10.0,1,1,33,11:13 AM,11:34 PM,08:13 AM,06:17 PM,-7,0,1,0,7,27,54,0.0,1022,6,10,118,4
2020-01-31,6,0,0.0,8.3,1,1,37,11:38 AM,No moonset,08:12 AM,06:18 PM,-4,1,3,1,11,56,61,0.0,1012,6,10,127,8
2020-02-01,2,-1,8.7,6.7,1,1,49,12:03 PM,12:31 AM,08:11 AM,06:20 PM,-2,-0,1,-0,6,65,81,12.5,1012,2,6,201,4
2020-02-02,3,-4,0.0,10.1,1,1,57,12:30 PM,01:31 AM,08:10 AM,06:21 PM,-9,-1,-1,-1,3,13,53,0.0,1025,3,10,211,2
2020-02-03,5,-3,0.0,10.1,1,1,64,01:01 PM,02:30 AM,08:09 AM,06:22 PM,-10,-0,-0,-0,4,11,46,0.0,1025,5,10,156,3
