date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,28,26,0.0,7.1,1,1,80,03:48 PM,03:57 AM,07:04 AM,06:29 PM,23,30,30,27,36,67,81,0.8,1013,28,10,69,26
2020-01-08,27,27,0.0,5.6,1,1,88,04:39 PM,04:52 AM,07:04 AM,06:29 PM,23,30,30,27,49,71,80,2.8,1014,27,10,97,35
2020-01-09,27,20,0.0,7.1,1,1,95,05:35 PM,05:50 AM,07:04 AM,06:30 PM,22,28,28,26,49,65,77,3.9,1015,27,10,85,36
2020-01-10,27,21,0.0,5.6,1,1,100,06:35 PM,06:49 AM,07:04 AM,06:31 PM,22,29,29,26,66,71,76,4.4,1014,27,9,90,47
2020-01-11,27,27,0.0,5.6,1,1,100,07:37 PM,07:48 AM,07:05 AM,06:31 PM,22,30,30,27,63,74,76,1.9,1014,27,10,92,44
2020-01-12,27,27,0.0,8.6,1,1,83,08:38 PM,08:44 AM,07:05 AM,06:32 PM,23,30,30,27,60,70,78,3.7,1015,27,9,86,42
2020-01-13,27,26,0.0,5.6,1,1,76,09:39 PM,09:37 AM,07:05 AM,06:32 PM,22,30,30,27,64,79,76,6.6,1014,27,9,89,45
2020-01-14,26,21,0.0,7.1,1,1,69,10:37 PM,10:26 AM,07:05 AM,06:33 PM,22,28,28,25,55,67,77,5.4,1013,26,10,78,40
2020-01-15,27,22,0.0,8.6,1,1,61,11:33 PM,11:13 AM,07:06 AM,06:33 PM,23,29,29,26,55,66,80,1.3,1012,27,10,87,39
2020-01-16,27,22,0.0,7.1,1,1,54,No moonrise,11:58 AM,07:06 AM,06:34 PM,23,29,29,26,55,63,82,1.1,1013,27,10,89,39
2020-01-17,27,19,0.0,5.6,1,1,47,12:28 AM,12:42 PM,07:06 AM,06:34 PM,23,28,28,25,60,77,82,1.2,1013,27,10,79,42
2020-01-18,27,22,0.0,8.6,1,1,40,01:23 AM,01:28 PM,07:06 AM,06:35 PM,23,28,28,26,61,67,79,1.1,1014,27,10,80,43
2020-01-19,27,26,0.0,10.1,1,1,32,02:18 AM,02:14 PM,07:06 AM,06:35 PM,23,29,29,26,59,56,80,0.5,1013,27,10,96,42
2020-01-20,27,26,0.0,5.7,1,1,25,03:14 AM,03:03 PM,07:06 AM,06:36 PM,23,30,30,27,56,73,82,0.9,1012,27,10,91,39
2020-01-21,27,25,0.0,8.6,1,1,18,04:11 AM,03:55 PM,07:06 AM,06:36 PM,23,30,30,26,51,61,83,0.9,1011,27,10,95,36
2020-01-22,27,26,0.0,8.6,1,1,11,05:07 AM,04:48 PM,07:06 AM,06:37 PM,23,29,29,26,36,47,82,0.0,1011,27,10,107,26
2020-01-23,26,22,0.0,11.3,1,1,3,06:02 AM,05:42 PM,07:06 AM,06:37 PM,22,28,28,25,23,18,79,0.0,1011,26,10,88,17
2020-01-24,26,23,0.0,8.6,1,1,0,06:53 AM,06:36 PM,07:06 AM,06:38 PM,22,28,28,26,25,47,78,0.2,1013,26,10,84,18
2020-01-25,27,23,0.0,10.1,1,1,0,07:42 AM,07:28 PM,07:06 AM,06:38 PM,22,28,28,26,25,44,77,0.1,1013,27,10,74,18
2020-01-26,27,25,0.0,8.6,1,1,4,08:26 AM,08:18 PM,07:06 AM,06:39 PM,23,29,29,26,22,50,82,0.6,1013,27,10,79,16
2020-01-27,27,26,0.0,11.3,1,1,11,09:08 AM,09:06 PM,07:06 AM,06:39 PM,23,29,29,26,25,46,82,0.2,1013,27,10,87,18
2020-01-28,27,26,0.0,8.6,1,1,18,09:47 AM,09:52 PM,07:06 AM,06:40 PM,23,29,29,27,29,61,80,0.3,1013,27,10,92,21
2020-01-29,27,25,0.0,8.6,1,1,26,10:24 AM,10:37 PM,07:06 AM,06:40 PM,22,29,29,26,32,56,79,0.3,1013,27,10,88,23
2020-01-30,27,20,0.0,5.7,1,1,33,11:00 AM,11:23 PM,07:06 AM,06:41 PM,23,28,28,25,38,59,81,0.1,1013,27,10,93,28
2020-01-31,27,26,0.0,7.2,1,1,37,11:37 AM,No moonset,07:06 AM,06:41 PM,24,30,30,27,50,60,83,0.4,1013,27,10,90,35
2020-02-01,27,26,0.0,10.1,1,1,49,12:14 PM,12:08 AM,07:06 AM,06:41 PM,23,30,30,27,56,48,82,0.4,1013,27,10,89,39
2020-02-02,27,26,0.0,7.2,1,1,57,12:54 PM,12:55 AM,07:06 AM,06:42 PM,23,30,30,26,48,62,82,0.5,1013,27,10,85,34
2020-02-03,27,26,0.0,11.4,1,1,64,01:38 PM,01:45 AM,07:06 AM,06:42 PM,23,29,29,26,52,37,81,0.3,1014,27,10,95,37
2020-02-04,27,26,0.0,11.4,1,1,72,02:25 PM,02:37 AM,07:05 AM,06:43 PM,22,29,29,26,51,25,79,0.1,1014,27,10,92,36
2020-02-05,26,26,0.0,11.4,1,1,79,03:18 PM,03:33 AM,07:05 AM,06:43 PM,22,29,29,26,53,30,79,0.2,1014,26,10,94,38
2020-02-06,26,26,0.0,8.6,1,1,87,04:16 PM,04:30 AM,07:05 AM,06:43 PM,23,29,29,26,58,52,82,0.6,1012,26,10,97,40
2020-02-07,26,22,0.0,8.6,1,1,95,05:17 PM,05:30 AM,07:05 AM,06:44 PM,23,28,28,26,55,57,83,0.5,1014,26,10,98,38
2020-02-08,26,23,0.0,11.4,1,1,100,06:20 PM,06:27 AM,07:05 AM,06:44 PM,22,28,28,26,49,30,80,0.2,1015,26,10,92,35
2020-02-09,26,25,0.0,8.7,1,1,100,07:23 PM,07:24 AM,07:04 AM,06:44 PM,23,29,29,26,45,54,81,10.0,1015,26,9,93,31
2020-02-10,26,26,0.0,11.4,1,1,83,08:23 PM,08:16 AM,07:04 AM,06:45 PM,23,29,29,26,56,15,81,0.0,1014,26,10,94,39
2020-02-11,26,26,0.0,8.7,1,1,75,09:23 PM,09:06 AM,07:04 AM,06:45 PM,22,29,29,26,59,53,81,0.4,1014,26,10,93,41
2020-02-12,26,26,0.0,8.7,1,1,68,10:20 PM,09:53 AM,07:03 AM,06:45 PM,23,29,29,26,56,54,82,0.7,1013,26,10,88,38
2020-02-13,26,22,0.0,10.1,1,1,60,11:17 PM,10:39 AM,07:03 AM,06:46 PM,23,28,28,25,56,57,83,0.7,1013,26,10,86,38
2020-02-14,26,22,0.0,5.7,1,1,53,No moonrise,11:25 AM,07:03 AM,06:46 PM,23,29,29,26,54,65,82,1.6,1013,26,10,85,37
2020-02-15,26,26,0.0,11.4,1,1,45,12:13 AM,12:12 PM,07:02 AM,06:46 PM,23,29,29,26,52,47,83,0.4,1013,26,10,87,36
2020-02-16,26,22,0.0,11.5,1,1,38,01:10 AM,01:01 PM,07:02 AM,06:47 PM,23,28,28,26,52,31,84,0.0,1012,26,10,89,36
2020-02-17,26,22,0.0,10.1,1,1,30,02:07 AM,01:52 PM,07:02 AM,06:47 PM,23,28,28,26,56,35,82,0.2,1011,26,10,89,39
2020-02-18,27,26,0.0,5.7,1,1,22,03:03 AM,02:44 PM,07:01 AM,06:47 PM,23,29,29,26,59,69,84,1.7,1012,27,10,86,40
2020-02-19,26,26,0.0,5.7,1,1,15,03:57 AM,03:37 PM,07:01 AM,06:47 PM,23,29,29,26,55,76,84,2.1,1012,26,10,83,38
2020-02-20,27,26,0.0,8.7,1,1,7,04:49 AM,04:30 PM,07:00 AM,06:47 PM,23,29,29,26,50,57,83,3.2,1012,27,10,87,35
2020-02-21,26,22,0.0,11.5,1,1,0,05:38 AM,05:22 PM,07:00 AM,06:48 PM,23,28,28,25,44,29,82,0.2,1013,26,10,91,31
2020-02-22,26,22,0.0,8.8,1,1,0,06:23 AM,06:12 PM,06:59 AM,06:48 PM,22,28,28,25,33,50,82,0.4,1014,26,10,89,24
2020-02-23,26,25,0.0,11.6,1,1,0,07:06 AM,07:01 PM,06:59 AM,06:48 PM,22,28,28,26,32,36,79,0.5,1013,26,10,88,23
2020-02-24,26,25,0.0,10.2,1,1,0,07:45 AM,07:48 PM,06:59 AM,06:48 PM,22,28,28,26,35,36,80,0.0,1013,26,10,70,25
2020-02-25,26,26,0.0,7.4,1,1,8,08:22 AM,08:33 PM,06:58 AM,06:48 PM,23,29,29,26,41,60,84,1.0,1013,26,10,84,29
2020-02-26,27,24,0.0,11.6,1,1,15,08:59 AM,09:19 PM,06:58 AM,06:49 PM,23,29,29,26,41,41,84,0.2,1013,27,10,92,29
2020-02-27,27,26,0.0,8.8,1,1,23,09:36 AM,10:04 PM,06:57 AM,06:49 PM,23,29,29,26,40,53,81,0.5,1014,27,10,87,29
2020-02-28,26,26,0.0,8.8,1,1,30,10:12 AM,10:50 PM,06:57 AM,06:49 PM,23,29,29,26,43,52,80,7.1,1014,26,9,80,30
2020-02-29,26,21,0.0,10.2,1,1,38,10:51 AM,11:38 PM,06:56 AM,06:49 PM,22,27,27,25,39,42,77,0.1,1015,26,10,78,28
2020-03-01,27,25,0.0,7.4,1,1,44,11:32 AM,No moonset,06:55 AM,06:49 PM,22,29,29,26,46,60,78,0.8,1014,27,10,90,33
2020-03-02,27,26,0.0,8.8,1,1,51,12:16 PM,12:27 AM,06:55 AM,06:49 PM,22,29,29,26,51,49,76,0.5,1013,27,10,91,37
2020-03-03,27,26,0.0,8.8,1,1,58,01:06 PM,01:20 AM,06:54 AM,06:50 PM,22,29,29,26,54,39,76,0.2,1013,27,10,93,39
2020-03-04,27,21,0.0,8.8,1,1,65,01:59 PM,02:15 AM,06:54 AM,06:50 PM,23,28,28,25,55,54,79,1.1,1014,27,10,91,40
2020-03-05,27,26,0.0,8.8,1,1,73,02:57 PM,03:13 AM,06:53 AM,06:50 PM,22,29,29,27,60,57,78,0.5,1014,27,10,91,43
2020-03-06,27,26,0.0,7.4,1,1,80,03:58 PM,04:10 AM,06:53 AM,06:50 PM,22,29,29,26,57,56,79,0.8,1014,27,10,93,41
2020-03-07,26,23,0.0,11.6,1,1,87,05:01 PM,05:06 AM,06:52 AM,06:50 PM,22,28,28,26,47,36,78,0.2,1012,26,10,88,34
2020-03-08,27,25,0.0,10.2,1,1,95,06:03 PM,06:00 AM,06:51 AM,06:50 PM,22,29,29,26,43,50,79,0.2,1013,27,10,80,31
2020-03-09,27,26,0.0,7.4,1,1,100,07:04 PM,06:51 AM,06:51 AM,06:50 PM,22,29,29,26,54,58,77,0.5,1015,27,10,92,39
2020-03-10,27,26,0.0,10.2,1,1,100,08:04 PM,07:41 AM,06:50 AM,06:50 PM,22,29,29,26,53,59,78,0.9,1014,27,10,89,38
2020-03-11,27,26,0.0,8.8,1,1,84,09:03 PM,08:28 AM,06:50 AM,06:50 PM,22,29,29,26,45,58,80,1.9,1012,27,10,90,32
2020-03-12,26,26,0.0,10.2,1,1,76,10:02 PM,09:17 AM,06:49 AM,06:50 PM,22,28,28,26,44,46,80,0.3,1010,26,10,95,32
2020-03-13,27,26,0.0,10.2,1,1,69,11:01 PM,10:05 AM,06:48 AM,06:51 PM,22,29,29,26,42,54,79,0.3,1013,27,10,84,30
2020-03-14,27,25,0.0,8.8,1,1,62,12:00 AM,10:55 AM,06:48 AM,06:51 PM,22,29,29,26,33,59,79,0.4,1014,27,10,68,24
2020-03-15,27,25,0.0,6.0,1,1,55,No moonrise,11:47 AM,06:47 AM,06:51 PM,22,29,29,26,34,72,79,6.9,1014,27,9,70,24
2020-03-16,26,18,0.0,6.0,1,1,47,12:58 AM,12:39 PM,06:46 AM,06:51 PM,22,27,27,24,40,76,80,7.9,1014,26,9,69,29
