date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,33,15,0.0,14.5,1,1,80,04:52 PM,02:47 AM,05:56 AM,08:21 PM,14,26,26,25,15,40,62,0.0,1014,33,9,298,11
2020-01-08,33,16,0.0,14.5,1,1,88,05:55 PM,03:25 AM,05:57 AM,08:21 PM,15,24,24,23,15,29,67,0.0,1014,33,9,247,12
2020-01-09,26,15,0.0,14.5,1,1,95,06:57 PM,04:08 AM,05:58 AM,08:21 PM,14,21,21,20,16,33,68,0.0,1015,26,10,87,13
2020-01-10,37,15,0.0,14.5,1,1,100,07:58 PM,05:00 AM,05:59 AM,08:21 PM,12,27,27,27,16,28,48,0.0,1008,37,9,306,12
2020-01-11,29,16,0.0,12.3,1,1,100,08:54 PM,06:00 AM,06:00 AM,08:21 PM,12,23,23,22,13,60,65,0.7,1011,29,9,172,11
2020-01-12,24,12,0.0,10.5,1,1,83,09:45 PM,07:05 AM,06:01 AM,08:21 PM,9,18,19,18,16,43,65,0.0,1017,24,10,72,13
2020-01-13,29,8,0.0,11.6,1,1,76,10:28 PM,08:15 AM,06:02 AM,08:21 PM,9,20,20,19,14,22,61,0.0,1017,29,9,44,10
2020-01-14,34,13,0.0,11.6,1,1,69,11:08 PM,09:26 AM,06:03 AM,08:21 PM,12,24,24,23,11,34,60,0.0,1015,34,10,54,8
2020-01-15,30,13,0.0,8.2,1,1,61,11:43 PM,10:35 AM,06:03 AM,08:20 PM,13,20,20,20,8,49,71,6.0,1012,30,8,202,5
2020-01-16,26,17,0.0,7.1,1,1,54,No moonrise,11:44 AM,06:04 AM,08:20 PM,16,22,22,21,13,71,78,13.1,1007,26,9,260,8
2020-01-17,23,15,0.0,8.2,1,1,47,12:17 AM,12:50 PM,06:05 AM,08:20 PM,13,18,19,18,18,72,74,0.3,1010,23,10,115,14
2020-01-18,26,13,0.0,11.6,1,1,40,12:50 AM,01:57 PM,06:06 AM,08:19 PM,12,18,19,18,18,41,70,0.3,1010,26,10,110,14
2020-01-19,33,13,0.0,11.6,1,1,32,01:24 AM,03:02 PM,06:07 AM,08:19 PM,12,22,22,22,9,31,65,10.0,1006,33,9,57,6
2020-01-20,27,16,0.0,7.1,1,1,25,02:01 AM,04:08 PM,06:08 AM,08:19 PM,13,21,21,20,13,74,69,11.6,1003,27,9,213,9
2020-01-21,25,12,0.0,11.6,1,1,18,02:41 AM,05:12 PM,06:09 AM,08:18 PM,11,19,19,19,13,24,62,0.0,1007,25,10,306,10
2020-01-22,30,13,0.0,11.6,1,1,11,03:26 AM,06:12 PM,06:10 AM,08:18 PM,8,23,23,23,14,4,47,0.0,1007,30,10,319,10
