date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,4,-1,0.0,8.7,1,1,80,01:39 PM,04:05 AM,07:45 AM,04:17 PM,-2,0,2,0,9,29,74,0.0,1029,4,10,324,5
2020-01-08,7,-1,0.0,8.7,1,1,88,02:15 PM,05:15 AM,07:44 AM,04:18 PM,0,1,2,1,8,43,84,0.0,1031,7,9,147,5
2020-01-09,3,2,0.0,5.1,1,1,95,03:01 PM,06:22 AM,07:44 AM,04:19 PM,-0,1,3,1,12,69,79,0.0,1026,3,10,128,8
2020-01-10,4,-1,0.0,8.7,1,1,100,03:59 PM,07:26 AM,07:44 AM,04:20 PM,-1,0,2,0,10,51,82,0.0,1023,4,10,125,6
2020-01-11,6,-0,0.0,5.1,1,1,100,05:07 PM,08:20 AM,07:43 AM,04:22 PM,-0,1,4,1,26,38,73,0.0,1031,6,10,317,14
2020-01-12,6,-0,0.0,8.7,1,1,83,06:23 PM,09:05 AM,07:43 AM,04:23 PM,-1,1,3,1,9,25,78,0.0,1030,6,10,139,6
2020-01-13,5,1,0.0,5.1,1,1,76,07:43 PM,09:42 AM,07:42 AM,04:24 PM,-2,1,3,1,9,74,71,0.0,1026,5,10,133,6
2020-01-14,3,-1,0.0,8.7,1,1,69,09:03 PM,10:13 AM,07:42 AM,04:26 PM,-1,-3,1,-3,15,72,87,0.0,1024,3,9,136,10
2020-01-15,5,-1,0.0,8.7,1,1,61,10:21 PM,10:39 AM,07:41 AM,04:27 PM,-0,-2,2,-2,21,48,86,0.0,1026,5,9,135,14
2020-01-16,5,2,0.0,8.7,1,1,54,11:39 PM,11:03 AM,07:40 AM,04:28 PM,-3,2,3,2,5,27,68,0.0,1032,5,10,187,3
2020-01-17,3,0,0.0,8.7,1,1,47,No moonrise,11:27 AM,07:40 AM,04:30 PM,-2,-3,2,-3,23,41,76,0.0,1027,3,10,140,16
2020-01-18,1,-5,0.0,3.3,1,1,40,12:55 AM,11:52 AM,07:39 AM,04:31 PM,-2,-2,0,-2,9,91,87,3.0,1026,1,8,272,6
2020-01-19,2,1,5.2,3.4,1,1,32,02:10 AM,12:18 PM,07:38 AM,04:33 PM,1,-2,2,-2,18,100,94,3.7,1032,2,6,324,13
2020-01-20,4,2,5.5,3.4,1,1,25,03:25 AM,12:50 PM,07:37 AM,04:34 PM,1,0,2,0,10,76,90,5.2,1045,4,7,328,7
2020-01-21,3,-0,0.0,8.7,1,1,18,04:36 AM,01:29 PM,07:36 AM,04:36 PM,-1,0,1,0,5,20,86,0.0,1043,3,9,72,3
2020-01-22,3,-2,0.0,8.7,1,1,11,05:42 AM,02:14 PM,07:35 AM,04:37 PM,-4,-2,1,-2,17,33,72,0.0,1034,3,10,293,11
2020-01-23,4,-1,0.0,8.7,1,1,3,06:40 AM,03:07 PM,07:34 AM,04:39 PM,-3,-2,1,-2,16,14,74,0.0,1034,4,10,172,10
2020-01-24,4,-2,0.0,8.7,1,1,0,07:29 AM,04:07 PM,07:33 AM,04:40 PM,-2,-1,1,-1,11,13,79,0.0,1027,4,10,150,7
2020-01-25,3,-1,0.0,8.7,1,1,0,08:08 AM,05:11 PM,07:32 AM,04:42 PM,-2,0,1,0,4,27,80,0.0,1024,3,10,124,3
2020-01-26,2,-1,0.0,5.2,1,1,4,08:40 AM,06:16 PM,07:31 AM,04:43 PM,-3,-1,0,-1,7,60,79,0.0,1022,2,10,129,5
2020-01-27,5,-1,0.0,8.7,1,1,11,09:07 AM,07:22 PM,07:30 AM,04:45 PM,-2,1,2,1,6,39,79,0.0,1018,5,10,205,4
2020-01-28,4,-2,0.0,6.9,1,1,18,09:29 AM,08:26 PM,07:29 AM,04:47 PM,-0,0,2,0,15,82,83,2.7,1006,4,8,182,10
2020-01-29,5,2,0.0,5.2,1,1,26,09:50 AM,09:30 PM,07:28 AM,04:48 PM,-2,-1,3,-1,26,48,71,1.6,1009,5,9,260,17
2020-01-30,7,2,0.4,3.5,1,1,33,10:08 AM,10:32 PM,07:26 AM,04:50 PM,-1,2,4,2,23,55,69,0.2,1017,7,10,248,13
2020-01-31,12,3,0.0,3.5,1,1,37,10:27 AM,11:36 PM,07:25 AM,04:51 PM,4,6,9,6,29,51,72,0.0,1011,12,10,275,15
2020-02-01,14,6,0.0,8.7,1,1,49,10:47 AM,No moonset,07:24 AM,04:53 PM,7,9,11,9,15,22,77,0.0,1012,14,10,206,9
2020-02-02,12,6,0.0,5.2,1,1,57,11:10 AM,12:40 AM,07:23 AM,04:55 PM,6,8,11,8,34,69,71,3.0,1013,12,9,269,22
2020-02-03,9,8,0.0,3.5,1,1,64,11:36 AM,01:47 AM,07:21 AM,04:56 PM,5,6,9,6,35,90,76,16.1,1013,9,7,272,25
2020-02-04,8,4,0.0,3.5,1,1,72,12:08 PM,02:54 AM,07:20 AM,04:58 PM,0,2,6,2,41,81,65,1.1,1004,8,6,317,29
2020-02-05,5,1,0.0,5.3,1,1,79,12:48 PM,04:02 AM,07:18 AM,04:59 PM,-4,-2,3,-2,39,69,61,0.0,1020,5,9,346,30
2020-02-06,6,1,0.0,7.0,1,1,87,01:40 PM,05:07 AM,07:17 AM,05:01 PM,-4,-2,3,-2,28,33,59,0.0,1029,6,10,307,20
2020-02-07,7,1,0.0,3.7,1,1,95,02:43 PM,06:05 AM,07:15 AM,05:03 PM,-1,1,4,1,21,60,71,0.0,1029,7,10,309,15
2020-02-08,6,1,0.0,8.7,1,1,100,03:56 PM,06:55 AM,07:14 AM,05:04 PM,-1,-0,3,-0,19,25,77,0.0,1029,6,10,139,14
2020-02-09,6,-1,0.0,8.7,1,1,100,05:17 PM,07:37 AM,07:12 AM,05:06 PM,-0,0,3,0,14,23,81,0.0,1025,6,9,138,9
2020-02-10,11,2,0.0,8.7,1,1,83,06:39 PM,08:11 AM,07:11 AM,05:08 PM,-1,4,6,4,28,44,62,0.0,1007,11,10,257,18
2020-02-11,8,4,0.0,3.8,1,1,75,08:02 PM,08:40 AM,07:09 AM,05:09 PM,-1,2,6,2,31,79,63,8.7,1007,8,10,275,22
2020-02-12,7,2,0.0,7.1,1,1,68,09:23 PM,09:06 AM,07:08 AM,05:11 PM,-3,0,5,0,32,41,61,5.8,1017,7,9,279,23
2020-02-13,8,2,0.0,8.7,1,1,60,10:42 PM,09:30 AM,07:06 AM,05:12 PM,-0,3,6,3,22,45,67,4.5,1018,8,10,188,15
