date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,11,7,0.0,5.2,1,1,80,02:43 PM,04:25 AM,08:04 AM,05:30 PM,5,6,9,6,30,48,76,0.0,1021,11,10,201,21
2020-01-08,10,8,0.0,8.7,1,1,88,03:24 PM,05:29 AM,08:04 AM,05:31 PM,4,7,9,7,14,50,72,0.0,1017,10,10,136,10
2020-01-09,9,7,0.0,5.2,1,1,95,04:12 PM,06:34 AM,08:03 AM,05:32 PM,4,5,8,5,34,78,77,0.2,1017,9,10,232,24
2020-01-10,7,6,0.0,3.5,1,1,100,05:09 PM,07:36 AM,08:03 AM,05:33 PM,3,3,7,3,30,95,75,1.4,1021,7,7,3,22
2020-01-11,6,3,0.0,3.5,1,1,100,06:14 PM,08:32 AM,08:03 AM,05:34 PM,2,4,6,4,11,99,78,1.8,1024,6,9,9,8
2020-01-12,9,6,0.0,7.0,1,1,83,07:26 PM,09:23 AM,08:03 AM,05:35 PM,2,4,7,4,30,73,72,0.4,1019,9,10,220,21
2020-01-13,7,-1,0.0,3.5,1,1,76,08:39 PM,10:05 AM,08:02 AM,05:36 PM,4,2,6,2,43,89,82,9.6,1022,7,9,350,30
2020-01-14,8,5,0.0,8.7,1,1,69,09:52 PM,10:42 AM,08:02 AM,05:37 PM,3,5,7,5,12,21,76,0.0,1028,8,10,196,9
2020-01-15,7,1,0.0,3.5,1,1,61,11:05 PM,11:16 AM,08:02 AM,05:38 PM,3,4,6,4,23,76,79,2.6,1029,7,9,166,16
2020-01-16,7,6,0.0,5.2,1,1,54,No moonrise,11:46 AM,08:01 AM,05:39 PM,1,3,6,3,26,74,72,1.1,1036,7,10,36,18
2020-01-17,8,5,0.0,5.2,1,1,47,12:15 AM,12:15 PM,08:01 AM,05:40 PM,2,4,6,4,15,67,73,1.0,1027,8,9,205,10
2020-01-18,6,5,0.0,8.7,1,1,40,01:25 AM,12:46 PM,08:01 AM,05:41 PM,1,1,6,1,46,54,73,1.6,1022,6,10,346,33
2020-01-19,5,4,0.0,3.5,1,1,32,02:34 AM,01:19 PM,08:00 AM,05:43 PM,-1,-0,5,-0,40,81,69,0.1,1026,5,10,9,29
2020-01-20,5,4,0.9,3.5,1,1,25,03:43 AM,01:56 PM,08:00 AM,05:44 PM,-1,1,4,1,22,85,69,1.2,1030,5,9,233,16
2020-01-21,7,0,0.0,8.7,1,1,18,04:50 AM,02:37 PM,07:59 AM,05:45 PM,-1,4,5,4,5,39,61,0.0,1027,7,10,235,4
2020-01-22,8,4,0.0,8.7,1,1,11,05:53 AM,03:25 PM,07:58 AM,05:46 PM,-1,2,6,2,32,8,61,0.0,1022,8,10,242,22
2020-01-23,10,5,0.0,8.7,1,1,3,06:50 AM,04:18 PM,07:58 AM,05:47 PM,-1,3,7,3,52,11,55,0.0,1009,10,10,226,36
2020-01-24,6,2,0.0,3.7,1,1,0,07:41 AM,05:16 PM,07:57 AM,05:48 PM,0,-0,5,-0,45,84,73,0.9,1020,6,9,349,35
2020-01-25,7,3,0.0,8.7,1,1,0,08:24 AM,06:16 PM,07:56 AM,05:50 PM,-4,-0,4,-0,40,29,53,0.2,1027,7,10,223,29
2020-01-26,9,4,0.0,8.7,1,1,4,09:02 AM,07:17 PM,07:56 AM,05:51 PM,-2,2,6,2,38,22,54,0.0,1020,9,10,209,26
2020-01-27,10,6,0.0,5.4,1,1,11,09:34 AM,08:16 PM,07:55 AM,05:52 PM,3,5,8,5,31,42,71,0.1,1027,10,10,179,21
2020-01-28,10,7,0.0,8.7,1,1,18,10:02 AM,09:16 PM,07:54 AM,05:53 PM,2,5,8,5,37,19,67,0.0,1021,10,10,202,24
2020-01-29,11,7,0.0,8.7,1,1,26,10:27 AM,10:14 PM,07:53 AM,05:54 PM,4,6,9,6,36,49,72,0.0,1014,11,10,198,23
2020-01-30,11,7,0.0,8.7,1,1,33,10:51 AM,11:11 PM,07:53 AM,05:56 PM,4,8,9,8,13,24,70,0.0,1013,11,10,270,9
2020-01-31,13,7,0.0,7.1,1,1,37,11:16 AM,No moonset,07:52 AM,05:57 PM,2,7,10,7,37,38,61,0.0,1007,13,10,231,22
2020-02-01,7,2,0.0,5.4,1,1,49,11:41 AM,12:09 AM,07:51 AM,05:58 PM,3,2,6,2,61,76,77,2.6,1012,7,7,352,44
2020-02-02,9,5,0.0,5.4,1,1,57,12:08 PM,01:08 AM,07:50 AM,05:59 PM,2,3,6,3,24,59,74,1.2,1019,9,8,272,17
