date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,22,18,0.0,8.5,1,1,80,03:58 PM,04:46 AM,07:56 AM,06:35 PM,14,21,24,21,20,49,62,0.2,1021,22,10,31,15
2020-01-08,23,17,0.0,10.8,1,1,88,04:46 PM,05:45 AM,07:56 AM,06:36 PM,16,23,23,21,38,26,67,0.1,1024,23,10,36,29
2020-01-09,23,17,0.0,5.4,1,1,95,05:41 PM,06:45 AM,07:56 AM,06:37 PM,18,24,24,22,60,78,76,1.7,1026,23,10,76,45
2020-01-10,24,16,0.0,5.4,1,1,100,06:40 PM,07:45 AM,07:56 AM,06:37 PM,20,25,25,23,66,79,80,1.5,1025,24,10,90,48
2020-01-11,25,25,0.0,10.1,1,1,100,07:45 PM,08:42 AM,07:56 AM,06:38 PM,22,27,27,25,61,51,82,0.3,1024,25,10,113,43
2020-01-12,25,19,0.0,10.1,1,1,83,08:50 PM,09:35 AM,07:57 AM,06:39 PM,21,26,26,24,51,53,81,0.5,1025,25,10,107,35
2020-01-13,25,25,0.0,8.5,1,1,76,09:56 PM,10:23 AM,07:57 AM,06:40 PM,21,27,27,25,47,68,79,1.0,1025,25,10,99,34
2020-01-14,24,20,0.0,10.8,1,1,69,10:59 PM,11:07 AM,07:57 AM,06:40 PM,19,26,26,23,41,48,76,0.5,1024,24,10,100,30
2020-01-15,24,23,0.0,10.8,1,1,61,No moonrise,11:48 AM,07:57 AM,06:41 PM,18,25,25,24,30,23,71,0.1,1023,24,10,88,22
2020-01-16,24,23,0.0,10.9,1,1,54,12:01 AM,12:27 PM,07:56 AM,06:42 PM,18,25,25,23,27,36,71,0.1,1023,24,10,63,20
2020-01-17,24,22,0.0,5.4,1,1,47,01:03 AM,01:06 PM,07:56 AM,06:43 PM,18,25,25,23,44,51,76,2.3,1024,24,10,55,33
2020-01-18,22,15,0.0,5.4,1,1,40,02:03 AM,01:46 PM,07:56 AM,06:43 PM,17,21,23,21,53,73,73,0.4,1025,22,10,96,41
2020-01-19,23,23,0.0,10.9,1,1,32,03:04 AM,02:27 PM,07:56 AM,06:44 PM,18,25,25,23,25,33,71,0.3,1020,23,10,147,18
2020-01-20,24,22,0.0,10.1,1,1,25,04:04 AM,03:12 PM,07:56 AM,06:45 PM,19,25,25,23,18,52,78,2.3,1018,24,10,278,13
2020-01-21,22,20,0.0,10.9,1,1,18,05:04 AM,04:01 PM,07:56 AM,06:46 PM,15,21,24,21,34,49,70,2.2,1016,22,10,319,26
2020-01-22,20,15,0.0,8.5,1,1,11,06:02 AM,04:53 PM,07:56 AM,06:46 PM,14,18,19,18,51,53,72,1.1,1014,20,10,313,42
2020-01-23,22,16,0.0,8.5,1,1,3,06:57 AM,05:48 PM,07:55 AM,06:47 PM,17,24,24,21,44,57,73,0.8,1015,22,10,66,33
2020-01-24,23,19,0.0,7.0,1,1,0,07:48 AM,06:43 PM,07:55 AM,06:48 PM,18,24,24,22,31,61,76,0.4,1017,23,10,70,23
2020-01-25,23,23,0.0,10.9,1,1,0,08:33 AM,07:38 PM,07:55 AM,06:49 PM,17,25,25,23,13,45,72,0.2,1017,23,10,49,10
2020-01-26,22,18,0.0,10.9,1,1,4,09:15 AM,08:32 PM,07:55 AM,06:49 PM,16,21,24,21,19,39,67,1.1,1017,22,10,12,14
2020-01-27,23,16,0.0,5.5,1,1,11,09:52 AM,09:25 PM,07:54 AM,06:50 PM,17,24,24,21,18,75,69,2.3,1015,23,10,152,13
2020-01-28,24,23,0.0,5.5,1,1,18,10:26 AM,10:16 PM,07:54 AM,06:51 PM,19,25,25,23,19,66,75,2.2,1013,24,10,135,14
2020-01-29,24,20,0.0,10.1,1,1,26,10:58 AM,11:06 PM,07:54 AM,06:52 PM,19,25,25,23,22,49,78,0.5,1014,24,10,152,16
2020-01-30,24,18,0.0,11.0,1,1,33,11:30 AM,11:56 PM,07:53 AM,06:52 PM,19,25,25,23,32,43,77,0.9,1014,24,10,289,23
2020-01-31,24,19,0.0,11.0,1,1,37,12:01 PM,No moonset,07:53 AM,06:53 PM,17,24,24,22,10,25,70,0.0,1017,24,10,172,8
2020-02-01,25,24,0.0,8.6,1,1,49,12:34 PM,12:46 AM,07:52 AM,06:54 PM,21,27,27,24,37,64,84,1.4,1016,25,10,204,24
2020-02-02,20,15,0.0,11.0,1,1,57,01:10 PM,01:39 AM,07:52 AM,06:55 PM,14,20,21,20,44,34,67,2.3,1018,20,10,342,35
2020-02-03,21,14,0.0,11.0,1,1,64,01:49 PM,02:32 AM,07:52 AM,06:55 PM,12,19,20,19,18,4,56,0.0,1021,21,10,61,13
2020-02-04,23,15,0.0,8.6,1,1,72,02:33 PM,03:29 AM,07:51 AM,06:56 PM,16,23,23,21,24,56,67,0.0,1021,23,10,133,18
2020-02-05,24,23,0.0,11.1,1,1,79,03:24 PM,04:27 AM,07:51 AM,06:57 PM,19,25,25,23,32,46,77,0.4,1019,24,10,124,23
2020-02-06,25,22,0.0,10.1,1,1,87,04:21 PM,05:27 AM,07:50 AM,06:57 PM,22,26,26,24,46,40,86,0.2,1014,25,10,154,32
2020-02-07,26,22,0.0,10.1,1,1,95,05:23 PM,06:25 AM,07:49 AM,06:58 PM,22,27,27,25,44,46,84,1.7,1015,26,10,217,29
2020-02-08,23,15,0.0,7.1,1,1,100,06:29 PM,07:21 AM,07:49 AM,06:59 PM,21,23,23,21,39,83,90,18.3,1021,23,9,50,27
2020-02-09,23,16,0.0,5.6,1,1,100,07:37 PM,08:12 AM,07:48 AM,06:59 PM,20,24,24,22,58,86,84,9.4,1024,23,10,57,40
2020-02-10,24,17,0.0,8.7,1,1,83,08:43 PM,08:59 AM,07:48 AM,07:00 PM,21,24,24,22,47,62,84,1.3,1023,24,10,93,33
2020-02-11,25,20,0.0,10.1,1,1,75,09:49 PM,09:43 AM,07:47 AM,07:01 PM,22,26,26,24,33,51,88,0.6,1021,25,10,115,22
2020-02-12,25,21,0.0,8.7,1,1,68,10:53 PM,10:24 AM,07:46 AM,07:01 PM,22,26,26,24,36,40,85,0.2,1020,25,10,118,25
2020-02-13,25,25,0.0,11.6,1,1,60,11:56 PM,11:04 AM,07:46 AM,07:02 PM,21,27,27,25,37,34,79,0.3,1020,25,10,147,26
2020-02-14,25,21,0.0,5.8,1,1,53,No moonrise,11:45 AM,07:45 AM,07:03 PM,21,26,26,24,23,66,81,1.1,1020,25,10,149,17
2020-02-15,25,24,0.0,11.6,1,1,45,12:58 AM,12:26 PM,07:44 AM,07:03 PM,20,26,26,24,17,32,74,0.1,1021,25,10,109,12
2020-02-16,24,24,0.0,11.6,1,1,38,01:59 AM,01:11 PM,07:44 AM,07:04 PM,20,26,26,24,26,27,77,0.1,1019,24,10,104,19
2020-02-17,24,20,0.0,8.7,1,1,30,03:00 AM,01:58 PM,07:43 AM,07:05 PM,21,26,26,24,23,48,80,0.1,1019,24,10,118,17
2020-02-18,25,21,0.0,7.3,1,1,22,03:58 AM,02:49 PM,07:42 AM,07:05 PM,21,27,27,24,41,66,82,0.8,1020,25,10,108,29
2020-02-19,25,25,0.0,8.7,1,1,15,04:53 AM,03:42 PM,07:41 AM,07:06 PM,21,27,27,25,31,65,79,1.1,1021,25,10,104,22
2020-02-20,25,23,0.0,11.6,1,1,7,05:44 AM,04:36 PM,07:41 AM,07:06 PM,21,26,26,24,27,42,80,0.3,1019,25,10,126,20
2020-02-21,25,23,0.0,5.8,1,1,0,06:30 AM,05:32 PM,07:40 AM,07:07 PM,21,26,26,24,33,62,80,0.7,1016,25,10,291,24
2020-02-22,22,22,0.0,10.2,1,1,0,07:13 AM,06:25 PM,07:39 AM,07:08 PM,17,22,25,22,50,56,75,1.4,1018,22,10,43,40
