date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,20,18,0.0,8.7,1,1,80,02:08 PM,02:56 AM,06:26 AM,05:01 PM,11,19,19,19,30,1,62,0.0,1020,20,10,332,22
2020-01-08,19,11,0.0,8.7,1,1,88,02:54 PM,03:54 AM,06:26 AM,05:02 PM,11,18,18,18,13,11,60,0.0,1018,19,10,162,9
2020-01-09,20,13,0.0,7.1,1,1,95,03:46 PM,04:54 AM,06:26 AM,05:03 PM,14,18,19,18,29,53,73,1.1,1014,20,9,158,21
2020-01-10,19,18,0.0,4.0,1,1,100,04:44 PM,05:55 AM,06:27 AM,05:03 PM,15,19,19,19,16,84,80,1.7,1010,19,10,317,12
2020-01-11,17,17,0.0,7.1,1,1,100,05:48 PM,06:53 AM,06:27 AM,05:04 PM,9,17,17,17,50,36,59,0.3,1013,17,10,305,38
2020-01-12,16,8,0.0,8.7,1,1,83,06:53 PM,07:47 AM,06:27 AM,05:05 PM,9,14,15,14,50,0,62,0.0,1020,16,10,312,39
2020-01-13,17,9,0.0,8.7,1,1,76,07:59 PM,08:36 AM,06:27 AM,05:06 PM,6,15,16,15,32,12,50,0.0,1020,17,10,298,24
2020-01-14,18,16,0.0,8.7,1,1,69,09:04 PM,09:22 AM,06:27 AM,05:06 PM,6,17,17,17,39,23,49,0.2,1019,18,10,309,29
2020-01-15,19,17,0.0,8.7,1,1,61,10:07 PM,10:03 AM,06:27 AM,05:07 PM,11,18,18,18,39,24,64,0.2,1023,19,10,257,28
2020-01-16,18,10,0.0,8.7,1,1,54,11:10 PM,10:41 AM,06:27 AM,05:08 PM,10,16,17,16,22,4,60,0.0,1024,18,10,312,15
2020-01-17,21,16,0.0,8.7,1,1,47,No moonrise,11:20 AM,06:27 AM,05:09 PM,12,19,20,19,10,4,62,0.0,1022,21,10,145,7
2020-01-18,20,13,0.0,8.7,1,1,40,12:11 AM,11:58 AM,06:26 AM,05:09 PM,13,18,19,18,35,5,68,0.0,1017,20,10,166,23
2020-01-19,21,19,0.0,8.7,1,1,32,01:12 AM,12:39 PM,06:26 AM,05:10 PM,12,20,20,20,28,23,63,0.0,1016,21,10,202,17
2020-01-20,20,19,0.0,8.7,1,1,25,02:13 AM,01:22 PM,06:26 AM,05:11 PM,14,19,19,19,42,2,72,0.0,1018,20,10,352,28
2020-01-21,19,19,0.0,8.7,1,1,18,03:14 AM,02:09 PM,06:26 AM,05:12 PM,12,19,19,19,24,2,63,0.0,1018,19,10,184,16
2020-01-22,21,18,0.0,8.7,1,1,11,04:13 AM,03:00 PM,06:26 AM,05:13 PM,12,19,19,19,34,25,63,0.0,1015,21,10,148,22
2020-01-23,16,9,0.0,4.1,1,1,3,05:09 AM,03:54 PM,06:25 AM,05:13 PM,11,14,15,14,36,63,71,0.9,1018,16,8,343,27
2020-01-24,16,12,0.0,8.7,1,1,0,06:01 AM,04:49 PM,06:25 AM,05:14 PM,7,16,16,16,27,2,56,0.0,1020,16,10,317,20
2020-01-25,19,16,0.0,8.7,1,1,0,06:48 AM,05:45 PM,06:25 AM,05:15 PM,7,17,17,17,22,1,51,0.0,1020,19,10,221,16
2020-01-26,15,10,0.0,8.7,1,1,4,07:31 AM,06:40 PM,06:25 AM,05:16 PM,7,12,14,12,53,10,60,0.0,1022,15,10,313,42
2020-01-27,16,12,0.0,8.7,1,1,11,08:08 AM,07:33 PM,06:24 AM,05:17 PM,9,15,15,15,49,1,64,0.0,1023,16,10,319,37
