date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,24,17,0.0,8.7,1,1,80,02:28 PM,03:07 AM,06:42 AM,05:27 PM,9,20,21,20,12,3,49,0.0,1015,24,10,309,10
2020-01-08,26,16,0.0,8.7,1,1,88,03:15 PM,04:04 AM,06:42 AM,05:28 PM,11,21,21,21,11,22,54,0.0,1014,26,10,170,8
2020-01-09,23,18,0.0,4.1,1,1,95,04:06 PM,05:03 AM,06:42 AM,05:28 PM,12,20,21,20,10,69,59,0.5,1014,23,10,76,7
2020-01-10,26,17,0.0,8.7,1,1,100,05:04 PM,06:03 AM,06:42 AM,05:29 PM,13,22,22,21,13,19,59,0.1,1014,26,10,327,10
2020-01-11,24,18,0.0,8.7,1,1,100,06:06 PM,07:02 AM,06:42 AM,05:30 PM,13,21,23,21,15,2,61,0.0,1015,24,10,321,13
2020-01-12,28,18,0.0,8.7,1,1,83,07:11 PM,07:57 AM,06:43 AM,05:30 PM,14,23,23,22,15,0,60,0.0,1013,28,10,316,13
2020-01-13,27,19,0.0,8.7,1,1,76,08:16 PM,08:48 AM,06:43 AM,05:31 PM,13,23,23,23,12,0,54,0.0,1011,27,10,292,10
2020-01-14,29,20,0.0,8.7,1,1,69,09:20 PM,09:35 AM,06:43 AM,05:32 PM,14,25,25,24,8,0,54,0.0,1012,29,10,303,7
2020-01-15,30,21,0.0,8.7,1,1,61,10:22 PM,10:17 AM,06:43 AM,05:33 PM,14,26,26,25,9,0,51,0.0,1013,30,10,235,7
2020-01-16,30,19,0.0,8.7,1,1,54,11:23 PM,10:58 AM,06:43 AM,05:33 PM,12,25,25,24,9,4,47,0.0,1013,30,10,249,7
2020-01-17,31,22,0.0,8.7,1,1,47,No moonrise,11:37 AM,06:43 AM,05:34 PM,14,27,27,26,10,2,49,0.0,1014,31,10,194,8
2020-01-18,30,23,0.0,8.7,1,1,40,12:23 AM,12:17 PM,06:43 AM,05:35 PM,14,27,27,26,10,5,49,0.0,1014,30,10,250,8
2020-01-19,29,21,0.0,8.7,1,1,32,01:23 AM,12:58 PM,06:42 AM,05:36 PM,13,26,26,24,15,12,50,0.0,1013,29,10,257,10
2020-01-20,26,18,0.0,5.6,1,1,25,02:23 AM,01:42 PM,06:42 AM,05:36 PM,11,22,22,22,16,37,51,0.4,1014,26,10,300,13
2020-01-21,25,16,0.0,8.7,1,1,18,03:23 AM,02:29 PM,06:42 AM,05:37 PM,6,20,21,20,14,32,41,0.0,1017,25,10,313,9
2020-01-22,28,18,0.0,8.7,1,1,11,04:22 AM,03:20 PM,06:42 AM,05:38 PM,7,22,22,22,11,3,39,0.0,1016,28,10,229,8
2020-01-23,24,16,0.0,7.2,1,1,3,05:18 AM,04:14 PM,06:42 AM,05:38 PM,8,21,21,21,9,28,42,0.0,1014,24,10,295,6
2020-01-24,26,19,0.0,8.7,1,1,0,06:11 AM,05:09 PM,06:42 AM,05:39 PM,7,22,22,22,12,2,40,0.0,1014,26,10,297,9
2020-01-25,27,18,0.0,8.7,1,1,0,06:59 AM,06:04 PM,06:41 AM,05:40 PM,8,23,23,22,8,0,42,0.0,1013,27,10,300,7
2020-01-26,26,18,0.0,8.7,1,1,4,07:43 AM,06:58 PM,06:41 AM,05:41 PM,10,23,23,22,10,0,47,0.0,1012,26,10,283,9
2020-01-27,25,17,0.0,8.7,1,1,11,08:22 AM,07:51 PM,06:41 AM,05:41 PM,10,21,22,21,11,2,49,0.0,1011,25,10,268,9
2020-01-28,27,16,0.0,8.7,1,1,18,08:58 AM,08:42 PM,06:41 AM,05:42 PM,10,23,23,22,6,5,49,0.0,1012,27,10,240,5
2020-01-29,28,17,0.0,8.7,1,1,26,09:32 AM,09:32 PM,06:40 AM,05:43 PM,11,23,23,22,12,20,50,0.0,1014,28,10,132,8
2020-01-30,26,19,0.0,4.1,1,1,33,10:04 AM,10:21 PM,06:40 AM,05:43 PM,14,23,23,22,7,63,59,1.5,1012,26,10,175,5
2020-01-31,27,18,0.0,7.2,1,1,37,10:36 AM,11:11 PM,06:40 AM,05:44 PM,12,24,24,23,16,35,54,0.0,1012,27,10,299,11
2020-02-01,27,19,0.0,8.7,1,1,49,11:09 AM,No moonset,06:39 AM,05:45 PM,9,24,24,23,12,0,41,0.0,1014,27,10,228,10
2020-02-02,25,17,0.0,8.7,1,1,57,11:44 AM,12:02 AM,06:39 AM,05:45 PM,6,21,21,21,15,8,39,0.0,1016,25,10,299,11
2020-02-03,26,17,0.0,8.7,1,1,64,12:21 PM,12:54 AM,06:38 AM,05:46 PM,5,22,22,22,11,0,35,0.0,1016,26,10,226,9
2020-02-04,28,17,0.0,8.7,1,1,72,01:04 PM,01:49 AM,06:38 AM,05:47 PM,7,22,22,22,12,1,38,0.0,1014,28,10,317,9
2020-02-05,27,18,0.0,8.7,1,1,79,01:51 PM,02:46 AM,06:37 AM,05:47 PM,6,22,22,22,12,23,36,0.0,1013,27,10,310,7
2020-02-06,27,17,0.0,8.7,1,1,87,02:45 PM,03:45 AM,06:37 AM,05:48 PM,7,22,22,22,12,14,39,0.0,1014,27,10,236,8
2020-02-07,27,17,0.0,8.7,1,1,95,03:46 PM,04:44 AM,06:36 AM,05:49 PM,6,22,22,22,12,17,37,0.0,1015,27,10,330,8
2020-02-08,28,19,0.0,8.7,1,1,100,04:50 PM,05:42 AM,06:36 AM,05:49 PM,3,23,23,23,19,34,27,0.0,1015,28,10,333,13
2020-02-09,28,20,0.0,8.7,1,1,100,05:57 PM,06:35 AM,06:35 AM,05:50 PM,6,24,24,23,18,29,32,0.0,1016,28,10,316,12
2020-02-10,28,17,0.0,8.7,1,1,83,07:03 PM,07:25 AM,06:35 AM,05:51 PM,5,22,22,23,17,3,33,0.0,1015,28,10,307,12
2020-02-11,28,18,0.0,8.7,1,1,75,08:08 PM,08:11 AM,06:34 AM,05:51 PM,7,24,24,23,13,0,35,0.0,1015,28,10,312,11
2020-02-12,30,18,0.0,8.7,1,1,68,09:12 PM,08:54 AM,06:34 AM,05:52 PM,7,24,24,24,15,0,35,0.0,1014,30,10,297,12
