date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,0,-2,0.1,1.9,1,1,80,02:31 PM,05:39 AM,09:27 AM,05:06 PM,-1,-4,-0,-4,16,92,97,0.2,1026,0,5,224,10
2020-01-08,-1,-9,0.0,3.9,1,1,88,03:03 PM,06:53 AM,09:26 AM,05:07 PM,-3,-7,-2,-7,27,75,91,2.0,1023,-1,8,231,18
2020-01-09,2,-5,0.0,2.0,1,1,95,03:46 PM,08:05 AM,09:25 AM,05:09 PM,0,-3,1,-3,25,93,95,1.4,1019,2,9,281,16
2020-01-10,2,-4,0.0,2.0,1,1,100,04:42 PM,09:09 AM,09:25 AM,05:10 PM,1,-2,1,-2,22,100,99,5.5,1014,2,3,210,13
2020-01-11,3,-5,0.4,2.0,1,1,100,05:52 PM,10:02 AM,09:24 AM,05:12 PM,1,-3,2,-3,26,69,91,5.3,1018,3,9,125,16
2020-01-12,2,-1,0.0,3.9,1,1,83,07:13 PM,10:43 AM,09:23 AM,05:13 PM,-1,-5,0,-5,36,72,87,0.0,1020,2,10,238,23
2020-01-13,2,-4,1.0,2.0,1,1,76,08:39 PM,11:15 AM,09:22 AM,05:15 PM,1,-3,1,-3,27,98,96,2.4,1016,2,7,265,17
2020-01-14,3,1,0.0,2.0,1,1,69,10:05 PM,11:40 AM,09:22 AM,05:16 PM,1,-2,2,-2,22,84,95,0.0,1021,3,5,211,13
2020-01-15,3,-4,0.0,3.9,1,1,61,11:31 PM,12:00 PM,09:21 AM,05:18 PM,-1,-4,1,-4,36,54,82,0.0,1021,3,10,211,23
2020-01-16,4,1,0.0,3.9,1,1,54,No moonrise,12:18 PM,09:20 AM,05:20 PM,0,-2,2,-2,30,59,84,0.0,1024,4,10,266,19
2020-01-17,4,-1,0.0,5.8,1,1,47,12:54 AM,12:36 PM,09:19 AM,05:22 PM,-1,-2,1,-2,19,21,88,0.0,1031,4,9,251,11
2020-01-18,1,-1,0.0,5.8,1,1,40,02:16 AM,12:55 PM,09:18 AM,05:23 PM,-4,-5,-0,-5,27,15,77,0.0,1025,1,10,202,17
2020-01-19,1,-2,0.0,2.0,1,1,32,03:39 AM,01:16 PM,09:16 AM,05:25 PM,-2,-4,-1,-4,14,62,91,0.0,1029,1,10,258,8
2020-01-20,1,-4,0.0,5.8,1,1,25,04:59 AM,01:42 PM,09:15 AM,05:27 PM,-1,-5,0,-5,28,62,90,0.0,1036,1,9,284,18
2020-01-21,5,-2,0.0,2.0,1,1,18,06:15 AM,02:15 PM,09:14 AM,05:29 PM,2,-2,3,-2,48,99,88,0.3,1023,5,10,277,30
2020-01-22,3,0,1.7,2.0,1,1,11,07:25 AM,02:57 PM,09:13 AM,05:31 PM,-1,-3,2,-3,42,87,82,4.3,1012,3,6,313,29
2020-01-23,1,-1,0.3,2.1,1,1,3,08:24 AM,03:50 PM,09:11 AM,05:32 PM,-4,-6,-0,-6,37,78,77,0.5,1021,1,7,313,25
2020-01-24,3,-1,0.0,2.1,1,1,0,09:11 AM,04:52 PM,09:10 AM,05:34 PM,0,-4,2,-4,41,100,88,0.2,1014,3,9,262,28
2020-01-25,3,0,0.0,2.1,1,1,0,09:48 AM,06:00 PM,09:09 AM,05:36 PM,-0,-3,2,-3,36,74,86,1.7,1012,3,9,286,23
2020-01-26,3,-0,0.0,2.1,1,1,4,10:15 AM,07:11 PM,09:07 AM,05:38 PM,-1,-3,1,-3,25,91,85,0.1,1018,3,10,260,17
2020-01-27,1,-1,0.2,2.1,1,1,11,10:37 AM,08:21 PM,09:06 AM,05:40 PM,-1,-3,0,-3,15,96,89,0.6,1015,1,8,227,11
2020-01-28,1,-6,0.1,2.1,1,1,18,10:54 AM,09:31 PM,09:04 AM,05:42 PM,-1,-4,-0,-4,18,89,91,0.3,1007,1,9,172,12
2020-01-29,2,-0,11.1,2.1,1,1,26,11:10 AM,10:39 PM,09:02 AM,05:44 PM,0,-3,1,-3,23,100,98,14.4,998,2,3,159,15
2020-01-30,1,-2,1.8,2.1,1,1,33,11:24 AM,11:48 PM,09:01 AM,05:46 PM,-1,-5,-0,-5,23,93,94,1.1,1002,1,7,300,15
2020-01-31,2,-2,1.8,3.3,1,1,37,11:38 AM,No moonset,08:59 AM,05:48 PM,1,-2,1,-2,16,100,98,3.1,998,2,6,169,10
2020-02-01,4,-3,0.0,3.3,1,1,49,11:53 AM,12:56 AM,08:57 AM,05:50 PM,2,-1,2,-1,20,98,97,3.5,1001,4,6,219,13
2020-02-02,6,3,0.0,3.4,1,1,57,12:10 PM,02:06 AM,08:56 AM,05:52 PM,2,0,5,0,39,93,83,6.8,994,6,8,265,26
2020-02-03,1,-1,0.1,5.2,1,1,64,12:31 PM,03:18 AM,08:54 AM,05:54 PM,-2,-5,1,-5,36,73,84,0.2,997,1,10,291,25
2020-02-04,1,-2,0.2,3.4,1,1,72,12:58 PM,04:30 AM,08:52 AM,05:56 PM,-4,-4,-1,-4,16,71,80,0.3,1001,1,9,116,11
2020-02-05,-2,-10,0.0,8.7,1,1,79,01:34 PM,05:43 AM,08:50 AM,05:58 PM,-11,-8,-3,-8,21,14,55,0.0,1016,-2,10,227,15
2020-02-06,2,-5,0.0,8.2,1,1,87,02:22 PM,06:50 AM,08:48 AM,06:00 PM,-5,-8,-1,-8,37,47,75,0.7,1012,2,9,322,25
2020-02-07,-3,-6,0.0,9.6,1,1,95,03:26 PM,07:49 AM,08:47 AM,06:02 PM,-12,-11,-5,-11,32,12,58,0.0,1023,-3,10,356,21
2020-02-08,-0,-4,2.5,4.8,1,1,100,04:43 PM,08:36 AM,08:45 AM,06:04 PM,-4,-7,-2,-7,25,91,85,2.8,1024,-0,4,291,17
2020-02-09,1,-3,0.0,9.6,1,1,100,06:09 PM,09:12 AM,08:43 AM,06:06 PM,-4,-6,-1,-6,30,22,80,0.0,1021,1,8,204,18
2020-02-10,4,-1,0.0,4.8,1,1,83,07:39 PM,09:41 AM,08:41 AM,06:08 PM,-1,-5,1,-5,51,71,82,3.6,995,4,9,201,32
2020-02-11,2,0,0.3,4.9,1,1,75,09:08 PM,10:03 AM,08:39 AM,06:10 PM,-0,-3,1,-3,26,91,91,0.7,989,2,8,211,17
2020-02-12,1,-1,0.9,4.9,1,1,68,10:35 PM,10:22 AM,08:37 AM,06:12 PM,-1,-5,0,-5,32,93,93,1.3,998,1,7,262,21
2020-02-13,2,-5,0.4,4.9,1,1,60,No moonrise,10:41 AM,08:35 AM,06:14 PM,-1,-5,0,-5,31,91,91,0.6,1008,2,8,258,21
2020-02-14,2,-2,0.0,8.3,1,1,53,12:02 AM,11:00 AM,08:33 AM,06:16 PM,-2,-3,-0,-3,16,63,89,0.0,1018,2,10,143,10
2020-02-15,3,-1,0.0,9.9,1,1,45,01:26 AM,11:21 AM,08:31 AM,06:18 PM,-2,-3,0,-3,14,21,85,0.0,1027,3,10,215,8
2020-02-16,4,-2,0.0,8.3,1,1,38,02:48 AM,11:46 AM,08:28 AM,06:20 PM,-2,-4,1,-4,41,46,79,0.3,1021,4,9,203,26
2020-02-17,9,3,0.0,6.6,1,1,30,04:07 AM,12:16 PM,08:26 AM,06:22 PM,2,2,6,2,40,65,76,0.6,1012,9,10,240,24
2020-02-18,8,3,0.0,10.0,1,1,22,05:19 AM,12:55 PM,08:24 AM,06:24 PM,2,1,5,1,27,63,83,1.8,1012,8,10,253,18
2020-02-19,3,-0,0.1,5.0,1,1,15,06:20 AM,01:44 PM,08:22 AM,06:26 PM,-0,-2,2,-2,27,86,83,0.2,1014,3,10,247,18
2020-02-20,5,0,0.1,8.3,1,1,7,07:10 AM,02:42 PM,08:20 AM,06:28 PM,0,-0,2,-0,15,74,87,0.2,1018,5,10,249,9
2020-02-21,5,-0,0.0,10.1,1,1,0,07:49 AM,03:48 PM,08:18 AM,06:30 PM,-2,-3,1,-3,24,28,81,0.0,1018,5,9,187,16
2020-02-22,5,1,0.3,10.0,1,1,0,08:18 AM,04:58 PM,08:15 AM,06:32 PM,-0,-2,3,-2,36,72,81,1.0,1017,5,9,212,25
2020-02-23,5,1,0.0,6.7,1,1,0,08:41 AM,06:08 PM,08:13 AM,06:34 PM,-1,-2,3,-2,38,72,77,1.0,1001,5,9,266,27
2020-02-24,5,-1,0.0,8.4,1,1,0,09:00 AM,07:18 PM,08:11 AM,06:36 PM,-2,-3,1,-3,29,53,78,0.2,1002,5,10,313,19
2020-02-25,2,-5,0.2,5.1,1,1,8,09:16 AM,08:27 PM,08:09 AM,06:38 PM,-1,-4,-0,-4,25,83,89,2.7,1001,2,8,189,16
2020-02-26,5,1,2.6,8.4,1,1,15,09:31 AM,09:36 PM,08:06 AM,06:40 PM,-0,0,3,0,19,67,80,6.9,992,5,9,231,13
2020-02-27,3,-1,3.1,5.2,1,1,23,09:44 AM,10:44 PM,08:04 AM,06:42 PM,-1,-2,1,-2,21,78,83,4.0,995,3,6,269,15
2020-02-28,2,-2,0.0,5.2,1,1,30,09:59 AM,11:53 PM,08:02 AM,06:44 PM,-4,-5,-0,-5,27,61,76,0.1,1003,2,10,272,20
2020-02-29,3,-4,0.3,6.8,1,1,38,10:14 AM,No moonset,08:00 AM,06:46 PM,-2,-4,0,-4,26,61,82,0.3,1010,3,9,240,17
