date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,7,3,0.0,3.0,1,1,80,02:18 PM,05:05 AM,08:44 AM,04:54 PM,4,2,6,2,31,81,90,0.2,1025,7,8,213,20
2020-01-08,11,9,0.0,3.0,1,1,88,02:53 PM,06:16 AM,08:43 AM,04:55 PM,9,8,10,8,31,98,94,2.0,1023,11,8,228,19
2020-01-09,12,10,0.0,3.0,1,1,95,03:39 PM,07:25 AM,08:43 AM,04:56 PM,9,8,11,8,41,96,89,6.3,1014,12,6,209,26
2020-01-10,8,5,0.0,3.1,1,1,100,04:36 PM,08:28 AM,08:42 AM,04:58 PM,5,5,8,5,24,75,83,5.3,1019,8,9,307,15
2020-01-11,6,3,0.0,6.8,1,1,100,05:46 PM,09:22 AM,08:42 AM,04:59 PM,2,0,4,0,30,32,85,0.0,1030,6,10,207,18
2020-01-12,10,3,0.0,3.2,1,1,83,07:05 PM,10:05 AM,08:41 AM,05:01 PM,4,2,6,2,42,70,88,0.6,1022,10,10,224,25
2020-01-13,8,3,0.0,5.1,1,1,76,08:26 PM,10:39 AM,08:40 AM,05:02 PM,5,3,6,3,36,71,88,0.2,1016,8,9,191,23
2020-01-14,10,2,0.0,3.2,1,1,69,09:49 PM,11:07 AM,08:40 AM,05:04 PM,6,5,9,5,61,100,77,3.8,1005,10,7,205,41
2020-01-15,11,6,0.0,6.9,1,1,61,11:11 PM,11:31 AM,08:39 AM,05:05 PM,5,6,9,6,51,41,73,1.5,1011,11,9,208,32
2020-01-16,10,5,0.0,8.7,1,1,54,No moonrise,11:52 AM,08:38 AM,05:07 PM,5,4,7,4,32,20,84,0.0,1022,10,10,173,18
2020-01-17,10,5,0.0,3.3,1,1,47,12:30 AM,12:13 PM,08:37 AM,05:08 PM,5,5,8,5,40,67,78,2.5,1015,10,10,215,25
2020-01-18,7,4,0.0,8.7,1,1,40,01:50 AM,12:35 PM,08:36 AM,05:10 PM,2,1,5,1,26,45,81,0.4,1026,7,10,274,17
2020-01-19,7,3,0.0,8.7,1,1,32,03:08 AM,01:00 PM,08:36 AM,05:11 PM,1,1,4,1,23,39,79,0.8,1039,7,10,127,14
2020-01-20,7,2,0.0,8.7,1,1,25,04:24 AM,01:30 PM,08:35 AM,05:13 PM,2,2,4,2,10,22,87,0.0,1047,7,10,69,6
2020-01-21,9,2,0.0,8.7,1,1,18,05:38 AM,02:06 PM,08:33 AM,05:15 PM,1,4,5,4,5,4,76,0.0,1042,9,10,270,4
2020-01-22,5,2,0.0,6.9,1,1,11,06:45 AM,02:51 PM,08:32 AM,05:16 PM,0,2,3,2,8,32,82,0.0,1037,5,9,50,5
2020-01-23,8,1,0.0,8.7,1,1,3,07:43 AM,03:45 PM,08:31 AM,05:18 PM,2,1,4,1,15,25,86,0.0,1031,8,9,61,10
2020-01-24,6,-2,0.0,8.7,1,1,0,08:30 AM,04:45 PM,08:30 AM,05:20 PM,-0,2,3,2,6,5,76,0.0,1024,6,10,223,5
2020-01-25,6,1,0.0,8.7,1,1,0,09:08 AM,05:51 PM,08:29 AM,05:21 PM,-1,1,3,1,11,15,78,0.0,1021,6,10,212,7
2020-01-26,8,2,0.0,8.7,1,1,4,09:38 AM,06:59 PM,08:28 AM,05:23 PM,3,1,5,1,30,49,86,0.0,1015,8,10,198,17
2020-01-27,9,6,0.0,3.4,1,1,11,10:02 AM,08:06 PM,08:26 AM,05:25 PM,6,5,8,5,38,100,86,7.2,1005,9,9,207,25
2020-01-28,6,4,0.0,5.2,1,1,18,10:22 AM,09:13 PM,08:25 AM,05:27 PM,1,1,6,1,42,62,71,3.8,996,6,9,262,29
2020-01-29,6,2,0.0,5.2,1,1,26,10:40 AM,10:18 PM,08:24 AM,05:28 PM,0,-0,4,-0,35,52,77,0.2,1009,6,10,265,22
2020-01-30,9,2,0.0,5.2,1,1,33,10:58 AM,11:24 PM,08:22 AM,05:30 PM,6,2,6,2,40,64,89,1.5,1009,9,9,201,25
2020-01-31,12,10,0.0,3.4,1,1,37,11:15 AM,No moonset,08:21 AM,05:32 PM,9,8,11,8,40,95,85,0.1,1009,12,10,235,27
2020-02-01,12,8,0.0,3.4,1,1,49,11:33 AM,12:29 AM,08:19 AM,05:34 PM,8,8,11,8,41,89,83,15.1,1006,12,8,251,27
2020-02-02,13,7,0.0,3.4,1,1,57,11:53 AM,01:37 AM,08:18 AM,05:35 PM,7,6,10,6,39,91,86,12.1,1010,13,9,246,25
2020-02-03,11,8,0.0,3.5,1,1,64,12:16 PM,02:45 AM,08:16 AM,05:37 PM,6,6,10,6,39,93,80,6.0,1013,11,10,262,25
2020-02-04,7,-3,0.0,3.5,1,1,72,12:47 PM,03:55 AM,08:15 AM,05:39 PM,2,1,5,1,38,88,77,7.9,1017,7,8,289,25
2020-02-05,9,3,0.0,8.7,1,1,79,01:26 PM,05:04 AM,08:13 AM,05:41 PM,4,5,6,5,9,49,84,0.2,1034,9,9,288,6
2020-02-06,11,3,0.0,8.7,1,1,87,02:17 PM,06:09 AM,08:12 AM,05:42 PM,3,5,6,5,8,16,78,0.0,1032,11,10,170,5
2020-02-07,11,3,0.0,8.7,1,1,95,03:21 PM,07:08 AM,08:10 AM,05:44 PM,1,3,6,3,20,2,70,0.0,1024,11,10,157,14
2020-02-08,10,5,0.0,3.5,1,1,100,04:36 PM,07:56 AM,08:08 AM,05:46 PM,5,4,7,4,32,83,86,3.8,1019,10,10,203,20
2020-02-09,12,5,0.0,3.5,1,1,100,05:59 PM,08:35 AM,08:07 AM,05:48 PM,6,5,9,5,71,85,78,7.9,1006,12,10,209,45
2020-02-10,9,-2,0.0,3.5,1,1,83,07:25 PM,09:06 AM,08:05 AM,05:49 PM,3,2,7,2,64,85,71,23.6,998,9,8,251,43
2020-02-11,7,3,0.0,7.0,1,1,75,08:50 PM,09:33 AM,08:03 AM,05:51 PM,-3,-1,5,-1,55,37,58,3.3,1007,7,10,265,34
2020-02-12,7,3,0.0,5.3,1,1,68,10:14 PM,09:56 AM,08:02 AM,05:53 PM,-1,-0,4,-0,39,54,68,0.5,1015,7,10,266,24
