date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,36,24,0.0,11.5,1,1,80,03:57 PM,03:48 AM,07:03 AM,06:49 PM,17,30,30,29,12,7,51,0.0,1009,36,10,227,9
2020-01-08,35,24,0.0,11.5,1,1,88,04:48 PM,04:40 AM,07:03 AM,06:49 PM,20,30,30,28,16,12,62,0.0,1010,35,10,210,11
2020-01-09,37,25,0.0,11.5,1,1,95,05:44 PM,05:37 AM,07:03 AM,06:49 PM,22,33,33,29,12,7,69,0.0,1010,37,10,136,9
2020-01-10,31,26,0.0,10.1,1,1,100,06:43 PM,06:35 AM,07:04 AM,06:50 PM,23,32,32,28,16,31,76,0.1,1012,31,10,197,12
2020-01-11,32,26,0.0,11.5,1,1,100,07:44 PM,07:35 AM,07:04 AM,06:50 PM,23,32,32,28,16,22,76,0.3,1012,32,10,217,13
2020-01-12,34,26,0.0,11.5,1,1,83,08:44 PM,08:33 AM,07:04 AM,06:51 PM,23,33,33,29,14,9,72,0.0,1011,34,10,195,11
2020-01-13,32,26,0.0,10.1,1,1,76,09:43 PM,09:29 AM,07:05 AM,06:51 PM,24,33,33,28,14,34,79,0.3,1009,32,9,185,11
2020-01-14,36,26,0.0,10.1,1,1,69,10:38 PM,10:21 AM,07:05 AM,06:52 PM,24,33,33,29,14,39,75,0.1,1009,36,10,229,10
2020-01-15,38,25,0.0,11.5,1,1,61,11:33 PM,11:11 AM,07:05 AM,06:52 PM,23,34,34,29,15,15,73,0.0,1009,38,10,220,11
2020-01-16,38,25,0.0,11.5,1,1,54,No moonrise,11:58 AM,07:06 AM,06:53 PM,23,34,34,29,13,22,74,0.0,1010,38,10,204,10
2020-01-17,37,25,0.0,11.5,1,1,47,12:25 AM,12:45 PM,07:06 AM,06:53 PM,23,32,32,29,14,10,74,0.0,1011,37,10,113,10
2020-01-18,36,25,0.0,11.5,1,1,40,01:18 AM,01:33 PM,07:06 AM,06:54 PM,23,32,32,29,12,24,71,0.0,1012,36,10,232,10
2020-01-19,37,25,0.0,11.5,1,1,32,02:10 AM,02:21 PM,07:06 AM,06:54 PM,23,33,33,30,11,14,70,0.1,1011,37,10,106,9
2020-01-20,34,26,0.0,11.5,1,1,25,03:04 AM,03:12 PM,07:06 AM,06:54 PM,22,33,33,29,12,2,66,0.0,1010,34,10,221,9
2020-01-21,37,25,0.0,11.5,1,1,18,03:59 AM,04:04 PM,07:07 AM,06:55 PM,20,32,32,29,12,6,62,0.0,1010,37,10,106,9
2020-01-22,39,25,0.0,11.5,1,1,11,04:54 AM,04:58 PM,07:07 AM,06:55 PM,20,32,32,30,12,3,61,0.0,1010,39,10,116,9
2020-01-23,38,25,0.0,11.5,1,1,3,05:49 AM,05:52 PM,07:07 AM,06:56 PM,23,33,33,30,11,2,70,0.0,1010,38,10,112,9
2020-01-24,37,24,0.0,11.5,1,1,0,06:42 AM,06:45 PM,07:07 AM,06:56 PM,21,32,32,29,12,7,66,0.0,1010,37,10,118,10
2020-01-25,34,23,0.0,11.5,1,1,0,07:32 AM,07:36 PM,07:07 AM,06:56 PM,10,28,28,28,13,1,39,0.0,1011,34,10,111,10
2020-01-26,38,22,0.0,11.5,1,1,4,08:19 AM,08:25 PM,07:07 AM,06:57 PM,10,29,29,29,12,0,38,0.0,1012,38,10,92,9
2020-01-27,38,24,0.0,11.5,1,1,11,09:03 AM,09:11 PM,07:07 AM,06:57 PM,20,31,31,29,11,0,61,0.0,1011,38,10,108,9
2020-01-28,39,23,0.0,11.5,1,1,18,09:44 AM,09:56 PM,07:08 AM,06:57 PM,21,31,31,28,13,4,68,0.0,1011,39,10,221,9
