date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,6,-4,0.5,7.1,1,1,80,02:26 PM,03:16 AM,06:53 AM,05:23 PM,-7,-0,1,-0,6,32,62,0.6,1016,6,8,129,4
2020-01-08,5,-3,2.8,5.6,1,1,88,03:10 PM,04:14 AM,06:53 AM,05:23 PM,-3,-0,1,-0,5,64,83,3.7,1017,5,8,119,4
2020-01-09,1,-3,12.2,4.0,1,1,95,04:01 PM,05:15 AM,06:53 AM,05:24 PM,-2,-2,-1,-2,5,85,97,14.3,1016,1,3,158,4
2020-01-10,7,-7,0.0,8.7,1,1,100,04:59 PM,06:15 AM,06:53 AM,05:25 PM,-6,-2,1,-2,9,16,71,0.0,1018,7,10,150,6
2020-01-11,8,-4,0.0,8.7,1,1,100,06:02 PM,07:14 AM,06:53 AM,05:26 PM,-10,1,3,1,10,3,49,0.0,1018,8,10,145,6
2020-01-12,12,-2,0.0,8.7,1,1,83,07:08 PM,08:08 AM,06:53 AM,05:26 PM,-9,4,6,4,10,2,44,0.0,1016,12,10,153,6
2020-01-13,11,-0,0.0,8.7,1,1,76,08:14 PM,08:57 AM,06:53 AM,05:27 PM,-5,4,6,4,8,6,55,0.0,1014,11,10,146,5
2020-01-14,10,-1,0.0,8.7,1,1,69,09:20 PM,09:42 AM,06:53 AM,05:28 PM,-3,3,4,3,7,13,67,0.0,1014,10,10,132,5
2020-01-15,9,-2,0.1,8.7,1,1,61,10:24 PM,10:23 AM,06:53 AM,05:29 PM,-4,2,3,2,7,23,66,0.1,1017,9,9,103,5
2020-01-16,10,-2,0.1,8.7,1,1,54,11:27 PM,11:02 AM,06:53 AM,05:30 PM,-4,2,3,2,7,28,68,0.1,1017,10,8,120,5
2020-01-17,8,-2,1.9,7.1,1,1,47,No moonrise,11:39 AM,06:53 AM,05:30 PM,-1,1,2,1,6,53,81,3.0,1018,8,9,100,4
2020-01-18,7,-3,0.5,5.6,1,1,40,12:29 AM,12:17 PM,06:53 AM,05:31 PM,-2,1,2,1,7,52,83,1.4,1018,7,8,131,4
2020-01-19,7,-5,0.5,7.1,1,1,32,01:31 AM,12:57 PM,06:53 AM,05:32 PM,-7,0,2,0,9,28,64,0.9,1017,7,9,136,5
2020-01-20,6,-6,1.5,7.2,1,1,25,02:32 AM,01:39 PM,06:53 AM,05:33 PM,-6,-2,0,-2,7,58,70,2.1,1017,6,9,112,5
2020-01-21,7,-5,1.6,8.7,1,1,18,03:34 AM,02:25 PM,06:52 AM,05:34 PM,-6,-1,1,-1,7,29,70,1.9,1018,7,8,116,4
2020-01-22,8,-5,1.0,7.2,1,1,11,04:33 AM,03:15 PM,06:52 AM,05:34 PM,-5,-0,1,-0,7,43,72,1.3,1017,8,8,114,5
2020-01-23,4,-5,2.9,5.6,1,1,3,05:30 AM,04:09 PM,06:52 AM,05:35 PM,-5,-2,-1,-2,6,66,79,3.5,1013,4,6,123,4
2020-01-24,6,-7,0.0,8.7,1,1,0,06:22 AM,05:04 PM,06:51 AM,05:36 PM,-10,-1,1,-1,9,8,57,0.0,1016,6,10,130,5
2020-01-25,8,-5,0.0,8.7,1,1,0,07:10 AM,06:00 PM,06:51 AM,05:37 PM,-14,-1,1,-1,11,5,40,0.0,1017,8,10,122,6
2020-01-26,6,-5,0.9,7.2,1,1,4,07:52 AM,06:56 PM,06:51 AM,05:38 PM,-7,-2,0,-2,8,34,66,1.2,1013,6,8,120,5
2020-01-27,5,-6,1.5,7.2,1,1,11,08:30 AM,07:50 PM,06:50 AM,05:38 PM,-6,-2,-0,-2,7,41,74,2.1,1011,5,8,125,5
2020-01-28,5,-6,0.9,7.2,1,1,18,09:05 AM,08:42 PM,06:50 AM,05:39 PM,-4,-1,0,-1,7,53,79,1.4,1012,5,7,124,5
2020-01-29,7,-4,0.9,7.2,1,1,26,09:37 AM,09:34 PM,06:50 AM,05:40 PM,-3,0,1,0,6,52,81,1.3,1016,7,6,118,4
2020-01-30,4,-4,3.7,5.6,1,1,33,10:08 AM,10:25 PM,06:49 AM,05:41 PM,-4,-2,-1,-2,7,76,83,4.3,1015,4,6,113,5
2020-01-31,7,-6,0.3,7.2,1,1,37,10:38 AM,11:16 PM,06:49 AM,05:42 PM,-4,-2,0,-2,7,41,76,0.9,1014,7,8,116,5
2020-02-01,6,-5,0.9,7.2,1,1,49,11:10 AM,No moonset,06:48 AM,05:42 PM,-4,0,1,0,6,52,76,1.4,1016,6,9,122,4
2020-02-02,6,-6,1.0,4.1,1,1,57,11:43 AM,12:08 AM,06:48 AM,05:43 PM,-6,-1,1,-1,7,72,70,1.4,1017,6,8,93,5
2020-02-03,7,-5,0.4,7.2,1,1,64,12:19 PM,01:02 AM,06:47 AM,05:44 PM,-8,-1,1,-1,9,29,61,0.6,1017,7,9,116,6
2020-02-04,7,-4,0.9,7.2,1,1,72,01:00 PM,01:59 AM,06:47 AM,05:45 PM,-4,-0,1,-0,6,45,72,1.5,1016,7,7,119,5
2020-02-05,4,-5,5.4,4.1,1,1,79,01:47 PM,02:57 AM,06:46 AM,05:45 PM,-4,-2,-1,-2,6,76,83,6.4,1014,4,6,117,4
2020-02-06,6,-6,1.5,7.2,1,1,87,02:40 PM,03:57 AM,06:45 AM,05:46 PM,-6,-3,-1,-3,8,33,71,1.8,1015,6,8,115,6
2020-02-07,7,-6,1.9,7.2,1,1,95,03:41 PM,04:56 AM,06:45 AM,05:47 PM,-5,-1,1,-1,7,58,72,2.3,1018,7,7,116,5
2020-02-08,7,-5,0.9,7.2,1,1,100,04:46 PM,05:53 AM,06:44 AM,05:48 PM,-5,-0,2,-0,6,46,74,1.2,1020,7,8,116,4
2020-02-09,7,-6,0.0,8.7,1,1,100,05:54 PM,06:45 AM,06:44 AM,05:48 PM,-10,-1,1,-1,9,10,57,0.0,1022,7,10,119,6
2020-02-10,8,-5,0.0,8.7,1,1,83,07:02 PM,07:34 AM,06:43 AM,05:49 PM,-10,0,2,0,10,13,50,0.1,1018,8,10,121,6
2020-02-11,9,-4,0.0,8.7,1,1,75,08:09 PM,08:17 AM,06:42 AM,05:50 PM,-5,1,3,1,8,17,65,0.0,1017,9,9,110,5
2020-02-12,12,-2,0.0,8.7,1,1,68,09:16 PM,08:58 AM,06:41 AM,05:51 PM,-2,4,6,4,8,16,65,0.0,1017,12,9,110,6
2020-02-13,13,-0,0.0,8.7,1,1,60,10:20 PM,09:38 AM,06:41 AM,05:51 PM,-0,5,6,5,8,20,69,0.0,1014,13,9,107,5
2020-02-14,8,0,0.1,8.7,1,1,53,11:24 PM,10:16 AM,06:40 AM,05:52 PM,1,4,4,4,6,37,80,0.1,1010,8,9,112,5
2020-02-15,10,1,0.1,8.7,1,1,45,No moonrise,10:56 AM,06:39 AM,05:53 PM,1,4,5,4,6,45,80,0.1,1013,10,10,118,5
2020-02-16,12,0,0.1,8.7,1,1,38,12:26 AM,11:38 AM,06:38 AM,05:53 PM,0,5,6,5,6,34,74,0.1,1016,12,9,110,5
2020-02-17,11,2,0.6,7.2,1,1,30,01:29 AM,12:23 PM,06:38 AM,05:54 PM,1,4,5,4,5,52,80,1.0,1016,11,8,122,4
2020-02-18,12,1,0.5,7.2,1,1,22,02:28 AM,01:12 PM,06:37 AM,05:55 PM,0,5,6,5,6,49,75,1.4,1016,12,8,114,5
2020-02-19,10,2,1.7,5.7,1,1,15,03:26 AM,02:04 PM,06:36 AM,05:55 PM,1,4,5,4,6,64,80,2.6,1018,10,7,119,4
2020-02-20,11,-0,0.2,7.2,1,1,7,04:18 AM,02:58 PM,06:35 AM,05:56 PM,1,4,4,4,6,47,78,0.4,1018,11,10,125,5
2020-02-21,12,0,0.3,7.2,1,1,0,05:07 AM,03:53 PM,06:34 AM,05:57 PM,1,5,6,5,6,47,76,0.7,1022,12,9,126,4
2020-02-22,8,1,4.6,4.2,1,1,0,05:51 AM,04:48 PM,06:33 AM,05:57 PM,0,3,4,3,5,61,79,9.4,1022,8,9,139,4
2020-02-23,10,-1,6.9,7.2,1,1,0,06:29 AM,05:43 PM,06:32 AM,05:58 PM,-0,4,4,4,6,61,77,8.8,1021,10,8,127,4
2020-02-24,9,-1,2.0,7.2,1,1,0,07:05 AM,06:36 PM,06:31 AM,05:59 PM,-0,2,3,2,6,57,81,3.2,1018,9,7,144,4
2020-02-25,8,-2,2.7,7.2,1,1,8,07:38 AM,07:28 PM,06:30 AM,05:59 PM,-2,1,2,1,7,43,74,4.6,1018,8,9,133,5
2020-02-26,4,-1,7.0,7.3,1,1,15,08:08 AM,08:19 PM,06:29 AM,06:00 PM,-1,0,1,0,4,80,87,8.2,1017,4,6,107,3
2020-02-27,10,-2,0.5,10.2,1,1,23,08:39 AM,09:10 PM,06:29 AM,06:01 PM,-3,3,4,3,8,40,69,0.8,1016,10,9,121,5
2020-02-28,12,-2,0.0,11.6,1,1,30,09:10 AM,10:02 PM,06:28 AM,06:01 PM,-7,4,6,4,10,8,51,0.0,1019,12,10,101,6
2020-02-29,13,-0,2.2,8.7,1,1,38,09:42 AM,10:54 PM,06:27 AM,06:02 PM,-3,5,6,5,8,31,62,2.7,1017,13,9,128,5
2020-03-01,11,-0,4.2,7.3,1,1,44,10:16 AM,11:49 PM,06:26 AM,06:02 PM,0,4,4,4,8,50,76,6.2,1016,11,9,132,5
2020-03-02,10,-1,4.6,5.9,1,1,51,10:54 AM,No moonset,06:25 AM,06:03 PM,0,3,4,3,7,76,80,8.1,1015,10,8,142,5
2020-03-03,9,-0,4.8,7.3,1,1,58,11:37 AM,12:44 AM,06:24 AM,06:03 PM,0,3,3,3,7,67,80,8.0,1013,9,9,133,5
2020-03-04,8,-1,0.8,8.8,1,1,65,12:26 PM,01:42 AM,06:23 AM,06:04 PM,-0,3,4,3,6,49,80,2.3,1014,8,9,137,5
2020-03-05,9,-2,0.8,10.2,1,1,73,01:22 PM,02:39 AM,06:22 AM,06:05 PM,-1,2,4,2,7,45,78,2.4,1015,9,9,134,5
2020-03-06,9,-2,1.2,10.2,1,1,80,02:23 PM,03:37 AM,06:20 AM,06:05 PM,-1,2,4,2,7,42,76,3.0,1016,9,9,122,5
2020-03-07,6,-2,2.5,8.8,1,1,87,03:29 PM,04:30 AM,06:19 AM,06:06 PM,-1,1,2,1,6,51,84,2.9,1016,6,8,149,4
2020-03-08,11,-2,0.6,10.2,1,1,95,04:37 PM,05:20 AM,06:18 AM,06:06 PM,-1,3,5,3,8,39,74,0.8,1014,11,9,119,6
2020-03-09,12,-1,0.0,8.8,1,1,100,05:46 PM,06:06 AM,06:17 AM,06:07 PM,1,4,5,4,7,46,75,0.5,1013,12,10,118,5
2020-03-10,9,1,0.5,8.8,1,1,100,06:54 PM,06:49 AM,06:16 AM,06:07 PM,2,5,5,5,5,54,80,1.7,1013,9,9,122,4
