date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,15,6,0.0,7.8,1,1,80,04:24 PM,03:10 AM,06:07 AM,07:11 PM,2,11,12,11,8,63,60,4.4,1013,15,10,157,6
2020-01-08,17,7,0.0,9.1,1,1,88,05:21 PM,03:57 AM,06:07 AM,07:11 PM,3,12,13,12,6,43,60,1.1,1013,17,10,229,5
2020-01-09,16,7,0.0,7.8,1,1,95,06:20 PM,04:50 AM,06:08 AM,07:11 PM,2,10,10,10,10,41,59,3.6,1013,16,10,127,7
2020-01-10,14,5,0.0,7.8,1,1,100,07:20 PM,05:48 AM,06:08 AM,07:11 PM,3,8,9,8,10,47,69,2.9,1014,14,10,152,7
2020-01-11,13,5,0.0,7.8,1,1,100,08:16 PM,06:49 AM,06:09 AM,07:12 PM,3,9,9,9,11,57,68,10.4,1015,13,9,67,7
2020-01-12,12,5,0.0,6.5,1,1,83,09:10 PM,07:52 AM,06:10 AM,07:12 PM,4,7,8,7,13,74,77,20.0,1016,12,9,100,9
2020-01-13,12,6,0.0,6.5,1,1,76,09:59 PM,08:55 AM,06:10 AM,07:12 PM,4,6,8,6,14,69,79,12.3,1016,12,9,38,11
2020-01-14,12,5,0.0,7.8,1,1,69,10:46 PM,09:56 AM,06:11 AM,07:12 PM,4,7,8,7,13,54,76,4.1,1014,12,10,61,9
2020-01-15,13,5,0.0,7.8,1,1,61,11:30 PM,10:54 AM,06:12 AM,07:12 PM,4,7,9,7,14,55,76,4.4,1014,13,10,51,10
2020-01-16,13,5,0.0,7.8,1,1,54,No moonrise,11:52 AM,06:12 AM,07:12 PM,3,7,9,7,17,57,71,0.8,1017,13,10,54,14
2020-01-17,13,6,0.0,7.8,1,1,47,12:12 AM,12:49 PM,06:13 AM,07:12 PM,2,6,9,6,17,63,67,3.6,1020,13,9,48,13
2020-01-18,13,5,0.0,7.8,1,1,40,12:55 AM,01:46 PM,06:13 AM,07:12 PM,3,7,8,7,13,52,71,2.9,1019,13,10,69,9
2020-01-19,13,5,0.0,7.8,1,1,32,01:40 AM,02:42 PM,06:14 AM,07:12 PM,4,8,9,8,12,51,73,6.7,1017,13,10,61,8
2020-01-20,14,6,0.0,9.0,1,1,25,02:26 AM,03:40 PM,06:15 AM,07:12 PM,4,9,9,9,9,53,71,9.1,1016,14,9,73,6
2020-01-21,14,7,0.0,6.5,1,1,18,03:15 AM,04:37 PM,06:15 AM,07:12 PM,5,9,10,9,9,77,75,9.8,1014,14,9,241,6
2020-01-22,12,6,0.0,7.8,1,1,11,04:07 AM,05:33 PM,06:16 AM,07:12 PM,5,6,8,6,14,72,81,13.7,1015,12,8,97,11
2020-01-23,15,6,0.0,10.3,1,1,3,05:01 AM,06:26 PM,06:16 AM,07:12 PM,3,8,9,8,13,43,67,1.8,1015,15,10,141,10
2020-01-24,14,6,0.0,6.5,1,1,0,05:55 AM,07:16 PM,06:17 AM,07:12 PM,4,8,9,8,12,64,71,2.0,1015,14,9,105,9
2020-01-25,16,5,0.0,9.0,1,1,0,06:49 AM,08:02 PM,06:17 AM,07:12 PM,3,9,10,9,15,37,65,0.4,1016,16,10,100,11
2020-01-26,15,5,0.0,9.0,1,1,4,07:41 AM,08:43 PM,06:18 AM,07:12 PM,3,9,10,9,12,38,67,3.8,1016,15,10,100,8
2020-01-27,15,6,0.0,7.7,1,1,11,08:31 AM,09:22 PM,06:19 AM,07:12 PM,4,9,10,9,11,49,69,8.0,1016,15,9,68,7
2020-01-28,12,6,0.0,6.5,1,1,18,09:20 AM,09:59 PM,06:19 AM,07:12 PM,5,8,9,8,11,83,77,16.3,1015,12,9,214,6
2020-01-29,13,4,0.0,7.7,1,1,26,10:07 AM,10:34 PM,06:20 AM,07:11 PM,4,8,8,8,8,66,76,7.0,1014,13,10,90,5
2020-01-30,12,6,0.0,6.5,1,1,33,10:54 AM,11:09 PM,06:20 AM,07:11 PM,5,8,9,8,11,81,78,15.4,1015,12,9,167,6
2020-01-31,11,6,0.0,6.5,1,1,37,11:41 AM,11:44 PM,06:21 AM,07:11 PM,5,7,8,7,9,66,81,6.9,1017,11,9,168,7
2020-02-01,13,5,0.0,7.7,1,1,49,12:28 PM,No moonset,06:21 AM,07:11 PM,5,8,9,8,12,56,78,15.5,1016,13,9,183,7
2020-02-02,13,6,0.0,6.4,1,1,57,01:18 PM,12:21 AM,06:22 AM,07:11 PM,5,9,9,9,8,78,77,13.6,1017,13,9,49,5
2020-02-03,11,6,0.0,9.0,1,1,64,02:10 PM,01:02 AM,06:22 AM,07:10 PM,5,6,8,6,10,73,82,17.3,1017,11,9,43,7
2020-02-04,14,5,0.0,7.7,1,1,72,03:05 PM,01:46 AM,06:23 AM,07:10 PM,5,9,9,9,8,66,74,11.3,1015,14,9,79,5
2020-02-05,13,6,0.0,6.4,1,1,79,04:02 PM,02:35 AM,06:23 AM,07:10 PM,5,7,9,7,11,74,77,11.5,1013,13,9,75,7
2020-02-06,13,5,0.0,7.7,1,1,87,05:01 PM,03:30 AM,06:24 AM,07:09 PM,5,9,9,9,9,66,77,14.2,1014,13,9,61,5
2020-02-07,12,3,0.0,6.4,1,1,95,06:00 PM,04:29 AM,06:24 AM,07:09 PM,6,8,9,8,9,80,80,22.4,1015,12,8,270,6
2020-02-08,11,6,0.0,6.4,1,1,100,06:56 PM,05:33 AM,06:25 AM,07:09 PM,5,7,8,7,7,73,84,28.0,1016,11,8,183,5
2020-02-09,11,5,0.0,6.4,1,1,100,07:48 PM,06:36 AM,06:25 AM,07:08 PM,4,7,8,7,10,74,80,14.1,1017,11,8,126,7
2020-02-10,12,5,0.0,6.4,1,1,83,08:37 PM,07:40 AM,06:25 AM,07:08 PM,4,6,8,6,13,72,79,3.5,1018,12,8,55,9
2020-02-11,9,1,0.0,6.4,1,1,75,09:24 PM,08:42 AM,06:26 AM,07:07 PM,4,4,6,4,12,70,86,17.9,1019,9,8,40,9
2020-02-12,10,4,0.0,6.4,1,1,68,10:09 PM,09:43 AM,06:26 AM,07:07 PM,4,5,6,5,10,77,86,10.2,1017,10,8,75,7
2020-02-13,13,4,0.0,7.7,1,1,60,10:53 PM,10:41 AM,06:27 AM,07:07 PM,5,7,8,7,14,66,80,6.2,1015,13,10,79,9
2020-02-14,12,5,0.0,6.4,1,1,53,11:38 PM,11:40 AM,06:27 AM,07:06 PM,5,7,8,7,11,80,78,17.5,1016,12,8,47,8
2020-02-15,15,5,0.0,7.7,1,1,45,No moonrise,12:38 PM,06:28 AM,07:06 PM,4,8,10,8,15,62,71,0.7,1015,15,10,58,11
2020-02-16,16,5,0.0,9.0,1,1,38,12:24 AM,01:36 PM,06:28 AM,07:05 PM,3,9,10,9,10,35,65,2.1,1014,16,10,65,7
2020-02-17,14,5,0.0,7.7,1,1,30,01:13 AM,02:33 PM,06:28 AM,07:05 PM,4,8,9,8,14,56,73,6.1,1014,14,9,61,9
2020-02-18,15,6,0.0,6.4,1,1,22,02:04 AM,03:29 PM,06:29 AM,07:04 PM,4,9,10,9,15,72,69,2.3,1015,15,10,50,10
2020-02-19,14,4,0.0,9.0,1,1,15,02:56 AM,04:22 PM,06:29 AM,07:03 PM,4,9,9,9,12,45,72,4.0,1014,14,10,105,7
2020-02-20,13,6,0.0,7.7,1,1,7,03:50 AM,05:12 PM,06:29 AM,07:03 PM,5,8,9,8,9,65,79,13.9,1015,13,9,96,6
2020-02-21,10,5,0.0,7.7,1,1,0,04:43 AM,05:58 PM,06:30 AM,07:02 PM,4,6,7,6,12,67,81,6.0,1018,10,10,71,9
2020-02-22,12,5,0.0,6.4,1,1,0,05:35 AM,06:41 PM,06:30 AM,07:02 PM,5,6,7,6,12,80,83,5.8,1018,12,10,66,9
2020-02-23,14,6,0.0,6.4,1,1,0,06:26 AM,07:21 PM,06:30 AM,07:01 PM,5,9,9,9,6,77,77,11.9,1016,14,8,174,4
2020-02-24,14,6,0.0,6.4,1,1,0,07:15 AM,07:58 PM,06:31 AM,07:01 PM,5,9,9,9,8,25,78,14.9,1013,14,9,109,5
2020-02-25,15,5,0.0,9.0,1,1,8,08:02 AM,08:33 PM,06:31 AM,07:00 PM,5,10,11,10,12,62,72,13.3,1013,15,9,301,8
2020-02-26,14,6,0.0,6.1,1,1,15,08:49 AM,09:08 PM,06:31 AM,06:59 PM,4,7,9,7,12,72,75,20.1,1015,14,9,60,9
2020-02-27,12,5,0.0,6.1,1,1,23,09:36 AM,09:43 PM,06:32 AM,06:59 PM,5,7,8,7,11,76,81,20.5,1018,12,8,78,8
2020-02-28,13,6,0.0,7.5,1,1,30,10:22 AM,10:19 PM,06:32 AM,06:58 PM,5,8,9,8,10,66,79,7.0,1017,13,9,82,7
2020-02-29,13,5,0.0,6.1,1,1,38,11:11 AM,10:57 PM,06:32 AM,06:57 PM,5,7,8,7,12,68,78,5.4,1019,13,10,59,9
2020-03-01,11,3,0.0,6.1,1,1,44,12:01 PM,11:39 PM,06:32 AM,06:57 PM,3,6,8,6,12,65,77,1.0,1020,11,10,96,9
2020-03-02,13,4,0.0,8.9,1,1,51,12:53 PM,No moonset,06:33 AM,06:56 PM,3,8,8,8,8,44,72,6.0,1018,13,10,102,5
2020-03-03,13,6,0.0,6.1,1,1,58,01:48 PM,12:24 AM,06:33 AM,06:55 PM,4,7,8,7,11,71,77,7.1,1017,13,10,79,7
2020-03-04,13,5,0.0,6.1,1,1,65,02:45 PM,01:15 AM,06:33 AM,06:55 PM,4,7,8,7,12,73,76,6.4,1018,13,10,82,9
2020-03-05,13,4,0.0,8.9,1,1,73,03:42 PM,02:11 AM,06:33 AM,06:54 PM,3,7,8,7,12,47,74,4.4,1019,13,10,95,9
2020-03-06,12,5,0.0,6.1,1,1,80,04:38 PM,03:11 AM,06:34 AM,06:53 PM,4,7,8,7,12,66,77,9.8,1018,12,9,114,8
2020-03-07,14,3,0.0,8.8,1,1,87,05:33 PM,04:14 AM,06:34 AM,06:53 PM,3,9,10,9,13,41,71,1.0,1016,14,10,122,9
2020-03-08,15,3,0.0,8.8,1,1,95,06:23 PM,05:18 AM,06:34 AM,06:52 PM,1,8,9,8,11,34,61,0.8,1016,15,10,107,7
2020-03-09,13,4,0.0,7.5,1,1,100,07:12 PM,06:21 AM,06:34 AM,06:51 PM,2,7,9,7,13,46,69,2.7,1019,13,10,71,9
