date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,2,-9,0.0,8.7,1,1,80,01:44 PM,03:45 AM,07:21 AM,04:25 PM,-8,-5,-4,-5,5,9,76,0.0,1029,2,10,266,3
2020-01-08,3,-8,0.0,8.7,1,1,88,02:22 PM,04:51 AM,07:21 AM,04:26 PM,-6,-4,-3,-4,4,8,82,0.0,1032,3,9,127,2
2020-01-09,6,-4,0.0,8.7,1,1,95,03:11 PM,05:57 AM,07:20 AM,04:27 PM,-4,0,1,0,7,13,72,0.0,1029,6,10,189,3
2020-01-10,9,0,0.0,8.7,1,1,100,04:08 PM,06:59 AM,07:20 AM,04:28 PM,-3,2,3,2,7,5,68,0.0,1024,9,10,246,4
2020-01-11,4,-1,0.4,3.4,1,1,100,05:16 PM,07:55 AM,07:20 AM,04:29 PM,-1,0,1,0,5,73,90,0.8,1029,4,7,13,3
2020-01-12,3,-7,0.1,8.7,1,1,83,06:28 PM,08:42 AM,07:19 AM,04:30 PM,-2,-2,-1,-2,5,40,93,0.1,1030,3,6,75,4
2020-01-13,7,-1,0.0,8.7,1,1,76,07:45 PM,09:23 AM,07:19 AM,04:31 PM,-0,1,2,1,6,4,85,0.0,1027,7,10,217,4
2020-01-14,6,-2,0.0,8.7,1,1,69,09:00 PM,09:57 AM,07:19 AM,04:32 PM,1,1,2,1,7,10,90,0.0,1026,6,9,212,4
2020-01-15,9,0,0.0,8.7,1,1,61,10:15 PM,10:27 AM,07:18 AM,04:34 PM,1,3,4,3,7,2,81,0.0,1028,9,10,185,4
2020-01-16,8,1,0.0,8.7,1,1,54,11:29 PM,10:55 AM,07:18 AM,04:35 PM,-1,3,3,3,3,0,75,0.0,1030,8,10,131,3
2020-01-17,9,-0,0.0,8.7,1,1,47,No moonrise,11:22 AM,07:17 AM,04:36 PM,-1,2,3,2,7,0,75,0.0,1026,9,10,169,5
2020-01-18,6,-1,0.0,8.7,1,1,40,12:41 AM,11:50 AM,07:16 AM,04:37 PM,-4,1,2,1,6,24,69,0.0,1024,6,10,309,4
2020-01-19,0,-3,4.4,3.5,1,1,32,01:53 AM,12:21 PM,07:16 AM,04:39 PM,-2,-3,-2,-3,5,99,94,5.5,1028,0,3,348,5
2020-01-20,-1,-5,0.0,5.2,1,1,25,03:04 AM,12:56 PM,07:15 AM,04:40 PM,-5,-5,-3,-5,5,66,88,0.1,1042,-1,9,28,5
2020-01-21,6,-5,0.0,8.7,1,1,18,04:12 AM,01:37 PM,07:14 AM,04:41 PM,-4,-0,0,-0,4,9,77,0.0,1043,6,10,77,3
2020-01-22,8,0,0.0,3.5,1,1,11,05:16 AM,02:23 PM,07:14 AM,04:43 PM,-7,3,3,3,7,40,48,0.0,1033,8,10,207,4
2020-01-23,6,-2,0.0,8.7,1,1,3,06:13 AM,03:17 PM,07:13 AM,04:44 PM,-3,1,2,1,5,3,74,0.0,1033,6,10,30,4
2020-01-24,8,-0,0.0,8.7,1,1,0,07:03 AM,04:15 PM,07:12 AM,04:45 PM,-5,1,3,1,12,5,60,0.0,1029,8,10,204,7
2020-01-25,8,1,0.0,7.0,1,1,0,07:45 AM,05:18 PM,07:11 AM,04:47 PM,2,2,4,2,9,47,90,0.0,1026,8,7,197,6
2020-01-26,6,2,0.0,3.5,1,1,4,08:19 AM,06:20 PM,07:10 AM,04:48 PM,3,3,4,3,6,77,95,18.1,1022,6,7,150,4
2020-01-27,5,2,0.0,3.5,1,1,11,08:49 AM,07:22 PM,07:09 AM,04:49 PM,3,3,3,3,4,81,97,11.2,1018,5,4,313,3
2020-01-28,6,0,0.0,8.7,1,1,18,09:15 AM,08:23 PM,07:08 AM,04:51 PM,2,1,3,1,14,45,90,0.2,1013,6,8,198,10
2020-01-29,7,-1,7.1,7.0,1,1,26,09:38 AM,09:24 PM,07:07 AM,04:52 PM,2,1,3,1,8,73,93,12.7,1011,7,6,246,6
2020-01-30,4,-2,0.1,7.0,1,1,33,10:00 AM,10:23 PM,07:06 AM,04:53 PM,-3,-1,0,-1,7,43,79,0.1,1021,4,9,260,4
2020-01-31,8,-1,0.0,8.7,1,1,37,10:22 AM,11:24 PM,07:05 AM,04:55 PM,-1,0,3,0,14,12,76,0.0,1020,8,10,211,8
2020-02-01,9,2,0.0,8.7,1,1,49,10:45 AM,No moonset,07:04 AM,04:56 PM,3,3,5,3,9,39,92,0.0,1019,9,8,212,6
2020-02-02,11,4,0.0,7.0,1,1,57,11:10 AM,12:24 AM,07:03 AM,04:58 PM,5,5,6,5,11,54,91,0.0,1019,11,6,205,7
2020-02-03,11,4,0.0,8.7,1,1,64,11:40 AM,01:28 AM,07:02 AM,04:59 PM,6,6,7,6,9,56,92,0.4,1017,11,5,219,6
2020-02-04,9,-1,16.6,5.4,1,1,72,12:14 PM,02:32 AM,07:01 AM,05:00 PM,3,2,4,2,14,73,94,27.8,1006,9,4,244,11
2020-02-05,-1,-5,14.5,3.8,1,1,79,12:57 PM,03:37 AM,07:00 AM,05:02 PM,-3,-9,-2,-9,30,85,93,40.3,1008,-1,1,353,26
2020-02-06,-2,-10,1.4,8.7,1,1,87,01:49 PM,04:40 AM,06:58 AM,05:03 PM,-7,-10,-5,-10,15,52,83,2.0,1024,-2,7,236,12
2020-02-07,0,-5,0.8,3.9,1,1,95,02:52 PM,05:39 AM,06:57 AM,05:05 PM,-4,-4,-3,-4,5,94,94,1.1,1027,0,5,312,4
2020-02-08,6,-6,0.0,8.7,1,1,100,04:03 PM,06:31 AM,06:56 AM,05:06 PM,-2,-1,-0,-1,4,19,90,0.0,1030,6,8,132,3
2020-02-09,7,-1,0.0,8.7,1,1,100,05:20 PM,07:16 AM,06:55 AM,05:07 PM,-1,-0,2,-0,11,9,81,0.0,1030,7,10,216,6
2020-02-10,6,-1,0.0,8.7,1,1,83,06:38 PM,07:53 AM,06:53 AM,05:09 PM,1,-1,3,-1,19,41,91,0.1,1020,6,9,206,13
2020-02-11,9,3,0.0,7.1,1,1,75,07:57 PM,08:26 AM,06:52 AM,05:10 PM,4,3,5,3,14,59,93,0.2,1012,9,4,195,9
2020-02-12,3,-1,0.9,4.0,1,1,68,09:14 PM,08:56 AM,06:51 AM,05:11 PM,0,-0,2,-0,8,65,92,1.3,1019,3,6,97,6
2020-02-13,8,-1,0.0,8.7,1,1,60,10:29 PM,09:24 AM,06:49 AM,05:13 PM,-1,1,3,1,11,14,78,0.0,1023,8,10,180,6
2020-02-14,6,2,6.1,4.0,1,1,53,11:44 PM,09:53 AM,06:48 AM,05:14 PM,2,1,3,1,12,89,93,14.7,1017,6,5,180,9
2020-02-15,5,0,2.4,4.0,1,1,45,No moonrise,10:23 AM,06:46 AM,05:16 PM,1,1,2,1,7,68,90,2.6,1028,5,8,153,5
2020-02-16,13,0,0.0,8.7,1,1,38,12:56 AM,10:57 AM,06:45 AM,05:17 PM,0,5,6,5,7,2,71,0.0,1029,13,10,223,5
2020-02-17,14,3,0.0,8.7,1,1,30,02:05 AM,11:36 AM,06:43 AM,05:18 PM,-1,7,8,7,11,28,56,0.0,1025,14,10,215,6
2020-02-18,8,4,0.0,5.6,1,1,22,03:11 AM,12:20 PM,06:42 AM,05:20 PM,2,5,6,5,6,57,79,0.3,1024,8,7,131,5
2020-02-19,7,3,0.0,5.6,1,1,15,04:09 AM,01:11 PM,06:40 AM,05:21 PM,3,4,4,4,5,78,89,1.2,1020,7,7,126,4
2020-02-20,2,-2,11.1,4.1,1,1,7,05:00 AM,02:08 PM,06:39 AM,05:22 PM,-1,-3,0,-3,10,83,91,15.2,1023,2,6,120,9
2020-02-21,8,-3,0.0,8.7,1,1,0,05:44 AM,03:08 PM,06:37 AM,05:24 PM,-3,1,2,1,7,29,72,0.1,1026,8,10,196,5
2020-02-22,7,-3,0.0,8.7,1,1,0,06:20 AM,04:10 PM,06:36 AM,05:25 PM,-4,-0,2,-0,6,34,66,0.0,1032,7,10,325,5
2020-02-23,14,2,0.0,8.7,1,1,0,06:51 AM,05:12 PM,06:34 AM,05:26 PM,-2,6,7,6,9,23,53,0.0,1025,14,10,239,5
2020-02-24,8,3,0.0,8.7,1,1,0,07:18 AM,06:13 PM,06:32 AM,05:28 PM,1,4,5,4,9,32,78,0.0,1022,8,10,249,6
2020-02-25,13,2,0.0,7.2,1,1,8,07:42 AM,07:14 PM,06:31 AM,05:29 PM,4,5,7,5,14,38,79,0.0,1013,13,10,210,9
2020-02-26,9,3,0.0,4.1,1,1,15,08:04 AM,08:14 PM,06:29 AM,05:30 PM,4,4,7,4,17,80,84,5.7,1000,9,9,212,14
2020-02-27,1,-7,25.7,4.1,1,1,23,08:25 AM,09:14 PM,06:28 AM,05:32 PM,-2,-4,-1,-4,12,90,94,29.0,1008,1,5,301,9
2020-02-28,2,-3,14.0,4.2,1,1,30,08:48 AM,10:14 PM,06:26 AM,05:33 PM,-2,-4,-0,-4,17,76,90,17.1,1013,2,7,333,12
2020-02-29,5,-4,0.0,7.2,1,1,38,09:12 AM,11:16 PM,06:24 AM,05:34 PM,-3,-2,-0,-2,11,31,81,0.0,1020,5,9,187,7
2020-03-01,6,-2,0.0,4.2,1,1,44,09:39 AM,No moonset,06:23 AM,05:36 PM,1,-0,3,-0,17,86,85,1.3,1013,6,9,189,11
2020-03-02,10,3,0.0,8.7,1,1,51,10:10 AM,12:18 AM,06:21 AM,05:37 PM,5,4,7,4,20,46,89,10.7,1005,10,9,195,14
2020-03-03,9,3,0.0,4.2,1,1,58,10:48 AM,01:22 AM,06:19 AM,05:38 PM,5,4,7,4,19,74,91,38.0,1002,9,7,185,14
2020-03-04,3,1,11.0,4.2,1,1,65,11:34 AM,02:24 AM,06:17 AM,05:40 PM,2,1,2,1,5,100,97,14.2,1009,3,4,333,4
2020-03-05,9,-1,0.3,8.7,1,1,73,12:30 PM,03:24 AM,06:16 AM,05:41 PM,-1,3,3,3,5,28,76,0.2,1011,9,8,168,4
2020-03-06,8,2,0.0,5.7,1,1,80,01:36 PM,04:18 AM,06:14 AM,05:42 PM,3,2,5,2,13,58,87,4.1,1003,8,9,181,10
2020-03-07,3,-4,7.1,4.2,1,1,87,02:50 PM,05:05 AM,06:12 AM,05:43 PM,2,1,2,1,7,87,97,12.4,1010,3,4,339,6
2020-03-08,2,-1,7.6,4.3,1,1,95,04:08 PM,05:46 AM,06:11 AM,05:45 PM,0,-1,1,-1,7,99,96,9.6,1019,2,4,120,6
2020-03-09,6,-2,0.8,4.3,1,1,100,05:28 PM,06:21 AM,06:09 AM,05:46 PM,1,1,2,1,5,72,91,1.0,1015,6,6,170,4
2020-03-10,5,-3,0.3,5.8,1,1,100,06:48 PM,06:52 AM,06:07 AM,05:47 PM,1,1,2,1,5,79,89,0.8,1017,5,9,336,4
2020-03-11,12,1,0.0,8.7,1,1,84,08:07 PM,07:22 AM,06:05 AM,05:48 PM,3,6,6,6,5,32,82,0.0,1020,12,9,229,3
2020-03-12,17,6,0.0,8.7,1,1,76,09:25 PM,07:51 AM,06:04 AM,05:50 PM,6,11,12,11,13,7,76,0.0,1020,17,10,209,7
2020-03-13,17,7,0.0,8.7,1,1,69,10:41 PM,08:21 AM,06:02 AM,05:51 PM,6,11,12,11,10,40,74,0.1,1016,17,10,187,7
2020-03-14,7,3,0.0,5.8,1,1,62,11:55 PM,08:55 AM,06:00 AM,05:52 PM,2,3,5,3,9,100,86,0.6,1019,7,8,42,8
2020-03-15,5,-0,2.6,7.4,1,1,55,No moonrise,09:33 AM,05:58 AM,05:53 PM,-0,-0,2,-0,10,65,84,3.1,1023,5,6,41,9
2020-03-16,15,-0,0.0,11.6,1,1,47,01:04 AM,10:16 AM,05:57 AM,05:54 PM,-0,7,8,7,6,4,67,0.0,1027,15,10,163,5
