date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,25,19,0.0,9.4,1,1,80,03:59 PM,02:47 AM,05:47 AM,06:48 PM,19,23,23,22,16,80,86,18.0,1013,25,8,329,10
2020-01-08,26,20,0.0,10.7,1,1,88,04:56 PM,03:35 AM,05:48 AM,06:49 PM,20,24,24,23,9,66,84,22.4,1013,26,8,328,6
2020-01-09,28,20,0.0,9.4,1,1,95,05:55 PM,04:27 AM,05:49 AM,06:49 PM,19,25,25,24,6,71,78,7.7,1013,28,9,316,4
2020-01-10,29,20,0.0,10.7,1,1,100,06:54 PM,05:25 AM,05:49 AM,06:49 PM,19,25,25,24,10,58,78,3.6,1012,29,10,67,7
2020-01-11,28,20,0.0,13.0,1,1,100,07:51 PM,06:26 AM,05:50 AM,06:49 PM,18,25,25,24,12,11,71,0.0,1012,28,10,40,9
2020-01-12,29,19,0.0,13.0,1,1,83,08:45 PM,07:29 AM,05:50 AM,06:49 PM,17,25,25,24,9,24,67,0.2,1013,29,10,111,6
2020-01-13,28,20,0.0,11.9,1,1,76,09:35 PM,08:31 AM,05:51 AM,06:49 PM,17,25,25,24,7,43,68,0.9,1013,28,10,37,5
2020-01-14,29,21,0.0,13.0,1,1,69,10:22 PM,09:32 AM,05:52 AM,06:50 PM,17,25,25,24,9,36,65,0.5,1013,29,10,82,6
2020-01-15,30,21,0.0,13.0,1,1,61,11:06 PM,10:30 AM,05:52 AM,06:50 PM,18,26,26,25,11,21,67,0.3,1012,30,10,45,8
2020-01-16,29,20,0.0,13.0,1,1,54,11:49 PM,11:28 AM,05:53 AM,06:50 PM,18,26,26,25,10,30,66,2.5,1014,29,10,127,7
2020-01-17,26,20,0.0,8.1,1,1,47,No moonrise,12:24 PM,05:53 AM,06:50 PM,19,24,24,23,13,73,80,33.1,1015,26,7,135,7
2020-01-18,27,19,0.0,10.7,1,1,40,12:32 AM,01:21 PM,05:54 AM,06:50 PM,18,24,24,23,9,52,74,9.1,1014,27,9,117,6
2020-01-19,27,20,0.0,11.9,1,1,32,01:17 AM,02:17 PM,05:54 AM,06:50 PM,19,25,25,24,10,53,77,9.7,1013,27,9,41,7
2020-01-20,27,21,0.0,9.4,1,1,25,02:03 AM,03:15 PM,05:55 AM,06:50 PM,19,25,25,23,11,62,75,7.6,1011,27,10,347,8
2020-01-21,27,20,0.0,10.7,1,1,18,02:53 AM,04:12 PM,05:56 AM,06:50 PM,19,24,24,23,22,50,81,9.9,1009,27,9,299,15
2020-01-22,21,19,0.0,8.1,1,1,11,03:45 AM,05:08 PM,05:56 AM,06:50 PM,18,20,20,20,26,91,90,8.0,1009,21,10,317,19
2020-01-23,22,19,0.0,8.1,1,1,3,04:38 AM,06:01 PM,05:57 AM,06:50 PM,18,20,20,20,24,96,91,2.2,1009,22,9,331,18
2020-01-24,20,19,0.0,8.1,1,1,0,05:33 AM,06:51 PM,05:57 AM,06:50 PM,18,19,19,19,33,98,93,13.6,1009,20,9,328,23
2020-01-25,20,13,0.0,8.1,1,1,0,06:26 AM,07:37 PM,05:58 AM,06:50 PM,18,18,19,18,30,94,94,19.1,1011,20,7,319,21
2020-01-26,25,19,0.0,9.4,1,1,4,07:19 AM,08:19 PM,05:58 AM,06:50 PM,19,21,22,21,22,80,88,3.3,1012,25,10,306,16
2020-01-27,24,19,0.0,10.6,1,1,11,08:08 AM,08:59 PM,05:59 AM,06:50 PM,19,21,22,21,21,63,87,11.5,1013,24,9,324,13
2020-01-28,23,18,0.0,11.9,1,1,18,08:57 AM,09:36 PM,05:59 AM,06:49 PM,18,20,20,20,19,58,88,0.3,1014,23,8,321,14
2020-01-29,27,19,0.0,9.1,1,1,26,09:44 AM,10:11 PM,06:00 AM,06:49 PM,18,24,24,22,7,68,79,7.6,1014,27,10,15,5
2020-01-30,28,20,0.0,11.8,1,1,33,10:30 AM,10:46 PM,06:00 AM,06:49 PM,19,24,24,23,9,55,77,2.5,1015,28,10,69,7
2020-01-31,28,20,0.0,8.9,1,1,37,11:17 AM,11:22 PM,06:01 AM,06:49 PM,19,25,25,24,10,50,75,3.2,1015,28,10,76,7
2020-02-01,28,20,0.0,10.3,1,1,49,12:04 PM,11:59 PM,06:01 AM,06:49 PM,18,25,25,24,11,39,71,0.3,1014,28,10,31,8
2020-02-02,29,20,0.0,8.9,1,1,57,12:53 PM,No moonset,06:02 AM,06:48 PM,18,25,25,24,8,41,69,0.8,1014,29,10,64,6
2020-02-03,28,20,0.0,8.9,1,1,64,01:45 PM,12:39 AM,06:02 AM,06:48 PM,18,25,25,24,8,44,71,1.7,1013,28,10,71,6
2020-02-04,27,19,0.0,8.9,1,1,72,02:39 PM,01:24 AM,06:03 AM,06:48 PM,18,24,24,23,12,52,76,2.2,1013,27,10,319,8
2020-02-05,27,19,0.0,8.9,1,1,79,03:37 PM,02:12 AM,06:03 AM,06:48 PM,19,24,24,23,10,50,78,13.9,1013,27,9,303,7
