date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,30,23,0.0,10.2,1,1,80,03:14 PM,03:01 AM,06:30 AM,06:22 PM,24,30,30,27,14,52,83,1.6,1010,30,10,225,10
2020-01-08,29,23,0.0,10.2,1,1,88,04:05 PM,03:52 AM,06:31 AM,06:22 PM,24,31,31,27,16,45,82,3.3,1009,29,10,138,11
2020-01-09,29,26,0.0,11.6,1,1,95,05:00 PM,04:47 AM,06:31 AM,06:23 PM,24,31,31,27,18,45,82,0.2,1008,29,10,22,13
2020-01-10,29,25,0.0,7.4,1,1,100,05:58 PM,05:45 AM,06:31 AM,06:23 PM,24,31,31,27,15,67,83,5.5,1008,29,10,136,10
2020-01-11,29,24,0.0,6.0,1,1,100,06:58 PM,06:44 AM,06:32 AM,06:23 PM,24,30,30,26,11,81,88,45.5,1008,29,7,204,7
2020-01-12,28,24,0.0,8.8,1,1,83,07:59 PM,07:43 AM,06:32 AM,06:24 PM,23,28,28,25,12,75,88,49.0,1009,28,7,262,8
2020-01-13,28,24,0.0,7.4,1,1,76,08:57 PM,08:40 AM,06:32 AM,06:24 PM,23,29,29,26,16,69,86,26.3,1008,28,9,13,11
2020-01-14,27,25,0.0,6.0,1,1,69,09:53 PM,09:34 AM,06:33 AM,06:25 PM,24,29,29,26,20,75,89,32.5,1009,27,8,220,11
2020-01-15,29,24,0.0,7.4,1,1,61,10:47 PM,10:25 AM,06:33 AM,06:25 PM,24,30,30,27,11,72,85,8.7,1010,29,9,18,8
2020-01-16,29,25,0.0,8.8,1,1,54,11:40 PM,11:14 AM,06:33 AM,06:26 PM,24,31,31,27,10,66,84,10.7,1010,29,9,246,7
2020-01-17,29,25,0.0,6.0,1,1,47,No moonrise,12:02 PM,06:34 AM,06:26 PM,24,31,31,27,13,70,84,19.7,1011,29,8,271,9
2020-01-18,29,25,0.0,8.8,1,1,40,12:31 AM,12:49 PM,06:34 AM,06:26 PM,24,31,31,27,13,72,84,1.2,1011,29,10,24,9
2020-01-19,29,26,0.0,6.0,1,1,32,01:23 AM,01:38 PM,06:34 AM,06:27 PM,24,31,31,27,14,73,85,8.7,1011,29,9,22,9
2020-01-20,29,26,0.0,11.6,1,1,25,02:16 AM,02:28 PM,06:34 AM,06:27 PM,24,31,31,27,21,22,82,1.6,1011,29,10,25,15
2020-01-21,29,25,0.0,11.6,1,1,18,03:10 AM,03:21 PM,06:35 AM,06:28 PM,24,31,31,27,13,13,83,0.0,1012,29,10,134,9
2020-01-22,29,25,0.0,11.6,1,1,11,04:05 AM,04:14 PM,06:35 AM,06:28 PM,23,31,31,27,18,12,80,0.0,1012,29,10,28,13
2020-01-23,29,25,0.0,11.6,1,1,3,05:00 AM,05:08 PM,06:35 AM,06:28 PM,22,29,29,27,15,14,76,0.0,1010,29,10,133,10
2020-01-24,29,25,0.0,11.6,1,1,0,05:54 AM,06:02 PM,06:35 AM,06:29 PM,22,30,30,27,13,20,78,0.0,1011,29,10,132,10
2020-01-25,30,25,0.0,10.2,1,1,0,06:45 AM,06:53 PM,06:35 AM,06:29 PM,24,31,31,27,10,42,83,0.2,1010,30,10,264,7
2020-01-26,29,26,0.0,6.0,1,1,4,07:33 AM,07:43 PM,06:36 AM,06:29 PM,24,31,31,27,12,78,85,8.0,1010,29,9,232,8
2020-01-27,30,26,0.0,7.4,1,1,11,08:18 AM,08:29 PM,06:36 AM,06:30 PM,24,31,31,27,16,71,84,12.1,1010,30,9,245,11
2020-01-28,30,26,0.0,6.0,1,1,18,09:01 AM,09:14 PM,06:36 AM,06:30 PM,24,32,32,27,14,69,84,3.7,1010,30,10,244,10
2020-01-29,28,26,0.0,6.0,1,1,26,09:42 AM,09:57 PM,06:36 AM,06:30 PM,24,31,31,27,28,68,84,12.5,1011,28,9,15,18
2020-01-30,28,26,0.0,8.8,1,1,33,10:21 AM,10:39 PM,06:36 AM,06:30 PM,23,29,29,26,32,65,83,17.0,1011,28,9,16,20
2020-01-31,28,25,0.0,8.8,1,1,37,11:00 AM,11:22 PM,06:36 AM,06:31 PM,22,29,29,26,21,53,78,0.6,1012,28,10,25,14
2020-02-01,29,25,0.0,11.6,1,1,49,11:40 AM,No moonset,06:36 AM,06:31 PM,23,30,30,27,23,31,81,0.5,1012,29,10,20,16
2020-02-02,29,25,0.0,11.6,1,1,57,12:20 PM,12:05 AM,06:36 AM,06:31 PM,23,30,30,27,18,16,79,0.2,1012,29,10,136,13
2020-02-03,29,25,0.0,8.8,1,1,64,01:05 PM,12:51 AM,06:36 AM,06:31 PM,23,30,30,27,20,61,82,6.1,1011,29,9,21,13
2020-02-04,29,26,0.0,6.0,1,1,72,01:52 PM,01:40 AM,06:36 AM,06:32 PM,23,30,30,27,22,64,82,3.4,1011,29,10,17,15
2020-02-05,28,25,0.0,8.8,1,1,79,02:44 PM,02:31 AM,06:36 AM,06:32 PM,23,29,29,26,26,61,82,3.2,1010,28,10,16,18
2020-02-06,28,25,0.0,11.6,1,1,87,03:40 PM,03:27 AM,06:36 AM,06:32 PM,22,29,29,26,18,34,79,0.4,1011,28,10,118,13
2020-02-07,28,22,0.0,8.8,1,1,95,04:39 PM,04:25 AM,06:36 AM,06:32 PM,23,29,29,26,10,59,82,0.8,1012,28,10,238,7
2020-02-08,29,24,0.0,10.2,1,1,100,05:40 PM,05:25 AM,06:36 AM,06:32 PM,23,30,30,27,11,40,84,0.4,1011,29,10,235,8
2020-02-09,30,25,0.0,8.8,1,1,100,06:41 PM,06:24 AM,06:36 AM,06:33 PM,23,30,30,27,10,63,82,4.7,1011,30,10,294,7
2020-02-10,29,24,0.0,7.4,1,1,83,07:40 PM,07:21 AM,06:36 AM,06:33 PM,23,29,29,26,11,69,85,3.6,1012,29,10,295,7
2020-02-11,29,24,0.0,11.6,1,1,75,08:37 PM,08:15 AM,06:36 AM,06:33 PM,23,29,29,26,13,24,82,0.0,1013,29,10,20,9
2020-02-12,30,25,0.0,11.6,1,1,68,09:32 PM,09:06 AM,06:36 AM,06:33 PM,23,30,30,27,16,35,80,0.3,1012,30,10,27,11
2020-02-13,29,25,0.0,8.8,1,1,60,10:25 PM,09:56 AM,06:36 AM,06:33 PM,24,30,30,27,16,57,84,0.4,1011,29,10,136,11
2020-02-14,30,24,0.0,8.8,1,1,53,11:19 PM,10:46 AM,06:35 AM,06:33 PM,24,31,31,27,11,47,83,1.6,1010,30,10,211,8
2020-02-15,29,25,0.0,8.8,1,1,45,No moonrise,11:36 AM,06:35 AM,06:33 PM,24,30,30,27,11,52,83,3.8,1011,29,10,236,8
2020-02-16,30,24,0.0,7.4,1,1,38,12:12 AM,12:26 PM,06:35 AM,06:33 PM,24,30,30,26,16,62,87,9.2,1012,30,10,330,10
2020-02-17,28,25,0.0,8.8,1,1,30,01:07 AM,01:18 PM,06:35 AM,06:33 PM,23,30,30,27,26,63,82,3.6,1012,28,10,17,19
2020-02-18,29,22,0.0,10.2,1,1,22,02:01 AM,02:10 PM,06:35 AM,06:33 PM,23,29,29,26,24,59,82,3.5,1012,29,10,26,17
2020-02-19,29,25,0.0,11.6,1,1,15,02:56 AM,03:04 PM,06:35 AM,06:33 PM,23,30,30,27,23,33,79,0.7,1012,29,10,21,17
2020-02-20,29,25,0.0,11.6,1,1,7,03:49 AM,03:57 PM,06:34 AM,06:33 PM,23,30,30,27,26,20,78,0.1,1011,29,10,20,18
2020-02-21,29,26,0.0,11.6,1,1,0,04:40 AM,04:48 PM,06:34 AM,06:33 PM,22,30,30,27,32,28,75,0.2,1012,29,10,23,22
2020-02-22,29,25,0.0,11.6,1,1,0,05:29 AM,05:38 PM,06:34 AM,06:33 PM,22,30,30,27,29,4,72,0.0,1013,29,10,21,20
2020-02-23,29,25,0.0,11.6,1,1,0,06:15 AM,06:25 PM,06:34 AM,06:33 PM,22,30,30,27,27,12,75,0.0,1012,29,10,141,19
2020-02-24,29,25,0.0,11.6,1,1,0,06:58 AM,07:10 PM,06:33 AM,06:33 PM,23,30,30,27,19,19,79,0.0,1011,29,10,22,14
2020-02-25,30,25,0.0,11.6,1,1,8,07:39 AM,07:54 PM,06:33 AM,06:33 PM,23,30,30,27,11,32,82,0.0,1010,30,10,246,8
2020-02-26,30,25,0.0,7.4,1,1,15,08:18 AM,08:36 PM,06:33 AM,06:33 PM,24,31,31,27,18,70,83,4.4,1010,30,10,133,12
2020-02-27,28,26,0.0,6.0,1,1,23,08:58 AM,09:19 PM,06:33 AM,06:33 PM,24,30,30,27,26,72,83,8.9,1010,28,9,17,17
2020-02-28,29,24,0.0,6.0,1,1,30,09:37 AM,10:01 PM,06:32 AM,06:33 PM,24,30,30,27,16,70,84,7.8,1009,29,9,244,11
2020-02-29,29,25,0.0,8.8,1,1,38,10:17 AM,10:46 PM,06:32 AM,06:33 PM,24,31,31,27,14,62,85,2.5,1009,29,10,13,10
2020-03-01,30,25,0.0,10.2,1,1,44,10:59 AM,11:32 PM,06:32 AM,06:33 PM,24,31,31,27,12,47,86,0.3,1009,30,9,339,8
2020-03-02,30,26,0.0,10.2,1,1,51,11:44 AM,No moonset,06:31 AM,06:33 PM,24,31,31,27,16,59,85,0.5,1009,30,10,21,11
2020-03-03,28,26,0.0,6.0,1,1,58,12:32 PM,12:21 AM,06:31 AM,06:33 PM,25,31,31,27,18,74,88,21.9,1009,28,9,132,10
2020-03-04,27,24,0.0,6.0,1,1,65,01:25 PM,01:14 AM,06:31 AM,06:33 PM,24,29,29,25,17,82,91,88.5,1011,27,7,234,10
2020-03-05,28,24,0.0,6.0,1,1,73,02:21 PM,02:09 AM,06:30 AM,06:33 PM,23,29,29,26,10,68,84,10.9,1011,28,9,136,6
2020-03-06,28,21,0.0,6.0,1,1,80,03:20 PM,03:07 AM,06:30 AM,06:33 PM,23,28,28,25,13,69,86,5.9,1013,28,10,260,9
2020-03-07,28,24,0.0,11.6,1,1,87,04:20 PM,04:05 AM,06:29 AM,06:33 PM,23,29,29,26,11,33,82,0.0,1012,28,10,256,8
2020-03-08,29,25,0.0,10.2,1,1,95,05:20 PM,05:02 AM,06:29 AM,06:32 PM,23,29,29,26,9,39,82,0.0,1011,29,10,240,7
2020-03-09,28,24,0.0,7.4,1,1,100,06:18 PM,05:58 AM,06:29 AM,06:32 PM,23,29,29,26,9,67,83,1.4,1010,28,10,339,7
2020-03-10,29,24,0.0,7.4,1,1,100,07:16 PM,06:51 AM,06:28 AM,06:32 PM,24,31,31,27,10,71,82,6.6,1010,29,9,15,7
2020-03-11,30,23,0.0,8.8,1,1,84,08:12 PM,07:44 AM,06:28 AM,06:32 PM,24,31,31,27,12,57,82,7.8,1010,30,9,239,8
2020-03-12,30,25,0.0,7.4,1,1,76,09:07 PM,08:35 AM,06:28 AM,06:32 PM,24,32,32,27,11,65,83,1.1,1011,30,10,125,8
2020-03-13,31,25,0.0,11.6,1,1,69,10:03 PM,09:26 AM,06:27 AM,06:32 PM,24,32,32,28,12,18,80,0.0,1011,31,10,250,9
2020-03-14,31,25,0.0,8.8,1,1,62,10:59 PM,10:18 AM,06:27 AM,06:32 PM,24,32,32,28,13,61,83,3.2,1011,31,10,236,9
2020-03-15,29,26,0.0,11.6,1,1,55,11:56 PM,11:12 AM,06:26 AM,06:32 PM,23,30,30,27,21,34,81,3.1,1011,29,10,22,15
2020-03-16,30,25,0.0,11.6,1,1,47,No moonrise,12:06 PM,06:26 AM,06:31 PM,23,30,30,27,20,7,77,0.0,1011,30,10,16,14
