date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,3,-5,0.0,8.7,1,1,80,02:26 PM,04:21 AM,07:57 AM,05:09 PM,-6,-3,-2,-3,5,12,70,0.0,1028,3,10,342,4
2020-01-08,5,-8,0.0,8.7,1,1,88,03:06 PM,05:27 AM,07:57 AM,05:10 PM,-8,-3,-1,-3,5,4,59,0.0,1032,5,10,321,4
2020-01-09,4,-4,0.0,7.0,1,1,95,03:54 PM,06:32 AM,07:57 AM,05:11 PM,-8,-2,-1,-2,6,36,58,0.0,1029,4,10,289,4
2020-01-10,9,-2,0.0,8.7,1,1,100,04:52 PM,07:35 AM,07:56 AM,05:12 PM,-6,2,2,2,3,17,55,0.0,1024,9,10,238,2
2020-01-11,6,-0,0.0,5.3,1,1,100,05:59 PM,08:30 AM,07:56 AM,05:13 PM,-2,0,2,0,11,58,75,0.0,1025,6,10,289,7
2020-01-12,3,-4,2.5,3.6,1,1,83,07:11 PM,09:19 AM,07:56 AM,05:14 PM,2,0,2,0,5,100,97,6.8,1030,3,4,50,4
2020-01-13,8,-1,0.0,8.7,1,1,76,08:26 PM,10:00 AM,07:56 AM,05:15 PM,1,3,3,3,4,26,87,0.0,1028,8,8,279,2
2020-01-14,9,-0,0.0,8.7,1,1,69,09:41 PM,10:35 AM,07:55 AM,05:17 PM,0,3,3,3,2,5,79,0.0,1026,9,10,213,2
2020-01-15,11,2,0.0,8.7,1,1,61,10:55 PM,11:06 AM,07:55 AM,05:18 PM,1,5,5,5,3,0,76,0.0,1029,11,10,91,2
2020-01-16,11,3,0.0,8.7,1,1,54,No moonrise,11:35 AM,07:54 AM,05:19 PM,1,6,6,6,3,0,73,0.0,1030,11,10,42,3
