date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,34,18,0.0,8.7,1,1,80,03:05 PM,03:13 AM,06:29 AM,05:55 PM,0,26,26,25,21,7,21,0.0,1011,34,10,42,12
2020-01-08,36,22,0.0,8.7,1,1,88,03:56 PM,04:07 AM,06:29 AM,05:56 PM,3,29,29,29,16,11,21,0.0,1011,36,10,135,9
2020-01-09,36,22,0.0,8.7,1,1,95,04:50 PM,05:04 AM,06:29 AM,05:56 PM,3,28,28,29,22,8,20,0.0,1012,36,10,70,13
2020-01-10,38,23,0.0,8.7,1,1,100,05:50 PM,06:03 AM,06:30 AM,05:57 PM,5,30,30,30,19,5,22,0.0,1011,38,10,100,11
2020-01-11,36,21,0.0,8.7,1,1,100,06:51 PM,07:02 AM,06:30 AM,05:58 PM,2,28,28,28,24,5,20,0.0,1012,36,10,125,15
2020-01-12,35,21,0.0,8.7,1,1,83,07:53 PM,07:59 AM,06:30 AM,05:58 PM,3,27,27,28,27,6,21,0.0,1013,35,10,25,16
2020-01-13,32,20,0.0,8.7,1,1,76,08:53 PM,08:53 AM,06:30 AM,05:59 PM,-5,24,24,25,34,6,13,0.0,1012,32,10,27,22
2020-01-14,33,17,0.0,8.7,1,1,69,09:52 PM,09:43 AM,06:31 AM,05:59 PM,-6,23,23,24,29,1,13,0.0,1012,33,10,43,18
2020-01-15,33,19,0.0,11.6,1,1,61,10:48 PM,10:30 AM,06:31 AM,06:00 PM,-4,24,24,25,26,3,14,0.0,1012,33,10,42,15
2020-01-16,35,19,0.0,11.6,1,1,54,11:44 PM,11:16 AM,06:31 AM,06:00 PM,-1,25,25,26,25,1,17,0.0,1013,35,10,48,14
2020-01-17,34,19,0.0,11.6,1,1,47,No moonrise,12:00 PM,06:31 AM,06:01 PM,-2,27,27,26,30,0,17,0.0,1014,34,10,54,18
2020-01-18,33,18,0.0,11.6,1,1,40,12:38 AM,12:45 PM,06:31 AM,06:01 PM,-5,25,25,25,31,0,14,0.0,1015,33,10,54,19
2020-01-19,34,17,0.0,11.6,1,1,32,01:34 AM,01:32 PM,06:31 AM,06:02 PM,-2,25,25,25,25,1,17,0.0,1013,34,10,64,15
2020-01-20,36,18,0.0,11.6,1,1,25,02:29 AM,02:20 PM,06:32 AM,06:02 PM,0,27,27,27,17,6,20,0.0,1011,36,10,113,10
2020-01-21,38,21,0.0,11.6,1,1,18,03:26 AM,03:11 PM,06:32 AM,06:03 PM,2,30,30,29,18,5,19,0.0,1011,38,10,81,11
2020-01-22,37,23,0.0,11.6,1,1,11,04:22 AM,04:04 PM,06:32 AM,06:03 PM,4,28,28,29,26,5,21,0.0,1012,37,10,76,16
2020-01-23,37,22,0.0,10.2,1,1,3,05:17 AM,04:58 PM,06:32 AM,06:04 PM,-4,29,29,30,32,28,13,0.0,1012,37,10,76,20
2020-01-24,35,20,0.0,11.6,1,1,0,06:09 AM,05:52 PM,06:32 AM,06:04 PM,-10,28,28,28,35,21,8,0.0,1013,35,10,73,21
2020-01-25,36,20,0.0,11.6,1,1,0,06:59 AM,06:44 PM,06:32 AM,06:05 PM,-10,28,28,28,34,2,8,0.0,1013,36,10,76,21
2020-01-26,35,21,0.0,11.6,1,1,4,07:44 AM,07:35 PM,06:32 AM,06:05 PM,-11,28,28,28,34,0,7,0.0,1013,35,10,81,21
2020-01-27,35,19,0.0,11.6,1,1,11,08:26 AM,08:23 PM,06:32 AM,06:06 PM,-12,27,27,27,30,0,8,0.0,1013,35,10,66,18
2020-01-28,36,19,0.0,11.6,1,1,18,09:06 AM,09:10 PM,06:32 AM,06:06 PM,-12,27,27,27,26,6,7,0.0,1013,36,10,72,15
2020-01-29,36,20,0.0,11.6,1,1,26,09:43 AM,09:55 PM,06:32 AM,06:06 PM,-13,28,28,28,29,0,6,0.0,1013,36,10,69,18
2020-01-30,37,20,0.0,11.6,1,1,33,10:19 AM,10:40 PM,06:32 AM,06:07 PM,-10,29,29,29,30,1,8,0.0,1014,37,10,77,18
2020-01-31,36,21,0.0,11.6,1,1,37,10:56 AM,11:26 PM,06:31 AM,06:07 PM,-7,29,29,29,31,4,10,0.0,1014,36,10,74,19
2020-02-01,35,21,0.0,11.6,1,1,49,11:34 AM,No moonset,06:31 AM,06:08 PM,-7,28,28,28,31,6,11,0.0,1014,35,10,67,19
2020-02-02,34,20,0.0,11.6,1,1,57,12:13 PM,12:12 AM,06:31 AM,06:08 PM,-8,27,27,27,27,1,11,0.0,1014,34,10,63,17
2020-02-03,34,18,0.0,11.6,1,1,64,12:55 PM,01:01 AM,06:31 AM,06:08 PM,-9,26,26,26,25,2,10,0.0,1014,34,10,56,15
2020-02-04,34,18,0.0,11.6,1,1,72,01:43 PM,01:53 AM,06:31 AM,06:09 PM,-10,27,27,26,27,0,10,0.0,1014,34,10,63,16
2020-02-05,33,18,0.0,11.6,1,1,79,02:34 PM,02:48 AM,06:31 AM,06:09 PM,-8,24,24,25,27,0,11,0.0,1014,33,10,64,16
2020-02-06,35,18,0.0,11.6,1,1,87,03:31 PM,03:45 AM,06:31 AM,06:09 PM,-7,26,26,26,27,0,11,0.0,1013,35,10,41,16
2020-02-07,33,18,0.0,11.6,1,1,95,04:31 PM,04:44 AM,06:30 AM,06:10 PM,-11,24,24,25,25,0,9,0.0,1014,33,10,44,15
2020-02-08,36,18,0.0,11.6,1,1,100,05:34 PM,05:43 AM,06:30 AM,06:10 PM,-10,27,27,27,22,0,10,0.0,1013,36,10,50,13
2020-02-09,35,19,0.0,11.6,1,1,100,06:36 PM,06:39 AM,06:30 AM,06:10 PM,-5,26,26,27,27,4,13,0.0,1012,35,10,67,17
2020-02-10,36,23,0.0,11.6,1,1,83,07:38 PM,07:32 AM,06:30 AM,06:11 PM,-1,28,28,29,28,44,15,0.0,1013,36,10,83,18
2020-02-11,36,22,0.0,11.6,1,1,75,08:37 PM,08:22 AM,06:29 AM,06:11 PM,-4,27,27,29,36,34,12,0.0,1014,36,10,72,23
2020-02-12,33,24,0.0,11.6,1,1,68,09:36 PM,09:10 AM,06:29 AM,06:11 PM,-9,26,26,27,36,11,8,0.0,1014,33,10,72,23
2020-02-13,33,20,0.0,10.2,1,1,60,10:32 PM,09:56 AM,06:29 AM,06:12 PM,-10,25,25,26,33,49,9,0.0,1013,33,10,67,20
2020-02-14,35,19,0.0,11.6,1,1,53,11:29 PM,10:42 AM,06:28 AM,06:12 PM,-13,27,27,27,30,1,7,0.0,1012,35,10,64,18
2020-02-15,36,19,0.0,11.6,1,1,45,No moonrise,11:29 AM,06:28 AM,06:12 PM,-13,27,27,27,28,0,7,0.0,1011,36,10,64,17
2020-02-16,37,20,0.0,11.6,1,1,38,12:25 AM,12:17 PM,06:28 AM,06:12 PM,-12,29,29,28,28,0,7,0.0,1011,37,10,65,17
2020-02-17,37,21,0.0,11.6,1,1,30,01:22 AM,01:08 PM,06:27 AM,06:13 PM,-10,28,28,29,24,0,8,0.0,1011,37,10,68,15
2020-02-18,37,21,0.0,11.6,1,1,22,02:18 AM,02:00 PM,06:27 AM,06:13 PM,-7,28,28,29,23,0,10,0.0,1011,37,10,65,14
2020-02-19,39,21,0.0,11.6,1,1,15,03:13 AM,02:53 PM,06:26 AM,06:13 PM,-4,29,29,30,23,0,12,0.0,1010,39,10,66,14
