date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,33,23,0.0,8.7,1,1,80,02:47 PM,02:50 AM,06:22 AM,05:51 PM,18,30,30,28,9,16,55,0.0,1011,33,10,337,6
2020-01-08,33,24,0.0,7.2,1,1,88,03:36 PM,03:44 AM,06:22 AM,05:51 PM,20,31,31,29,9,37,62,0.0,1011,33,10,123,6
2020-01-09,35,24,0.0,8.7,1,1,95,04:29 PM,04:40 AM,06:22 AM,05:52 PM,18,31,31,29,10,17,53,0.0,1010,35,10,29,7
2020-01-10,35,24,0.0,8.7,1,1,100,05:28 PM,05:39 AM,06:23 AM,05:53 PM,19,31,31,29,13,18,56,0.0,1009,35,10,86,9
2020-01-11,33,24,0.0,4.2,1,1,100,06:28 PM,06:38 AM,06:23 AM,05:53 PM,21,31,31,28,12,61,66,1.4,1010,33,10,131,8
2020-01-12,33,24,0.0,4.2,1,1,83,07:31 PM,07:36 AM,06:23 AM,05:54 PM,21,31,31,28,12,40,66,1.1,1009,33,10,80,8
2020-01-13,33,23,0.0,5.7,1,1,76,08:31 PM,08:30 AM,06:23 AM,05:54 PM,19,29,29,28,12,53,61,0.6,1010,33,10,42,9
2020-01-14,34,22,0.0,8.7,1,1,69,09:30 PM,09:22 AM,06:24 AM,05:55 PM,16,29,29,28,10,6,49,0.0,1011,34,10,32,7
2020-01-15,35,22,0.0,8.7,1,1,61,10:26 PM,10:10 AM,06:24 AM,05:55 PM,18,30,30,28,8,5,59,0.0,1011,35,10,93,6
2020-01-16,34,23,0.0,8.7,1,1,54,11:22 PM,10:56 AM,06:24 AM,05:56 PM,18,30,30,28,11,6,59,0.0,1012,34,10,78,8
2020-01-17,34,25,0.0,8.7,1,1,47,No moonrise,11:41 AM,06:24 AM,05:56 PM,17,30,30,29,9,4,52,0.0,1012,34,10,126,6
2020-01-18,34,23,0.0,8.7,1,1,40,12:16 AM,12:26 PM,06:24 AM,05:57 PM,19,30,30,28,11,14,60,0.0,1012,34,10,94,7
2020-01-19,33,23,0.0,8.7,1,1,32,01:11 AM,01:13 PM,06:24 AM,05:57 PM,19,29,29,28,12,22,62,0.0,1012,33,10,72,9
2020-01-20,34,23,0.0,8.7,1,1,25,02:06 AM,02:01 PM,06:25 AM,05:58 PM,19,30,30,28,10,17,59,0.0,1013,34,10,92,7
2020-01-21,35,24,0.0,8.7,1,1,18,03:02 AM,02:51 PM,06:25 AM,05:58 PM,19,32,32,29,8,14,57,0.0,1014,35,10,108,6
2020-01-22,35,23,0.0,8.7,1,1,11,03:58 AM,03:44 PM,06:25 AM,05:59 PM,19,30,30,29,14,10,58,0.0,1013,35,10,86,9
2020-01-23,35,23,0.0,8.7,1,1,3,04:54 AM,04:38 PM,06:25 AM,05:59 PM,19,30,30,28,14,10,59,0.0,1012,35,10,142,9
2020-01-24,35,23,0.0,11.6,1,1,0,05:47 AM,05:32 PM,06:25 AM,06:00 PM,16,29,29,28,17,4,54,0.0,1011,35,10,130,11
2020-01-25,33,23,0.0,11.6,1,1,0,06:37 AM,06:24 PM,06:25 AM,06:00 PM,19,30,30,27,22,13,64,0.0,1010,33,10,173,14
2020-01-26,36,23,0.0,11.6,1,1,4,07:24 AM,07:16 PM,06:25 AM,06:00 PM,20,32,32,29,14,18,62,0.0,1010,36,10,173,9
2020-01-27,34,23,0.0,11.6,1,1,11,08:07 AM,08:04 PM,06:25 AM,06:01 PM,19,30,30,28,24,18,63,0.0,1010,34,10,173,16
2020-01-28,34,22,0.0,11.6,1,1,18,08:48 AM,08:51 PM,06:25 AM,06:01 PM,18,30,30,28,20,5,60,0.0,1011,34,10,174,13
2020-01-29,33,22,0.0,10.2,1,1,26,09:26 AM,09:36 PM,06:25 AM,06:02 PM,19,29,29,27,12,31,64,0.0,1012,33,10,195,8
2020-01-30,31,23,0.0,5.9,1,1,33,10:03 AM,10:21 PM,06:25 AM,06:02 PM,20,29,29,27,16,67,67,8.1,1012,31,10,108,10
2020-01-31,32,23,0.0,11.6,1,1,37,10:39 AM,11:06 PM,06:25 AM,06:02 PM,18,28,28,27,10,50,61,0.3,1012,32,10,66,7
2020-02-01,33,22,0.0,11.6,1,1,49,11:17 AM,11:52 PM,06:25 AM,06:03 PM,17,28,28,27,15,22,59,0.0,1012,33,10,83,10
2020-02-02,33,22,0.0,11.6,1,1,57,11:56 AM,No moonset,06:24 AM,06:03 PM,15,28,28,27,12,7,50,0.0,1013,33,10,37,8
2020-02-03,34,21,0.0,11.6,1,1,64,12:37 PM,12:40 AM,06:24 AM,06:04 PM,16,28,28,27,13,4,54,0.0,1013,34,10,108,9
2020-02-04,34,22,0.0,11.6,1,1,72,01:24 PM,01:31 AM,06:24 AM,06:04 PM,17,29,29,27,15,11,57,0.0,1012,34,10,103,10
2020-02-05,34,22,0.0,11.6,1,1,79,02:14 PM,02:24 AM,06:24 AM,06:04 PM,16,30,30,28,15,9,54,0.0,1012,34,10,79,10
2020-02-06,34,21,0.0,11.6,1,1,87,03:09 PM,03:21 AM,06:24 AM,06:05 PM,15,28,28,27,13,3,49,0.0,1012,34,10,145,8
2020-02-07,34,20,0.0,11.6,1,1,95,04:09 PM,04:19 AM,06:24 AM,06:05 PM,15,28,28,28,15,0,50,0.0,1013,34,10,94,10
2020-02-08,34,22,0.0,11.6,1,1,100,05:11 PM,05:18 AM,06:23 AM,06:05 PM,17,29,29,28,13,5,54,0.0,1013,34,10,40,8
2020-02-09,32,22,0.0,10.2,1,1,100,06:13 PM,06:15 AM,06:23 AM,06:06 PM,16,28,28,27,18,39,54,0.0,1013,32,10,42,12
2020-02-10,30,24,0.0,11.6,1,1,83,07:15 PM,07:10 AM,06:23 AM,06:06 PM,16,27,27,26,17,47,54,0.0,1013,30,10,26,11
2020-02-11,34,22,0.0,10.2,1,1,75,08:15 PM,08:01 AM,06:23 AM,06:06 PM,18,29,29,28,16,41,56,0.0,1013,34,10,57,11
2020-02-12,35,23,0.0,8.8,1,1,68,09:13 PM,08:50 AM,06:22 AM,06:06 PM,20,30,30,28,17,39,62,0.0,1013,35,10,138,11
2020-02-13,36,23,0.0,11.6,1,1,60,10:09 PM,09:37 AM,06:22 AM,06:07 PM,19,31,31,29,21,27,60,0.0,1011,36,10,166,14
2020-02-14,36,23,0.0,11.6,1,1,53,11:06 PM,10:23 AM,06:22 AM,06:07 PM,19,31,31,29,24,9,59,0.0,1010,36,10,177,16
2020-02-15,36,23,0.0,11.6,1,1,45,No moonrise,11:10 AM,06:22 AM,06:07 PM,19,32,32,30,22,16,61,0.0,1011,36,10,179,14
2020-02-16,37,23,0.0,11.6,1,1,38,12:02 AM,11:59 AM,06:21 AM,06:07 PM,19,33,33,31,15,12,60,0.0,1012,37,10,127,9
2020-02-17,34,25,0.0,10.2,1,1,30,12:58 AM,12:48 PM,06:21 AM,06:08 PM,21,31,31,28,16,47,67,2.2,1013,34,10,168,11
2020-02-18,35,23,0.0,11.6,1,1,22,01:54 AM,01:40 PM,06:20 AM,06:08 PM,17,30,30,29,25,27,53,2.6,1013,35,10,58,17
2020-02-19,36,22,0.0,11.6,1,1,15,02:49 AM,02:33 PM,06:20 AM,06:08 PM,14,31,31,29,20,7,46,0.0,1014,36,10,44,14
2020-02-20,35,23,0.0,11.6,1,1,7,03:43 AM,03:27 PM,06:20 AM,06:08 PM,15,29,29,28,16,7,50,0.0,1014,35,10,45,11
2020-02-21,36,22,0.0,11.6,1,1,0,04:33 AM,04:19 PM,06:19 AM,06:09 PM,16,30,30,29,20,19,49,0.0,1015,36,10,48,14
2020-02-22,35,22,0.0,10.2,1,1,0,05:21 AM,05:10 PM,06:19 AM,06:09 PM,14,30,30,29,22,28,44,0.0,1015,35,10,57,16
2020-02-23,35,23,0.0,11.6,1,1,0,06:04 AM,05:59 PM,06:18 AM,06:09 PM,13,29,29,29,18,31,41,0.0,1014,35,10,41,13
2020-02-24,35,22,0.0,11.6,1,1,0,06:45 AM,06:46 PM,06:18 AM,06:09 PM,14,28,28,28,13,3,46,0.0,1012,35,10,34,9
2020-02-25,36,22,0.0,11.6,1,1,8,07:24 AM,07:32 PM,06:18 AM,06:09 PM,16,30,30,29,12,6,52,0.0,1011,36,10,90,8
2020-02-26,37,24,0.0,11.6,1,1,15,08:01 AM,08:17 PM,06:17 AM,06:09 PM,18,31,31,30,17,12,53,0.0,1011,37,10,87,11
2020-02-27,36,24,0.0,11.6,1,1,23,08:38 AM,09:02 PM,06:17 AM,06:09 PM,18,31,31,30,17,26,52,0.0,1010,36,10,79,12
2020-02-28,36,24,0.0,11.6,1,1,30,09:15 AM,09:47 PM,06:16 AM,06:10 PM,16,30,30,29,16,25,49,0.1,1010,36,10,60,11
2020-02-29,36,23,0.0,11.6,1,1,38,09:53 AM,10:33 PM,06:16 AM,06:10 PM,17,30,30,29,17,14,52,0.0,1009,36,10,99,11
2020-03-01,37,24,0.0,11.6,1,1,44,10:33 AM,11:22 PM,06:15 AM,06:10 PM,19,32,32,30,18,12,55,0.0,1010,37,10,127,12
2020-03-02,35,25,0.0,11.6,1,1,51,11:16 AM,No moonset,06:15 AM,06:10 PM,20,32,32,30,21,39,58,0.0,1010,35,10,157,15
2020-03-03,37,24,0.0,11.6,1,1,58,12:03 PM,12:13 AM,06:14 AM,06:10 PM,19,31,31,30,18,24,56,0.0,1010,37,10,156,12
2020-03-04,35,24,0.0,11.6,1,1,65,12:54 PM,01:07 AM,06:14 AM,06:10 PM,20,32,32,29,23,32,61,0.0,1010,35,10,170,17
2020-03-05,35,24,0.0,11.6,1,1,73,01:51 PM,02:03 AM,06:13 AM,06:10 PM,20,31,31,29,21,24,59,0.0,1011,35,10,148,15
2020-03-06,36,24,0.0,11.6,1,1,80,02:50 PM,03:00 AM,06:13 AM,06:10 PM,20,31,31,29,19,36,59,0.0,1012,36,10,159,13
2020-03-07,38,24,0.0,11.6,1,1,87,03:52 PM,03:57 AM,06:12 AM,06:10 PM,19,34,34,31,16,10,55,0.0,1011,38,10,178,10
2020-03-08,38,25,0.0,11.6,1,1,95,04:54 PM,04:53 AM,06:11 AM,06:10 PM,21,35,35,32,15,19,60,0.0,1009,38,10,231,10
2020-03-09,37,26,0.0,10.2,1,1,100,05:55 PM,05:46 AM,06:11 AM,06:11 PM,21,34,34,31,17,33,60,0.8,1007,37,10,180,12
2020-03-10,39,26,0.0,11.6,1,1,100,06:55 PM,06:36 AM,06:10 AM,06:11 PM,20,36,36,33,19,20,57,0.0,1008,39,10,159,14
2020-03-11,36,26,0.0,7.4,1,1,84,07:55 PM,07:26 AM,06:10 AM,06:11 PM,21,33,33,30,19,53,60,1.4,1010,36,10,154,14
2020-03-12,38,24,0.0,11.6,1,1,76,08:53 PM,08:14 AM,06:09 AM,06:11 PM,19,33,33,30,22,28,54,0.4,1011,38,10,151,15
2020-03-13,39,26,0.0,11.6,1,1,69,09:52 PM,09:02 AM,06:09 AM,06:11 PM,19,34,34,31,19,11,54,0.0,1011,39,10,136,13
2020-03-14,39,25,0.0,11.6,1,1,62,10:50 PM,09:52 AM,06:08 AM,06:11 PM,19,34,34,32,21,19,55,0.0,1010,39,10,110,15
2020-03-15,38,24,0.0,10.2,1,1,55,11:48 PM,10:43 AM,06:07 AM,06:11 PM,19,32,32,30,16,35,56,0.0,1011,38,10,114,11
2020-03-16,37,25,0.0,11.6,1,1,47,No moonrise,11:36 AM,06:07 AM,06:11 PM,19,32,32,31,18,28,52,0.0,1011,37,10,93,12
