date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,36,19,0.0,11.6,1,1,80,03:24 PM,03:08 AM,06:22 AM,06:17 PM,13,27,27,27,9,18,55,0.0,1010,36,9,37,6
2020-01-08,35,20,0.0,11.6,1,1,88,04:15 PM,04:00 AM,06:23 AM,06:18 PM,15,28,28,27,9,33,61,0.0,1011,35,8,37,6
2020-01-09,35,20,0.0,11.6,1,1,95,05:12 PM,04:55 AM,06:23 AM,06:18 PM,16,29,29,28,10,45,63,0.0,1011,35,9,147,7
2020-01-10,34,20,0.0,11.6,1,1,100,06:11 PM,05:54 AM,06:24 AM,06:18 PM,16,29,29,28,8,49,62,0.3,1013,34,8,140,6
2020-01-11,32,19,0.0,8.8,1,1,100,07:11 PM,06:53 AM,06:24 AM,06:19 PM,18,25,25,25,6,61,71,1.0,1013,32,8,287,4
2020-01-12,33,19,0.0,8.8,1,1,83,08:11 PM,07:52 AM,06:24 AM,06:19 PM,17,27,27,26,7,58,66,0.6,1012,33,8,120,4
2020-01-13,36,20,0.0,11.6,1,1,76,09:08 PM,08:48 AM,06:25 AM,06:20 PM,16,29,29,28,7,42,63,0.0,1010,36,8,85,5
2020-01-14,36,21,0.0,11.6,1,1,69,10:03 PM,09:42 AM,06:25 AM,06:20 PM,17,31,31,29,8,38,63,0.0,1010,36,9,148,5
2020-01-15,37,21,0.0,10.2,1,1,61,10:56 PM,10:32 AM,06:25 AM,06:21 PM,18,30,30,29,8,59,66,0.1,1009,37,8,192,6
2020-01-16,35,21,0.0,11.6,1,1,54,11:48 PM,11:22 AM,06:26 AM,06:21 PM,17,29,29,28,8,48,62,0.2,1011,35,9,128,6
2020-01-17,35,21,0.0,11.6,1,1,47,No moonrise,12:09 PM,06:26 AM,06:21 PM,15,29,29,28,9,33,59,0.2,1012,35,9,121,6
2020-01-18,37,20,0.0,11.6,1,1,40,12:39 AM,12:58 PM,06:26 AM,06:22 PM,18,29,29,28,9,58,66,0.7,1012,37,9,286,6
2020-01-19,35,21,0.0,11.6,1,1,32,01:31 AM,01:47 PM,06:26 AM,06:22 PM,16,28,28,27,8,33,63,2.4,1011,35,10,39,6
2020-01-20,36,20,0.0,11.6,1,1,25,02:24 AM,02:38 PM,06:27 AM,06:23 PM,17,30,30,28,6,24,63,2.6,1011,36,10,130,4
2020-01-21,35,20,0.0,11.6,1,1,18,03:18 AM,03:32 PM,06:27 AM,06:23 PM,15,29,29,28,8,30,60,0.0,1011,35,8,33,6
2020-01-22,35,20,0.0,11.6,1,1,11,04:13 AM,04:25 PM,06:27 AM,06:23 PM,13,29,29,28,8,20,54,0.0,1011,35,9,32,6
2020-01-23,35,20,0.0,11.6,1,1,3,05:07 AM,05:20 PM,06:27 AM,06:24 PM,10,29,29,28,7,37,49,0.0,1011,35,8,38,5
2020-01-24,35,19,0.0,11.6,1,1,0,06:01 AM,06:12 PM,06:27 AM,06:24 PM,6,27,27,27,8,5,41,0.0,1012,35,10,47,5
2020-01-25,35,17,0.0,11.6,1,1,0,06:51 AM,07:03 PM,06:28 AM,06:24 PM,0,26,26,26,7,0,22,0.0,1012,35,10,46,5
2020-01-26,37,17,0.0,11.6,1,1,4,07:39 AM,07:51 PM,06:28 AM,06:24 PM,2,28,28,27,7,0,24,0.0,1012,37,10,59,5
2020-01-27,37,17,0.0,11.6,1,1,11,08:23 AM,08:37 PM,06:28 AM,06:25 PM,11,28,28,28,7,2,49,0.0,1012,37,10,65,4
2020-01-28,35,18,0.0,11.6,1,1,18,09:06 AM,09:21 PM,06:28 AM,06:25 PM,15,28,28,28,9,23,60,0.0,1011,35,8,111,6
2020-01-29,36,19,0.0,11.6,1,1,26,09:46 AM,10:03 PM,06:28 AM,06:25 PM,13,29,29,28,8,25,55,0.0,1011,36,9,22,6
2020-01-30,35,20,0.0,11.6,1,1,33,10:25 AM,10:45 PM,06:28 AM,06:26 PM,15,29,29,28,7,27,61,0.0,1012,35,7,123,5
2020-01-31,36,21,0.0,11.6,1,1,37,11:05 AM,11:28 PM,06:28 AM,06:26 PM,18,30,30,28,8,42,64,0.1,1012,36,9,196,6
2020-02-01,36,21,0.0,10.2,1,1,49,11:45 AM,No moonset,06:28 AM,06:26 PM,17,29,29,28,7,55,63,0.3,1012,36,8,132,5
2020-02-02,38,20,0.0,11.6,1,1,57,12:27 PM,12:11 AM,06:29 AM,06:26 PM,17,29,29,28,6,48,64,0.2,1012,38,8,125,4
2020-02-03,34,21,0.0,10.2,1,1,64,01:13 PM,12:57 AM,06:29 AM,06:26 PM,19,26,26,25,10,64,75,0.5,1013,34,9,303,8
2020-02-04,34,21,0.0,10.2,1,1,72,02:02 PM,01:47 AM,06:29 AM,06:27 PM,18,26,26,25,9,54,68,0.0,1013,34,10,311,6
2020-02-05,30,20,0.0,6.0,1,1,79,02:55 PM,02:39 AM,06:29 AM,06:27 PM,20,25,25,23,8,83,83,12.2,1012,30,7,297,5
2020-02-06,31,21,0.0,8.8,1,1,87,03:52 PM,03:36 AM,06:29 AM,06:27 PM,18,27,27,25,6,42,68,0.5,1011,31,10,173,4
2020-02-07,35,20,0.0,11.6,1,1,95,04:52 PM,04:34 AM,06:29 AM,06:27 PM,15,28,28,28,8,35,61,0.7,1011,35,9,15,6
