date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,-3,-11,0.5,6.9,1,1,80,03:05 PM,05:23 AM,08:42 AM,05:36 PM,-8,-10,-6,-10,16,68,89,0.6,1013,-3,8,151,9
2020-01-08,-4,-15,1.1,6.9,1,1,88,03:45 PM,06:30 AM,08:42 AM,05:37 PM,-9,-14,-8,-14,29,82,86,2.0,1014,-4,8,295,18
2020-01-09,-13,-20,0.0,5.1,1,1,95,04:35 PM,07:36 AM,08:41 AM,05:39 PM,-17,-22,-17,-22,18,61,86,0.1,1037,-13,9,184,11
2020-01-10,3,-9,0.3,3.4,1,1,100,05:36 PM,08:37 AM,08:41 AM,05:40 PM,-1,-4,0,-4,26,98,94,0.4,1023,3,6,205,15
2020-01-11,7,-5,24.1,3.4,1,1,100,06:45 PM,09:30 AM,08:41 AM,05:41 PM,1,-3,1,-3,26,100,97,69.4,1015,7,6,181,16
2020-01-12,-7,-18,34.5,3.4,1,1,83,08:00 PM,10:15 AM,08:40 AM,05:42 PM,-11,-16,-10,-16,21,79,89,36.2,1021,-7,7,316,15
2020-01-13,-8,-13,0.5,3.4,1,1,76,09:18 PM,10:52 AM,08:40 AM,05:43 PM,-12,-14,-11,-14,9,70,93,0.7,1031,-8,7,70,6
2020-01-14,-7,-12,0.3,3.4,1,1,69,10:34 PM,11:24 AM,08:39 AM,05:44 PM,-10,-13,-9,-13,11,77,94,0.9,1025,-7,6,78,8
2020-01-15,0,-9,1.5,6.9,1,1,61,11:51 PM,11:52 AM,08:39 AM,05:46 PM,-5,-6,-4,-6,10,76,93,1.4,1018,0,8,259,6
2020-01-16,-3,-16,5.0,3.4,1,1,54,No moonrise,12:18 PM,08:38 AM,05:47 PM,-9,-12,-6,-12,23,93,88,5.9,1019,-3,5,323,16
2020-01-17,-15,-21,0.0,8.7,1,1,47,01:05 AM,12:44 PM,08:38 AM,05:48 PM,-20,-25,-18,-25,18,17,83,0.0,1041,-15,10,299,12
2020-01-18,-13,-18,3.7,5.2,1,1,40,02:18 AM,01:12 PM,08:37 AM,05:50 PM,-17,-21,-16,-21,20,70,90,7.5,1025,-13,7,83,14
2020-01-19,-9,-14,14.6,3.4,1,1,32,03:32 AM,01:42 PM,08:36 AM,05:51 PM,-12,-18,-11,-18,21,87,91,14.2,1008,-9,5,336,14
2020-01-20,-12,-20,0.0,8.7,1,1,25,04:43 AM,02:17 PM,08:36 AM,05:52 PM,-18,-23,-16,-23,22,9,86,0.0,1027,-12,10,276,13
2020-01-21,-6,-20,0.1,3.4,1,1,18,05:51 AM,02:59 PM,08:35 AM,05:54 PM,-13,-17,-13,-17,19,74,91,0.1,1029,-6,10,208,11
2020-01-22,-1,-9,0.0,8.7,1,1,11,06:54 AM,03:47 PM,08:34 AM,05:55 PM,-6,-11,-5,-11,28,53,89,0.0,1025,-1,10,218,18
2020-01-23,-0,-6,0.0,3.5,1,1,3,07:50 AM,04:42 PM,08:33 AM,05:56 PM,-4,-6,-3,-6,14,85,91,0.0,1026,-0,10,220,8
2020-01-24,-1,-8,0.0,3.5,1,1,0,08:36 AM,05:43 PM,08:32 AM,05:58 PM,-4,-7,-3,-7,20,83,94,0.0,1027,-1,10,83,13
2020-01-25,-1,-9,10.5,3.5,1,1,0,09:16 AM,06:45 PM,08:31 AM,05:59 PM,-3,-8,-3,-8,30,99,96,23.1,1017,-1,7,86,19
2020-01-26,1,-7,14.7,4.9,1,1,4,09:48 AM,07:49 PM,08:30 AM,06:00 PM,0,-3,-0,-3,20,100,99,16.8,1003,1,2,241,12
2020-01-27,-1,-5,1.5,4.9,1,1,11,10:15 AM,08:52 PM,08:29 AM,06:02 PM,-3,-7,-2,-7,21,89,93,1.2,1004,-1,8,306,13
2020-01-28,-4,-9,0.0,9.8,1,1,18,10:39 AM,09:54 PM,08:28 AM,06:03 PM,-8,-12,-7,-12,20,36,91,0.0,1013,-4,10,318,11
2020-01-29,-6,-17,0.0,9.8,1,1,26,11:01 AM,10:55 PM,08:27 AM,06:05 PM,-14,-16,-11,-16,18,1,88,0.0,1023,-6,10,327,10
2020-01-30,-9,-17,0.0,8.3,1,1,33,11:22 AM,11:56 PM,08:26 AM,06:06 PM,-15,-15,-13,-15,6,50,89,0.0,1028,-9,10,119,3
2020-01-31,-7,-17,0.3,6.6,1,1,37,11:43 AM,No moonset,08:25 AM,06:07 PM,-12,-12,-11,-12,4,62,93,0.8,1025,-7,6,143,3
2020-02-01,-2,-12,0.8,4.9,1,1,49,12:05 PM,12:57 AM,08:24 AM,06:09 PM,-7,-8,-6,-8,7,91,95,1.0,1014,-2,4,166,5
2020-02-02,-1,-8,2.1,4.9,1,1,57,12:30 PM,02:00 AM,08:23 AM,06:10 PM,-5,-7,-5,-7,9,96,97,2.7,1000,-1,2,127,6
2020-02-03,1,-6,0.3,5.0,1,1,64,01:00 PM,03:05 AM,08:22 AM,06:12 PM,-4,-6,-3,-6,16,80,92,0.5,1006,1,9,271,10
2020-02-04,-0,-7,0.0,9.9,1,1,72,01:36 PM,04:10 AM,08:20 AM,06:13 PM,-5,-6,-3,-6,15,51,90,0.0,1011,-0,9,298,9
2020-02-05,-10,-18,0.0,8.3,1,1,79,02:20 PM,05:16 AM,08:19 AM,06:15 PM,-14,-17,-12,-17,15,43,85,0.0,1021,-10,10,266,9
2020-02-06,-4,-12,5.8,5.0,1,1,87,03:15 PM,06:18 AM,08:18 AM,06:16 PM,-8,-12,-7,-12,15,92,95,8.0,1007,-4,3,48,10
2020-02-07,-6,-13,17.2,5.0,1,1,95,04:20 PM,07:16 AM,08:16 AM,06:18 PM,-10,-14,-7,-14,30,95,89,20.2,995,-6,3,114,22
2020-02-08,-15,-25,0.0,10.0,1,1,100,05:35 PM,08:05 AM,08:15 AM,06:19 PM,-21,-27,-20,-27,17,20,89,0.0,1022,-15,10,275,10
2020-02-09,-9,-24,0.3,8.3,1,1,100,06:53 PM,08:46 AM,08:14 AM,06:20 PM,-16,-20,-16,-20,10,57,91,0.4,1030,-9,9,121,6
2020-02-10,0,-6,13.8,5.1,1,1,83,08:13 PM,09:22 AM,08:12 AM,06:22 PM,-3,-5,-2,-5,11,84,96,17.3,1017,0,5,320,7
2020-02-11,-0,-7,0.4,5.1,1,1,75,09:33 PM,09:52 AM,08:11 AM,06:23 PM,-4,-6,-3,-6,15,95,93,0.6,1014,-0,6,214,9
2020-02-12,-1,-9,0.0,8.3,1,1,68,10:50 PM,10:19 AM,08:09 AM,06:25 PM,-6,-10,-4,-10,26,46,88,0.0,1015,-1,10,226,15
2020-02-13,-3,-18,1.0,5.1,1,1,60,No moonrise,10:46 AM,08:08 AM,06:26 PM,-10,-14,-8,-14,20,97,92,2.4,1010,-3,5,332,13
2020-02-14,-17,-27,0.0,10.0,1,1,53,12:07 AM,11:14 AM,08:07 AM,06:28 PM,-24,-28,-21,-28,16,40,87,0.0,1031,-17,9,281,9
2020-02-15,-7,-21,0.5,5.1,1,1,45,01:22 AM,11:44 AM,08:05 AM,06:29 PM,-14,-19,-13,-19,26,90,91,0.7,1027,-7,3,195,16
