date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,25,22,0.0,5.5,1,1,80,03:25 PM,03:54 AM,07:01 AM,06:03 PM,19,27,27,25,33,65,70,0.3,1018,25,10,30,25
2020-01-08,25,21,0.0,10.1,1,1,88,04:14 PM,04:51 AM,07:01 AM,06:03 PM,21,27,27,24,50,65,75,1.1,1020,25,10,50,39
2020-01-09,27,20,0.0,7.0,1,1,95,05:09 PM,05:50 AM,07:01 AM,06:04 PM,23,28,28,25,60,70,78,2.0,1019,27,10,77,44
2020-01-10,27,23,0.0,5.5,1,1,100,06:09 PM,06:49 AM,07:02 AM,06:04 PM,23,30,30,27,56,78,78,1.9,1017,27,10,82,40
2020-01-11,28,23,0.0,5.5,1,1,100,07:12 PM,07:47 AM,07:02 AM,06:05 PM,23,30,30,27,52,70,76,1.5,1017,28,10,100,37
2020-01-12,27,20,0.0,11.0,1,1,83,08:16 PM,08:42 AM,07:02 AM,06:06 PM,23,29,29,26,51,54,76,1.0,1018,27,10,84,37
2020-01-13,27,22,0.0,8.6,1,1,76,09:19 PM,09:32 AM,07:02 AM,06:06 PM,23,29,29,26,49,67,78,4.5,1018,27,10,80,36
2020-01-14,27,20,0.0,5.5,1,1,69,10:20 PM,10:18 AM,07:02 AM,06:07 PM,22,29,29,26,46,64,77,3.0,1018,27,10,84,33
2020-01-15,26,20,0.0,8.6,1,1,61,11:19 PM,11:02 AM,07:02 AM,06:08 PM,22,27,27,25,53,52,76,1.4,1017,26,10,69,40
2020-01-16,27,25,0.0,5.5,1,1,54,No moonrise,11:44 AM,07:02 AM,06:08 PM,23,29,29,26,51,65,78,2.5,1017,27,10,71,37
2020-01-17,27,20,0.0,7.1,1,1,47,12:17 AM,12:25 PM,07:02 AM,06:09 PM,22,28,28,25,59,72,78,5.6,1018,27,10,68,43
2020-01-18,26,24,0.0,8.6,1,1,40,01:15 AM,01:08 PM,07:02 AM,06:10 PM,21,28,28,26,52,64,74,0.8,1018,26,10,87,39
2020-01-19,27,22,0.0,5.5,1,1,32,02:13 AM,01:52 PM,07:02 AM,06:10 PM,22,28,28,26,37,75,75,8.5,1016,27,9,74,26
