date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,38,21,0.0,11.6,1,1,80,02:53 PM,02:39 AM,05:55 AM,05:48 PM,8,31,31,30,11,6,30,0.0,1009,38,10,38,8
2020-01-08,39,22,0.0,11.6,1,1,88,03:46 PM,03:31 AM,05:56 AM,05:49 PM,8,32,32,31,10,6,29,0.0,1008,39,10,50,7
2020-01-09,39,26,0.0,11.6,1,1,95,04:41 PM,04:26 AM,05:56 AM,05:49 PM,8,32,32,32,12,6,25,0.0,1009,39,10,66,8
2020-01-10,38,25,0.0,11.6,1,1,100,05:41 PM,05:25 AM,05:56 AM,05:50 PM,8,32,32,32,7,12,27,0.0,1010,38,10,83,5
2020-01-11,40,20,0.0,11.6,1,1,100,06:41 PM,06:24 AM,05:57 AM,05:50 PM,12,31,31,30,6,3,40,0.0,1011,40,10,101,4
2020-01-12,40,19,0.0,11.6,1,1,83,07:41 PM,07:23 AM,05:57 AM,05:51 PM,10,31,31,30,7,8,34,0.0,1011,40,10,35,5
2020-01-13,42,19,0.0,11.6,1,1,76,08:38 PM,08:19 AM,05:57 AM,05:51 PM,6,32,32,31,5,1,26,0.0,1010,42,10,94,3
2020-01-14,42,21,0.0,11.6,1,1,69,09:34 PM,09:13 AM,05:58 AM,05:52 PM,6,32,32,31,6,6,25,0.0,1008,42,10,46,4
2020-01-15,40,21,0.0,11.6,1,1,61,10:27 PM,10:03 AM,05:58 AM,05:52 PM,5,32,32,31,9,2,22,0.0,1008,40,10,49,6
2020-01-16,40,23,0.0,11.6,1,1,54,11:19 PM,10:52 AM,05:58 AM,05:52 PM,5,32,32,32,11,1,22,0.0,1008,40,10,140,7
2020-01-17,40,22,0.0,11.6,1,1,47,No moonrise,11:40 AM,05:59 AM,05:53 PM,2,32,32,31,14,2,19,0.0,1009,40,10,127,9
2020-01-18,39,21,0.0,11.6,1,1,40,12:10 AM,12:28 PM,05:59 AM,05:53 PM,3,31,31,30,12,6,20,0.0,1009,39,10,34,8
2020-01-19,38,20,0.0,11.6,1,1,32,01:02 AM,01:18 PM,05:59 AM,05:54 PM,4,30,30,30,8,3,23,0.0,1010,38,10,35,6
2020-01-20,38,23,0.0,11.6,1,1,25,01:55 AM,02:08 PM,05:59 AM,05:54 PM,5,31,31,31,9,9,23,0.0,1010,38,10,69,6
2020-01-21,38,21,0.0,11.5,1,1,18,02:49 AM,03:01 PM,06:00 AM,05:54 PM,3,31,31,30,11,1,22,0.0,1009,38,10,41,7
2020-01-22,38,18,0.0,11.6,1,1,11,03:45 AM,03:55 PM,06:00 AM,05:55 PM,1,30,30,29,12,0,19,0.0,1010,38,10,33,7
2020-01-23,37,19,0.0,11.6,1,1,3,04:39 AM,04:49 PM,06:00 AM,05:55 PM,0,29,29,29,11,1,19,0.0,1010,37,10,37,7
2020-01-24,36,17,0.0,11.6,1,1,0,05:32 AM,05:42 PM,06:00 AM,05:55 PM,-2,27,27,27,11,0,17,0.0,1011,36,10,35,7
2020-01-25,36,17,0.0,11.6,1,1,0,06:22 AM,06:33 PM,06:00 AM,05:56 PM,-2,27,27,27,13,0,16,0.0,1012,36,10,36,8
2020-01-26,37,18,0.0,11.6,1,1,4,07:10 AM,07:22 PM,06:00 AM,05:56 PM,-0,28,28,28,11,1,18,0.0,1011,37,10,36,7
2020-01-27,39,19,0.0,8.7,1,1,11,07:55 AM,08:07 PM,06:01 AM,05:56 PM,3,31,31,30,11,1,21,0.0,1010,39,10,35,7
2020-01-28,39,20,0.0,8.7,1,1,18,08:37 AM,08:51 PM,06:01 AM,05:56 PM,3,31,31,30,11,1,20,0.0,1009,39,10,34,7
2020-01-29,39,20,0.0,8.7,1,1,26,09:17 AM,09:34 PM,06:01 AM,05:57 PM,3,30,30,30,9,2,21,0.0,1010,39,10,41,6
2020-01-30,40,21,0.0,8.7,1,1,33,09:57 AM,10:16 PM,06:01 AM,05:57 PM,1,31,31,31,10,1,18,0.0,1010,40,10,234,6
2020-01-31,42,21,0.0,8.7,1,1,37,10:36 AM,10:59 PM,06:01 AM,05:57 PM,2,33,33,32,5,5,19,0.0,1010,42,10,54,3
2020-02-01,38,19,0.0,8.7,1,1,49,11:16 AM,11:43 PM,06:01 AM,05:57 PM,1,30,30,30,10,6,19,0.0,1010,38,10,23,6
2020-02-02,39,20,0.0,8.7,1,1,57,11:58 AM,No moonset,06:01 AM,05:58 PM,3,31,31,30,10,4,20,0.0,1010,39,10,36,6
2020-02-03,42,20,0.0,8.7,1,1,64,12:43 PM,12:28 AM,06:01 AM,05:58 PM,8,32,32,31,7,7,27,0.0,1010,42,10,20,4
2020-02-04,40,21,0.0,8.7,1,1,72,01:32 PM,01:18 AM,06:01 AM,05:58 PM,6,32,32,31,7,4,25,0.0,1010,40,10,121,4
2020-02-05,39,20,0.0,8.7,1,1,79,02:24 PM,02:11 AM,06:01 AM,05:58 PM,9,31,31,30,6,8,32,0.0,1010,39,10,306,4
2020-02-06,41,20,0.0,8.7,1,1,87,03:22 PM,03:07 AM,06:01 AM,05:58 PM,6,32,32,31,8,6,25,0.0,1010,41,10,39,5
2020-02-07,39,24,0.0,8.7,1,1,95,04:21 PM,04:06 AM,06:01 AM,05:58 PM,6,32,32,32,12,7,23,0.0,1009,39,10,31,8
2020-02-08,40,25,0.0,8.7,1,1,100,05:23 PM,05:05 AM,06:01 AM,05:59 PM,6,33,33,33,13,3,22,0.0,1008,40,10,56,9
2020-02-09,40,25,0.0,8.7,1,1,100,06:23 PM,06:04 AM,06:01 AM,05:59 PM,11,32,32,31,7,8,32,0.0,1009,40,10,144,5
2020-02-10,39,22,0.0,8.7,1,1,83,07:21 PM,07:00 AM,06:01 AM,05:59 PM,10,32,32,31,8,3,34,0.0,1010,39,10,42,6
2020-02-11,39,22,0.0,8.7,1,1,75,08:17 PM,07:54 AM,06:01 AM,05:59 PM,5,31,31,31,11,4,22,0.0,1009,39,10,47,7
2020-02-12,37,18,0.0,8.7,1,1,68,09:12 PM,08:45 AM,06:01 AM,05:59 PM,1,29,29,29,12,2,20,0.0,1010,37,10,40,8
2020-02-13,38,19,0.0,8.7,1,1,60,10:05 PM,09:35 AM,06:01 AM,05:59 PM,2,30,30,30,10,2,20,0.0,1010,38,10,32,7
2020-02-14,39,20,0.0,8.7,1,1,53,10:58 PM,10:24 AM,06:01 AM,05:59 PM,3,31,31,30,12,2,20,0.0,1008,39,10,33,8
2020-02-15,40,21,0.0,11.6,1,1,45,11:52 PM,11:15 AM,06:00 AM,05:59 PM,3,33,33,32,11,0,19,0.0,1007,40,10,26,7
2020-02-16,40,22,0.0,11.6,1,1,38,No moonrise,12:06 PM,06:00 AM,05:59 PM,4,33,33,32,8,2,21,0.0,1008,40,10,45,6
2020-02-17,42,23,0.0,11.6,1,1,30,12:46 AM,12:58 PM,06:00 AM,05:59 PM,7,34,34,33,8,13,23,0.0,1007,42,10,287,5
2020-02-18,41,21,0.0,11.6,1,1,22,01:41 AM,01:51 PM,06:00 AM,05:59 PM,14,33,33,32,10,16,46,0.0,1009,41,10,227,6
2020-02-19,43,22,0.0,11.6,1,1,15,02:34 AM,02:44 PM,06:00 AM,05:59 PM,15,33,33,31,8,23,50,0.0,1009,43,10,126,5
2020-02-20,45,22,0.0,11.6,1,1,7,03:28 AM,03:37 PM,06:00 AM,05:59 PM,16,33,33,31,7,25,45,0.0,1007,45,10,175,5
2020-02-21,40,23,0.0,11.6,1,1,0,04:18 AM,04:28 PM,05:59 AM,05:59 PM,13,34,34,33,6,9,37,0.0,1006,40,10,68,4
2020-02-22,42,24,0.0,11.6,1,1,0,05:06 AM,05:17 PM,05:59 AM,05:59 PM,13,35,35,33,6,4,36,0.0,1006,42,10,83,4
2020-02-23,41,26,0.0,11.6,1,1,0,05:52 AM,06:03 PM,05:59 AM,05:59 PM,8,35,35,34,9,2,25,0.0,1007,41,10,22,6
2020-02-24,44,22,0.0,11.6,1,1,0,06:34 AM,06:48 PM,05:59 AM,05:59 PM,7,31,31,31,7,6,25,0.0,1008,44,10,111,4
2020-02-25,41,22,0.0,10.2,1,1,8,07:15 AM,07:31 PM,05:58 AM,05:59 PM,13,33,33,32,8,25,40,0.4,1008,41,10,214,5
2020-02-26,37,23,0.0,10.2,1,1,15,07:55 AM,08:13 PM,05:58 AM,05:59 PM,17,33,33,30,6,29,51,1.8,1007,37,10,115,4
2020-02-27,41,24,0.0,11.6,1,1,23,08:33 AM,08:55 PM,05:58 AM,05:59 PM,10,34,34,33,8,10,33,0.0,1008,41,10,31,6
2020-02-28,43,23,0.0,11.6,1,1,30,09:13 AM,09:38 PM,05:58 AM,05:59 PM,6,34,34,34,8,5,21,0.0,1007,43,10,61,5
2020-02-29,45,25,0.0,11.6,1,1,38,09:54 AM,10:22 PM,05:57 AM,05:59 PM,9,35,35,34,6,7,26,0.0,1007,45,10,173,4
2020-03-01,44,24,0.0,11.6,1,1,44,10:37 AM,11:10 PM,05:57 AM,05:59 PM,16,32,32,31,10,27,44,0.1,1008,44,10,155,6
2020-03-02,38,23,0.0,10.2,1,1,51,11:23 AM,12:00 AM,05:57 AM,05:59 PM,20,30,30,28,11,44,69,1.5,1010,38,10,195,8
2020-03-03,42,23,0.0,11.6,1,1,58,12:12 PM,No moonset,05:56 AM,05:59 PM,17,35,35,33,5,25,51,0.1,1009,42,10,299,3
2020-03-04,42,24,0.0,8.8,1,1,65,01:06 PM,12:53 AM,05:56 AM,05:59 PM,17,34,34,32,8,45,47,1.9,1009,42,10,139,5
2020-03-05,43,24,0.0,11.6,1,1,73,02:03 PM,01:49 AM,05:56 AM,05:59 PM,17,35,35,33,7,14,44,0.0,1008,43,10,213,4
2020-03-06,42,26,0.0,10.2,1,1,80,03:03 PM,02:47 AM,05:55 AM,05:59 PM,16,33,33,32,8,24,41,0.2,1006,42,10,99,5
2020-03-07,41,24,0.0,11.6,1,1,87,04:03 PM,03:45 AM,05:55 AM,05:58 PM,19,34,34,32,10,34,57,1.4,1007,41,10,223,7
2020-03-08,38,23,0.0,11.6,1,1,95,05:02 PM,04:42 AM,05:55 AM,05:58 PM,19,32,32,30,9,15,58,0.0,1008,38,10,231,6
2020-03-09,42,23,0.0,11.6,1,1,100,06:00 PM,05:38 AM,05:54 AM,05:58 PM,17,34,34,32,8,13,48,0.0,1007,42,10,272,5
2020-03-10,44,24,0.0,11.6,1,1,100,06:56 PM,06:31 AM,05:54 AM,05:58 PM,18,34,34,32,9,13,49,0.0,1006,44,10,182,6
2020-03-11,42,24,0.0,11.6,1,1,84,07:52 PM,07:23 AM,05:54 AM,05:58 PM,18,34,34,32,9,8,50,0.0,1006,42,10,179,6
2020-03-12,41,25,0.0,11.6,1,1,76,08:47 PM,08:14 AM,05:53 AM,05:58 PM,19,32,32,30,11,12,57,0.0,1008,41,10,175,9
2020-03-13,38,21,0.0,10.2,1,1,69,09:43 PM,09:06 AM,05:53 AM,05:58 PM,17,31,31,29,5,34,56,0.0,1009,38,9,148,4
2020-03-14,39,24,0.0,11.6,1,1,62,10:39 PM,09:59 AM,05:52 AM,05:57 PM,8,32,32,31,5,11,29,0.0,1008,39,10,52,4
2020-03-15,40,25,0.0,11.6,1,1,55,11:35 PM,10:52 AM,05:52 AM,05:57 PM,3,32,32,32,8,14,18,0.0,1007,40,10,26,5
2020-03-16,41,25,0.0,11.6,1,1,47,No moonrise,11:47 AM,05:52 AM,05:57 PM,7,34,34,33,6,2,22,0.0,1007,41,10,330,4
