date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,24,19,0.0,11.6,1,1,80,06:05 PM,03:53 AM,06:41 AM,08:56 PM,8,21,21,21,10,5,42,0.0,1014,24,10,252,9
2020-01-08,22,16,0.0,10.5,1,1,88,07:08 PM,04:34 AM,06:42 AM,08:56 PM,9,19,19,19,11,24,52,0.3,1015,22,10,247,10
2020-01-09,25,17,0.0,11.6,1,1,95,08:09 PM,05:24 AM,06:42 AM,08:56 PM,6,22,22,21,10,4,42,0.0,1016,25,10,251,8
2020-01-10,24,17,0.0,11.6,1,1,100,09:07 PM,06:20 AM,06:43 AM,08:56 PM,4,21,21,21,12,2,33,0.0,1015,24,10,249,8
2020-01-11,29,22,0.0,11.6,1,1,100,10:01 PM,07:24 AM,06:44 AM,08:56 PM,4,25,25,25,10,0,27,0.0,1012,29,10,249,8
2020-01-12,30,15,0.0,11.6,1,1,83,10:48 PM,08:31 AM,06:45 AM,08:56 PM,6,24,24,23,10,0,30,0.0,1013,30,10,251,8
2020-01-13,25,19,0.0,11.6,1,1,76,11:30 PM,09:41 AM,06:46 AM,08:56 PM,7,23,23,23,13,0,37,0.0,1012,25,10,251,8
2020-01-14,24,16,0.0,11.6,1,1,69,No moonrise,10:50 AM,06:47 AM,08:56 PM,5,22,22,21,15,7,35,0.0,1011,24,10,249,9
2020-01-15,25,18,0.0,11.6,1,1,61,12:08 AM,11:57 AM,06:48 AM,08:55 PM,1,22,22,22,13,5,27,0.0,1013,25,10,247,8
2020-01-16,29,20,0.0,11.6,1,1,54,12:43 AM,01:04 PM,06:49 AM,08:55 PM,-2,25,25,25,10,8,19,0.0,1013,29,10,252,7
2020-01-17,32,21,0.0,11.6,1,1,47,01:17 AM,02:09 PM,06:50 AM,08:55 PM,6,26,26,26,9,14,29,0.0,1013,32,10,252,8
2020-01-18,30,24,0.0,11.6,1,1,40,01:52 AM,03:14 PM,06:51 AM,08:55 PM,8,26,26,27,8,30,31,0.0,1012,30,10,251,7
2020-01-19,29,21,0.0,11.6,1,1,32,02:28 AM,04:18 PM,06:52 AM,08:54 PM,10,25,25,25,9,16,40,0.0,1013,29,10,250,8
2020-01-20,29,21,0.0,11.6,1,1,25,03:08 AM,05:22 PM,06:53 AM,08:54 PM,13,26,26,25,9,3,46,0.0,1014,29,10,252,8
2020-01-21,29,20,0.0,11.6,1,1,18,03:52 AM,06:24 PM,06:54 AM,08:53 PM,9,25,25,26,10,0,36,0.0,1013,29,10,252,8
2020-01-22,26,17,0.0,11.6,1,1,11,04:40 AM,07:22 PM,06:55 AM,08:53 PM,9,23,23,23,12,2,41,0.0,1014,26,10,251,8
2020-01-23,27,21,0.0,11.6,1,1,3,05:34 AM,08:14 PM,06:56 AM,08:53 PM,13,25,25,24,10,7,52,0.0,1016,27,10,249,8
2020-01-24,27,18,0.0,11.6,1,1,0,06:29 AM,09:00 PM,06:57 AM,08:52 PM,11,24,24,23,10,7,49,0.0,1015,27,10,255,8
2020-01-25,24,18,0.0,11.6,1,1,0,07:27 AM,09:41 PM,06:58 AM,08:52 PM,4,24,24,22,13,18,33,0.0,1015,24,10,256,7
2020-01-26,26,20,0.0,11.6,1,1,4,08:24 AM,10:17 PM,06:59 AM,08:51 PM,3,23,23,23,13,3,29,0.0,1016,26,10,254,8
2020-01-27,27,18,0.0,11.6,1,1,11,09:22 AM,10:49 PM,07:00 AM,08:50 PM,5,23,23,23,14,5,33,0.0,1015,27,10,257,8
2020-01-28,27,19,0.0,11.6,1,1,18,10:17 AM,11:19 PM,07:01 AM,08:50 PM,7,23,23,23,10,13,37,0.0,1013,27,10,254,9
2020-01-29,24,17,0.0,9.2,1,1,26,11:11 AM,11:47 PM,07:02 AM,08:49 PM,8,21,21,21,12,38,49,1.7,1015,24,10,248,9
2020-01-30,29,22,0.0,11.6,1,1,33,12:05 PM,No moonset,07:03 AM,08:48 PM,9,25,25,25,9,0,36,0.0,1016,29,10,252,8
2020-01-31,27,17,0.0,11.6,1,1,37,12:59 PM,12:14 AM,07:04 AM,08:48 PM,6,24,24,23,10,0,33,0.0,1015,27,10,253,8
2020-02-01,29,18,0.0,11.6,1,1,49,01:54 PM,12:43 AM,07:05 AM,08:47 PM,7,24,24,24,10,0,35,0.0,1015,29,10,252,8
2020-02-02,25,16,0.0,11.6,1,1,57,02:50 PM,01:14 AM,07:06 AM,08:46 PM,7,23,23,22,14,2,39,0.0,1015,25,10,252,8
2020-02-03,23,13,0.0,11.6,1,1,64,03:49 PM,01:47 AM,07:07 AM,08:46 PM,4,21,21,20,14,2,35,0.0,1014,23,10,251,9
2020-02-04,26,18,0.0,11.6,1,1,72,04:49 PM,02:25 AM,07:08 AM,08:45 PM,7,22,22,22,10,3,44,0.0,1015,26,10,253,9
2020-02-05,18,11,0.0,11.6,1,1,79,05:50 PM,03:10 AM,07:09 AM,08:44 PM,3,16,17,16,15,5,43,0.0,1014,18,10,252,9
2020-02-06,21,15,0.0,11.6,1,1,87,06:50 PM,04:02 AM,07:10 AM,08:43 PM,4,17,18,17,12,2,38,0.0,1016,21,10,247,8
2020-02-07,29,21,0.0,11.6,1,1,95,07:46 PM,05:02 AM,07:11 AM,08:42 PM,4,25,25,25,8,0,27,0.0,1017,29,10,251,7
2020-02-08,30,23,0.0,11.6,1,1,100,08:37 PM,06:08 AM,07:12 AM,08:41 PM,4,26,26,27,8,0,25,0.0,1015,30,10,255,7
2020-02-09,29,23,0.0,11.6,1,1,100,09:23 PM,07:19 AM,07:13 AM,08:41 PM,5,25,25,26,8,0,27,0.0,1016,29,10,254,7
2020-02-10,29,19,0.0,11.6,1,1,83,10:03 PM,08:30 AM,07:14 AM,08:40 PM,7,24,24,24,9,0,34,0.0,1015,29,10,254,7
2020-02-11,28,20,0.0,11.6,1,1,75,10:41 PM,09:42 AM,07:15 AM,08:39 PM,10,25,25,25,9,0,40,0.0,1014,28,10,253,8
2020-02-12,25,15,0.0,10.4,1,1,68,11:17 PM,10:51 AM,07:16 AM,08:38 PM,8,20,21,20,14,18,48,0.0,1013,25,10,250,9
2020-02-13,22,18,0.0,11.6,1,1,60,11:52 PM,11:59 AM,07:17 AM,08:37 PM,5,20,20,20,13,2,38,0.0,1013,22,10,250,8
2020-02-14,25,19,0.0,11.6,1,1,53,No moonrise,01:06 PM,07:17 AM,08:36 PM,-1,22,22,23,10,0,21,0.0,1013,25,10,252,6
2020-02-15,25,18,0.0,11.6,1,1,45,12:29 AM,02:12 PM,07:18 AM,08:35 PM,0,22,22,22,12,0,24,0.0,1012,25,10,250,7
2020-02-16,25,14,0.0,11.6,1,1,38,01:08 AM,03:17 PM,07:19 AM,08:34 PM,5,21,21,21,14,2,37,0.0,1011,25,10,247,8
2020-02-17,22,17,0.0,11.6,1,1,30,01:51 AM,04:18 PM,07:20 AM,08:33 PM,6,19,19,19,12,3,44,0.0,1012,22,10,249,8
2020-02-18,32,23,0.0,11.6,1,1,22,02:37 AM,05:17 PM,07:21 AM,08:32 PM,-0,26,26,26,7,0,19,0.0,1013,32,10,251,6
2020-02-19,29,20,0.0,11.6,1,1,15,03:29 AM,06:10 PM,07:22 AM,08:30 PM,2,25,25,25,8,0,22,0.0,1012,29,10,250,6
2020-02-20,30,17,0.0,11.6,1,1,7,04:23 AM,06:58 PM,07:23 AM,08:29 PM,4,24,24,25,10,0,26,0.0,1014,30,10,250,7
2020-02-21,27,22,0.0,11.6,1,1,0,05:20 AM,07:40 PM,07:24 AM,08:28 PM,9,25,25,25,8,1,38,0.0,1017,27,10,250,7
2020-02-22,25,13,0.0,11.6,1,1,0,06:16 AM,08:17 PM,07:25 AM,08:27 PM,9,22,22,21,11,2,44,0.0,1017,25,10,247,8
2020-02-23,25,15,0.0,11.6,1,1,0,07:14 AM,08:50 PM,07:26 AM,08:26 PM,5,21,21,21,13,0,38,0.0,1015,25,10,248,8
2020-02-24,22,11,0.0,11.6,1,1,0,08:09 AM,09:20 PM,07:27 AM,08:25 PM,6,19,19,19,11,18,46,0.0,1015,22,10,252,8
2020-02-25,23,15,0.0,11.6,1,1,8,09:04 AM,09:49 PM,07:27 AM,08:24 PM,5,20,20,20,10,0,40,0.0,1016,23,10,251,7
2020-02-26,28,19,0.0,11.6,1,1,15,09:58 AM,10:16 PM,07:28 AM,08:22 PM,0,23,23,24,10,0,22,0.0,1015,28,10,256,6
2020-02-27,25,19,0.0,11.6,1,1,23,10:52 AM,10:44 PM,07:29 AM,08:21 PM,1,22,22,23,11,0,25,0.0,1016,25,10,249,7
2020-02-28,26,19,0.0,11.6,1,1,30,11:46 AM,11:13 PM,07:30 AM,08:20 PM,4,23,23,23,11,0,28,0.0,1017,26,10,250,6
2020-02-29,31,24,0.0,11.6,1,1,38,12:41 PM,11:45 PM,07:31 AM,08:19 PM,8,26,26,27,7,0,32,0.0,1017,31,10,253,6
2020-03-01,26,18,0.0,11.6,1,1,44,01:38 PM,No moonset,07:32 AM,08:18 PM,11,23,23,22,11,3,48,0.0,1016,26,10,250,7
2020-03-02,26,18,0.0,11.6,1,1,51,02:36 PM,12:20 AM,07:33 AM,08:16 PM,10,23,23,22,12,0,47,0.0,1016,26,10,251,7
2020-03-03,26,16,0.0,11.6,1,1,58,03:36 PM,01:01 AM,07:33 AM,08:15 PM,9,23,23,22,11,1,45,0.0,1015,26,10,253,7
2020-03-04,25,19,0.0,11.6,1,1,65,04:34 PM,01:48 AM,07:34 AM,08:14 PM,7,23,23,22,12,0,39,0.0,1015,25,10,251,6
2020-03-05,26,20,0.0,11.6,1,1,73,05:31 PM,02:43 AM,07:35 AM,08:13 PM,2,23,23,23,9,3,27,0.0,1013,26,10,262,5
2020-03-06,29,22,0.0,11.6,1,1,80,06:23 PM,03:45 AM,07:36 AM,08:11 PM,5,25,25,26,8,0,27,0.0,1014,29,10,252,6
2020-03-07,26,18,0.0,11.6,1,1,87,07:11 PM,04:52 AM,07:37 AM,08:10 PM,5,22,22,22,11,5,36,0.0,1013,26,10,252,6
2020-03-08,26,17,0.0,11.6,1,1,95,07:54 PM,06:04 AM,07:37 AM,08:09 PM,7,23,23,22,10,3,39,0.0,1014,26,10,255,6
2020-03-09,25,17,0.0,11.6,1,1,100,08:33 PM,07:16 AM,07:38 AM,08:07 PM,4,23,23,22,10,1,32,0.0,1016,25,10,254,6
2020-03-10,28,18,0.0,11.6,1,1,100,09:11 PM,08:27 AM,07:39 AM,08:06 PM,4,23,23,24,11,0,29,0.0,1014,28,10,251,6
2020-03-11,23,14,0.0,11.6,1,1,84,09:47 PM,09:39 AM,07:40 AM,08:05 PM,4,21,21,20,12,22,34,0.0,1013,23,10,253,6
2020-03-12,25,19,0.0,11.6,1,1,76,10:24 PM,10:49 AM,07:41 AM,08:04 PM,8,22,22,22,8,2,40,0.0,1014,25,10,248,7
2020-03-13,26,18,0.0,11.6,1,1,69,11:04 PM,11:59 AM,07:41 AM,08:02 PM,11,23,23,22,9,3,49,0.0,1016,26,10,250,7
2020-03-14,25,15,0.0,11.6,1,1,62,11:47 PM,01:06 PM,07:42 AM,08:01 PM,8,23,23,21,9,0,42,0.0,1017,25,10,250,6
2020-03-15,26,17,0.0,11.6,1,1,55,No moonrise,02:11 PM,07:43 AM,08:00 PM,3,22,22,22,10,0,30,0.0,1016,26,10,251,6
