date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,3,-0,0.0,5.3,1,1,80,02:11 PM,03:46 AM,07:37 AM,05:05 PM,-12,-2,1,-2,14,70,37,0.0,1028,3,10,235,10
2020-01-08,5,-1,0.0,8.7,1,1,88,02:51 PM,04:50 AM,07:37 AM,05:06 PM,-13,-0,2,-0,8,17,32,0.0,1030,5,10,201,7
2020-01-09,2,-2,0.0,8.7,1,1,95,03:38 PM,05:55 AM,07:36 AM,05:07 PM,-10,-1,0,-1,5,14,48,0.0,1028,2,10,103,4
2020-01-10,6,-2,0.0,8.7,1,1,100,04:33 PM,06:57 AM,07:36 AM,05:08 PM,-9,-1,1,-1,9,9,48,0.0,1028,6,10,350,7
2020-01-11,-1,-4,0.0,3.6,1,1,100,05:38 PM,07:55 AM,07:36 AM,05:09 PM,-14,-4,-2,-4,9,78,40,0.0,1028,-1,10,40,7
2020-01-12,1,-8,0.0,8.7,1,1,83,06:47 PM,08:46 AM,07:36 AM,05:10 PM,-12,-3,-2,-3,5,34,43,0.0,1026,1,10,105,4
2020-01-13,0,-3,0.0,8.7,1,1,76,08:00 PM,09:31 AM,07:36 AM,05:11 PM,-17,-5,-2,-5,12,5,30,0.0,1028,0,10,344,10
2020-01-14,-1,-6,0.0,8.7,1,1,69,09:14 PM,10:09 AM,07:35 AM,05:12 PM,-16,-4,-2,-4,6,17,34,0.0,1031,-1,10,117,5
2020-01-15,1,-5,0.0,7.0,1,1,61,10:25 PM,10:43 AM,07:35 AM,05:13 PM,-15,-3,-1,-3,5,31,34,0.0,1031,1,10,121,4
2020-01-16,-0,-4,0.0,3.7,1,1,54,11:36 PM,11:14 AM,07:35 AM,05:14 PM,-16,-3,-2,-3,5,61,33,0.0,1032,-0,10,56,4
2020-01-17,2,-3,0.0,5.4,1,1,47,No moonrise,11:45 AM,07:34 AM,05:15 PM,-14,-1,-0,-1,4,55,34,0.0,1028,2,10,143,3
2020-01-18,1,-1,0.0,5.4,1,1,40,12:46 AM,12:15 PM,07:34 AM,05:16 PM,-9,-1,1,-1,9,33,48,0.0,1024,1,10,182,6
2020-01-19,4,-1,0.0,8.7,1,1,32,01:55 AM,12:47 PM,07:33 AM,05:17 PM,-14,-1,2,-1,12,5,30,0.0,1023,4,10,278,9
2020-01-20,6,0,0.0,8.7,1,1,25,03:03 AM,01:24 PM,07:33 AM,05:19 PM,-14,2,3,2,6,1,28,0.0,1029,6,10,114,6
2020-01-21,3,-1,0.0,8.7,1,1,18,04:10 AM,02:05 PM,07:32 AM,05:20 PM,-13,0,1,0,4,5,34,0.0,1026,3,10,43,4
2020-01-22,7,-1,0.0,8.7,1,1,11,05:14 AM,02:51 PM,07:32 AM,05:21 PM,-11,2,3,2,5,5,36,0.0,1024,7,10,125,4
