date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,23,10,0.0,7.2,1,1,80,03:17 PM,03:03 AM,06:06 AM,05:59 PM,11,16,17,16,4,61,76,1.5,1014,23,10,226,3
2020-01-08,22,9,0.0,7.2,1,1,88,04:10 PM,03:56 AM,06:07 AM,05:59 PM,7,16,17,16,5,49,65,1.2,1015,22,10,201,4
2020-01-09,23,9,0.0,10.2,1,1,95,05:07 PM,04:52 AM,06:07 AM,06:00 PM,8,15,16,15,8,35,69,1.2,1014,23,10,189,5
2020-01-10,22,7,0.0,11.6,1,1,100,06:06 PM,05:52 AM,06:07 AM,06:00 PM,6,14,16,14,13,13,67,0.0,1013,22,10,160,9
2020-01-11,21,7,0.0,10.2,1,1,100,07:07 PM,06:51 AM,06:08 AM,06:00 PM,8,13,14,13,10,47,73,0.4,1014,21,10,149,7
2020-01-12,22,9,0.0,8.8,1,1,83,08:06 PM,07:49 AM,06:08 AM,06:01 PM,10,15,16,15,9,56,77,1.8,1014,22,10,161,7
2020-01-13,21,10,0.0,8.8,1,1,76,09:03 PM,08:44 AM,06:08 AM,06:01 PM,10,15,17,15,9,51,76,0.9,1013,21,10,147,7
2020-01-14,21,10,0.0,7.4,1,1,69,09:58 PM,09:37 AM,06:09 AM,06:02 PM,10,14,15,14,8,54,77,3.3,1012,21,10,166,6
2020-01-15,21,10,0.0,7.4,1,1,61,10:51 PM,10:27 AM,06:09 AM,06:02 PM,11,15,16,15,8,50,78,1.8,1012,21,10,159,6
2020-01-16,21,10,0.0,6.0,1,1,54,11:43 PM,11:15 AM,06:09 AM,06:03 PM,10,14,15,14,10,62,79,1.9,1014,21,10,150,8
2020-01-17,21,11,0.0,6.0,1,1,47,No moonrise,12:03 PM,06:10 AM,06:03 PM,11,15,16,15,10,67,78,1.2,1013,21,10,146,9
