date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,35,25,0.0,10.5,1,1,80,03:19 PM,02:42 AM,05:54 AM,06:15 PM,21,31,31,29,8,65,64,17.4,1009,35,9,331,5
2020-01-08,31,25,0.0,10.5,1,1,88,04:13 PM,03:32 AM,05:55 AM,06:16 PM,21,30,30,27,8,67,71,22.4,1011,31,8,263,5
2020-01-09,29,23,0.0,7.9,1,1,95,05:10 PM,04:25 AM,05:55 AM,06:16 PM,21,27,27,25,9,66,80,14.2,1012,29,9,150,6
2020-01-10,26,22,0.0,10.5,1,1,100,06:09 PM,05:24 AM,05:56 AM,06:17 PM,20,25,25,22,7,65,86,13.1,1014,26,8,195,5
2020-01-11,32,21,0.0,10.5,1,1,100,07:09 PM,06:23 AM,05:56 AM,06:17 PM,19,28,28,26,7,57,69,0.6,1014,32,10,212,5
2020-01-12,35,24,0.0,12.6,1,1,83,08:06 PM,07:24 AM,05:57 AM,06:17 PM,19,30,30,28,4,34,61,0.0,1012,35,10,56,3
2020-01-13,37,25,0.0,12.6,1,1,76,09:01 PM,08:22 AM,05:57 AM,06:18 PM,19,32,32,30,5,19,56,0.0,1011,37,10,75,3
2020-01-14,36,25,0.0,12.6,1,1,69,09:53 PM,09:19 AM,05:57 AM,06:18 PM,20,32,32,30,6,15,57,0.0,1009,36,10,182,4
2020-01-15,37,25,0.0,11.9,1,1,61,10:43 PM,10:13 AM,05:58 AM,06:18 PM,21,33,33,30,6,56,62,1.2,1009,37,10,304,4
2020-01-16,37,25,0.0,9.2,1,1,54,11:31 PM,11:06 AM,05:58 AM,06:18 PM,21,32,32,30,7,53,62,1.1,1010,37,10,249,5
2020-01-17,34,25,0.0,9.2,1,1,47,No moonrise,11:57 AM,05:59 AM,06:19 PM,22,31,31,28,12,70,68,10.0,1011,34,9,249,8
2020-01-18,32,24,0.0,7.9,1,1,40,12:19 AM,12:48 PM,05:59 AM,06:19 PM,21,29,29,27,11,71,73,19.3,1012,32,8,249,8
2020-01-19,33,25,0.0,11.9,1,1,32,01:08 AM,01:41 PM,05:59 AM,06:19 PM,21,30,30,28,8,49,69,11.6,1012,33,9,241,5
2020-01-20,36,25,0.0,9.0,1,1,25,01:58 AM,02:34 PM,06:00 AM,06:19 PM,21,32,32,29,6,72,66,10.8,1011,36,9,215,4
2020-01-21,33,24,0.0,9.0,1,1,18,02:50 AM,03:29 PM,06:00 AM,06:20 PM,22,31,31,28,10,65,70,17.4,1011,33,9,205,7
2020-01-22,33,25,0.0,8.8,1,1,11,03:43 AM,04:24 PM,06:01 AM,06:20 PM,22,32,32,29,9,54,69,5.3,1011,33,9,250,6
2020-01-23,36,25,0.0,11.6,1,1,3,04:37 AM,05:18 PM,06:01 AM,06:20 PM,21,32,32,29,7,47,64,3.5,1010,36,10,285,5
2020-01-24,34,25,0.0,6.1,1,1,0,05:31 AM,06:10 PM,06:01 AM,06:20 PM,21,31,31,28,8,70,67,6.6,1011,34,9,280,5
2020-01-25,34,25,0.0,8.8,1,1,0,06:23 AM,06:59 PM,06:02 AM,06:20 PM,21,30,30,28,6,36,66,0.4,1011,34,10,280,5
2020-01-26,37,26,0.0,8.8,1,1,4,07:13 AM,07:45 PM,06:02 AM,06:20 PM,20,32,32,30,6,48,59,1.2,1011,37,10,176,4
2020-01-27,33,25,0.0,7.5,1,1,11,08:00 AM,08:28 PM,06:02 AM,06:21 PM,21,30,30,28,8,47,68,8.1,1012,33,10,259,6
2020-01-28,33,25,0.0,7.5,1,1,18,08:44 AM,09:10 PM,06:02 AM,06:21 PM,21,31,31,28,7,48,67,1.2,1011,33,10,276,5
2020-01-29,35,25,0.0,8.8,1,1,26,09:28 AM,09:50 PM,06:03 AM,06:21 PM,21,31,31,29,8,62,64,8.5,1011,35,9,297,5
2020-01-30,36,25,0.0,6.1,1,1,33,10:10 AM,10:28 PM,06:03 AM,06:21 PM,21,31,31,28,10,72,66,8.4,1012,36,9,233,6
2020-01-31,35,24,0.0,10.2,1,1,37,10:52 AM,11:08 PM,06:03 AM,06:21 PM,20,31,31,28,10,64,66,2.9,1012,35,10,240,7
2020-02-01,34,25,0.0,8.8,1,1,49,11:35 AM,11:49 PM,06:03 AM,06:21 PM,21,31,31,28,8,68,67,6.7,1012,34,10,239,6
2020-02-02,34,25,0.0,7.5,1,1,57,12:20 PM,No moonset,06:04 AM,06:21 PM,21,31,31,28,9,74,68,24.2,1012,34,8,247,6
2020-02-03,31,24,0.0,7.5,1,1,64,01:08 PM,12:32 AM,06:04 AM,06:21 PM,21,28,28,26,10,68,73,14.2,1012,31,9,227,7
2020-02-04,24,23,0.0,6.1,1,1,72,01:59 PM,01:20 AM,06:04 AM,06:21 PM,21,26,26,24,7,81,84,17.1,1014,24,8,287,5
2020-02-05,34,23,0.0,10.2,1,1,79,02:53 PM,02:10 AM,06:04 AM,06:21 PM,20,30,30,27,6,55,68,0.4,1012,34,10,217,4
2020-02-06,36,24,0.0,8.8,1,1,87,03:51 PM,03:05 AM,06:05 AM,06:21 PM,21,31,31,29,4,48,66,6.3,1011,36,9,246,3
2020-02-07,35,25,0.0,11.6,1,1,95,04:50 PM,04:04 AM,06:05 AM,06:21 PM,21,33,33,30,8,58,63,7.9,1010,35,9,80,6
2020-02-08,34,24,0.0,8.8,1,1,100,05:50 PM,05:05 AM,06:05 AM,06:21 PM,21,30,30,28,13,68,71,19.1,1011,34,8,232,8
2020-02-09,34,24,0.0,10.2,1,1,100,06:47 PM,06:06 AM,06:05 AM,06:21 PM,21,31,31,29,12,65,69,13.5,1012,34,9,166,8
2020-02-10,30,24,0.0,10.2,1,1,83,07:42 PM,07:05 AM,06:05 AM,06:21 PM,21,28,28,26,8,51,73,11.1,1012,30,9,150,5
2020-02-11,35,24,0.0,8.8,1,1,75,08:34 PM,08:02 AM,06:05 AM,06:21 PM,21,31,31,28,9,62,67,4.3,1011,35,9,196,6
2020-02-12,34,24,0.0,6.1,1,1,68,09:25 PM,08:57 AM,06:05 AM,06:20 PM,21,31,31,28,7,81,68,11.0,1011,34,9,85,5
2020-02-13,35,25,0.0,7.5,1,1,60,10:15 PM,09:51 AM,06:05 AM,06:20 PM,21,32,32,29,7,75,65,2.5,1010,35,10,283,5
2020-02-14,34,25,0.0,8.8,1,1,53,11:04 PM,10:44 AM,06:06 AM,06:20 PM,21,32,32,29,8,67,66,14.2,1010,34,9,260,6
2020-02-15,34,25,0.0,8.8,1,1,45,11:55 PM,11:38 AM,06:06 AM,06:20 PM,22,31,31,28,7,69,69,10.9,1009,34,9,126,5
2020-02-16,34,25,0.0,11.6,1,1,38,No moonrise,12:31 PM,06:06 AM,06:20 PM,21,31,31,28,8,54,66,4.4,1010,34,10,225,5
2020-02-17,28,24,0.0,8.8,1,1,30,12:46 AM,01:26 PM,06:06 AM,06:20 PM,21,28,28,26,9,55,76,5.2,1012,28,8,188,7
2020-02-18,33,23,0.0,10.2,1,1,22,01:40 AM,02:20 PM,06:06 AM,06:19 PM,20,30,30,28,6,54,66,0.9,1012,33,10,300,5
2020-02-19,28,23,0.0,8.8,1,1,15,02:33 AM,03:14 PM,06:06 AM,06:19 PM,21,27,27,25,7,60,81,54.4,1012,28,7,211,4
2020-02-20,35,22,0.0,11.6,1,1,7,03:26 AM,04:05 PM,06:06 AM,06:19 PM,21,31,31,28,6,31,67,0.1,1009,35,10,64,5
2020-02-21,35,26,0.0,11.6,1,1,0,04:17 AM,04:55 PM,06:06 AM,06:19 PM,21,33,33,30,6,36,58,0.8,1008,35,10,68,4
2020-02-22,36,26,0.0,11.6,1,1,0,05:08 AM,05:42 PM,06:06 AM,06:19 PM,21,33,33,30,8,41,60,6.0,1009,36,9,69,5
2020-02-23,32,25,0.0,10.2,1,1,0,05:55 AM,06:25 PM,06:06 AM,06:18 PM,22,31,31,28,12,57,72,16.7,1010,32,9,234,9
2020-02-24,34,23,0.0,8.8,1,1,0,06:40 AM,07:07 PM,06:06 AM,06:18 PM,21,30,30,28,10,40,68,7.8,1011,34,9,175,7
2020-02-25,37,25,0.0,11.6,1,1,8,07:24 AM,07:47 PM,06:06 AM,06:18 PM,21,33,33,30,5,30,62,2.7,1009,37,10,82,4
2020-02-26,36,25,0.0,10.2,1,1,15,08:07 AM,08:26 PM,06:06 AM,06:18 PM,22,33,33,29,8,66,67,14.0,1009,36,9,270,5
2020-02-27,34,25,0.0,11.6,1,1,23,08:49 AM,09:06 PM,06:06 AM,06:17 PM,21,32,32,29,6,39,66,3.4,1010,34,10,289,5
2020-02-28,34,25,0.0,8.8,1,1,30,09:31 AM,09:46 PM,06:06 AM,06:17 PM,22,32,32,29,7,66,68,21.4,1010,34,8,244,4
2020-02-29,31,23,0.0,8.8,1,1,38,10:15 AM,10:27 PM,06:06 AM,06:17 PM,21,28,28,26,14,66,75,43.9,1011,31,8,260,8
2020-03-01,32,23,0.0,11.6,1,1,44,11:00 AM,11:12 PM,06:05 AM,06:16 PM,21,30,30,27,9,42,71,1.3,1012,32,10,206,6
2020-03-02,37,24,0.0,7.4,1,1,51,11:49 AM,12:00 AM,06:05 AM,06:16 PM,21,33,33,29,6,60,67,7.1,1012,37,9,151,4
2020-03-03,28,24,0.0,11.6,1,1,58,12:40 PM,No moonset,06:05 AM,06:16 PM,22,28,28,26,5,47,79,0.9,1013,28,10,234,4
2020-03-04,36,24,0.0,10.2,1,1,65,01:35 PM,12:51 AM,06:05 AM,06:15 PM,22,33,33,29,7,48,68,1.4,1012,36,10,230,5
2020-03-05,33,25,0.0,7.4,1,1,73,02:32 PM,01:47 AM,06:05 AM,06:15 PM,21,31,31,28,8,69,67,1.6,1011,33,10,284,6
2020-03-06,33,25,0.0,6.1,1,1,80,03:31 PM,02:45 AM,06:05 AM,06:15 PM,22,32,32,28,9,66,70,6.0,1010,33,9,268,6
