date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,24,13,0.0,11.6,1,1,80,02:50 PM,02:52 AM,05:55 AM,05:30 PM,12,18,19,18,18,10,76,0.0,1013,24,10,54,12
2020-01-08,24,14,0.0,10.2,1,1,88,03:42 PM,03:46 AM,05:56 AM,05:31 PM,14,18,19,18,19,35,79,0.8,1014,24,10,53,14
2020-01-09,26,15,0.0,11.6,1,1,95,04:38 PM,04:43 AM,05:56 AM,05:31 PM,14,21,21,20,20,22,74,0.1,1012,26,10,58,15
2020-01-10,26,14,0.0,10.2,1,1,100,05:39 PM,05:43 AM,05:56 AM,05:32 PM,13,18,20,18,19,21,74,0.1,1010,26,10,57,13
2020-01-11,26,16,0.0,10.2,1,1,100,06:39 PM,06:41 AM,05:57 AM,05:32 PM,16,21,21,20,12,39,81,0.4,1010,26,9,50,9
2020-01-12,25,16,0.0,8.7,1,1,83,07:41 PM,07:39 AM,05:57 AM,05:33 PM,15,19,20,19,16,48,81,0.6,1011,25,10,55,12
2020-01-13,24,15,0.0,8.7,1,1,76,08:40 PM,08:32 AM,05:57 AM,05:33 PM,15,18,19,18,20,53,81,1.8,1011,24,10,57,14
2020-01-14,25,15,0.0,10.2,1,1,69,09:37 PM,09:23 AM,05:57 AM,05:34 PM,14,18,19,18,21,25,76,0.2,1011,25,10,55,15
2020-01-15,25,15,0.0,10.2,1,1,61,10:31 PM,10:10 AM,05:58 AM,05:34 PM,14,18,19,18,18,34,79,0.3,1011,25,10,56,13
2020-01-16,26,14,0.0,10.2,1,1,54,11:26 PM,10:56 AM,05:58 AM,05:35 PM,15,19,20,19,17,26,77,0.2,1011,26,10,52,12
2020-01-17,26,15,0.0,10.2,1,1,47,No moonrise,11:42 AM,05:58 AM,05:35 PM,15,19,20,19,20,33,78,0.5,1010,26,10,54,13
2020-01-18,24,17,0.0,8.7,1,1,40,12:19 AM,12:28 PM,05:58 AM,05:36 PM,16,20,21,20,19,61,82,1.0,1010,24,10,57,14
2020-01-19,24,14,0.0,7.3,1,1,32,01:14 AM,01:16 PM,05:58 AM,05:36 PM,15,18,19,18,18,70,84,1.5,1011,24,10,55,11
2020-01-20,23,15,0.0,5.9,1,1,25,02:09 AM,02:05 PM,05:58 AM,05:37 PM,15,19,20,19,18,78,86,6.7,1013,23,9,52,10
