date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,39,20,0.0,11.6,1,1,80,03:29 PM,03:21 AM,06:35 AM,06:19 PM,6,30,30,29,7,4,26,0.0,1010,39,10,323,4
2020-01-08,38,20,0.0,11.6,1,1,88,04:20 PM,04:14 AM,06:35 AM,06:20 PM,9,29,29,29,5,14,33,0.0,1011,38,10,219,3
2020-01-09,38,21,0.0,11.6,1,1,95,05:16 PM,05:10 AM,06:35 AM,06:20 PM,11,30,30,30,6,13,35,0.0,1011,38,10,119,3
2020-01-10,38,21,0.0,11.6,1,1,100,06:15 PM,06:09 AM,06:36 AM,06:21 PM,17,30,30,29,11,11,56,0.0,1011,38,10,153,7
2020-01-11,37,22,0.0,8.8,1,1,100,07:16 PM,07:08 AM,06:36 AM,06:21 PM,20,31,31,28,8,48,70,0.3,1012,37,8,201,5
2020-01-12,37,23,0.0,11.6,1,1,83,08:16 PM,08:06 AM,06:36 AM,06:22 PM,18,31,31,30,8,29,57,0.3,1011,37,10,134,5
2020-01-13,38,23,0.0,11.6,1,1,76,09:15 PM,09:02 AM,06:37 AM,06:22 PM,16,31,31,30,9,16,50,0.0,1010,38,10,140,6
2020-01-14,37,22,0.0,11.6,1,1,69,10:11 PM,09:54 AM,06:37 AM,06:23 PM,10,29,29,29,9,7,40,0.0,1009,37,10,57,6
2020-01-15,37,21,0.0,11.6,1,1,61,11:05 PM,10:43 AM,06:37 AM,06:23 PM,7,29,29,29,8,6,29,0.0,1010,37,10,137,5
2020-01-16,38,20,0.0,11.6,1,1,54,11:58 PM,11:31 AM,06:37 AM,06:24 PM,10,29,29,29,9,14,41,0.0,1011,38,9,134,6
2020-01-17,40,20,0.0,10.2,1,1,47,No moonrise,12:17 PM,06:38 AM,06:24 PM,14,30,30,29,8,17,48,0.0,1012,40,10,210,5
2020-01-18,38,21,0.0,11.6,1,1,40,12:50 AM,01:05 PM,06:38 AM,06:25 PM,17,31,31,29,7,21,56,0.0,1012,38,9,117,5
2020-01-19,38,22,0.0,11.6,1,1,32,01:44 AM,01:54 PM,06:38 AM,06:25 PM,13,30,30,30,7,1,44,0.0,1011,38,10,65,5
2020-01-20,38,21,0.0,11.6,1,1,25,02:37 AM,02:44 PM,06:38 AM,06:25 PM,18,30,30,29,9,19,59,0.0,1010,38,9,180,6
2020-01-21,37,23,0.0,10.2,1,1,18,03:33 AM,03:36 PM,06:38 AM,06:26 PM,20,32,32,29,9,27,62,0.0,1010,37,10,131,6
2020-01-22,37,23,0.0,10.2,1,1,11,04:28 AM,04:30 PM,06:39 AM,06:26 PM,20,32,32,30,8,39,60,3.6,1010,37,10,143,6
2020-01-23,39,24,0.0,11.6,1,1,3,05:23 AM,05:24 PM,06:39 AM,06:27 PM,17,32,32,31,9,9,51,0.0,1010,39,10,112,6
2020-01-24,38,23,0.0,11.6,1,1,0,06:15 AM,06:17 PM,06:39 AM,06:27 PM,8,30,30,30,7,3,31,0.0,1010,38,10,61,5
2020-01-25,37,21,0.0,11.6,1,1,0,07:05 AM,07:08 PM,06:39 AM,06:27 PM,9,29,29,29,6,1,31,0.0,1011,37,10,155,4
2020-01-26,39,21,0.0,10.2,1,1,4,07:52 AM,07:57 PM,06:39 AM,06:28 PM,16,31,31,29,6,20,54,0.0,1012,39,10,145,4
2020-01-27,38,22,0.0,10.2,1,1,11,08:36 AM,08:43 PM,06:39 AM,06:28 PM,17,32,32,30,6,28,53,0.0,1011,38,9,186,4
2020-01-28,38,23,0.0,10.2,1,1,18,09:17 AM,09:29 PM,06:39 AM,06:28 PM,19,31,31,30,8,22,57,0.0,1011,38,10,163,5
2020-01-29,39,23,0.0,11.6,1,1,26,09:56 AM,10:12 PM,06:39 AM,06:29 PM,13,32,32,31,7,1,43,0.0,1011,39,10,109,4
2020-01-30,39,21,0.0,11.6,1,1,33,10:34 AM,10:55 PM,06:39 AM,06:29 PM,6,31,31,31,6,2,25,0.0,1012,39,10,114,4
