date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,4,-1,0.0,8.7,1,1,80,01:48 PM,04:00 AM,07:37 AM,04:27 PM,-7,1,1,1,3,7,54,0.0,1029,4,10,102,2
2020-01-08,6,-0,0.0,8.7,1,1,88,02:25 PM,05:08 AM,07:37 AM,04:28 PM,-4,2,2,2,6,9,63,0.0,1032,6,10,234,4
2020-01-09,6,-0,0.0,8.7,1,1,95,03:13 PM,06:14 AM,07:37 AM,04:30 PM,-2,1,2,1,6,14,77,0.0,1027,6,10,181,3
2020-01-10,8,1,0.0,8.7,1,1,100,04:11 PM,07:17 AM,07:36 AM,04:31 PM,0,3,4,3,10,40,77,0.0,1023,8,10,242,6
2020-01-11,7,2,0.0,5.1,1,1,100,05:19 PM,08:12 AM,07:36 AM,04:32 PM,2,4,4,4,5,57,83,0.0,1030,7,10,63,3
2020-01-12,6,-1,0.0,8.7,1,1,83,06:33 PM,08:59 AM,07:35 AM,04:33 PM,1,3,4,3,2,8,79,0.0,1030,6,10,178,2
2020-01-13,6,0,0.0,8.7,1,1,76,07:50 PM,09:38 AM,07:35 AM,04:34 PM,-1,2,2,2,4,36,82,0.0,1027,6,10,195,3
2020-01-14,9,1,0.0,8.7,1,1,69,09:08 PM,10:10 AM,07:35 AM,04:36 PM,1,3,4,3,9,9,81,0.0,1025,9,10,224,6
2020-01-15,9,2,0.0,8.7,1,1,61,10:24 PM,10:38 AM,07:34 AM,04:37 PM,3,4,5,4,8,3,84,0.0,1027,9,10,199,5
2020-01-16,8,2,0.0,8.7,1,1,54,11:40 PM,11:05 AM,07:33 AM,04:38 PM,1,4,5,4,5,19,81,0.0,1031,8,10,233,3
2020-01-17,5,1,0.0,8.7,1,1,47,No moonrise,11:30 AM,07:33 AM,04:40 PM,-1,2,2,2,4,34,80,0.0,1027,5,10,116,3
2020-01-18,5,-2,0.0,6.9,1,1,40,12:53 AM,11:57 AM,07:32 AM,04:41 PM,-1,1,2,1,3,55,83,1.3,1025,5,10,38,2
2020-01-19,4,1,0.3,3.4,1,1,32,02:07 AM,12:26 PM,07:31 AM,04:42 PM,1,1,2,1,7,98,89,0.7,1030,4,9,28,5
2020-01-20,4,2,1.4,3.4,1,1,25,03:19 AM,01:00 PM,07:31 AM,04:44 PM,1,1,2,1,8,99,90,1.7,1043,4,7,50,5
2020-01-21,6,1,0.1,8.7,1,1,18,04:28 AM,01:39 PM,07:30 AM,04:45 PM,-0,3,3,3,4,34,80,0.1,1043,6,10,207,3
2020-01-22,7,-0,0.0,8.7,1,1,11,05:34 AM,02:25 PM,07:29 AM,04:46 PM,-1,2,3,2,5,4,75,0.0,1033,7,10,123,4
2020-01-23,7,0,0.0,8.7,1,1,3,06:31 AM,03:19 PM,07:28 AM,04:48 PM,-1,3,3,3,3,2,74,0.0,1034,7,10,251,3
2020-01-24,6,-1,0.0,8.7,1,1,0,07:20 AM,04:18 PM,07:27 AM,04:49 PM,-1,2,3,2,6,4,75,0.0,1028,6,10,203,4
2020-01-25,7,2,0.0,3.5,1,1,0,08:01 AM,05:21 PM,07:26 AM,04:51 PM,3,4,5,4,8,51,91,0.0,1024,7,8,206,4
2020-01-26,8,3,0.0,3.5,1,1,4,08:34 AM,06:25 PM,07:25 AM,04:52 PM,4,5,5,5,4,85,91,0.0,1021,8,6,88,3
2020-01-27,7,2,0.0,5.2,1,1,11,09:03 AM,07:29 PM,07:24 AM,04:54 PM,3,4,5,4,5,73,87,0.0,1019,7,8,200,3
2020-01-28,11,3,0.0,3.5,1,1,18,09:27 AM,08:31 PM,07:23 AM,04:55 PM,4,5,7,5,21,89,82,5.3,1007,11,9,216,11
2020-01-29,9,3,0.0,7.0,1,1,26,09:49 AM,09:33 PM,07:22 AM,04:57 PM,2,5,6,5,7,48,82,7.4,1010,9,10,192,5
2020-01-30,9,2,0.0,8.7,1,1,33,10:10 AM,10:33 PM,07:21 AM,04:58 PM,1,4,5,4,12,48,75,0.6,1019,9,9,202,7
2020-01-31,13,6,0.0,8.7,1,1,37,10:30 AM,11:35 PM,07:20 AM,04:59 PM,5,7,9,7,22,16,75,0.0,1017,13,10,247,13
2020-02-01,14,6,0.0,8.7,1,1,49,10:52 AM,No moonset,07:19 AM,05:01 PM,7,9,10,9,19,26,80,0.0,1016,14,10,234,11
2020-02-02,13,8,0.0,5.4,1,1,57,11:16 AM,12:38 AM,07:18 AM,05:02 PM,7,10,11,10,14,49,78,0.0,1016,13,10,224,8
2020-02-03,15,8,0.0,8.7,1,1,64,11:44 AM,01:42 AM,07:16 AM,05:04 PM,7,11,11,11,10,43,76,0.0,1015,15,10,215,6
2020-02-04,14,5,0.0,3.7,1,1,72,12:17 PM,02:48 AM,07:15 AM,05:05 PM,4,8,9,8,16,94,70,2.9,1006,14,10,296,11
2020-02-05,8,3,0.0,8.7,1,1,79,12:59 PM,03:54 AM,07:14 AM,05:07 PM,-5,0,4,0,32,24,53,0.0,1016,8,10,5,23
2020-02-06,8,1,0.0,8.7,1,1,87,01:52 PM,04:58 AM,07:13 AM,05:08 PM,-6,2,4,2,13,5,48,0.0,1028,8,10,274,8
2020-02-07,8,1,0.0,8.7,1,1,95,02:54 PM,05:57 AM,07:11 AM,05:10 PM,-5,4,5,4,4,22,52,0.0,1028,8,10,253,3
2020-02-08,8,2,0.0,8.7,1,1,100,04:07 PM,06:48 AM,07:10 AM,05:11 PM,-0,5,5,5,4,16,68,0.0,1029,8,10,146,3
2020-02-09,11,1,0.0,8.7,1,1,100,05:25 PM,07:31 AM,07:08 AM,05:13 PM,1,4,6,4,17,22,73,0.0,1027,11,10,226,11
2020-02-10,15,7,0.0,7.1,1,1,83,06:45 PM,08:07 AM,07:07 AM,05:14 PM,5,9,11,9,35,64,67,0.9,1013,15,10,238,23
2020-02-11,10,5,0.0,5.4,1,1,75,08:05 PM,08:38 AM,07:05 AM,05:16 PM,4,7,8,7,12,39,74,0.3,1008,10,10,101,7
2020-02-12,10,4,0.0,8.7,1,1,68,09:24 PM,09:06 AM,07:04 AM,05:17 PM,1,6,6,6,8,26,70,0.0,1018,10,10,114,6
