date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,23,16,0.0,8.4,1,1,80,04:22 PM,05:04 AM,08:12 AM,06:59 PM,16,20,21,20,20,46,78,1.1,1021,23,10,32,12
2020-01-08,23,18,0.0,10.9,1,1,88,05:11 PM,06:02 AM,08:12 AM,07:00 PM,16,20,21,20,33,34,78,0.7,1023,23,10,52,20
2020-01-09,26,18,0.0,8.5,1,1,95,06:05 PM,07:02 AM,08:12 AM,07:01 PM,18,23,23,21,34,41,81,0.2,1023,26,10,86,21
2020-01-10,28,21,0.0,10.9,1,1,100,07:06 PM,08:01 AM,08:12 AM,07:01 PM,20,26,26,24,38,34,81,0.1,1020,28,10,99,23
2020-01-11,28,21,0.0,10.9,1,1,100,08:09 PM,08:59 AM,08:12 AM,07:02 PM,20,26,26,24,29,27,80,0.0,1020,28,10,139,18
2020-01-12,29,20,0.0,10.9,1,1,83,09:14 PM,09:52 AM,08:13 AM,07:03 PM,20,26,26,24,23,10,80,0.0,1021,29,10,115,14
2020-01-13,28,21,0.0,10.9,1,1,76,10:18 PM,10:41 AM,08:13 AM,07:04 PM,20,26,26,24,31,24,80,0.1,1022,28,10,92,20
2020-01-14,28,21,0.0,10.9,1,1,69,11:22 PM,11:26 AM,08:13 AM,07:04 PM,19,25,25,24,28,10,80,0.0,1021,28,10,90,18
2020-01-15,27,18,0.0,10.9,1,1,61,No moonrise,12:08 PM,08:13 AM,07:05 PM,18,22,22,22,28,7,81,0.0,1021,27,10,77,17
2020-01-16,27,19,0.0,10.9,1,1,54,12:22 AM,12:48 PM,08:13 AM,07:06 PM,19,23,23,22,27,25,82,0.0,1021,27,10,64,17
2020-01-17,26,19,0.0,10.9,1,1,47,01:23 AM,01:28 PM,08:13 AM,07:06 PM,18,22,22,22,32,8,80,0.0,1022,26,10,71,20
2020-01-18,27,19,0.0,7.0,1,1,40,02:22 AM,02:08 PM,08:13 AM,07:07 PM,19,23,23,22,30,46,81,0.5,1021,27,10,100,19
2020-01-19,28,19,0.0,11.0,1,1,32,03:22 AM,02:51 PM,08:12 AM,07:08 PM,19,25,25,23,20,31,80,0.2,1019,28,10,170,12
2020-01-20,25,20,0.0,7.0,1,1,25,04:22 AM,03:37 PM,08:12 AM,07:09 PM,19,23,23,22,21,53,83,3.2,1018,25,10,8,15
2020-01-21,20,16,0.0,8.5,1,1,18,05:22 AM,04:26 PM,08:12 AM,07:09 PM,13,18,18,18,37,48,70,0.6,1019,20,10,236,25
2020-01-22,17,14,0.0,8.5,1,1,11,06:19 AM,05:18 PM,08:12 AM,07:10 PM,9,14,15,14,32,54,67,1.2,1019,17,10,4,22
2020-01-23,24,16,0.0,5.5,1,1,3,07:14 AM,06:12 PM,08:12 AM,07:11 PM,15,19,19,19,9,64,79,2.3,1016,24,10,126,6
2020-01-24,25,18,0.0,8.5,1,1,0,08:04 AM,07:08 PM,08:12 AM,07:11 PM,15,21,21,20,12,38,73,0.0,1016,25,10,218,7
