date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,29,25,0.0,8.6,1,1,80,03:57 PM,03:59 AM,07:05 AM,06:38 PM,22,30,30,27,14,48,75,0.7,1013,29,10,237,10
2020-01-08,31,25,0.0,11.3,1,1,88,04:48 PM,04:54 AM,07:05 AM,06:38 PM,22,30,30,28,20,39,72,2.4,1014,31,10,232,14
2020-01-09,30,24,0.0,11.3,1,1,95,05:45 PM,05:51 AM,07:06 AM,06:39 PM,20,29,29,27,22,6,63,0.0,1014,30,10,250,15
2020-01-10,30,25,0.0,11.3,1,1,100,06:44 PM,06:50 AM,07:06 AM,06:39 PM,20,29,29,27,19,14,66,0.0,1013,30,10,186,14
2020-01-11,30,25,0.0,11.3,1,1,100,07:46 PM,07:49 AM,07:06 AM,06:40 PM,20,30,30,28,18,10,64,0.0,1013,30,10,228,12
2020-01-12,31,24,0.0,11.3,1,1,83,08:47 PM,08:46 AM,07:06 AM,06:40 PM,20,30,30,28,17,7,64,0.0,1014,31,10,214,12
2020-01-13,31,24,0.0,11.3,1,1,76,09:46 PM,09:40 AM,07:07 AM,06:41 PM,20,29,29,27,19,13,64,0.0,1013,31,10,206,13
2020-01-14,29,25,0.0,11.3,1,1,69,10:43 PM,10:30 AM,07:07 AM,06:41 PM,20,29,29,27,22,43,64,0.1,1013,29,10,221,15
2020-01-15,30,25,0.0,11.4,1,1,61,11:39 PM,11:18 AM,07:07 AM,06:42 PM,21,30,30,27,17,32,69,0.5,1011,30,10,227,12
2020-01-16,30,26,0.0,11.4,1,1,54,No moonrise,12:03 PM,07:07 AM,06:42 PM,22,31,31,28,20,32,69,1.5,1012,30,10,268,14
2020-01-17,31,26,0.0,11.4,1,1,47,12:33 AM,12:49 PM,07:08 AM,06:43 PM,22,32,32,29,21,28,67,0.2,1012,31,10,255,15
2020-01-18,31,26,0.0,11.4,1,1,40,01:27 AM,01:35 PM,07:08 AM,06:43 PM,22,31,31,28,22,27,67,0.0,1012,31,10,210,16
2020-01-19,31,26,0.0,11.4,1,1,32,02:21 AM,02:22 PM,07:08 AM,06:44 PM,21,31,31,28,14,22,67,0.0,1011,31,10,229,10
2020-01-20,31,27,0.0,11.4,1,1,25,03:17 AM,03:12 PM,07:08 AM,06:44 PM,22,32,32,28,15,15,70,0.0,1011,31,10,250,11
2020-01-21,31,27,0.0,5.7,1,1,18,04:12 AM,04:04 PM,07:08 AM,06:45 PM,23,31,31,28,11,61,72,1.5,1011,31,10,224,8
2020-01-22,30,26,0.0,8.6,1,1,11,05:08 AM,04:57 PM,07:08 AM,06:45 PM,22,31,31,28,16,63,73,6.6,1011,30,9,258,11
2020-01-23,30,25,0.0,5.7,1,1,3,06:03 AM,05:51 PM,07:08 AM,06:46 PM,22,30,30,28,21,72,72,2.3,1012,30,10,345,15
2020-01-24,30,25,0.0,11.4,1,1,0,06:55 AM,06:44 PM,07:08 AM,06:46 PM,22,30,30,27,27,18,72,0.0,1013,30,10,352,20
2020-01-25,31,25,0.0,11.4,1,1,0,07:44 AM,07:36 PM,07:08 AM,06:47 PM,21,30,30,27,24,19,69,0.0,1013,31,10,339,18
2020-01-26,31,25,0.0,11.4,1,1,4,08:29 AM,08:25 PM,07:08 AM,06:47 PM,22,30,30,27,24,28,71,0.0,1014,31,10,229,18
2020-01-27,31,25,0.0,11.4,1,1,11,09:11 AM,09:13 PM,07:08 AM,06:47 PM,22,30,30,28,18,24,72,0.1,1013,31,10,244,13
2020-01-28,31,25,0.0,5.7,1,1,18,09:51 AM,09:59 PM,07:08 AM,06:48 PM,22,31,31,28,29,64,72,9.6,1013,31,9,235,19
2020-01-29,30,25,0.0,8.7,1,1,26,10:28 AM,10:43 PM,07:08 AM,06:48 PM,21,30,30,27,23,53,70,1.2,1013,30,10,341,16
2020-01-30,31,25,0.0,11.4,1,1,33,11:06 AM,11:28 PM,07:08 AM,06:49 PM,21,30,30,28,18,25,70,0.2,1013,31,10,224,13
2020-01-31,31,25,0.0,11.4,1,1,37,11:43 AM,No moonset,07:08 AM,06:49 PM,22,31,31,28,17,18,73,0.0,1013,31,10,225,13
2020-02-01,31,27,0.0,11.4,1,1,49,12:21 PM,12:12 AM,07:08 AM,06:49 PM,22,32,32,29,17,42,68,0.3,1012,31,10,249,12
2020-02-02,31,27,0.0,5.7,1,1,57,01:02 PM,12:59 AM,07:08 AM,06:50 PM,22,31,31,28,17,66,68,0.7,1013,31,10,278,12
2020-02-03,31,25,0.0,10.1,1,1,64,01:46 PM,01:48 AM,07:08 AM,06:50 PM,22,31,31,28,21,30,70,0.6,1013,31,10,234,14
2020-02-04,31,26,0.0,11.4,1,1,72,02:34 PM,02:39 AM,07:08 AM,06:50 PM,21,30,30,28,21,13,64,0.0,1014,31,10,255,15
2020-02-05,30,25,0.0,11.4,1,1,79,03:28 PM,03:34 AM,07:08 AM,06:51 PM,19,29,29,27,19,11,60,0.0,1013,30,10,249,14
2020-02-06,30,25,0.0,11.4,1,1,87,04:25 PM,04:32 AM,07:08 AM,06:51 PM,20,29,29,27,15,13,66,0.0,1011,30,10,227,11
2020-02-07,31,26,0.0,11.4,1,1,95,05:26 PM,05:31 AM,07:07 AM,06:51 PM,20,30,30,28,17,5,62,0.0,1012,31,10,247,12
2020-02-08,30,26,0.0,11.5,1,1,100,06:28 PM,06:29 AM,07:07 AM,06:52 PM,19,30,30,28,22,16,60,0.0,1014,30,10,246,15
2020-02-09,32,24,0.0,11.5,1,1,100,07:30 PM,07:26 AM,07:07 AM,06:52 PM,19,29,29,27,22,3,62,0.0,1014,32,10,278,15
2020-02-10,30,25,0.0,11.5,1,1,83,08:30 PM,08:19 AM,07:07 AM,06:52 PM,20,30,30,28,18,9,64,0.0,1013,30,10,237,13
2020-02-11,31,26,0.0,11.5,1,1,75,09:29 PM,09:10 AM,07:07 AM,06:52 PM,20,30,30,28,22,14,60,0.0,1012,31,10,248,16
2020-02-12,31,25,0.0,11.5,1,1,68,10:25 PM,09:58 AM,07:06 AM,06:53 PM,20,30,30,28,19,22,63,0.0,1012,31,10,237,13
