date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,13,9,0.0,3.7,1,1,80,02:03 PM,03:23 AM,06:56 AM,04:50 PM,8,9,11,9,29,62,81,12.6,1009,13,9,201,20
2020-01-08,13,9,0.0,5.4,1,1,88,02:45 PM,04:25 AM,06:56 AM,04:51 PM,8,9,11,9,30,63,84,6.5,1009,13,10,27,20
2020-01-09,13,9,0.0,7.0,1,1,95,03:36 PM,05:28 AM,06:55 AM,04:51 PM,6,9,10,9,22,42,72,1.1,1013,13,10,28,14
2020-01-10,12,8,0.0,8.7,1,1,100,04:34 PM,06:29 AM,06:55 AM,04:52 PM,3,8,9,8,16,4,66,0.0,1018,12,10,117,10
2020-01-11,15,8,0.0,8.7,1,1,100,05:39 PM,07:26 AM,06:55 AM,04:53 PM,4,9,11,9,18,19,67,0.0,1022,15,10,285,10
2020-01-12,15,9,0.0,7.0,1,1,83,06:47 PM,08:17 AM,06:55 AM,04:54 PM,6,11,12,11,19,50,71,0.2,1022,15,10,281,11
2020-01-13,16,11,0.0,8.7,1,1,76,07:58 PM,09:03 AM,06:55 AM,04:55 PM,8,12,12,12,16,23,74,0.0,1022,16,10,227,10
2020-01-14,15,11,0.0,5.4,1,1,69,09:08 PM,09:43 AM,06:55 AM,04:56 PM,9,12,12,12,13,63,80,1.4,1024,15,10,109,9
2020-01-15,15,11,0.0,7.1,1,1,61,10:16 PM,10:19 AM,06:55 AM,04:57 PM,8,11,12,11,21,50,77,0.1,1022,15,10,56,14
2020-01-16,14,6,0.0,8.7,1,1,54,11:23 PM,10:53 AM,06:54 AM,04:58 PM,7,9,11,9,37,66,75,15.2,1016,14,7,53,28
2020-01-17,10,8,0.0,3.8,1,1,47,No moonrise,11:26 AM,06:54 AM,04:59 PM,8,7,10,7,37,99,89,16.4,1015,10,9,55,28
2020-01-18,13,8,0.0,8.7,1,1,40,12:29 AM,12:00 PM,06:54 AM,05:00 PM,5,10,10,10,10,56,70,0.5,1016,13,10,237,6
2020-01-19,12,5,0.0,8.7,1,1,32,01:36 AM,12:36 PM,06:53 AM,05:01 PM,5,9,10,9,10,63,73,1.7,1016,12,10,57,8
2020-01-20,11,7,0.0,3.9,1,1,25,02:41 AM,01:16 PM,06:53 AM,05:02 PM,3,6,9,6,23,66,67,0.5,1022,11,10,127,15
2020-01-21,12,6,0.0,8.7,1,1,18,03:45 AM,02:00 PM,06:53 AM,05:03 PM,0,5,9,5,42,5,56,0.0,1021,12,10,352,27
2020-01-22,12,6,0.0,8.7,1,1,11,04:46 AM,02:49 PM,06:52 AM,05:04 PM,-0,6,8,6,16,2,57,0.0,1022,12,10,347,10
2020-01-23,15,5,0.0,8.7,1,1,3,05:43 AM,03:43 PM,06:52 AM,05:05 PM,3,8,10,8,23,17,62,1.2,1018,15,10,276,15
2020-01-24,10,6,0.0,8.7,1,1,0,06:34 AM,04:39 PM,06:51 AM,05:06 PM,-2,4,8,4,46,25,50,0.8,1022,10,10,114,33
2020-01-25,13,4,0.0,8.7,1,1,0,07:19 AM,05:38 PM,06:51 AM,05:07 PM,-1,8,8,8,7,0,54,0.0,1029,13,10,169,3
2020-01-26,14,5,0.0,8.7,1,1,4,07:58 AM,06:36 PM,06:50 AM,05:08 PM,4,8,9,8,14,11,70,0.0,1028,14,10,272,8
2020-01-27,14,9,0.0,4.0,1,1,11,08:32 AM,07:34 PM,06:49 AM,05:09 PM,8,11,12,11,9,87,77,0.1,1024,14,10,326,6
2020-01-28,15,8,0.0,4.0,1,1,18,09:03 AM,08:29 PM,06:49 AM,05:10 PM,8,11,11,11,7,81,82,3.2,1018,15,10,246,4
2020-01-29,15,8,0.0,7.1,1,1,26,09:31 AM,09:25 PM,06:48 AM,05:11 PM,8,11,11,11,8,46,82,0.6,1019,15,10,230,5
2020-01-30,18,8,0.0,7.1,1,1,33,09:58 AM,10:19 PM,06:48 AM,05:12 PM,8,11,12,11,21,37,75,0.2,1017,18,10,235,13
2020-01-31,12,8,0.0,8.7,1,1,37,10:25 AM,11:14 PM,06:47 AM,05:13 PM,1,7,10,7,40,14,54,0.1,1015,12,10,315,26
2020-02-01,15,7,0.0,8.7,1,1,49,10:53 AM,No moonset,06:46 AM,05:14 PM,4,9,11,9,28,11,62,0.0,1018,15,10,302,18
2020-02-02,15,7,0.0,8.7,1,1,57,11:23 AM,12:10 AM,06:45 AM,05:15 PM,4,11,11,11,7,3,66,0.0,1022,15,10,113,4
2020-02-03,15,7,0.0,8.7,1,1,64,11:57 AM,01:08 AM,06:45 AM,05:16 PM,5,11,11,11,6,39,70,0.0,1022,15,10,74,4
2020-02-04,17,8,0.0,8.7,1,1,72,12:35 PM,02:08 AM,06:44 AM,05:18 PM,9,12,12,12,11,42,79,0.1,1017,17,10,287,7
2020-02-05,17,10,0.0,5.6,1,1,79,01:21 PM,03:09 AM,06:43 AM,05:19 PM,10,13,14,13,33,65,78,0.5,1012,17,10,201,23
2020-02-06,18,10,0.0,5.6,1,1,87,02:15 PM,04:10 AM,06:42 AM,05:20 PM,9,13,14,13,36,49,74,0.9,1011,18,10,235,24
