date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,4,-1,0.0,6.8,1,1,80,01:40 PM,04:19 AM,08:00 AM,04:16 PM,-2,-2,1,-2,18,42,79,0.0,1028,4,10,260,11
2020-01-08,3,-1,0.0,3.1,1,1,88,02:15 PM,05:30 AM,08:00 AM,04:18 PM,-0,-2,2,-2,21,78,84,1.6,1029,3,9,209,12
2020-01-09,6,4,0.0,3.2,1,1,95,03:00 PM,06:39 AM,07:59 AM,04:19 PM,3,3,5,3,15,92,90,11.6,1023,6,6,192,9
2020-01-10,8,1,0.0,8.6,1,1,100,03:58 PM,07:43 AM,07:59 AM,04:20 PM,2,3,5,3,25,50,79,0.0,1020,8,10,240,15
2020-01-11,4,1,0.0,5.1,1,1,100,05:07 PM,08:36 AM,07:58 AM,04:22 PM,0,1,4,1,18,57,79,0.2,1031,4,9,275,12
2020-01-12,4,-0,0.0,6.9,1,1,83,06:24 PM,09:21 AM,07:58 AM,04:23 PM,-2,-1,2,-1,21,35,76,0.0,1027,4,10,195,12
2020-01-13,5,1,0.0,6.9,1,1,76,07:46 PM,09:56 AM,07:57 AM,04:24 PM,-0,-1,2,-1,17,49,84,0.0,1024,5,10,189,10
2020-01-14,5,-0,0.0,8.7,1,1,69,09:08 PM,10:24 AM,07:56 AM,04:26 PM,-3,-1,2,-1,18,16,74,0.0,1020,5,10,174,10
2020-01-15,5,0,0.0,8.7,1,1,61,10:28 PM,10:49 AM,07:56 AM,04:27 PM,-3,-1,2,-1,15,31,68,0.0,1022,5,10,151,9
2020-01-16,6,-2,0.0,6.9,1,1,54,11:48 PM,11:11 AM,07:55 AM,04:29 PM,1,1,3,1,10,41,84,0.0,1030,6,10,159,6
2020-01-17,6,1,0.0,8.7,1,1,47,No moonrise,11:33 AM,07:54 AM,04:30 PM,0,0,3,0,16,17,83,0.0,1023,6,10,159,10
2020-01-18,5,2,0.0,3.3,1,1,40,01:06 AM,11:56 AM,07:53 AM,04:32 PM,1,2,3,2,10,88,85,4.4,1025,5,10,284,6
2020-01-19,2,-3,0.5,3.3,1,1,32,02:23 AM,12:21 PM,07:52 AM,04:33 PM,-0,-2,1,-2,12,93,92,1.5,1034,2,8,319,8
2020-01-20,4,-1,0.5,5.1,1,1,25,03:39 AM,12:51 PM,07:51 AM,04:35 PM,-1,1,2,1,6,53,81,0.6,1046,4,9,246,4
2020-01-21,4,0,0.0,8.7,1,1,18,04:52 AM,01:28 PM,07:51 AM,04:37 PM,-2,1,2,1,6,11,75,0.0,1042,4,10,199,4
2020-01-22,4,-1,0.0,5.1,1,1,11,05:59 AM,02:13 PM,07:49 AM,04:38 PM,-4,-1,1,-1,12,59,69,0.0,1035,4,10,278,7
2020-01-23,4,-1,0.0,8.7,1,1,3,06:57 AM,03:06 PM,07:48 AM,04:40 PM,-2,0,2,0,8,44,80,0.0,1034,4,10,138,5
2020-01-24,2,-2,0.0,6.9,1,1,0,07:45 AM,04:07 PM,07:47 AM,04:41 PM,-3,-2,0,-2,7,33,79,0.0,1026,2,10,224,5
2020-01-25,5,-0,0.0,8.7,1,1,0,08:23 AM,05:12 PM,07:46 AM,04:43 PM,-2,1,1,1,4,4,76,0.0,1023,5,10,203,3
