date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,27,21,0.0,11.0,1,1,80,03:39 PM,04:05 AM,07:14 AM,06:18 PM,20,26,26,24,18,41,80,1.4,1017,27,10,63,12
2020-01-08,30,22,0.0,10.1,1,1,88,04:28 PM,05:02 AM,07:14 AM,06:19 PM,21,27,27,24,18,38,80,2.3,1019,30,10,52,12
2020-01-09,28,22,0.0,8.6,1,1,95,05:23 PM,06:01 AM,07:14 AM,06:19 PM,21,26,26,24,27,57,83,2.4,1020,28,9,46,18
2020-01-10,26,22,0.0,7.0,1,1,100,06:23 PM,07:00 AM,07:14 AM,06:20 PM,20,26,26,23,29,64,84,8.4,1020,26,10,63,19
2020-01-11,27,21,0.0,5.5,1,1,100,07:26 PM,07:58 AM,07:14 AM,06:20 PM,19,25,25,23,29,70,79,4.6,1021,27,10,59,19
2020-01-12,26,21,0.0,8.6,1,1,83,08:29 PM,08:53 AM,07:15 AM,06:21 PM,20,25,25,23,30,61,86,10.5,1021,26,9,55,19
2020-01-13,26,21,0.0,5.5,1,1,76,09:32 PM,09:44 AM,07:15 AM,06:22 PM,20,24,24,23,29,67,84,5.4,1020,26,10,53,20
2020-01-14,25,17,0.0,10.1,1,1,69,10:32 PM,10:30 AM,07:15 AM,06:22 PM,19,23,23,22,29,61,84,3.3,1019,25,10,48,20
2020-01-15,26,20,0.0,7.1,1,1,61,11:32 PM,11:15 AM,07:15 AM,06:23 PM,20,24,24,23,25,67,84,4.3,1018,26,9,46,17
2020-01-16,28,21,0.0,10.1,1,1,54,No moonrise,11:57 AM,07:15 AM,06:24 PM,20,26,26,23,23,44,80,1.4,1019,28,10,45,16
2020-01-17,28,21,0.0,11.1,1,1,47,12:29 AM,12:39 PM,07:15 AM,06:24 PM,19,26,26,23,25,40,78,0.7,1019,28,10,30,18
2020-01-18,27,21,0.0,8.6,1,1,40,01:27 AM,01:22 PM,07:15 AM,06:25 PM,19,25,25,23,29,51,80,2.1,1019,27,10,40,20
2020-01-19,27,21,0.0,7.1,1,1,32,02:24 AM,02:06 PM,07:15 AM,06:25 PM,20,25,25,23,20,73,86,2.6,1018,27,10,69,14
2020-01-20,28,21,0.0,11.1,1,1,25,03:23 AM,02:53 PM,07:15 AM,06:26 PM,21,26,26,24,14,45,84,0.5,1016,28,10,77,10
2020-01-21,27,21,0.0,10.1,1,1,18,04:20 AM,03:43 PM,07:15 AM,06:27 PM,21,26,26,24,9,45,82,0.4,1014,27,10,145,7
