date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,19,11,0.0,8.8,1,1,80,03:42 PM,03:15 AM,06:16 AM,06:24 PM,10,15,14,15,6,60,74,4.3,1014,19,10,331,5
2020-01-08,21,11,0.0,8.8,1,1,88,04:36 PM,04:07 AM,06:16 AM,06:24 PM,6,15,15,15,7,69,59,1.9,1015,21,10,232,6
2020-01-09,21,9,0.0,10.2,1,1,95,05:34 PM,05:03 AM,06:17 AM,06:25 PM,2,14,15,14,9,31,46,0.5,1014,21,10,34,7
2020-01-10,21,11,0.0,8.8,1,1,100,06:33 PM,06:01 AM,06:17 AM,06:25 PM,7,15,15,15,10,34,61,1.1,1012,21,10,53,8
2020-01-11,20,11,0.0,8.8,1,1,100,07:33 PM,07:01 AM,06:18 AM,06:26 PM,8,15,15,15,8,40,64,0.8,1013,20,10,165,7
2020-01-12,21,12,0.0,8.8,1,1,83,08:31 PM,08:00 AM,06:18 AM,06:26 PM,8,15,16,15,9,44,63,1.4,1013,21,10,65,7
2020-01-13,21,12,0.0,8.8,1,1,76,09:26 PM,08:57 AM,06:18 AM,06:26 PM,8,15,15,15,8,43,65,1.4,1013,21,10,157,7
2020-01-14,21,11,0.0,8.8,1,1,69,10:19 PM,09:52 AM,06:19 AM,06:27 PM,8,15,15,15,9,44,64,2.7,1012,21,10,240,7
2020-01-15,21,12,0.0,8.8,1,1,61,11:10 PM,10:43 AM,06:19 AM,06:27 PM,9,16,16,16,7,55,66,1.4,1012,21,10,133,6
2020-01-16,22,11,0.0,11.6,1,1,54,12:00 AM,11:34 AM,06:19 AM,06:27 PM,7,16,16,16,11,16,57,0.1,1013,22,10,83,9
2020-01-17,20,12,0.0,10.2,1,1,47,No moonrise,12:23 PM,06:20 AM,06:28 PM,7,15,15,15,14,24,59,0.5,1013,20,10,87,11
