date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,16,11,0.0,8.7,1,1,80,02:21 PM,03:23 AM,06:52 AM,05:10 PM,3,11,13,11,38,42,52,0.0,1016,16,10,246,28
2020-01-08,16,10,0.0,8.7,1,1,88,03:06 PM,04:22 AM,06:52 AM,05:11 PM,3,10,12,10,36,33,54,0.0,1017,16,10,269,26
2020-01-09,16,9,0.0,5.6,1,1,95,03:58 PM,05:24 AM,06:52 AM,05:12 PM,5,10,12,10,31,66,62,1.5,1017,16,10,274,23
2020-01-10,18,9,0.0,7.1,1,1,100,04:56 PM,06:24 AM,06:52 AM,05:13 PM,6,12,13,12,23,57,65,0.5,1018,18,10,343,16
2020-01-11,20,13,0.0,8.7,1,1,100,06:00 PM,07:22 AM,06:52 AM,05:14 PM,8,15,16,15,8,16,62,0.1,1024,20,10,267,6
2020-01-12,19,12,0.0,8.7,1,1,83,07:07 PM,08:15 AM,06:52 AM,05:14 PM,5,15,15,15,9,17,52,0.0,1024,19,10,280,7
2020-01-13,22,13,0.0,8.7,1,1,76,08:14 PM,09:03 AM,06:52 AM,05:15 PM,7,17,17,17,8,3,54,0.0,1023,22,10,253,6
2020-01-14,20,13,0.0,8.7,1,1,69,09:22 PM,09:46 AM,06:52 AM,05:16 PM,8,15,16,15,25,25,61,0.0,1022,20,10,63,18
2020-01-15,23,14,0.0,7.1,1,1,61,10:27 PM,10:24 AM,06:52 AM,05:17 PM,7,17,18,17,27,41,51,0.0,1017,23,10,65,17
2020-01-16,19,14,0.0,8.7,1,1,54,11:31 PM,11:01 AM,06:52 AM,05:18 PM,4,16,16,16,32,13,46,0.0,1013,19,10,225,22
2020-01-17,19,13,0.0,4.0,1,1,47,No moonrise,11:38 AM,06:51 AM,05:19 PM,9,14,15,14,35,67,69,0.6,1015,19,10,285,25
2020-01-18,17,12,0.0,4.0,1,1,40,12:34 AM,12:14 PM,06:51 AM,05:20 PM,7,13,14,13,25,59,64,1.1,1018,17,10,269,18
2020-01-19,17,11,0.0,8.7,1,1,32,01:37 AM,12:53 PM,06:51 AM,05:20 PM,6,13,14,13,25,29,59,0.0,1021,17,10,270,18
