date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,29,26,0.0,11.6,1,1,80,03:35 PM,03:19 AM,06:33 AM,06:28 PM,22,30,30,27,13,6,73,0.0,1009,29,10,216,9
2020-01-08,28,25,0.0,11.6,1,1,88,04:27 PM,04:11 AM,06:34 AM,06:29 PM,23,30,30,27,13,26,77,0.2,1010,28,10,284,11
2020-01-09,28,25,0.0,11.6,1,1,95,05:23 PM,05:06 AM,06:34 AM,06:29 PM,23,29,29,27,18,26,79,0.3,1011,28,10,262,14
2020-01-10,27,26,0.0,6.0,1,1,100,06:22 PM,06:05 AM,06:34 AM,06:30 PM,23,29,29,26,8,65,81,6.7,1012,27,9,294,6
2020-01-11,28,26,0.0,7.4,1,1,100,07:23 PM,07:04 AM,06:35 AM,06:30 PM,23,30,30,27,10,73,78,2.2,1012,28,10,181,8
2020-01-12,28,25,0.0,6.0,1,1,83,08:22 PM,08:03 AM,06:35 AM,06:30 PM,22,30,30,27,12,51,78,0.8,1012,28,10,285,9
2020-01-13,29,26,0.0,8.8,1,1,76,09:20 PM,08:59 AM,06:35 AM,06:31 PM,23,30,30,27,11,35,81,0.4,1010,29,10,209,9
2020-01-14,28,23,0.0,8.8,1,1,69,10:15 PM,09:53 AM,06:36 AM,06:31 PM,24,30,30,27,11,44,83,0.7,1009,28,10,282,9
2020-01-15,29,26,0.0,8.8,1,1,61,11:08 PM,10:44 AM,06:36 AM,06:32 PM,24,31,31,27,14,45,81,0.9,1009,29,10,265,11
2020-01-16,29,26,0.0,10.2,1,1,54,11:59 PM,11:33 AM,06:36 AM,06:32 PM,23,31,31,27,18,37,79,0.6,1010,29,10,277,14
2020-01-17,28,26,0.0,10.2,1,1,47,No moonrise,12:21 PM,06:37 AM,06:33 PM,23,31,31,27,16,32,77,0.4,1011,28,10,264,12
2020-01-18,28,23,0.0,7.4,1,1,40,12:50 AM,01:09 PM,06:37 AM,06:33 PM,23,30,30,26,14,54,79,0.6,1012,28,10,268,11
2020-01-19,28,26,0.0,10.2,1,1,32,01:42 AM,01:59 PM,06:37 AM,06:33 PM,23,30,30,27,11,42,77,3.6,1011,28,10,188,8
2020-01-20,29,26,0.0,6.0,1,1,25,02:35 AM,02:50 PM,06:37 AM,06:34 PM,23,30,30,27,9,55,82,1.8,1010,29,10,205,8
2020-01-21,28,23,0.0,8.8,1,1,18,03:29 AM,03:43 PM,06:38 AM,06:34 PM,23,30,30,27,14,45,80,1.2,1010,28,10,205,11
2020-01-22,29,26,0.0,8.8,1,1,11,04:24 AM,04:37 PM,06:38 AM,06:34 PM,23,31,31,27,12,53,80,1.5,1010,29,10,199,9
2020-01-23,28,24,0.0,10.2,1,1,3,05:19 AM,05:31 PM,06:38 AM,06:35 PM,23,30,30,27,14,33,78,0.6,1010,28,10,303,10
2020-01-24,29,26,0.0,8.8,1,1,0,06:11 AM,06:23 PM,06:38 AM,06:35 PM,23,31,31,28,15,41,74,0.6,1010,29,10,294,11
2020-01-25,29,25,0.0,11.6,1,1,0,07:02 AM,07:15 PM,06:38 AM,06:35 PM,21,29,29,27,16,14,71,0.1,1011,29,10,133,12
2020-01-26,29,26,0.0,11.6,1,1,4,07:50 AM,08:03 PM,06:39 AM,06:36 PM,22,30,30,27,16,0,72,0.0,1011,29,10,200,12
