date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,6,4,0.0,1.6,1,1,80,01:15 PM,05:17 AM,09:15 AM,03:40 PM,3,0,4,0,29,94,91,0.2,1015,6,10,224,19
2020-01-08,8,4,0.0,1.6,1,1,88,01:39 PM,06:39 AM,09:14 AM,03:42 PM,3,1,5,1,46,84,83,6.7,1006,8,9,222,29
2020-01-09,4,1,0.0,5.8,1,1,95,02:15 PM,07:58 AM,09:13 AM,03:44 PM,1,-1,3,-1,29,28,84,0.0,1008,4,10,260,17
2020-01-10,2,0,0.0,5.8,1,1,100,03:10 PM,09:05 AM,09:12 AM,03:46 PM,-1,-1,1,-1,9,51,90,0.0,1012,2,9,106,5
2020-01-11,2,-7,0.0,3.7,1,1,100,04:25 PM,09:54 AM,09:11 AM,03:48 PM,-3,-3,0,-3,28,39,73,0.4,1016,2,9,228,17
2020-01-12,7,4,0.0,1.6,1,1,83,05:54 PM,10:28 AM,09:10 AM,03:50 PM,3,0,5,0,47,83,87,22.1,1001,7,8,257,30
2020-01-13,3,2,0.0,3.7,1,1,76,07:29 PM,10:51 AM,09:08 AM,03:52 PM,1,-2,3,-2,28,50,86,0.0,1007,3,10,250,17
2020-01-14,3,-5,0.0,1.6,1,1,69,09:04 PM,11:07 AM,09:07 AM,03:54 PM,1,-2,2,-2,36,81,88,1.4,1008,3,10,197,23
2020-01-15,9,5,0.0,1.6,1,1,61,10:37 PM,11:20 AM,09:05 AM,03:56 PM,5,3,7,3,45,100,87,16.0,1001,9,9,221,29
2020-01-16,6,5,0.0,1.6,1,1,54,No moonrise,11:31 AM,09:04 AM,03:58 PM,3,2,6,2,35,82,85,24.8,1009,6,8,250,22
2020-01-17,5,3,0.0,3.8,1,1,47,12:09 AM,11:41 AM,09:02 AM,04:00 PM,2,-0,4,-0,32,55,86,0.0,1019,5,10,222,20
2020-01-18,4,-3,0.0,1.8,1,1,40,01:40 AM,11:52 AM,09:01 AM,04:02 PM,1,-2,2,-2,32,74,84,0.0,1013,4,10,204,21
2020-01-19,5,-1,0.0,2.8,1,1,32,03:10 AM,12:06 PM,08:59 AM,04:05 PM,2,-0,4,-0,34,63,84,0.7,1018,5,10,266,22
2020-01-20,4,-1,0.0,6.7,1,1,25,04:39 AM,12:24 PM,08:57 AM,04:07 PM,1,-1,3,-1,38,65,82,0.0,1024,4,10,250,24
2020-01-21,6,-2,0.0,2.8,1,1,18,06:04 AM,12:49 PM,08:56 AM,04:09 PM,1,0,4,0,45,69,75,1.6,1011,6,9,292,28
2020-01-22,2,0,0.0,6.7,1,1,11,07:20 AM,01:26 PM,08:54 AM,04:12 PM,-3,-4,2,-4,41,41,69,0.1,1009,2,9,332,27
2020-01-23,2,-2,0.0,4.8,1,1,3,08:20 AM,02:18 PM,08:52 AM,04:14 PM,-3,-3,1,-3,27,59,75,0.0,1015,2,10,259,17
2020-01-24,4,-1,0.0,2.9,1,1,0,09:04 AM,03:24 PM,08:50 AM,04:16 PM,2,-1,3,-1,26,72,92,0.0,1001,4,10,268,16
2020-01-25,2,-3,0.0,7.7,1,1,0,09:34 AM,04:38 PM,08:48 AM,04:19 PM,-3,-3,2,-3,38,19,71,0.0,1003,2,10,301,23
2020-01-26,5,1,0.0,2.9,1,1,4,09:54 AM,05:56 PM,08:46 AM,04:21 PM,2,-0,4,-0,32,94,88,0.5,1006,5,8,262,21
