date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,21,11,0.0,10.2,1,1,80,03:24 PM,03:22 AM,06:42 AM,06:20 PM,10,16,16,16,14,49,70,1.9,1016,21,10,103,11
2020-01-08,20,11,0.0,11.6,1,1,88,04:14 PM,04:15 AM,06:43 AM,06:20 PM,7,15,15,15,16,14,60,0.0,1016,20,10,99,12
2020-01-09,23,11,0.0,11.6,1,1,95,05:09 PM,05:11 AM,06:43 AM,06:21 PM,6,17,17,17,12,4,50,0.0,1015,23,10,117,9
2020-01-10,25,12,0.0,11.6,1,1,100,06:08 PM,06:10 AM,06:43 AM,06:21 PM,6,18,18,18,8,4,50,0.0,1014,25,10,148,6
2020-01-11,22,12,0.0,11.6,1,1,100,07:09 PM,07:09 AM,06:44 AM,06:22 PM,9,17,18,17,9,37,61,0.9,1014,22,10,141,7
2020-01-12,21,12,0.0,10.2,1,1,83,08:10 PM,08:07 AM,06:44 AM,06:22 PM,10,15,15,15,13,50,73,1.1,1016,21,10,125,10
2020-01-13,20,11,0.0,7.3,1,1,76,09:10 PM,09:02 AM,06:44 AM,06:23 PM,10,15,15,15,10,64,72,1.1,1016,20,10,134,8
2020-01-14,20,12,0.0,10.2,1,1,69,10:07 PM,09:54 AM,06:44 AM,06:23 PM,10,15,15,15,10,46,72,0.6,1016,20,10,129,9
2020-01-15,21,9,0.0,11.6,1,1,61,11:02 PM,10:42 AM,06:45 AM,06:24 PM,6,14,14,14,10,11,62,0.0,1016,21,10,112,9
2020-01-16,22,9,0.0,11.6,1,1,54,11:56 PM,11:30 AM,06:45 AM,06:24 PM,6,16,16,16,9,6,56,0.0,1016,22,10,141,7
2020-01-17,25,10,0.0,11.6,1,1,47,No moonrise,12:15 PM,06:45 AM,06:25 PM,6,17,17,17,7,6,53,0.0,1016,25,10,156,6
2020-01-18,24,12,0.0,11.6,1,1,40,12:49 AM,01:02 PM,06:45 AM,06:25 PM,4,17,17,17,9,2,43,0.0,1015,24,10,149,8
2020-01-19,23,11,0.0,11.6,1,1,32,01:43 AM,01:49 PM,06:46 AM,06:26 PM,3,17,17,17,8,1,41,0.0,1016,23,10,153,7
2020-01-20,23,11,0.0,11.6,1,1,25,02:38 AM,02:38 PM,06:46 AM,06:26 PM,5,16,16,16,9,4,48,0.0,1016,23,10,137,8
2020-01-21,24,10,0.0,11.6,1,1,18,03:33 AM,03:30 PM,06:46 AM,06:27 PM,7,16,17,16,9,6,56,0.0,1015,24,10,149,8
2020-01-22,23,11,0.0,11.6,1,1,11,04:29 AM,04:23 PM,06:46 AM,06:27 PM,6,17,17,17,10,6,55,0.0,1014,23,10,146,8
2020-01-23,20,11,0.0,5.9,1,1,3,05:24 AM,05:17 PM,06:46 AM,06:27 PM,9,16,16,16,10,64,66,1.8,1015,20,10,150,8
2020-01-24,20,11,0.0,5.9,1,1,0,06:17 AM,06:11 PM,06:46 AM,06:28 PM,9,15,16,15,11,83,69,2.2,1016,20,9,135,9
2020-01-25,21,12,0.0,5.9,1,1,0,07:07 AM,07:03 PM,06:46 AM,06:28 PM,10,16,17,16,12,79,69,5.1,1017,21,9,123,9
2020-01-26,21,11,0.0,11.6,1,1,4,07:54 AM,07:53 PM,06:46 AM,06:29 PM,10,15,16,15,12,43,72,0.7,1017,21,10,143,9
2020-01-27,20,12,0.0,8.8,1,1,11,08:37 AM,08:40 PM,06:46 AM,06:29 PM,10,15,16,15,12,63,72,0.9,1016,20,10,125,10
2020-01-28,23,13,0.0,11.6,1,1,18,09:18 AM,09:26 PM,06:46 AM,06:29 PM,10,17,17,17,9,36,65,0.2,1015,23,10,149,8
2020-01-29,24,11,0.0,11.6,1,1,26,09:57 AM,10:10 PM,06:46 AM,06:30 PM,9,17,17,17,9,36,66,0.5,1015,24,10,144,7
2020-01-30,22,11,0.0,11.6,1,1,33,10:34 AM,10:54 PM,06:46 AM,06:30 PM,9,16,17,16,12,11,63,0.0,1016,22,10,117,10
2020-01-31,22,13,0.0,7.3,1,1,37,11:12 AM,11:38 PM,06:46 AM,06:30 PM,9,16,17,16,8,57,63,1.5,1015,22,10,149,7
2020-02-01,19,14,0.0,5.9,1,1,49,11:50 AM,No moonset,06:46 AM,06:31 PM,11,17,16,17,10,82,69,8.6,1015,19,9,135,8
2020-02-02,20,13,0.0,5.9,1,1,57,12:30 PM,12:23 AM,06:46 AM,06:31 PM,10,17,16,17,12,76,66,2.4,1016,20,10,118,10
2020-02-03,19,14,0.0,5.9,1,1,64,01:14 PM,01:11 AM,06:46 AM,06:31 PM,10,17,17,17,11,64,68,2.4,1016,19,10,115,9
2020-02-04,19,13,0.0,7.3,1,1,72,02:01 PM,02:01 AM,06:46 AM,06:32 PM,10,15,16,15,9,71,70,4.6,1016,19,10,101,8
2020-02-05,19,13,0.0,5.9,1,1,79,02:53 PM,02:55 AM,06:46 AM,06:32 PM,9,15,16,15,10,79,63,1.6,1016,19,10,123,8
2020-02-06,20,12,0.0,5.9,1,1,87,03:50 PM,03:52 AM,06:46 AM,06:32 PM,9,16,16,16,11,58,62,0.7,1017,20,10,107,9
2020-02-07,22,12,0.0,11.6,1,1,95,04:49 PM,04:50 AM,06:46 AM,06:33 PM,8,17,17,17,15,10,58,0.0,1018,22,10,98,12
2020-02-08,22,12,0.0,11.6,1,1,100,05:52 PM,05:50 AM,06:46 AM,06:33 PM,4,17,17,17,18,3,43,0.0,1018,22,10,92,14
2020-02-09,22,12,0.0,11.6,1,1,100,06:53 PM,06:47 AM,06:45 AM,06:33 PM,4,17,17,17,15,2,42,0.0,1018,22,10,101,12
2020-02-10,26,12,0.0,11.6,1,1,83,07:53 PM,07:42 AM,06:45 AM,06:33 PM,5,18,18,18,10,3,44,0.0,1016,26,10,130,8
2020-02-11,25,12,0.0,11.6,1,1,75,08:52 PM,08:33 AM,06:45 AM,06:34 PM,7,19,19,19,8,4,49,0.0,1014,25,10,173,6
2020-02-12,21,13,0.0,7.4,1,1,68,09:48 PM,09:23 AM,06:45 AM,06:34 PM,11,16,16,16,15,67,72,3.1,1016,21,10,125,12
2020-02-13,18,12,0.0,7.4,1,1,60,10:43 PM,10:11 AM,06:45 AM,06:34 PM,9,15,15,15,16,64,70,1.0,1018,18,9,107,13
2020-02-14,19,10,0.0,10.2,1,1,53,11:39 PM,10:58 AM,06:44 AM,06:34 PM,7,14,15,14,15,22,63,0.0,1017,19,10,101,13
