date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,0,-5,0.0,8.7,1,1,80,02:45 PM,04:53 AM,08:13 AM,05:18 PM,-6,-5,-2,-5,19,57,73,0.0,1014,0,10,265,12
2020-01-08,1,-3,4.8,3.4,1,1,88,03:26 PM,06:00 AM,08:13 AM,05:19 PM,-4,-5,-1,-5,22,85,84,5.8,1009,1,6,288,14
2020-01-09,-6,-9,0.0,8.7,1,1,95,04:16 PM,07:05 AM,08:12 AM,05:20 PM,-13,-13,-7,-13,25,24,66,0.0,1033,-6,10,315,18
2020-01-10,5,-5,0.0,5.2,1,1,100,05:17 PM,08:06 AM,08:12 AM,05:21 PM,-2,-4,1,-4,38,67,77,0.0,1031,5,10,227,23
2020-01-11,11,4,0.0,3.4,1,1,100,06:25 PM,09:00 AM,08:12 AM,05:22 PM,7,5,9,5,49,82,91,0.1,1020,11,10,211,25
2020-01-12,12,-3,0.0,3.4,1,1,83,07:40 PM,09:46 AM,08:11 AM,05:24 PM,3,3,6,3,41,68,84,11.9,1015,12,9,309,23
2020-01-13,-2,-6,0.3,5.2,1,1,76,08:56 PM,10:24 AM,08:11 AM,05:25 PM,-7,-8,-4,-8,14,74,77,0.6,1032,-2,8,42,11
2020-01-14,0,-5,0.2,8.7,1,1,69,10:11 PM,10:57 AM,08:11 AM,05:26 PM,-5,-6,-2,-6,16,48,79,0.7,1026,0,9,74,11
2020-01-15,5,1,0.0,8.7,1,1,61,11:26 PM,11:27 AM,08:10 AM,05:27 PM,-1,-0,3,-0,20,62,80,3.8,1017,5,10,307,13
2020-01-16,2,-4,7.5,3.4,1,1,54,No moonrise,11:54 AM,08:10 AM,05:28 PM,-2,-5,0,-5,28,97,88,20.7,1010,2,5,155,19
2020-01-17,-10,-14,0.0,8.7,1,1,47,12:39 AM,12:21 PM,08:09 AM,05:30 PM,-16,-21,-12,-21,34,3,69,0.0,1028,-10,10,326,27
2020-01-18,-8,-16,1.5,8.7,1,1,40,01:51 AM,12:50 PM,08:08 AM,05:31 PM,-13,-16,-11,-16,15,51,76,4.7,1029,-8,8,204,10
2020-01-19,-1,-8,15.4,5.2,1,1,32,03:03 AM,01:22 PM,08:08 AM,05:32 PM,-5,-9,-4,-9,19,79,90,18.1,1004,-1,6,222,13
2020-01-20,-5,-10,0.1,7.0,1,1,25,04:13 AM,01:58 PM,08:07 AM,05:33 PM,-12,-16,-8,-16,28,52,72,0.1,1019,-5,10,327,19
2020-01-21,-6,-14,0.0,8.7,1,1,18,05:21 AM,02:40 PM,08:06 AM,05:35 PM,-14,-15,-10,-15,17,16,75,0.0,1028,-6,10,291,10
2020-01-22,-3,-10,0.0,8.7,1,1,11,06:23 AM,03:29 PM,08:06 AM,05:36 PM,-9,-9,-6,-9,14,32,79,0.0,1029,-3,10,238,8
2020-01-23,1,-5,0.0,7.0,1,1,3,07:19 AM,04:23 PM,08:05 AM,05:37 PM,-5,-4,-2,-4,15,30,79,0.0,1026,1,10,239,8
2020-01-24,3,-2,0.0,3.5,1,1,0,08:06 AM,05:24 PM,08:04 AM,05:39 PM,-2,-3,0,-3,20,90,85,0.0,1030,3,10,49,12
2020-01-25,4,-4,0.0,3.5,1,1,0,08:46 AM,06:25 PM,08:03 AM,05:40 PM,1,-2,2,-2,28,96,93,4.0,1024,4,9,100,18
2020-01-26,6,1,0.0,5.2,1,1,4,09:20 AM,07:28 PM,08:02 AM,05:41 PM,3,1,5,1,32,57,91,25.5,1003,6,8,242,18
2020-01-27,4,1,0.1,5.3,1,1,11,09:48 AM,08:29 PM,08:02 AM,05:43 PM,-1,-2,2,-2,23,71,82,0.2,1000,4,10,269,14
2020-01-28,1,-3,0.0,7.0,1,1,18,10:13 AM,09:31 PM,08:01 AM,05:44 PM,-5,-6,-1,-6,20,56,77,0.0,1006,1,10,5,13
2020-01-29,-1,-6,0.0,8.7,1,1,26,10:36 AM,10:30 PM,08:00 AM,05:45 PM,-9,-8,-3,-8,19,6,66,0.0,1015,-1,10,340,13
2020-01-30,-2,-8,0.0,8.7,1,1,33,10:58 AM,11:31 PM,07:59 AM,05:47 PM,-12,-9,-5,-9,15,8,58,0.0,1025,-2,10,278,10
2020-01-31,2,-3,0.0,8.7,1,1,37,11:20 AM,No moonset,07:58 AM,05:48 PM,-8,-3,-1,-3,13,28,59,0.0,1025,2,10,247,8
2020-02-01,3,-1,0.0,3.7,1,1,49,11:44 AM,12:31 AM,07:57 AM,05:49 PM,-3,-2,0,-2,10,76,80,0.0,1013,3,10,275,6
2020-02-02,2,-3,0.1,5.4,1,1,57,12:09 PM,01:33 AM,07:55 AM,05:51 PM,-4,-4,-1,-4,15,72,80,0.1,999,2,9,294,10
2020-02-03,3,-2,0.0,5.4,1,1,64,12:40 PM,02:35 AM,07:54 AM,05:52 PM,-4,-3,0,-3,19,38,74,0.0,1004,3,10,259,11
