date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,5,-3,0.0,1.5,1,1,80,01:09 PM,05:21 AM,09:20 AM,03:33 PM,3,-0,3,-0,36,98,93,0.3,1013,5,9,233,22
2020-01-08,7,4,0.0,1.5,1,1,88,01:32 PM,06:44 AM,09:19 AM,03:35 PM,3,0,5,0,51,85,86,9.3,1002,7,8,230,33
2020-01-09,3,1,0.0,5.8,1,1,95,02:07 PM,08:04 AM,09:18 AM,03:37 PM,-2,-2,2,-2,31,4,76,0.0,1006,3,10,276,19
2020-01-10,2,-6,0.0,5.8,1,1,100,03:02 PM,09:12 AM,09:17 AM,03:39 PM,-4,-2,0,-2,8,38,72,0.0,1012,2,10,123,5
2020-01-11,3,-3,0.0,3.7,1,1,100,04:17 PM,10:00 AM,09:16 AM,03:41 PM,-3,-2,1,-2,35,44,71,0.9,1014,3,10,241,21
2020-01-12,6,1,0.0,3.7,1,1,83,05:48 PM,10:33 AM,09:15 AM,03:43 PM,3,0,5,0,42,81,90,16.7,998,6,8,259,26
2020-01-13,2,-3,0.0,5.8,1,1,76,07:24 PM,10:54 AM,09:13 AM,03:45 PM,-0,-2,2,-2,26,20,88,0.0,1005,2,10,260,16
2020-01-14,4,-1,0.0,1.6,1,1,69,09:01 PM,11:09 AM,09:12 AM,03:47 PM,1,-2,3,-2,41,80,88,3.1,1006,4,10,208,26
2020-01-15,8,5,0.0,1.6,1,1,61,10:36 PM,11:20 AM,09:10 AM,03:49 PM,4,1,6,1,51,93,87,12.5,998,8,8,231,32
2020-01-16,5,4,0.0,1.6,1,1,54,No moonrise,11:30 AM,09:09 AM,03:52 PM,2,1,4,1,31,68,86,0.9,1007,5,9,254,19
2020-01-17,5,-2,0.0,1.6,1,1,47,12:09 AM,11:39 AM,09:07 AM,03:54 PM,3,-0,4,-0,33,68,90,0.0,1018,5,10,238,21
2020-01-18,4,-3,0.0,1.6,1,1,40,01:41 AM,11:49 AM,09:05 AM,03:56 PM,2,-1,3,-1,36,90,86,1.5,1011,4,7,214,23
2020-01-19,4,2,0.0,3.7,1,1,32,03:13 AM,12:01 PM,09:04 AM,03:59 PM,1,-1,3,-1,35,66,84,1.1,1016,4,8,274,22
2020-01-20,4,-6,0.0,3.8,1,1,25,04:43 AM,12:18 PM,09:02 AM,04:01 PM,0,-2,2,-2,35,69,80,0.0,1022,4,10,261,23
2020-01-21,7,-4,0.0,4.7,1,1,18,06:09 AM,12:42 PM,09:00 AM,04:03 PM,-0,-0,4,-0,43,59,71,0.0,1008,7,10,300,26
2020-01-22,2,-1,0.0,7.5,1,1,11,07:26 AM,01:18 PM,08:58 AM,04:06 PM,-4,-5,1,-5,37,27,70,0.0,1008,2,10,332,24
2020-01-23,2,-3,0.0,6.7,1,1,3,08:27 AM,02:09 PM,08:56 AM,04:08 PM,-3,-4,0,-4,26,50,78,0.0,1013,2,10,264,17
2020-01-24,3,-2,0.0,6.7,1,1,0,09:10 AM,03:16 PM,08:54 AM,04:11 PM,-0,-2,2,-2,26,49,87,0.4,999,3,10,279,16
2020-01-25,2,-1,0.0,7.6,1,1,0,09:39 AM,04:31 PM,08:52 AM,04:13 PM,-4,-5,1,-5,37,18,70,0.0,1001,2,10,304,24
2020-01-26,4,1,0.0,4.8,1,1,4,09:58 AM,05:51 PM,08:50 AM,04:16 PM,1,-1,3,-1,29,77,88,1.1,1004,4,10,268,18
2020-01-27,1,-6,2.0,2.9,1,1,11,10:11 AM,07:11 PM,08:48 AM,04:18 PM,0,-4,-0,-4,23,100,95,3.9,1008,1,5,89,16
2020-01-28,4,2,0.0,2.9,1,1,18,10:21 AM,08:28 PM,08:46 AM,04:21 PM,2,-1,3,-1,26,100,93,10.6,1001,4,9,183,18
2020-01-29,2,-5,5.0,2.9,1,1,26,10:29 AM,09:45 PM,08:43 AM,04:24 PM,1,-4,1,-4,28,100,94,6.1,998,2,6,125,20
2020-01-30,2,-3,10.5,2.9,1,1,33,10:36 AM,11:01 PM,08:41 AM,04:26 PM,1,-2,2,-2,24,100,96,12.3,999,2,4,148,17
2020-01-31,2,0,0.9,3.0,1,1,37,10:43 AM,No moonset,08:39 AM,04:29 PM,-0,-3,1,-3,21,96,93,1.2,998,2,6,111,15
2020-02-01,3,-4,1.6,3.0,1,1,49,10:51 AM,12:17 AM,08:36 AM,04:32 PM,2,-3,1,-3,32,100,95,14.4,990,3,6,170,21
2020-02-02,5,1,0.0,3.0,1,1,57,11:00 AM,01:36 AM,08:34 AM,04:34 PM,2,-1,3,-1,28,82,90,4.7,979,5,9,267,18
2020-02-03,1,-2,0.0,8.1,1,1,64,11:13 AM,02:56 AM,08:32 AM,04:37 PM,-4,-6,-0,-6,29,31,75,0.1,990,1,10,315,22
2020-02-04,-2,-4,0.0,8.1,1,1,72,11:31 AM,04:17 AM,08:29 AM,04:40 PM,-9,-8,-3,-8,23,18,65,0.0,1002,-2,10,347,16
2020-02-05,1,-4,0.0,8.2,1,1,79,11:59 AM,05:39 AM,08:27 AM,04:42 PM,-5,-6,-2,-6,29,55,75,0.1,1007,1,9,276,19
2020-02-06,-2,-4,0.1,8.2,1,1,87,12:42 PM,06:52 AM,08:24 AM,04:45 PM,-10,-9,-3,-9,31,13,58,0.2,1011,-2,9,319,22
2020-02-07,-2,-10,0.0,5.0,1,1,95,01:48 PM,07:50 AM,08:22 AM,04:48 PM,-7,-9,-4,-9,26,53,74,0.6,1022,-2,8,270,17
2020-02-08,2,-5,0.0,6.8,1,1,100,03:13 PM,08:30 AM,08:19 AM,04:50 PM,-0,-2,1,-2,21,67,91,0.0,1016,2,10,239,14
2020-02-09,4,-3,0.0,3.1,1,1,100,04:49 PM,08:56 AM,08:17 AM,04:53 PM,2,-1,3,-1,45,99,90,1.5,1003,4,8,218,28
2020-02-10,5,4,0.0,3.2,1,1,83,06:30 PM,09:14 AM,08:14 AM,04:56 PM,3,-1,5,-1,58,95,86,18.1,969,5,7,203,38
2020-02-11,3,2,0.8,3.2,1,1,75,08:09 PM,09:27 AM,08:11 AM,04:58 PM,0,-2,3,-2,35,90,85,1.5,973,3,8,229,23
2020-02-12,4,2,0.5,3.3,1,1,68,09:48 PM,09:38 AM,08:09 AM,05:01 PM,1,-2,3,-2,30,98,87,0.8,984,4,8,214,21
2020-02-13,3,-4,0.5,3.4,1,1,60,11:23 PM,09:47 AM,08:06 AM,05:04 PM,-0,-2,2,-2,22,69,85,0.7,994,3,7,265,15
2020-02-14,3,-4,0.0,8.7,1,1,53,No moonrise,09:57 AM,08:03 AM,05:07 PM,-2,-2,1,-2,12,7,81,0.0,1012,3,10,288,9
2020-02-15,3,-4,0.0,3.4,1,1,45,12:58 AM,10:08 AM,08:01 AM,05:09 PM,0,-3,1,-3,37,87,88,7.8,1014,3,7,214,24
2020-02-16,5,-3,0.0,3.6,1,1,38,02:30 AM,10:23 AM,07:58 AM,05:12 PM,3,-1,3,-1,49,100,93,24.8,999,5,7,197,31
2020-02-17,5,3,0.0,3.6,1,1,30,03:59 AM,10:45 AM,07:55 AM,05:15 PM,2,-1,5,-1,51,100,84,31.8,986,5,8,244,33
2020-02-18,6,4,0.0,3.6,1,1,22,05:18 AM,11:17 AM,07:53 AM,05:17 PM,2,-0,5,-0,49,91,81,3.1,992,6,10,245,32
2020-02-19,4,2,0.0,3.6,1,1,15,06:23 AM,12:02 PM,07:50 AM,05:20 PM,0,-1,3,-1,30,92,82,0.0,998,4,10,252,19
2020-02-20,1,-3,0.1,3.7,1,1,7,07:11 AM,01:04 PM,07:47 AM,05:23 PM,-1,-2,1,-2,16,66,87,0.2,1010,1,9,153,11
2020-02-21,3,-2,1.3,3.7,1,1,0,07:44 AM,02:17 PM,07:44 AM,05:25 PM,1,-3,2,-3,46,91,88,5.8,1004,3,6,201,31
2020-02-22,5,-1,0.0,3.7,1,1,0,08:04 AM,03:35 PM,07:41 AM,05:28 PM,2,-1,4,-1,61,96,85,35.4,989,5,7,206,40
2020-02-23,4,2,0.0,5.4,1,1,0,08:19 AM,04:55 PM,07:39 AM,05:30 PM,-1,-2,3,-2,38,59,78,0.8,980,4,9,253,26
2020-02-24,3,-0,0.0,8.7,1,1,0,08:29 AM,06:13 PM,07:36 AM,05:33 PM,-5,-5,1,-5,35,4,65,0.0,994,3,10,291,23
2020-02-25,2,-5,0.0,8.7,1,1,8,08:37 AM,07:31 PM,07:33 AM,05:36 PM,-7,-4,-0,-4,18,35,59,0.0,997,2,10,189,13
2020-02-26,0,-2,0.0,3.8,1,1,15,08:45 AM,08:47 PM,07:30 AM,05:38 PM,-7,-7,-1,-7,37,97,61,0.2,989,0,8,61,28
2020-02-27,-1,-3,0.0,8.7,1,1,23,08:51 AM,10:03 PM,07:27 AM,05:41 PM,-8,-9,-2,-9,34,29,64,0.0,997,-1,10,74,25
2020-02-28,-1,-5,0.0,7.1,1,1,30,08:58 AM,11:20 PM,07:24 AM,05:43 PM,-9,-7,-3,-7,16,49,65,0.0,1000,-1,10,218,12
2020-02-29,1,-4,0.2,5.5,1,1,38,09:07 AM,No moonset,07:21 AM,05:46 PM,-5,-5,-1,-5,15,53,79,0.5,1000,1,8,192,10
2020-03-01,3,-4,4.0,3.9,1,1,44,09:18 AM,12:38 AM,07:18 AM,05:48 PM,1,-3,1,-3,33,97,92,7.9,990,3,6,210,22
2020-03-02,4,-2,0.0,5.5,1,1,51,09:32 AM,01:58 AM,07:15 AM,05:51 PM,2,-1,3,-1,26,87,92,2.0,997,4,10,227,17
2020-03-03,4,-5,0.0,3.9,1,1,58,09:54 AM,03:18 AM,07:12 AM,05:53 PM,2,-2,2,-2,26,97,93,6.4,1007,4,9,76,17
2020-03-04,3,-2,0.1,3.9,1,1,65,10:29 AM,04:34 AM,07:09 AM,05:56 PM,2,-3,3,-3,45,100,93,13.2,1008,3,7,107,30
2020-03-05,4,-2,1.0,3.9,1,1,73,11:22 AM,05:38 AM,07:06 AM,05:58 PM,2,-1,3,-1,25,96,92,1.8,1002,4,7,222,16
2020-03-06,4,-2,1.7,10.1,1,1,80,12:37 PM,06:25 AM,07:03 AM,06:01 PM,-0,-1,3,-1,19,34,83,1.5,1005,4,8,249,13
2020-03-07,4,1,0.0,5.5,1,1,87,02:08 PM,06:56 AM,07:00 AM,06:03 PM,-0,-0,2,-0,12,78,85,0.0,1012,4,10,100,8
2020-03-08,4,1,0.0,11.5,1,1,95,03:48 PM,07:17 AM,06:57 AM,06:06 PM,-1,-1,2,-1,18,39,81,0.0,1013,4,10,204,12
2020-03-09,4,2,0.0,5.8,1,1,100,05:30 PM,07:32 AM,06:54 AM,06:08 PM,1,-1,3,-1,32,95,85,1.1,1010,4,7,213,21
2020-03-10,4,3,0.0,5.8,1,1,100,07:11 PM,07:44 AM,06:51 AM,06:11 PM,3,-1,4,-1,31,91,93,7.5,1002,4,8,207,20
2020-03-11,3,-1,0.0,5.8,1,1,84,08:51 PM,07:53 AM,06:48 AM,06:13 PM,2,-1,3,-1,27,100,96,12.1,986,3,9,157,17
2020-03-12,5,2,4.7,5.9,1,1,76,10:31 PM,08:03 AM,06:45 AM,06:16 PM,1,-1,3,-1,26,89,88,7.2,981,5,5,221,18
2020-03-13,3,-3,1.5,7.3,1,1,69,No moonrise,08:13 AM,06:42 AM,06:18 PM,-3,-4,1,-4,28,69,74,1.8,989,3,9,290,20
2020-03-14,0,-3,0.0,10.2,1,1,62,12:08 AM,08:27 AM,06:39 AM,06:21 PM,-12,-7,-2,-7,27,38,45,0.0,1010,0,10,328,20
2020-03-15,3,-2,0.0,11.6,1,1,55,01:43 AM,08:46 AM,06:36 AM,06:23 PM,-4,-4,1,-4,41,39,65,0.0,1015,3,10,226,28
2020-03-16,5,1,0.0,8.8,1,1,47,03:09 AM,09:15 AM,06:33 AM,06:26 PM,0,-1,3,-1,34,61,82,15.2,1008,5,9,297,23
