date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,10,6,0.0,5.1,1,1,80,02:34 PM,05:06 AM,08:43 AM,05:11 PM,7,6,8,6,16,79,91,0.0,1028,10,7,210,10
2020-01-08,12,10,0.0,3.3,1,1,88,03:10 PM,06:16 AM,08:43 AM,05:12 PM,10,9,11,9,19,100,95,0.2,1026,12,8,214,12
2020-01-09,12,10,0.0,3.3,1,1,95,03:57 PM,07:24 AM,08:42 AM,05:13 PM,8,9,11,9,32,96,82,4.0,1016,12,9,203,21
2020-01-10,9,4,0.0,3.3,1,1,100,04:54 PM,08:27 AM,08:42 AM,05:14 PM,5,6,8,6,21,78,76,2.2,1021,9,9,314,15
2020-01-11,8,5,0.0,5.1,1,1,100,06:03 PM,09:21 AM,08:41 AM,05:16 PM,3,4,6,4,12,52,78,0.0,1032,8,10,198,9
2020-01-12,9,4,0.0,3.3,1,1,83,07:20 PM,10:06 AM,08:41 AM,05:17 PM,4,3,6,3,23,80,86,0.4,1026,9,10,218,15
2020-01-13,10,5,0.0,3.3,1,1,76,08:40 PM,10:41 AM,08:40 AM,05:18 PM,6,6,8,6,27,84,84,1.0,1018,10,10,195,18
2020-01-14,10,4,0.0,3.3,1,1,69,10:01 PM,11:11 AM,08:40 AM,05:20 PM,4,6,9,6,44,93,69,0.3,1009,10,10,207,29
2020-01-15,12,9,0.0,6.9,1,1,61,11:20 PM,11:37 AM,08:39 AM,05:21 PM,5,7,10,7,33,48,71,1.6,1014,12,9,208,22
2020-01-16,13,6,0.0,8.7,1,1,54,No moonrise,12:00 PM,08:38 AM,05:23 PM,6,7,9,7,23,32,81,0.0,1022,13,8,165,14
2020-01-17,10,7,0.0,3.3,1,1,47,12:38 AM,12:23 PM,08:38 AM,05:24 PM,4,6,9,6,30,73,71,4.2,1018,10,10,247,20
2020-01-18,9,5,0.0,8.7,1,1,40,01:55 AM,12:47 PM,08:37 AM,05:25 PM,2,4,6,4,14,37,75,0.1,1028,9,10,290,10
2020-01-19,7,3,0.0,8.7,1,1,32,03:11 AM,01:14 PM,08:36 AM,05:27 PM,0,2,5,2,22,23,72,0.0,1039,7,10,16,15
2020-01-20,7,3,0.0,8.7,1,1,25,04:26 AM,01:46 PM,08:35 AM,05:28 PM,1,2,5,2,19,7,76,0.0,1045,7,10,44,15
2020-01-21,8,3,0.0,8.7,1,1,18,05:38 AM,02:23 PM,08:34 AM,05:30 PM,1,3,5,3,10,2,73,0.0,1041,8,10,59,9
2020-01-22,7,1,0.0,8.7,1,1,11,06:43 AM,03:09 PM,08:33 AM,05:32 PM,-1,2,4,2,11,10,68,0.0,1035,7,10,49,9
2020-01-23,9,2,0.0,8.7,1,1,3,07:41 AM,04:03 PM,08:32 AM,05:33 PM,-1,2,5,2,13,6,66,0.0,1029,9,10,47,11
2020-01-24,9,2,0.0,8.7,1,1,0,08:29 AM,05:03 PM,08:31 AM,05:35 PM,-2,4,5,4,5,6,62,0.0,1024,9,10,124,4
2020-01-25,8,2,0.0,6.9,1,1,0,09:08 AM,06:07 PM,08:30 AM,05:36 PM,3,4,5,4,8,31,89,0.0,1021,8,9,141,5
2020-01-26,10,5,0.0,5.2,1,1,4,09:40 AM,07:14 PM,08:29 AM,05:38 PM,5,5,7,5,18,61,86,0.0,1016,10,7,202,11
2020-01-27,9,8,0.0,3.4,1,1,11,10:05 AM,08:19 PM,08:28 AM,05:39 PM,6,6,9,6,33,100,83,9.9,1007,9,6,205,22
2020-01-28,8,1,0.0,5.2,1,1,18,10:27 AM,09:24 PM,08:27 AM,05:41 PM,1,3,7,3,39,78,66,11.1,1003,8,10,260,28
2020-01-29,10,5,0.0,5.2,1,1,26,10:47 AM,10:28 PM,08:25 AM,05:43 PM,2,4,7,4,24,66,73,3.4,1013,10,10,262,16
2020-01-30,11,5,0.0,3.5,1,1,33,11:06 AM,11:32 PM,08:24 AM,05:44 PM,7,5,8,5,27,82,91,2.0,1011,11,8,199,17
2020-01-31,13,11,0.0,3.5,1,1,37,11:24 AM,No moonset,08:23 AM,05:46 PM,10,10,12,10,23,95,86,0.0,1013,13,10,226,15
2020-02-01,14,11,0.0,3.5,1,1,49,11:44 AM,12:35 AM,08:21 AM,05:47 PM,9,11,13,11,31,90,79,20.7,1011,14,9,251,21
2020-02-02,16,11,0.0,3.5,1,1,57,12:05 PM,01:41 AM,08:20 AM,05:49 PM,10,12,13,12,28,99,84,16.9,1014,16,9,260,19
2020-02-03,13,4,0.0,3.5,1,1,64,12:31 PM,02:47 AM,08:19 AM,05:51 PM,9,10,12,10,24,91,78,8.3,1017,13,7,249,17
2020-02-04,9,5,0.0,3.5,1,1,72,01:03 PM,03:55 AM,08:17 AM,05:52 PM,1,4,8,4,34,83,63,8.3,1023,9,10,303,25
2020-02-05,9,5,0.0,8.7,1,1,79,01:43 PM,05:03 AM,08:16 AM,05:54 PM,3,6,7,6,10,56,74,0.1,1035,9,10,43,7
2020-02-06,11,4,0.0,8.7,1,1,87,02:35 PM,06:08 AM,08:14 AM,05:56 PM,1,6,7,6,10,12,66,0.0,1031,11,10,77,8
2020-02-07,10,5,0.0,8.7,1,1,95,03:39 PM,07:07 AM,08:13 AM,05:57 PM,2,5,7,5,14,21,68,0.0,1023,10,10,158,11
2020-02-08,10,8,0.0,3.6,1,1,100,04:53 PM,07:56 AM,08:11 AM,05:59 PM,6,7,9,7,19,82,82,1.5,1020,10,9,206,13
2020-02-09,12,7,0.0,5.0,1,1,100,06:14 PM,08:36 AM,08:10 AM,06:00 PM,7,6,9,6,47,89,78,2.7,1012,12,8,211,31
2020-02-10,10,9,0.0,5.0,1,1,83,07:37 PM,09:10 AM,08:08 AM,06:02 PM,3,7,10,7,54,75,59,10.8,1008,10,8,248,38
2020-02-11,8,5,0.0,5.0,1,1,75,09:00 PM,09:38 AM,08:07 AM,06:04 PM,-0,3,7,3,38,73,60,9.3,1015,8,9,272,27
2020-02-12,9,5,0.0,5.0,1,1,68,10:22 PM,10:03 AM,08:05 AM,06:05 PM,1,3,7,3,24,82,67,1.8,1020,9,8,258,17
2020-02-13,11,3,0.0,5.0,1,1,60,11:42 PM,10:26 AM,08:03 AM,06:07 PM,3,5,8,5,39,87,71,13.6,1007,11,8,232,27
2020-02-14,12,7,0.0,8.3,1,1,53,No moonrise,10:51 AM,08:02 AM,06:09 PM,6,7,9,7,18,65,79,0.5,1021,12,10,230,13
2020-02-15,13,7,0.0,10.0,1,1,45,01:01 AM,11:17 AM,08:00 AM,06:10 PM,6,8,10,8,27,50,77,0.0,1020,13,10,199,18
2020-02-16,16,13,0.0,5.3,1,1,38,02:17 AM,11:48 AM,07:58 AM,06:12 PM,7,13,15,13,48,97,64,5.6,1011,16,9,215,32
2020-02-17,12,8,0.0,6.9,1,1,30,03:30 AM,12:23 PM,07:57 AM,06:14 PM,2,7,10,7,30,73,61,6.8,1018,12,9,248,22
2020-02-18,11,5,0.0,10.0,1,1,22,04:38 AM,01:06 PM,07:55 AM,06:15 PM,1,5,8,5,27,52,63,0.5,1026,11,10,242,19
2020-02-19,9,7,0.0,6.9,1,1,15,05:37 AM,01:57 PM,07:53 AM,06:17 PM,3,5,8,5,24,89,70,10.0,1024,9,7,272,17
2020-02-20,10,8,0.0,5.3,1,1,7,06:27 AM,02:54 PM,07:51 AM,06:18 PM,4,6,9,6,30,86,70,2.5,1020,10,10,218,21
2020-02-21,10,5,0.0,10.7,1,1,0,07:08 AM,03:57 PM,07:49 AM,06:20 PM,1,5,7,5,18,37,65,0.4,1030,10,10,234,14
2020-02-22,13,6,0.0,8.5,1,1,0,07:42 AM,05:02 PM,07:48 AM,06:22 PM,5,6,9,6,27,44,75,0.0,1028,13,10,230,19
2020-02-23,14,10,0.0,5.4,1,1,0,08:08 AM,06:08 PM,07:46 AM,06:23 PM,10,10,12,10,33,100,83,1.2,1025,14,9,246,22
2020-02-24,13,11,0.0,7.0,1,1,0,08:31 AM,07:13 PM,07:44 AM,06:25 PM,8,10,12,10,30,97,78,1.6,1019,13,9,231,21
2020-02-25,10,6,0.0,5.4,1,1,8,08:52 AM,08:17 PM,07:42 AM,06:26 PM,4,6,9,6,31,91,70,8.1,1007,10,8,263,23
2020-02-26,8,2,2.6,7.0,1,1,15,09:10 AM,09:21 PM,07:40 AM,06:28 PM,-2,0,5,0,32,76,63,9.1,1007,8,7,291,24
2020-02-27,11,4,0.0,5.5,1,1,23,09:29 AM,10:25 PM,07:38 AM,06:30 PM,2,2,6,2,32,88,74,12.0,1004,11,9,254,23
2020-02-28,7,3,0.0,5.5,1,1,30,09:48 AM,11:29 PM,07:36 AM,06:31 PM,3,3,5,3,24,81,79,1.5,1014,7,8,187,16
2020-02-29,11,6,0.0,5.5,1,1,38,10:08 AM,No moonset,07:34 AM,06:33 PM,4,5,9,5,39,80,71,2.9,998,11,9,238,27
2020-03-01,9,2,0.0,5.5,1,1,44,10:31 AM,12:34 AM,07:32 AM,06:34 PM,3,3,7,3,28,85,75,26.8,997,9,9,240,20
2020-03-02,8,6,0.0,5.5,1,1,51,11:00 AM,01:41 AM,07:30 AM,06:36 PM,3,3,7,3,26,86,78,14.3,992,8,9,258,19
