date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,28,23,0.0,7.4,1,1,80,03:46 PM,03:34 AM,06:40 AM,06:31 PM,23,28,28,25,18,62,86,5.8,1013,28,10,66,11
2020-01-08,29,24,0.0,8.8,1,1,88,04:39 PM,04:26 AM,06:40 AM,06:31 PM,23,29,29,26,21,53,83,3.9,1013,29,10,68,13
2020-01-09,29,24,0.0,7.4,1,1,95,05:36 PM,05:23 AM,06:40 AM,06:32 PM,22,28,28,25,20,62,81,1.4,1013,29,10,55,13
2020-01-10,29,23,0.0,7.4,1,1,100,06:35 PM,06:21 AM,06:41 AM,06:32 PM,21,27,27,25,18,61,79,1.2,1013,29,10,59,12
2020-01-11,29,23,0.0,7.4,1,1,100,07:36 PM,07:21 AM,06:41 AM,06:33 PM,21,28,28,25,18,61,79,1.4,1013,29,10,41,12
2020-01-12,28,23,0.0,7.4,1,1,83,08:35 PM,08:19 AM,06:42 AM,06:33 PM,22,28,28,25,20,67,82,2.7,1013,28,10,43,13
2020-01-13,27,24,0.0,7.4,1,1,76,09:33 PM,09:15 AM,06:42 AM,06:34 PM,23,27,27,25,22,74,91,31.7,1012,27,7,69,12
2020-01-14,28,24,0.0,8.8,1,1,69,10:27 PM,10:07 AM,06:42 AM,06:34 PM,23,28,28,25,20,63,89,5.7,1012,28,10,58,12
2020-01-15,28,24,0.0,6.0,1,1,61,11:21 PM,10:57 AM,06:42 AM,06:34 PM,23,28,28,25,19,78,87,6.5,1012,28,9,58,12
2020-01-16,29,24,0.0,8.8,1,1,54,No moonrise,11:45 AM,06:43 AM,06:35 PM,23,29,29,26,16,60,87,3.7,1012,29,10,45,10
2020-01-17,28,24,0.0,8.8,1,1,47,12:13 AM,12:33 PM,06:43 AM,06:35 PM,23,28,28,25,17,61,88,1.3,1013,28,10,57,11
2020-01-18,27,24,0.0,6.0,1,1,40,01:04 AM,01:21 PM,06:43 AM,06:36 PM,23,28,28,25,18,71,85,2.5,1013,27,10,52,11
2020-01-19,28,24,0.0,8.8,1,1,32,01:57 AM,02:10 PM,06:44 AM,06:36 PM,22,28,28,25,19,61,85,1.4,1013,28,10,51,12
2020-01-20,28,24,0.0,7.4,1,1,25,02:50 AM,03:02 PM,06:44 AM,06:36 PM,22,28,28,25,21,70,82,2.6,1012,28,10,55,14
2020-01-21,28,23,0.0,7.4,1,1,18,03:45 AM,03:55 PM,06:44 AM,06:37 PM,21,27,27,25,17,64,79,1.4,1012,28,10,55,11
2020-01-22,28,22,0.0,10.2,1,1,11,04:40 AM,04:48 PM,06:44 AM,06:37 PM,20,27,27,24,14,47,79,0.2,1012,28,10,59,9
2020-01-23,28,22,0.0,11.6,1,1,3,05:35 AM,05:43 PM,06:44 AM,06:38 PM,20,27,27,24,14,31,76,0.0,1012,28,10,70,9
2020-01-24,28,23,0.0,6.0,1,1,0,06:27 AM,06:35 PM,06:45 AM,06:38 PM,22,28,28,25,15,60,82,0.4,1012,28,10,55,10
2020-01-25,27,24,0.0,7.4,1,1,0,07:17 AM,07:26 PM,06:45 AM,06:38 PM,23,28,28,25,16,72,89,21.2,1012,27,8,58,9
2020-01-26,28,24,0.0,6.0,1,1,4,08:04 AM,08:13 PM,06:45 AM,06:39 PM,23,28,28,25,21,86,89,20.3,1013,28,9,55,12
2020-01-27,27,24,0.0,7.4,1,1,11,08:47 AM,08:59 PM,06:45 AM,06:39 PM,23,28,28,25,17,74,89,3.6,1013,27,10,59,10
2020-01-28,29,24,0.0,8.8,1,1,18,09:29 AM,09:43 PM,06:45 AM,06:39 PM,23,29,29,26,16,67,85,0.8,1012,29,9,63,11
2020-01-29,29,24,0.0,6.0,1,1,26,10:09 AM,10:26 PM,06:45 AM,06:39 PM,23,28,28,26,20,74,84,2.8,1012,29,10,64,13
2020-01-30,27,24,0.0,8.8,1,1,33,10:48 AM,11:08 PM,06:45 AM,06:40 PM,23,28,28,25,22,78,89,3.9,1012,27,10,67,13
2020-01-31,28,24,0.0,7.4,1,1,37,11:27 AM,11:51 PM,06:45 AM,06:40 PM,22,28,28,25,22,82,84,9.3,1014,28,10,66,14
2020-02-01,28,23,0.0,10.2,1,1,49,12:07 PM,No moonset,06:45 AM,06:40 PM,20,27,27,25,18,55,77,0.4,1014,28,10,53,12
2020-02-02,28,22,0.0,7.4,1,1,57,12:49 PM,12:35 AM,06:45 AM,06:40 PM,20,27,27,25,16,59,77,1.0,1014,28,10,64,10
2020-02-03,29,23,0.0,8.8,1,1,64,01:35 PM,01:23 AM,06:45 AM,06:41 PM,21,27,27,25,16,52,81,0.4,1014,29,10,22,11
2020-02-04,29,23,0.0,8.8,1,1,72,02:24 PM,02:12 AM,06:45 AM,06:41 PM,22,28,28,26,20,66,80,1.7,1014,29,10,41,13
2020-02-05,28,23,0.0,7.4,1,1,79,03:18 PM,03:06 AM,06:45 AM,06:41 PM,21,27,27,25,20,75,79,2.9,1014,28,10,55,14
2020-02-06,27,23,0.0,7.4,1,1,87,04:16 PM,04:03 AM,06:45 AM,06:41 PM,21,27,27,25,22,75,78,2.4,1014,27,10,54,14
2020-02-07,28,23,0.0,7.4,1,1,95,05:16 PM,05:02 AM,06:45 AM,06:41 PM,21,27,27,25,21,74,78,2.5,1013,28,10,40,13
2020-02-08,27,23,0.0,7.4,1,1,100,06:17 PM,06:02 AM,06:45 AM,06:42 PM,22,27,27,24,21,64,84,10.9,1013,27,9,42,13
2020-02-09,27,23,0.0,7.4,1,1,100,07:18 PM,07:00 AM,06:45 AM,06:42 PM,21,27,27,25,19,66,78,1.7,1015,27,10,60,12
2020-02-10,27,23,0.0,6.0,1,1,83,08:15 PM,07:55 AM,06:45 AM,06:42 PM,23,27,27,25,19,78,90,21.2,1014,27,8,54,11
2020-02-11,28,24,0.0,8.8,1,1,75,09:12 PM,08:48 AM,06:45 AM,06:42 PM,23,28,28,25,20,69,86,8.0,1013,28,10,56,13
2020-02-12,28,23,0.0,7.4,1,1,68,10:06 PM,09:39 AM,06:45 AM,06:42 PM,21,28,28,25,18,79,80,2.4,1013,28,10,56,11
