date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,27,21,0.0,8.2,1,1,80,04:04 PM,02:44 AM,05:31 AM,06:38 PM,23,29,29,25,50,76,82,5.1,1012,27,9,101,38
2020-01-08,26,20,0.0,8.2,1,1,88,05:02 PM,03:33 AM,05:31 AM,06:38 PM,23,28,28,25,54,79,82,8.2,1012,26,9,102,40
2020-01-09,26,21,0.0,8.2,1,1,95,06:01 PM,04:26 AM,05:32 AM,06:38 PM,22,27,27,25,54,79,81,12.0,1011,26,9,97,38
2020-01-10,26,21,0.0,8.2,1,1,100,07:00 PM,05:25 AM,05:33 AM,06:38 PM,22,28,28,25,52,76,79,13.0,1010,26,9,83,37
2020-01-11,26,26,0.0,8.2,1,1,100,07:56 PM,06:27 AM,05:33 AM,06:39 PM,23,29,29,26,49,82,83,9.1,1010,26,9,85,37
2020-01-12,26,18,0.0,8.2,1,1,83,08:48 PM,07:31 AM,05:34 AM,06:39 PM,23,27,27,24,46,77,84,9.2,1010,26,9,94,34
2020-01-13,26,26,0.0,9.4,1,1,76,09:37 PM,08:33 AM,05:35 AM,06:39 PM,23,29,29,26,46,77,83,9.8,1010,26,9,110,33
2020-01-14,26,25,0.0,8.2,1,1,69,10:22 PM,09:34 AM,05:35 AM,06:39 PM,23,28,28,26,46,77,84,14.0,1010,26,9,99,32
2020-01-15,26,26,0.0,8.1,1,1,61,11:05 PM,10:33 AM,05:36 AM,06:39 PM,23,29,29,26,40,81,82,14.0,1010,26,9,86,28
2020-01-16,26,18,0.0,8.1,1,1,54,11:47 PM,11:31 AM,05:37 AM,06:39 PM,23,28,28,25,43,78,84,3.3,1010,26,9,81,35
2020-01-17,26,26,0.0,8.1,1,1,47,No moonrise,12:27 PM,05:37 AM,06:39 PM,23,29,29,26,48,83,84,4.1,1011,26,9,81,37
2020-01-18,27,23,0.0,8.1,1,1,40,12:30 AM,01:25 PM,05:38 AM,06:39 PM,23,28,28,25,43,79,83,5.2,1013,27,9,77,33
2020-01-19,26,26,0.0,10.7,1,1,32,01:14 AM,02:22 PM,05:38 AM,06:39 PM,23,29,29,26,28,64,82,1.2,1013,26,10,75,23
2020-01-20,27,26,0.0,13.0,1,1,25,02:01 AM,03:20 PM,05:39 AM,06:39 PM,22,29,29,26,21,35,78,0.6,1012,27,10,50,17
2020-01-21,27,26,0.0,8.1,1,1,18,02:50 AM,04:17 PM,05:40 AM,06:39 PM,23,29,29,26,26,76,81,7.8,1013,27,9,57,20
2020-01-22,27,19,0.0,8.1,1,1,11,03:43 AM,05:13 PM,05:40 AM,06:39 PM,23,28,28,25,27,78,80,4.9,1013,27,9,51,21
2020-01-23,27,23,0.0,9.4,1,1,3,04:36 AM,06:05 PM,05:41 AM,06:39 PM,23,29,29,26,33,67,80,11.6,1013,27,9,77,24
