date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,29,23,0.0,7.4,1,1,80,03:37 PM,03:12 AM,06:25 AM,06:31 PM,23,30,30,27,18,63,80,7.8,1010,29,9,315,11
2020-01-08,28,25,0.0,6.0,1,1,88,04:30 PM,04:03 AM,06:25 AM,06:32 PM,23,30,30,27,16,64,77,1.8,1011,28,10,266,10
2020-01-09,28,22,0.0,6.0,1,1,95,05:27 PM,04:58 AM,06:26 AM,06:32 PM,23,29,29,26,19,72,79,13.3,1012,28,9,233,12
2020-01-10,28,24,0.0,11.6,1,1,100,06:25 PM,05:56 AM,06:26 AM,06:32 PM,22,28,28,26,14,43,76,1.6,1012,28,10,203,10
2020-01-11,28,25,0.0,10.2,1,1,100,07:26 PM,06:56 AM,06:27 AM,06:33 PM,22,29,29,27,14,34,77,0.3,1012,28,10,220,9
2020-01-12,29,23,0.0,10.2,1,1,83,08:24 PM,07:55 AM,06:27 AM,06:33 PM,22,30,30,27,13,28,73,0.2,1012,29,10,309,9
2020-01-13,29,23,0.0,11.6,1,1,76,09:21 PM,08:52 AM,06:27 AM,06:34 PM,23,30,30,27,16,38,77,0.1,1010,29,10,216,11
2020-01-14,29,24,0.0,7.4,1,1,69,10:14 PM,09:47 AM,06:28 AM,06:34 PM,24,31,31,28,17,69,77,6.3,1009,29,10,241,12
2020-01-15,29,23,0.0,6.0,1,1,61,11:06 PM,10:39 AM,06:28 AM,06:34 PM,24,31,31,27,16,67,80,12.2,1009,29,9,237,10
2020-01-16,29,25,0.0,7.4,1,1,54,11:56 PM,11:30 AM,06:28 AM,06:35 PM,24,31,31,27,20,63,78,24.1,1011,29,8,254,12
2020-01-17,29,24,0.0,7.4,1,1,47,No moonrise,12:19 PM,06:29 AM,06:35 PM,23,30,30,27,15,67,78,13.4,1012,29,9,263,9
2020-01-18,29,24,0.0,10.2,1,1,40,12:46 AM,01:09 PM,06:29 AM,06:35 PM,23,30,30,27,13,58,78,0.7,1012,29,10,199,8
2020-01-19,29,25,0.0,7.4,1,1,32,01:36 AM,02:00 PM,06:29 AM,06:36 PM,23,30,30,27,12,53,77,1.7,1011,29,10,230,8
2020-01-20,30,24,0.0,10.2,1,1,25,02:28 AM,02:52 PM,06:30 AM,06:36 PM,23,30,30,27,17,52,76,0.7,1010,30,10,224,11
2020-01-21,30,26,0.0,8.8,1,1,18,03:21 AM,03:46 PM,06:30 AM,06:36 PM,23,31,31,28,16,57,76,7.1,1011,30,9,235,10
2020-01-22,30,27,0.0,6.0,1,1,11,04:15 AM,04:40 PM,06:30 AM,06:36 PM,23,32,32,28,15,76,76,2.7,1011,30,10,214,9
2020-01-23,30,24,0.0,6.0,1,1,3,05:10 AM,05:34 PM,06:31 AM,06:37 PM,23,31,31,28,14,73,74,3.4,1010,30,10,305,9
2020-01-24,30,25,0.0,6.0,1,1,0,06:03 AM,06:26 PM,06:31 AM,06:37 PM,23,32,32,28,14,57,74,4.2,1011,30,10,307,9
2020-01-25,30,25,0.0,6.0,1,1,0,06:54 AM,07:17 PM,06:31 AM,06:37 PM,23,31,31,28,14,62,75,4.5,1011,30,9,280,9
2020-01-26,29,24,0.0,7.4,1,1,4,07:43 AM,08:04 PM,06:31 AM,06:37 PM,24,31,31,28,15,60,76,1.7,1011,29,10,303,10
2020-01-27,29,23,0.0,6.0,1,1,11,08:28 AM,08:48 PM,06:32 AM,06:38 PM,24,31,31,27,17,79,79,8.2,1011,29,10,267,12
2020-01-28,30,27,0.0,11.6,1,1,18,09:12 AM,09:31 PM,06:32 AM,06:38 PM,23,31,31,28,15,55,75,7.1,1011,30,10,275,10
2020-01-29,30,26,0.0,11.6,1,1,26,09:53 AM,10:12 PM,06:32 AM,06:38 PM,23,31,31,28,16,34,73,5.1,1011,30,10,297,10
2020-01-30,29,25,0.0,6.0,1,1,33,10:34 AM,10:53 PM,06:32 AM,06:38 PM,24,31,31,28,18,68,77,6.2,1012,29,10,269,11
2020-01-31,29,23,0.0,6.0,1,1,37,11:15 AM,11:35 PM,06:32 AM,06:38 PM,23,31,31,27,16,73,75,5.1,1012,29,9,256,11
2020-02-01,29,27,0.0,7.4,1,1,49,11:56 AM,No moonset,06:32 AM,06:39 PM,23,31,31,28,15,75,76,10.9,1012,29,9,245,9
2020-02-02,29,26,0.0,6.0,1,1,57,12:39 PM,12:17 AM,06:33 AM,06:39 PM,23,30,30,27,19,75,77,37.5,1012,29,7,258,10
2020-02-03,26,23,0.0,6.0,1,1,64,01:26 PM,01:02 AM,06:33 AM,06:39 PM,22,27,27,24,23,79,86,118.9,1013,26,7,237,13
2020-02-04,28,23,0.0,11.6,1,1,72,02:15 PM,01:50 AM,06:33 AM,06:39 PM,22,28,28,26,12,42,75,0.2,1013,28,10,225,8
2020-02-05,29,24,0.0,11.6,1,1,79,03:10 PM,02:42 AM,06:33 AM,06:39 PM,22,30,30,27,16,25,74,0.6,1012,29,10,225,10
2020-02-06,29,26,0.0,8.8,1,1,87,04:07 PM,03:38 AM,06:33 AM,06:39 PM,23,31,31,28,17,67,74,7.9,1011,29,9,227,11
2020-02-07,29,23,0.0,7.4,1,1,95,05:07 PM,04:37 AM,06:33 AM,06:39 PM,23,31,31,27,15,67,75,13.9,1011,29,9,285,9
2020-02-08,29,25,0.0,6.0,1,1,100,06:07 PM,05:37 AM,06:33 AM,06:39 PM,24,31,31,27,25,75,79,19.2,1011,29,8,189,15
2020-02-09,28,22,0.0,6.0,1,1,100,07:06 PM,06:36 AM,06:33 AM,06:39 PM,23,30,30,26,18,71,80,24.2,1012,28,8,200,10
2020-02-10,29,23,0.0,11.6,1,1,83,08:02 PM,07:34 AM,06:33 AM,06:39 PM,23,30,30,27,13,52,77,4.4,1012,29,10,299,9
2020-02-11,30,26,0.0,6.0,1,1,75,08:57 PM,08:29 AM,06:33 AM,06:39 PM,23,31,31,28,16,74,74,3.3,1011,30,10,234,10
2020-02-12,29,22,0.0,6.0,1,1,68,09:50 PM,09:22 AM,06:33 AM,06:39 PM,23,31,31,27,17,82,76,4.9,1011,29,9,264,11
2020-02-13,30,25,0.0,6.0,1,1,60,10:41 PM,10:14 AM,06:33 AM,06:39 PM,23,31,31,27,12,70,76,3.4,1011,30,9,301,8
2020-02-14,30,23,0.0,10.2,1,1,53,11:33 PM,11:05 AM,06:33 AM,06:39 PM,23,31,31,27,12,49,75,0.8,1009,30,10,297,8
2020-02-15,29,24,0.0,6.0,1,1,45,No moonrise,11:57 AM,06:33 AM,06:39 PM,24,31,31,27,15,58,79,2.3,1009,29,10,253,10
2020-02-16,29,26,0.0,6.0,1,1,38,12:24 AM,12:49 PM,06:33 AM,06:39 PM,24,31,31,27,15,76,81,3.6,1010,29,9,269,9
2020-02-17,29,26,0.0,6.0,1,1,30,01:18 AM,01:42 PM,06:33 AM,06:39 PM,23,30,30,27,17,78,78,6.5,1011,29,9,225,11
2020-02-18,29,26,0.0,6.0,1,1,22,02:11 AM,02:36 PM,06:33 AM,06:39 PM,23,31,31,27,15,70,78,6.3,1011,29,9,246,10
2020-02-19,30,27,0.0,10.2,1,1,15,03:05 AM,03:30 PM,06:33 AM,06:39 PM,23,31,31,28,11,53,75,1.7,1010,30,10,221,7
2020-02-20,30,24,0.0,8.8,1,1,7,03:58 AM,04:21 PM,06:33 AM,06:39 PM,24,31,31,27,17,58,80,7.9,1008,30,9,227,11
2020-02-21,30,24,0.0,6.0,1,1,0,04:49 AM,05:12 PM,06:33 AM,06:39 PM,24,31,31,27,17,74,79,7.4,1009,30,10,222,11
2020-02-22,29,23,0.0,6.0,1,1,0,05:39 AM,06:00 PM,06:32 AM,06:39 PM,24,31,31,27,13,56,80,5.3,1009,29,10,250,8
2020-02-23,30,27,0.0,6.0,1,1,0,06:24 AM,06:45 PM,06:32 AM,06:39 PM,24,32,32,28,17,80,78,6.3,1010,30,10,238,11
2020-02-24,31,27,0.0,10.2,1,1,0,07:09 AM,07:28 PM,06:32 AM,06:38 PM,23,32,32,28,16,54,76,7.0,1010,31,9,223,10
2020-02-25,30,26,0.0,11.6,1,1,8,07:51 AM,08:10 PM,06:32 AM,06:38 PM,23,32,32,28,16,38,75,2.2,1009,30,10,223,10
2020-02-26,30,27,0.0,8.8,1,1,15,08:31 AM,08:50 PM,06:32 AM,06:38 PM,23,31,31,28,18,57,78,6.2,1009,30,10,248,11
2020-02-27,31,24,0.0,8.8,1,1,23,09:12 AM,09:32 PM,06:32 AM,06:38 PM,23,30,30,27,16,39,78,2.4,1009,31,10,217,10
2020-02-28,30,27,0.0,10.2,1,1,30,09:53 AM,10:13 PM,06:31 AM,06:38 PM,24,32,32,28,14,47,76,0.3,1010,30,10,278,9
2020-02-29,30,27,0.0,10.2,1,1,38,10:35 AM,10:56 PM,06:31 AM,06:38 PM,24,32,32,28,18,60,78,10.6,1010,30,9,233,11
2020-03-01,31,26,0.0,11.6,1,1,44,11:19 AM,11:42 PM,06:31 AM,06:37 PM,23,32,32,28,21,48,77,5.2,1010,31,9,207,13
2020-03-02,30,26,0.0,8.8,1,1,51,12:06 PM,No moonset,06:31 AM,06:37 PM,23,31,31,28,16,66,76,4.3,1011,30,9,235,10
2020-03-03,31,25,0.0,8.8,1,1,58,12:57 PM,12:31 AM,06:31 AM,06:37 PM,23,31,31,28,16,54,77,4.7,1012,31,10,221,10
2020-03-04,30,27,0.0,7.4,1,1,65,01:51 PM,01:24 AM,06:30 AM,06:37 PM,24,33,33,28,13,65,77,7.4,1011,30,10,248,9
2020-03-05,30,24,0.0,10.2,1,1,73,02:48 PM,02:19 AM,06:30 AM,06:37 PM,23,31,31,27,15,43,78,3.3,1010,30,10,203,10
2020-03-06,30,26,0.0,6.0,1,1,80,03:47 PM,03:18 AM,06:30 AM,06:36 PM,24,32,32,28,21,76,79,27.1,1010,30,7,237,12
2020-03-07,28,21,0.0,7.4,1,1,87,04:46 PM,04:17 AM,06:30 AM,06:36 PM,23,28,28,25,22,71,85,24.0,1010,28,8,186,13
2020-03-08,30,25,0.0,10.2,1,1,95,05:44 PM,05:15 AM,06:29 AM,06:36 PM,23,31,31,27,18,61,80,5.6,1010,30,9,235,11
2020-03-09,30,26,0.0,10.2,1,1,100,06:40 PM,06:12 AM,06:29 AM,06:36 PM,24,32,32,28,15,40,77,0.8,1010,30,10,275,9
2020-03-10,30,26,0.0,6.0,1,1,100,07:35 PM,07:07 AM,06:29 AM,06:35 PM,24,32,32,28,17,63,80,3.7,1009,30,10,246,10
2020-03-11,30,27,0.0,7.4,1,1,84,08:29 PM,08:01 AM,06:29 AM,06:35 PM,24,32,32,28,21,71,78,10.0,1009,30,9,252,13
2020-03-12,30,25,0.0,11.6,1,1,76,09:23 PM,08:54 AM,06:28 AM,06:35 PM,23,30,30,27,15,19,78,5.4,1009,30,10,214,9
2020-03-13,29,23,0.0,8.8,1,1,69,10:16 PM,09:48 AM,06:28 AM,06:35 PM,23,31,31,27,14,48,75,0.2,1009,29,10,236,9
2020-03-14,30,24,0.0,6.0,1,1,62,11:11 PM,10:41 AM,06:28 AM,06:34 PM,24,32,32,28,13,78,77,10.5,1010,30,9,239,8
2020-03-15,30,23,0.0,7.4,1,1,55,No moonrise,11:37 AM,06:28 AM,06:34 PM,24,31,31,27,16,64,79,14.0,1010,30,9,263,10
2020-03-16,29,25,0.0,6.0,1,1,47,12:06 AM,12:31 PM,06:27 AM,06:34 PM,24,31,31,28,16,65,79,5.9,1009,29,9,257,11
