date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,31,26,0.0,11.6,1,1,80,03:10 PM,02:58 AM,06:12 AM,06:01 PM,19,30,30,28,15,8,56,0.0,1010,31,10,203,12
2020-01-08,30,26,0.0,11.6,1,1,88,04:01 PM,03:51 AM,06:13 AM,06:02 PM,21,30,30,28,18,13,65,0.0,1011,30,10,211,14
2020-01-09,31,26,0.0,11.6,1,1,95,04:57 PM,04:47 AM,06:13 AM,06:02 PM,22,31,31,28,16,8,69,0.0,1011,31,10,200,13
2020-01-10,30,26,0.0,8.8,1,1,100,05:57 PM,05:46 AM,06:13 AM,06:03 PM,23,31,31,28,21,45,75,0.4,1012,30,10,211,16
2020-01-11,30,26,0.0,11.6,1,1,100,06:57 PM,06:45 AM,06:14 AM,06:03 PM,23,31,31,28,20,9,75,0.0,1012,30,10,211,15
2020-01-12,32,26,0.0,11.6,1,1,83,07:57 PM,07:43 AM,06:14 AM,06:04 PM,23,32,32,28,15,28,72,0.4,1011,32,10,191,12
2020-01-13,31,27,0.0,6.0,1,1,76,08:55 PM,08:39 AM,06:14 AM,06:04 PM,24,33,33,29,15,44,75,1.2,1010,31,10,181,12
2020-01-14,31,27,0.0,7.4,1,1,69,09:51 PM,09:32 AM,06:15 AM,06:05 PM,24,33,33,29,17,56,75,3.9,1009,31,10,168,13
2020-01-15,32,27,0.0,11.6,1,1,61,10:44 PM,10:21 AM,06:15 AM,06:05 PM,23,33,33,29,16,5,72,0.0,1009,32,10,211,13
2020-01-16,33,26,0.0,11.6,1,1,54,11:37 PM,11:10 AM,06:15 AM,06:06 PM,22,32,32,29,20,8,70,0.0,1010,33,10,214,15
