date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,13,11,0.0,9.9,1,1,80,03:40 PM,05:06 AM,08:33 AM,06:22 PM,8,10,12,10,30,15,80,0.0,1029,13,10,85,16
2020-01-08,14,11,0.0,9.9,1,1,88,04:23 PM,06:09 AM,08:33 AM,06:23 PM,7,11,12,11,14,3,75,0.0,1028,14,10,64,7
2020-01-09,13,11,0.0,6.6,1,1,95,05:14 PM,07:12 AM,08:33 AM,06:24 PM,8,10,12,10,26,56,79,0.2,1027,13,10,90,14
2020-01-10,13,7,0.0,9.9,1,1,100,06:12 PM,08:13 AM,08:32 AM,06:25 PM,7,8,10,8,31,12,77,0.0,1026,13,10,266,16
2020-01-11,13,10,0.0,6.6,1,1,100,07:18 PM,09:09 AM,08:32 AM,06:26 PM,7,10,12,10,31,61,74,0.5,1028,13,10,96,16
2020-01-12,13,11,0.0,10.0,1,1,83,08:28 PM,10:00 AM,08:32 AM,06:27 PM,7,10,12,10,33,23,75,0.2,1029,13,10,84,17
2020-01-13,12,10,0.0,9.9,1,1,76,09:39 PM,10:44 AM,08:32 AM,06:28 PM,7,10,11,10,21,33,74,0.0,1026,12,10,81,11
2020-01-14,13,9,0.0,8.3,1,1,69,10:49 PM,11:23 AM,08:32 AM,06:29 PM,7,9,11,9,27,64,77,0.0,1024,13,10,281,14
2020-01-15,15,9,0.0,10.0,1,1,61,11:58 PM,11:58 AM,08:32 AM,06:30 PM,6,11,12,11,10,18,69,0.0,1026,15,10,254,5
2020-01-16,15,10,0.0,10.0,1,1,54,No moonrise,12:31 PM,08:31 AM,06:31 PM,7,12,12,12,13,20,70,0.0,1028,15,10,82,7
2020-01-17,15,11,0.0,10.0,1,1,47,01:06 AM,01:04 PM,08:31 AM,06:32 PM,7,11,12,11,26,26,72,0.0,1031,15,10,273,13
2020-01-18,14,10,0.0,6.7,1,1,40,02:12 AM,01:38 PM,08:31 AM,06:33 PM,8,11,12,11,15,53,78,1.5,1030,14,9,276,8
2020-01-19,13,9,0.0,10.0,1,1,32,03:19 AM,02:13 PM,08:30 AM,06:34 PM,6,8,11,8,42,41,74,2.8,1020,13,10,297,23
2020-01-20,10,4,0.0,8.3,1,1,25,04:24 AM,02:53 PM,08:30 AM,06:35 PM,3,6,9,6,28,67,68,1.4,1013,10,9,286,15
2020-01-21,12,9,0.0,10.1,1,1,18,05:29 AM,03:38 PM,08:29 AM,06:36 PM,5,8,10,8,25,45,74,1.3,1012,12,9,252,13
2020-01-22,12,10,0.0,5.0,1,1,11,06:30 AM,04:27 PM,08:29 AM,06:37 PM,7,10,11,10,14,80,75,13.5,1014,12,9,103,7
2020-01-23,13,11,0.0,5.1,1,1,3,07:27 AM,05:21 PM,08:28 AM,06:38 PM,8,11,12,11,21,78,76,9.0,1017,13,10,136,11
2020-01-24,12,11,0.0,5.1,1,1,0,08:16 AM,06:18 PM,08:28 AM,06:39 PM,9,9,11,9,24,100,86,27.9,1019,12,8,73,13
2020-01-25,13,8,0.0,5.1,1,1,0,09:00 AM,07:17 PM,08:27 AM,06:40 PM,9,10,12,10,32,85,80,24.0,1018,13,9,189,17
2020-01-26,13,9,0.0,10.1,1,1,4,09:39 AM,08:15 PM,08:27 AM,06:41 PM,8,9,11,9,32,28,81,3.0,1024,13,10,275,18
2020-01-27,14,8,0.0,10.2,1,1,11,10:12 AM,09:13 PM,08:26 AM,06:42 PM,6,9,11,9,23,3,75,0.0,1026,14,10,275,12
2020-01-28,15,10,0.0,10.2,1,1,18,10:42 AM,10:09 PM,08:25 AM,06:43 PM,9,10,12,10,28,7,83,0.0,1026,15,10,265,14
2020-01-29,16,11,0.0,10.2,1,1,26,11:09 AM,11:05 PM,08:25 AM,06:44 PM,9,11,13,11,26,23,81,0.0,1025,16,10,257,12
2020-01-30,15,11,0.0,10.2,1,1,33,11:36 AM,No moonset,08:24 AM,06:45 PM,9,11,13,11,36,22,77,0.0,1026,15,10,273,18
2020-01-31,16,11,0.0,10.2,1,1,37,12:02 PM,12:00 AM,08:23 AM,06:46 PM,8,11,13,11,36,14,71,0.0,1026,16,10,266,18
2020-02-01,18,12,0.0,10.2,1,1,49,12:30 PM,12:56 AM,08:23 AM,06:47 PM,11,13,14,13,30,11,81,0.0,1026,18,10,267,14
2020-02-02,16,14,0.0,10.3,1,1,57,01:00 PM,01:53 AM,08:22 AM,06:48 PM,12,14,15,14,20,9,82,0.0,1027,16,10,80,10
2020-02-03,17,13,0.0,10.0,1,1,64,01:34 PM,02:51 AM,08:21 AM,06:49 PM,11,14,15,14,14,18,79,0.0,1028,17,10,84,7
2020-02-04,20,15,0.0,10.3,1,1,72,02:12 PM,03:51 AM,08:20 AM,06:51 PM,11,17,17,17,8,0,70,0.0,1027,20,10,244,4
2020-02-05,15,13,0.0,10.3,1,1,79,02:59 PM,04:53 AM,08:19 AM,06:52 PM,10,13,14,13,48,26,75,0.1,1023,15,10,86,26
2020-02-06,13,13,0.0,5.2,1,1,87,03:53 PM,05:54 AM,08:18 AM,06:53 PM,9,10,13,10,56,82,80,0.7,1023,13,9,94,32
2020-02-07,14,8,0.0,5.2,1,1,95,04:56 PM,06:53 AM,08:17 AM,06:54 PM,10,11,13,11,23,75,81,0.2,1023,14,10,99,13
2020-02-08,15,12,0.0,8.4,1,1,100,06:04 PM,07:47 AM,08:17 AM,06:55 PM,11,12,13,12,28,58,84,0.9,1026,15,10,263,14
