date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,2,-3,0.4,3.4,1,1,80,03:19 PM,05:25 AM,08:42 AM,05:52 PM,-3,-4,0,-4,21,79,79,0.6,1014,2,9,190,13
2020-01-08,-1,-11,0.7,3.4,1,1,88,04:01 PM,06:31 AM,08:42 AM,05:53 PM,-7,-10,-4,-10,39,88,75,6.8,1018,-1,4,295,28
2020-01-09,-3,-11,0.3,6.9,1,1,95,04:52 PM,07:36 AM,08:42 AM,05:54 PM,-9,-11,-6,-11,23,62,73,0.3,1035,-3,10,136,15
2020-01-10,7,2,0.0,3.4,1,1,100,05:52 PM,08:36 AM,08:42 AM,05:55 PM,3,2,5,2,36,92,85,2.2,1025,7,7,214,19
2020-01-11,16,7,0.0,5.2,1,1,100,07:01 PM,09:31 AM,08:42 AM,05:56 PM,8,10,12,10,41,85,83,8.1,1012,16,7,214,22
2020-01-12,7,-10,1.6,3.4,1,1,83,08:15 PM,10:16 AM,08:41 AM,05:57 PM,-3,-6,-1,-6,33,93,81,9.8,1019,7,8,294,24
2020-01-13,5,-3,0.1,3.4,1,1,76,09:31 PM,10:55 AM,08:41 AM,05:58 PM,-2,-2,1,-2,12,86,83,0.4,1028,5,9,243,9
2020-01-14,6,-1,0.2,8.7,1,1,69,10:45 PM,11:29 AM,08:40 AM,05:59 PM,1,0,3,0,18,52,85,0.3,1022,6,9,173,12
2020-01-15,5,-1,0.0,6.5,1,1,61,11:59 PM,11:58 AM,08:40 AM,06:00 PM,-0,-0,3,-0,20,62,79,0.1,1019,5,10,282,14
2020-01-16,1,-7,0.0,4.8,1,1,54,No moonrise,12:26 PM,08:39 AM,06:02 PM,-3,-7,-1,-7,38,100,84,9.5,1020,1,3,310,27
2020-01-17,-9,-14,0.3,8.2,1,1,47,01:12 AM,12:54 PM,08:39 AM,06:03 PM,-14,-16,-9,-16,21,72,70,0.4,1042,-9,8,325,16
2020-01-18,-2,-9,7.7,4.8,1,1,40,02:23 AM,01:24 PM,08:38 AM,06:04 PM,-6,-11,-5,-11,32,95,87,16.4,1020,-2,5,144,22
2020-01-19,-3,-8,1.4,4.8,1,1,32,03:35 AM,01:56 PM,08:38 AM,06:05 PM,-6,-12,-4,-12,40,92,86,6.1,1010,-3,1,298,29
2020-01-20,-7,-12,0.4,9.7,1,1,25,04:44 AM,02:32 PM,08:37 AM,06:06 PM,-12,-16,-9,-16,26,42,81,0.6,1030,-7,9,295,16
2020-01-21,-3,-9,0.1,6.5,1,1,18,05:52 AM,03:15 PM,08:36 AM,06:08 PM,-8,-12,-6,-12,26,62,84,0.4,1032,-3,9,250,16
2020-01-22,-1,-7,0.0,4.9,1,1,11,06:54 AM,04:04 PM,08:36 AM,06:09 PM,-7,-9,-4,-9,23,83,83,0.0,1029,-1,10,223,13
2020-01-23,1,-5,0.0,6.6,1,1,3,07:49 AM,04:59 PM,08:35 AM,06:10 PM,-5,-4,-2,-4,12,68,77,0.0,1027,1,10,126,6
2020-01-24,3,-3,0.0,6.6,1,1,0,08:37 AM,05:58 PM,08:34 AM,06:12 PM,-1,-2,1,-2,22,74,85,0.1,1024,3,9,108,12
2020-01-25,3,1,5.2,4.9,1,1,0,09:17 AM,07:00 PM,08:33 AM,06:13 PM,0,-2,2,-2,31,98,88,13.4,1013,3,8,161,19
2020-01-26,3,1,0.5,4.9,1,1,4,09:50 AM,08:02 PM,08:32 AM,06:14 PM,-0,-4,1,-4,32,97,89,1.1,1007,3,7,250,23
2020-01-27,0,-1,2.1,4.9,1,1,11,10:19 AM,09:04 PM,08:31 AM,06:15 PM,-2,-6,-0,-6,33,100,89,2.4,1007,0,4,291,24
2020-01-28,-2,-9,1.7,4.9,1,1,18,10:44 AM,10:04 PM,08:31 AM,06:17 PM,-4,-7,-2,-7,26,100,86,2.4,1014,-2,5,302,19
2020-01-29,-4,-5,0.4,9.9,1,1,26,11:08 AM,11:04 PM,08:30 AM,06:18 PM,-7,-7,-4,-7,12,49,78,0.5,1023,-4,9,340,9
2020-01-30,-3,-8,0.0,9.9,1,1,33,11:30 AM,No moonset,08:29 AM,06:19 PM,-7,-8,-4,-8,10,51,79,0.0,1026,-3,10,94,7
2020-01-31,-0,-4,0.2,5.0,1,1,37,11:53 AM,12:03 AM,08:28 AM,06:21 PM,-4,-4,-2,-4,8,90,85,0.5,1024,-0,9,110,5
2020-02-01,0,-3,1.0,5.0,1,1,49,12:16 PM,01:03 AM,08:27 AM,06:22 PM,-3,-3,-1,-3,8,100,86,1.4,1014,0,7,228,6
2020-02-02,1,-8,5.0,5.0,1,1,57,12:43 PM,02:04 AM,08:25 AM,06:23 PM,-1,-5,-1,-5,17,94,92,6.4,999,1,4,204,12
2020-02-03,4,-2,1.3,8.3,1,1,64,01:14 PM,03:07 AM,08:24 AM,06:25 PM,0,-2,2,-2,26,65,86,2.1,1009,4,7,265,17
2020-02-04,3,-4,1.4,6.7,1,1,72,01:51 PM,04:11 AM,08:23 AM,06:26 PM,-1,-3,1,-3,22,84,86,2.2,1011,3,6,329,15
2020-02-05,-4,-8,0.1,8.3,1,1,79,02:36 PM,05:16 AM,08:22 AM,06:27 PM,-9,-9,-4,-9,21,65,65,0.2,1020,-4,9,24,16
2020-02-06,-2,-9,9.9,5.0,1,1,87,03:32 PM,06:18 AM,08:21 AM,06:29 PM,-3,-8,-2,-8,27,100,96,13.4,1003,-2,7,49,20
2020-02-07,-4,-8,5.7,5.1,1,1,95,04:36 PM,07:16 AM,08:20 AM,06:30 PM,-6,-12,-5,-12,36,95,91,11.9,996,-4,5,211,26
2020-02-08,-9,-17,0.9,6.7,1,1,100,05:50 PM,08:06 AM,08:18 AM,06:32 PM,-12,-16,-11,-16,17,69,87,1.5,1022,-9,7,227,11
2020-02-09,1,-13,0.6,6.7,1,1,100,07:07 PM,08:49 AM,08:17 AM,06:33 PM,-5,-8,-5,-8,17,73,92,1.9,1028,1,8,203,10
2020-02-10,2,-2,1.0,8.3,1,1,83,08:25 PM,09:26 AM,08:16 AM,06:34 PM,0,-3,1,-3,22,78,95,6.4,1017,2,8,282,13
2020-02-11,1,-6,0.0,5.1,1,1,75,09:42 PM,09:58 AM,08:15 AM,06:36 PM,-3,-5,-1,-5,20,75,90,0.2,1016,1,10,254,13
2020-02-12,1,-4,0.0,10.2,1,1,68,10:58 PM,10:27 AM,08:13 AM,06:37 PM,-4,-6,-1,-6,25,54,82,0.2,1018,1,10,229,16
