date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,28,23,0.0,4.2,1,1,80,03:08 PM,03:28 AM,06:36 AM,05:49 PM,21,27,27,25,25,75,78,1.9,1016,28,10,112,16
2020-01-08,27,23,0.0,4.2,1,1,88,03:58 PM,04:23 AM,06:36 AM,05:50 PM,21,27,27,25,28,68,81,9.1,1018,27,10,97,18
2020-01-09,27,24,0.0,4.2,1,1,95,04:53 PM,05:22 AM,06:37 AM,05:50 PM,21,27,27,25,36,69,76,5.9,1018,27,9,86,24
2020-01-10,27,20,0.0,5.7,1,1,100,05:53 PM,06:21 AM,06:37 AM,05:51 PM,20,27,27,25,45,72,74,5.7,1019,27,9,75,29
2020-01-11,27,24,0.0,4.2,1,1,100,06:55 PM,07:20 AM,06:37 AM,05:52 PM,21,27,27,25,45,77,78,14.0,1019,27,9,71,28
2020-01-12,26,21,0.0,4.2,1,1,83,07:58 PM,08:15 AM,06:37 AM,05:52 PM,20,26,26,24,45,79,77,13.7,1019,26,9,76,28
2020-01-13,26,21,0.0,4.2,1,1,76,09:00 PM,09:07 AM,06:37 AM,05:53 PM,19,26,26,24,47,82,75,13.5,1018,26,9,70,30
2020-01-14,26,23,0.0,5.7,1,1,69,09:59 PM,09:55 AM,06:38 AM,05:53 PM,20,26,26,24,43,74,79,23.3,1017,26,8,93,25
2020-01-15,25,23,0.0,5.7,1,1,61,10:57 PM,10:39 AM,06:38 AM,05:54 PM,20,26,26,24,34,66,82,14.0,1016,25,9,82,21
2020-01-16,27,22,0.0,7.2,1,1,54,11:54 PM,11:23 AM,06:38 AM,05:54 PM,20,26,26,24,24,74,79,2.0,1017,27,10,80,16
2020-01-17,27,23,0.0,5.7,1,1,47,No moonrise,12:06 PM,06:38 AM,05:55 PM,21,27,27,24,22,73,81,4.6,1017,27,10,89,15
2020-01-18,26,23,0.0,4.2,1,1,40,12:51 AM,12:49 PM,06:38 AM,05:56 PM,21,26,26,24,29,79,84,19.2,1017,26,8,67,17
2020-01-19,26,23,0.0,7.2,1,1,32,01:48 AM,01:35 PM,06:38 AM,05:56 PM,20,26,26,24,29,65,78,1.6,1017,26,10,90,20
2020-01-20,27,19,0.0,8.7,1,1,25,02:45 AM,02:22 PM,06:38 AM,05:57 PM,20,26,26,24,26,47,77,0.4,1016,27,10,113,18
2020-01-21,26,19,0.0,8.7,1,1,18,03:43 AM,03:13 PM,06:38 AM,05:57 PM,21,26,26,23,27,61,84,10.8,1015,26,10,98,17
2020-01-22,26,23,0.0,4.2,1,1,11,04:39 AM,04:06 PM,06:38 AM,05:58 PM,21,26,26,24,23,66,82,4.9,1014,26,10,110,16
2020-01-23,27,20,0.0,8.7,1,1,3,05:34 AM,05:00 PM,06:38 AM,05:58 PM,21,26,26,24,20,50,79,0.0,1013,27,10,137,14
2020-01-24,27,24,0.0,8.7,1,1,0,06:25 AM,05:54 PM,06:38 AM,05:59 PM,21,27,27,25,15,41,78,0.0,1014,27,10,138,10
2020-01-25,27,23,0.0,11.6,1,1,0,07:13 AM,06:47 PM,06:38 AM,06:00 PM,20,27,27,25,14,24,75,0.0,1015,27,10,132,10
2020-01-26,27,23,0.0,10.2,1,1,4,07:57 AM,07:39 PM,06:38 AM,06:00 PM,20,27,27,25,14,52,75,0.1,1015,27,10,135,10
2020-01-27,27,23,0.0,11.6,1,1,11,08:37 AM,08:28 PM,06:38 AM,06:01 PM,19,27,27,25,17,19,71,0.0,1015,27,10,151,12
2020-01-28,27,23,0.0,11.6,1,1,18,09:15 AM,09:16 PM,06:38 AM,06:01 PM,20,27,27,25,15,30,73,0.0,1015,27,10,157,10
2020-01-29,28,23,0.0,10.2,1,1,26,09:51 AM,10:02 PM,06:37 AM,06:02 PM,20,27,27,25,15,29,75,0.1,1015,28,10,142,10
2020-01-30,28,23,0.0,7.3,1,1,33,10:25 AM,10:49 PM,06:37 AM,06:02 PM,21,27,27,25,18,71,77,0.9,1016,28,10,119,12
2020-01-31,28,23,0.0,11.6,1,1,37,11:01 AM,11:36 PM,06:37 AM,06:03 PM,20,27,27,25,18,42,75,0.1,1017,28,10,119,12
2020-02-01,28,24,0.0,11.6,1,1,49,11:37 AM,No moonset,06:37 AM,06:03 PM,20,27,27,25,21,43,75,0.4,1017,28,10,97,15
2020-02-02,27,23,0.0,5.8,1,1,57,12:16 PM,12:24 AM,06:37 AM,06:04 PM,21,27,27,25,20,70,78,2.8,1016,27,10,129,14
2020-02-03,28,23,0.0,10.2,1,1,64,12:58 PM,01:15 AM,06:36 AM,06:04 PM,20,27,27,25,17,42,75,0.2,1018,28,10,123,12
2020-02-04,27,23,0.0,5.8,1,1,72,01:45 PM,02:08 AM,06:36 AM,06:05 PM,20,26,26,25,22,71,75,1.5,1018,27,10,101,15
2020-02-05,27,20,0.0,10.2,1,1,79,02:36 PM,03:05 AM,06:36 AM,06:05 PM,21,27,27,24,26,64,79,6.2,1018,27,10,114,18
2020-02-06,28,24,0.0,5.9,1,1,87,03:34 PM,04:03 AM,06:35 AM,06:05 PM,21,27,27,25,31,79,75,2.5,1018,28,9,109,22
2020-02-07,28,24,0.0,7.3,1,1,95,04:35 PM,05:02 AM,06:35 AM,06:06 PM,20,27,27,25,33,71,74,4.8,1018,28,10,100,23
2020-02-08,27,22,0.0,7.3,1,1,100,05:39 PM,05:59 AM,06:35 AM,06:06 PM,20,27,27,25,35,72,75,3.4,1018,27,10,79,25
2020-02-09,27,24,0.0,5.9,1,1,100,06:42 PM,06:54 AM,06:34 AM,06:07 PM,20,27,27,25,31,72,77,8.3,1018,27,9,98,20
2020-02-10,27,22,0.0,5.9,1,1,83,07:46 PM,07:45 AM,06:34 AM,06:07 PM,20,27,27,25,30,75,74,4.8,1019,27,10,96,21
2020-02-11,26,20,0.0,5.9,1,1,75,08:46 PM,08:33 AM,06:34 AM,06:08 PM,20,26,26,24,34,71,77,10.5,1018,26,9,87,22
2020-02-12,27,23,0.0,7.3,1,1,68,09:46 PM,09:19 AM,06:33 AM,06:08 PM,20,27,27,25,30,67,76,4.8,1017,27,10,85,21
2020-02-13,27,24,0.0,7.3,1,1,60,10:44 PM,10:03 AM,06:33 AM,06:08 PM,20,27,27,25,34,67,75,6.1,1017,27,9,87,24
2020-02-14,27,24,0.0,5.9,1,1,53,11:43 PM,10:47 AM,06:32 AM,06:09 PM,21,27,27,25,33,73,77,7.7,1017,27,10,88,22
2020-02-15,27,23,0.0,5.9,1,1,45,No moonrise,11:33 AM,06:32 AM,06:09 PM,21,27,27,25,29,74,79,5.6,1017,27,10,107,20
2020-02-16,27,24,0.0,5.9,1,1,38,12:40 AM,12:20 PM,06:32 AM,06:09 PM,21,27,27,25,29,73,76,2.6,1015,27,10,93,21
2020-02-17,27,22,0.0,5.9,1,1,30,01:38 AM,01:10 PM,06:31 AM,06:10 PM,21,27,27,25,33,74,77,6.1,1016,27,9,97,22
2020-02-18,27,20,0.0,5.9,1,1,22,02:34 AM,02:02 PM,06:31 AM,06:10 PM,20,26,26,24,32,76,75,3.3,1017,27,10,88,23
2020-02-19,25,21,0.0,7.3,1,1,15,03:30 AM,02:55 PM,06:30 AM,06:10 PM,20,26,26,24,36,68,77,13.4,1016,25,10,96,23
2020-02-20,27,23,0.0,5.9,1,1,7,04:21 AM,03:49 PM,06:30 AM,06:11 PM,19,26,26,25,30,82,72,2.7,1016,27,10,91,21
2020-02-21,27,23,0.0,8.8,1,1,0,05:10 AM,04:41 PM,06:29 AM,06:11 PM,19,26,26,25,20,61,74,1.5,1015,27,10,84,14
2020-02-22,27,18,0.0,5.9,1,1,0,05:54 AM,05:33 PM,06:28 AM,06:11 PM,20,26,26,24,16,69,75,4.0,1015,27,10,143,11
2020-02-23,28,23,0.0,10.2,1,1,0,06:35 AM,06:22 PM,06:28 AM,06:12 PM,20,27,27,25,12,32,72,0.5,1015,28,10,131,8
2020-02-24,28,24,0.0,7.3,1,1,0,07:14 AM,07:11 PM,06:27 AM,06:12 PM,21,28,28,25,13,46,77,4.3,1015,28,9,115,9
2020-02-25,28,24,0.0,8.8,1,1,8,07:50 AM,07:58 PM,06:27 AM,06:12 PM,21,28,28,26,17,74,75,1.8,1015,28,10,110,12
2020-02-26,28,23,0.0,7.4,1,1,15,08:25 AM,08:44 PM,06:26 AM,06:13 PM,20,27,27,25,18,67,76,2.1,1015,28,9,84,13
2020-02-27,27,22,0.0,7.4,1,1,23,09:00 AM,09:31 PM,06:25 AM,06:13 PM,19,26,26,25,12,60,71,0.8,1016,27,10,94,8
2020-02-28,27,23,0.0,7.4,1,1,30,09:36 AM,10:18 PM,06:25 AM,06:13 PM,20,27,27,25,18,50,73,2.7,1017,27,10,118,13
2020-02-29,28,23,0.0,5.9,1,1,38,10:12 AM,11:07 PM,06:24 AM,06:13 PM,20,27,27,25,18,60,73,1.5,1017,28,10,121,13
2020-03-01,28,23,0.0,8.8,1,1,44,10:52 AM,11:58 PM,06:24 AM,06:14 PM,20,27,27,25,20,52,74,3.2,1017,28,10,96,14
2020-03-02,28,23,0.0,11.6,1,1,51,11:36 AM,No moonset,06:23 AM,06:14 PM,19,26,26,25,20,54,72,0.9,1016,28,10,82,15
2020-03-03,28,23,0.0,8.8,1,1,58,12:24 PM,12:52 AM,06:22 AM,06:14 PM,20,27,27,25,24,66,75,5.3,1017,28,10,91,17
2020-03-04,28,24,0.0,6.0,1,1,65,01:17 PM,01:48 AM,06:22 AM,06:14 PM,20,27,27,25,25,76,73,2.8,1018,28,10,104,18
2020-03-05,27,23,0.0,6.0,1,1,73,02:15 PM,02:44 AM,06:21 AM,06:14 PM,20,27,27,25,24,73,72,1.3,1019,27,10,101,17
2020-03-06,28,23,0.0,6.0,1,1,80,03:17 PM,03:42 AM,06:20 AM,06:15 PM,20,27,27,25,23,72,74,3.9,1017,28,10,100,17
2020-03-07,27,24,0.0,6.0,1,1,87,04:20 PM,04:37 AM,06:20 AM,06:15 PM,21,27,27,25,25,71,77,5.8,1015,27,10,114,18
2020-03-08,27,23,0.0,8.8,1,1,95,05:24 PM,05:30 AM,06:19 AM,06:15 PM,19,26,26,25,20,46,70,1.8,1017,27,10,119,14
2020-03-09,27,23,0.0,8.8,1,1,100,06:26 PM,06:19 AM,06:18 AM,06:15 PM,18,26,26,25,28,64,69,2.1,1019,27,10,74,20
2020-03-10,28,24,0.0,7.4,1,1,100,07:29 PM,07:07 AM,06:17 AM,06:16 PM,20,27,27,25,31,69,73,5.0,1017,28,10,92,23
2020-03-11,27,24,0.0,8.8,1,1,84,08:29 PM,07:53 AM,06:17 AM,06:16 PM,20,27,27,25,24,62,73,2.3,1015,27,10,104,17
2020-03-12,28,23,0.0,6.0,1,1,76,09:31 PM,08:39 AM,06:16 AM,06:16 PM,20,27,27,25,25,72,76,5.1,1013,28,10,116,17
2020-03-13,28,23,0.0,11.6,1,1,69,10:30 PM,09:26 AM,06:15 AM,06:16 PM,20,27,27,25,21,46,74,2.1,1015,28,10,126,15
2020-03-14,28,23,0.0,6.0,1,1,62,11:31 PM,10:14 AM,06:15 AM,06:16 PM,20,27,27,25,13,70,74,5.9,1015,28,10,111,9
2020-03-15,29,23,0.0,7.4,1,1,55,No moonrise,11:05 AM,06:14 AM,06:16 PM,20,27,27,25,7,64,72,1.7,1014,29,10,112,5
2020-03-16,29,23,0.0,11.6,1,1,47,12:29 AM,11:58 AM,06:13 AM,06:17 PM,18,27,27,25,10,29,65,0.4,1014,29,10,322,7
