date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,30,15,0.0,8.7,1,1,80,03:04 PM,03:55 AM,07:00 AM,05:38 PM,8,22,22,21,7,15,49,0.0,1017,30,10,236,4
2020-01-08,29,16,0.0,5.5,1,1,88,03:53 PM,04:54 AM,07:00 AM,05:39 PM,9,21,21,21,7,45,52,0.0,1016,29,10,207,4
2020-01-09,28,16,0.0,8.7,1,1,95,04:47 PM,05:54 AM,07:00 AM,05:39 PM,10,20,20,20,8,33,54,0.0,1016,28,10,198,4
2020-01-10,26,15,0.0,8.7,1,1,100,05:48 PM,06:54 AM,07:00 AM,05:40 PM,8,19,20,19,13,0,53,0.0,1017,26,10,320,8
2020-01-11,26,11,0.0,8.7,1,1,100,06:52 PM,07:51 AM,07:00 AM,05:41 PM,2,17,18,17,11,0,41,0.0,1016,26,10,233,6
2020-01-12,28,12,0.0,8.7,1,1,83,07:58 PM,08:43 AM,07:00 AM,05:41 PM,2,19,19,19,7,44,37,0.0,1015,28,10,205,4
2020-01-13,31,15,0.0,5.5,1,1,76,09:04 PM,09:31 AM,07:00 AM,05:42 PM,1,22,22,21,7,52,30,0.0,1017,31,10,242,4
2020-01-14,30,16,0.0,8.7,1,1,69,10:07 PM,10:14 AM,07:00 AM,05:43 PM,3,23,23,23,10,34,31,0.0,1015,30,10,226,6
2020-01-15,32,18,0.0,8.7,1,1,61,11:10 PM,10:54 AM,07:00 AM,05:44 PM,5,24,24,24,9,49,33,0.0,1014,32,10,230,5
2020-01-16,30,19,0.0,8.7,1,1,54,No moonrise,11:33 AM,07:00 AM,05:44 PM,7,23,23,23,11,19,36,0.0,1015,30,10,230,6
2020-01-17,32,20,0.0,8.7,1,1,47,12:11 AM,12:12 PM,07:00 AM,05:45 PM,8,24,24,24,15,30,39,0.0,1016,32,10,316,9
2020-01-18,31,16,0.0,8.7,1,1,40,01:12 AM,12:51 PM,07:00 AM,05:46 PM,12,23,23,23,11,3,56,0.0,1017,31,10,298,7
2020-01-19,32,15,0.0,7.1,1,1,32,02:12 AM,01:34 PM,07:00 AM,05:47 PM,11,22,22,22,10,38,57,0.0,1016,32,10,210,6
2020-01-20,30,15,0.0,8.7,1,1,25,03:13 AM,02:18 PM,06:59 AM,05:47 PM,11,22,22,22,9,4,55,0.0,1017,30,10,254,6
