date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,21,13,0.0,8.7,1,1,80,03:10 PM,03:25 AM,06:29 AM,05:48 PM,13,16,17,16,16,33,80,0.0,1017,21,8,102,12
2020-01-08,21,13,0.0,7.2,1,1,88,04:01 PM,04:21 AM,06:29 AM,05:48 PM,12,15,16,15,19,43,81,0.0,1018,21,10,17,14
2020-01-09,24,12,0.0,8.7,1,1,95,04:57 PM,05:19 AM,06:29 AM,05:49 PM,12,17,19,17,16,23,77,0.0,1016,24,10,21,11
2020-01-10,26,14,0.0,8.7,1,1,100,05:57 PM,06:18 AM,06:30 AM,05:49 PM,13,19,20,19,11,25,75,0.0,1014,26,8,24,7
2020-01-11,26,14,0.0,8.7,1,1,100,06:59 PM,07:17 AM,06:30 AM,05:50 PM,13,21,21,20,10,20,74,0.0,1013,26,8,28,6
2020-01-12,25,15,0.0,8.7,1,1,83,08:01 PM,08:12 AM,06:30 AM,05:51 PM,13,19,20,19,13,27,74,0.0,1014,25,8,27,9
2020-01-13,25,13,0.0,8.7,1,1,76,09:02 PM,09:04 AM,06:30 AM,05:51 PM,12,19,20,19,14,24,72,0.0,1015,25,10,111,9
2020-01-14,24,14,0.0,8.7,1,1,69,10:01 PM,09:53 AM,06:30 AM,05:52 PM,14,19,20,19,16,31,77,0.0,1015,24,9,13,11
2020-01-15,24,13,0.0,8.7,1,1,61,10:58 PM,10:38 AM,06:31 AM,05:52 PM,12,18,20,18,15,29,73,0.1,1014,24,9,22,11
2020-01-16,23,12,0.0,8.7,1,1,54,11:54 PM,11:22 AM,06:31 AM,05:53 PM,12,18,19,18,18,25,76,0.0,1015,23,9,106,13
2020-01-17,24,13,0.0,8.7,1,1,47,No moonrise,12:06 PM,06:31 AM,05:53 PM,13,18,19,18,16,33,77,0.0,1015,24,10,20,11
2020-01-18,25,14,0.0,8.7,1,1,40,12:50 AM,12:50 PM,06:31 AM,05:54 PM,14,19,20,19,14,33,77,0.0,1014,25,9,18,10
2020-01-19,24,14,0.0,8.7,1,1,32,01:46 AM,01:36 PM,06:31 AM,05:55 PM,13,18,18,18,15,35,76,0.0,1015,24,9,12,11
2020-01-20,23,13,0.0,8.7,1,1,25,02:42 AM,02:25 PM,06:31 AM,05:55 PM,12,17,19,17,19,17,73,0.0,1017,23,10,96,13
2020-01-21,21,13,0.0,8.7,1,1,18,03:40 AM,03:16 PM,06:31 AM,05:56 PM,11,17,18,17,20,25,75,0.0,1018,21,10,10,14
2020-01-22,24,11,0.0,8.7,1,1,11,04:36 AM,04:09 PM,06:31 AM,05:56 PM,11,15,17,15,10,40,76,0.1,1017,24,9,102,7
2020-01-23,25,13,0.0,7.2,1,1,3,05:31 AM,05:03 PM,06:31 AM,05:57 PM,12,18,20,18,7,38,76,0.5,1014,25,7,202,5
2020-01-24,26,13,0.0,7.2,1,1,0,06:22 AM,05:57 PM,06:31 AM,05:57 PM,13,18,19,18,8,51,78,1.5,1015,26,8,82,5
2020-01-25,25,12,0.0,8.7,1,1,0,07:10 AM,06:50 PM,06:31 AM,05:58 PM,12,18,19,18,10,44,77,0.2,1016,25,7,70,6
2020-01-26,26,13,0.0,7.2,1,1,4,07:54 AM,07:40 PM,06:31 AM,05:58 PM,14,19,19,19,8,61,81,0.5,1016,26,6,146,5
2020-01-27,24,14,0.0,7.2,1,1,11,08:34 AM,08:29 PM,06:31 AM,05:59 PM,15,18,19,18,5,60,85,6.1,1015,24,5,164,3
2020-01-28,25,14,0.0,7.2,1,1,18,09:13 AM,09:16 PM,06:31 AM,05:59 PM,15,19,20,19,7,54,83,0.8,1013,25,6,192,6
2020-01-29,28,14,0.0,8.7,1,1,26,09:49 AM,10:02 PM,06:31 AM,06:00 PM,15,20,20,20,6,35,78,1.1,1014,28,6,155,4
2020-01-30,28,15,0.0,8.7,1,1,33,10:24 AM,10:48 PM,06:31 AM,06:00 PM,15,19,20,19,8,54,81,3.0,1014,28,7,122,5
2020-01-31,28,15,0.0,8.7,1,1,37,11:00 AM,11:34 PM,06:30 AM,06:01 PM,16,20,20,20,6,52,81,10.8,1014,28,8,186,3
2020-02-01,26,15,0.0,8.7,1,1,49,11:37 AM,No moonset,06:30 AM,06:01 PM,15,19,20,19,13,49,77,1.7,1016,26,8,103,9
2020-02-02,22,15,0.0,11.6,1,1,57,12:16 PM,12:22 AM,06:30 AM,06:01 PM,13,17,18,17,19,35,77,0.1,1017,22,10,16,14
2020-02-03,29,12,0.0,11.6,1,1,64,12:59 PM,01:13 AM,06:30 AM,06:02 PM,13,20,20,19,9,23,73,0.0,1016,29,9,128,7
2020-02-04,28,14,0.0,10.2,1,1,72,01:47 PM,02:06 AM,06:30 AM,06:02 PM,14,21,21,21,5,26,75,0.3,1015,28,9,216,3
2020-02-05,26,15,0.0,11.6,1,1,79,02:39 PM,03:02 AM,06:29 AM,06:03 PM,15,21,21,20,9,23,78,0.0,1012,26,7,199,7
2020-02-06,26,14,0.0,11.6,1,1,87,03:37 PM,04:00 AM,06:29 AM,06:03 PM,14,21,21,20,10,12,75,0.0,1011,26,10,197,7
2020-02-07,28,14,0.0,10.2,1,1,95,04:38 PM,04:59 AM,06:29 AM,06:03 PM,14,21,21,20,7,36,74,0.4,1014,28,10,104,5
2020-02-08,27,16,0.0,8.7,1,1,100,05:42 PM,05:57 AM,06:29 AM,06:04 PM,15,21,21,20,9,62,78,1.0,1016,27,6,53,6
2020-02-09,25,14,0.0,11.6,1,1,100,06:45 PM,06:51 AM,06:28 AM,06:04 PM,11,19,19,19,13,26,67,0.0,1016,25,9,28,9
2020-02-10,28,12,0.0,11.6,1,1,83,07:47 PM,07:43 AM,06:28 AM,06:05 PM,11,21,21,20,9,11,65,0.0,1014,28,10,106,6
2020-02-11,29,13,0.0,10.2,1,1,75,08:47 PM,08:31 AM,06:28 AM,06:05 PM,13,21,21,20,9,32,73,0.1,1014,29,9,116,5
2020-02-12,27,15,0.0,10.2,1,1,68,09:46 PM,09:18 AM,06:27 AM,06:05 PM,15,21,21,20,7,50,78,0.3,1012,27,7,144,5
2020-02-13,30,14,0.0,10.2,1,1,60,10:43 PM,10:03 AM,06:27 AM,06:06 PM,13,23,23,22,5,26,69,0.3,1013,30,10,99,3
2020-02-14,25,14,0.0,11.6,1,1,53,11:41 PM,10:48 AM,06:26 AM,06:06 PM,14,19,19,19,15,33,74,0.0,1015,25,9,102,10
2020-02-15,24,14,0.0,11.6,1,1,45,No moonrise,11:35 AM,06:26 AM,06:06 PM,12,18,18,18,17,38,73,0.2,1016,24,10,18,12
