date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,12,5,0.0,3.1,1,1,80,01:52 PM,04:28 AM,08:05 AM,04:27 PM,10,8,11,8,46,75,87,0.6,1025,12,9,212,29
2020-01-08,12,5,0.0,3.1,1,1,88,02:28 PM,05:39 AM,08:05 AM,04:29 PM,11,9,11,9,41,97,95,5.2,1023,12,8,227,26
2020-01-09,13,10,0.0,3.1,1,1,95,03:14 PM,06:47 AM,08:04 AM,04:30 PM,9,8,12,8,67,95,86,5.0,1009,13,9,209,42
2020-01-10,9,4,0.0,3.1,1,1,100,04:12 PM,07:50 AM,08:04 AM,04:31 PM,4,5,9,5,42,76,72,0.8,1024,9,10,304,30
2020-01-11,11,7,0.0,3.1,1,1,100,05:22 PM,08:44 AM,08:04 AM,04:32 PM,6,6,10,6,61,75,77,0.2,1027,11,10,221,41
2020-01-12,12,6,0.0,6.8,1,1,83,06:39 PM,09:28 AM,08:03 AM,04:34 PM,8,7,11,7,57,58,79,0.4,1022,12,10,261,38
2020-01-13,11,4,0.0,3.1,1,1,76,08:00 PM,10:03 AM,08:02 AM,04:35 PM,7,7,10,7,64,73,79,6.8,1010,11,9,208,43
2020-01-14,13,11,0.0,3.1,1,1,69,09:21 PM,10:32 AM,08:02 AM,04:37 PM,9,8,12,8,80,90,83,10.5,999,13,8,207,52
2020-01-15,11,4,0.0,5.0,1,1,61,10:40 PM,10:57 AM,08:01 AM,04:38 PM,7,7,10,7,59,84,76,22.9,1008,11,9,259,40
2020-01-16,12,11,0.0,5.0,1,1,54,11:59 PM,11:20 AM,08:00 AM,04:39 PM,8,7,11,7,70,73,81,10.6,1013,12,9,181,47
2020-01-17,11,3,0.0,3.2,1,1,47,No moonrise,11:43 AM,08:00 AM,04:41 PM,5,5,9,5,69,84,73,3.8,1015,11,10,270,49
2020-01-18,9,3,0.0,8.7,1,1,40,01:17 AM,12:06 PM,07:59 AM,04:42 PM,4,6,9,6,33,43,70,0.8,1028,9,10,58,25
2020-01-19,9,0,0.0,8.7,1,1,32,02:33 AM,12:32 PM,07:58 AM,04:44 PM,4,4,8,4,34,4,69,0.0,1043,9,10,46,28
2020-01-20,10,3,0.0,8.7,1,1,25,03:49 AM,01:03 PM,07:57 AM,04:46 PM,2,6,9,6,26,12,62,0.0,1047,10,10,50,22
2020-01-21,9,3,0.0,8.7,1,1,18,05:01 AM,01:41 PM,07:56 AM,04:47 PM,2,6,8,6,18,13,65,0.0,1041,9,10,77,15
2020-01-22,9,3,0.0,8.7,1,1,11,06:07 AM,02:26 PM,07:55 AM,04:49 PM,5,5,9,5,31,14,76,0.0,1036,9,10,65,26
2020-01-23,8,1,0.0,8.7,1,1,3,07:04 AM,03:20 PM,07:54 AM,04:50 PM,5,3,7,3,43,15,82,0.0,1029,8,10,70,34
2020-01-24,8,1,0.0,5.1,1,1,0,07:52 AM,04:21 PM,07:53 AM,04:52 PM,5,4,7,4,29,79,79,0.2,1023,8,10,85,23
2020-01-25,9,2,0.0,6.9,1,1,0,08:30 AM,05:26 PM,07:52 AM,04:54 PM,7,5,8,5,36,58,87,0.0,1017,9,10,153,26
2020-01-26,10,6,0.0,3.4,1,1,4,09:01 AM,06:32 PM,07:51 AM,04:55 PM,8,6,10,6,53,81,86,8.4,1011,10,9,212,35
2020-01-27,10,3,0.0,3.4,1,1,11,09:27 AM,07:39 PM,07:50 AM,04:57 PM,7,6,9,6,60,95,80,13.7,1002,10,9,240,42
2020-01-28,8,1,0.0,5.2,1,1,18,09:48 AM,08:43 PM,07:48 AM,04:58 PM,2,2,7,2,86,79,64,11.6,1002,8,10,280,60
2020-01-29,10,5,0.0,5.3,1,1,26,10:07 AM,09:48 PM,07:47 AM,05:00 PM,5,6,9,6,47,70,74,1.5,1013,10,10,247,34
2020-01-30,12,6,0.0,3.6,1,1,33,10:25 AM,10:52 PM,07:46 AM,05:02 PM,10,7,11,7,59,96,93,3.6,1007,12,7,244,37
2020-01-31,11,5,0.0,5.3,1,1,37,10:43 AM,11:57 PM,07:45 AM,05:04 PM,10,7,10,7,55,85,92,0.5,1010,11,9,223,34
2020-02-01,11,2,0.0,5.3,1,1,49,11:02 AM,No moonset,07:43 AM,05:05 PM,9,7,10,7,51,64,87,2.9,1010,11,9,261,33
2020-02-02,12,5,0.0,3.6,1,1,57,11:24 AM,01:02 AM,07:42 AM,05:07 PM,10,8,11,8,64,91,92,13.8,1012,12,8,252,40
2020-02-03,11,5,0.0,3.6,1,1,64,11:49 AM,02:09 AM,07:40 AM,05:09 PM,8,7,10,7,50,84,86,15.1,1017,11,8,282,34
2020-02-04,10,4,0.0,5.3,1,1,72,12:20 PM,03:18 AM,07:39 AM,05:10 PM,3,5,9,5,65,73,68,3.8,1028,10,10,321,46
2020-02-05,10,1,0.0,8.7,1,1,79,01:01 PM,04:26 AM,07:37 AM,05:12 PM,5,6,8,6,18,26,77,0.0,1036,10,10,102,15
2020-02-06,8,1,0.0,8.7,1,1,87,01:52 PM,05:32 AM,07:36 AM,05:14 PM,4,4,8,4,32,2,73,0.0,1029,8,10,107,26
2020-02-07,10,3,0.0,5.4,1,1,95,02:56 PM,06:29 AM,07:34 AM,05:15 PM,6,4,8,4,48,50,81,0.3,1018,10,10,176,35
2020-02-08,10,4,0.0,3.7,1,1,100,04:11 PM,07:19 AM,07:33 AM,05:17 PM,6,6,9,6,46,77,76,7.8,1017,10,8,237,31
2020-02-09,13,9,0.0,3.7,1,1,100,05:33 PM,07:59 AM,07:31 AM,05:19 PM,9,7,11,7,102,92,84,4.3,1004,13,8,228,67
2020-02-10,10,9,0.0,3.7,1,1,83,06:57 PM,08:31 AM,07:29 AM,05:21 PM,4,4,10,4,102,73,69,10.2,1007,10,10,260,71
2020-02-11,9,-0,0.0,3.7,1,1,75,08:20 PM,08:58 AM,07:28 AM,05:22 PM,2,2,7,2,81,78,64,6.8,1016,9,10,283,59
2020-02-12,9,4,0.0,3.7,1,1,68,09:43 PM,09:23 AM,07:26 AM,05:24 PM,4,5,9,5,52,90,70,6.4,1018,9,10,254,38
2020-02-13,10,5,0.0,5.4,1,1,60,11:03 PM,09:46 AM,07:24 AM,05:26 PM,6,5,10,5,91,74,78,9.9,1002,10,9,269,60
2020-02-14,11,3,0.0,7.1,1,1,53,No moonrise,10:10 AM,07:23 AM,05:27 PM,8,6,9,6,49,55,85,0.0,1018,11,10,211,33
