date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,28,24,0.0,11.4,1,1,80,04:00 PM,03:59 AM,07:13 AM,06:49 PM,19,28,28,26,14,1,68,0.0,1011,28,10,193,11
2020-01-08,29,23,0.0,11.4,1,1,88,04:51 PM,04:53 AM,07:14 AM,06:49 PM,18,28,28,26,15,9,61,0.0,1011,29,10,176,10
2020-01-09,29,24,0.0,11.4,1,1,95,05:47 PM,05:50 AM,07:14 AM,06:50 PM,17,28,28,27,16,12,57,0.0,1012,29,10,273,10
2020-01-10,31,25,0.0,11.4,1,1,100,06:46 PM,06:49 AM,07:14 AM,06:50 PM,18,29,29,27,22,5,56,0.0,1011,31,10,188,14
2020-01-11,30,24,0.0,11.4,1,1,100,07:47 PM,07:48 AM,07:14 AM,06:51 PM,20,29,29,27,23,19,67,0.0,1012,30,10,174,15
2020-01-12,29,24,0.0,11.4,1,1,83,08:48 PM,08:45 AM,07:15 AM,06:51 PM,18,28,28,26,17,7,59,0.0,1012,29,10,188,11
2020-01-13,29,25,0.0,11.4,1,1,76,09:47 PM,09:40 AM,07:15 AM,06:52 PM,17,28,28,27,18,2,57,0.0,1011,29,10,199,12
2020-01-14,31,25,0.0,11.4,1,1,69,10:44 PM,10:31 AM,07:15 AM,06:52 PM,17,29,29,28,19,1,53,0.0,1010,31,10,176,12
2020-01-15,30,25,0.0,11.4,1,1,61,11:40 PM,11:19 AM,07:15 AM,06:53 PM,18,28,28,27,15,1,57,0.0,1011,30,10,167,10
2020-01-16,29,24,0.0,11.4,1,1,54,No moonrise,12:06 PM,07:16 AM,06:53 PM,19,28,28,27,20,4,61,0.0,1011,29,10,177,13
2020-01-17,29,25,0.0,11.4,1,1,47,12:33 AM,12:51 PM,07:16 AM,06:54 PM,21,29,29,27,16,2,71,0.0,1012,29,10,173,11
2020-01-18,29,25,0.0,11.4,1,1,40,01:27 AM,01:38 PM,07:16 AM,06:54 PM,21,29,29,27,16,1,71,0.0,1012,29,10,176,12
2020-01-19,29,24,0.0,11.4,1,1,32,02:21 AM,02:25 PM,07:16 AM,06:55 PM,21,28,28,26,17,4,73,0.0,1011,29,10,193,12
2020-01-20,28,24,0.0,11.4,1,1,25,03:16 AM,03:15 PM,07:16 AM,06:55 PM,19,28,28,26,15,10,68,0.0,1010,28,10,197,10
2020-01-21,28,25,0.0,11.4,1,1,18,04:12 AM,04:06 PM,07:17 AM,06:56 PM,20,28,28,26,15,21,70,0.0,1011,28,10,197,10
2020-01-22,29,24,0.0,11.4,1,1,11,05:08 AM,05:00 PM,07:17 AM,06:56 PM,19,28,28,26,20,21,65,0.0,1011,29,10,203,13
2020-01-23,30,25,0.0,11.4,1,1,3,06:02 AM,05:54 PM,07:17 AM,06:57 PM,19,28,28,27,18,18,61,0.0,1011,30,10,276,12
2020-01-24,31,26,0.0,11.4,1,1,0,06:55 AM,06:47 PM,07:17 AM,06:57 PM,20,29,29,27,18,13,63,0.0,1010,31,10,204,12
2020-01-25,30,24,0.0,11.4,1,1,0,07:45 AM,07:39 PM,07:17 AM,06:58 PM,20,29,29,27,14,3,68,0.0,1012,30,10,190,11
2020-01-26,28,23,0.0,11.4,1,1,4,08:30 AM,08:28 PM,07:17 AM,06:58 PM,19,28,28,26,17,7,67,0.0,1012,28,10,199,12
2020-01-27,30,23,0.0,11.4,1,1,11,09:13 AM,09:16 PM,07:17 AM,06:58 PM,19,28,28,26,19,11,65,0.0,1011,30,10,176,12
2020-01-28,30,24,0.0,11.4,1,1,18,09:54 AM,10:02 PM,07:17 AM,06:59 PM,22,29,29,26,14,20,76,0.0,1012,30,10,197,10
2020-01-29,29,23,0.0,11.4,1,1,26,10:32 AM,10:46 PM,07:17 AM,06:59 PM,21,28,28,26,19,21,77,0.0,1012,29,10,206,13
2020-01-30,28,23,0.0,11.4,1,1,33,11:09 AM,11:30 PM,07:17 AM,06:59 PM,19,27,27,26,20,37,68,0.0,1012,28,10,204,13
2020-01-31,28,23,0.0,11.6,1,1,37,11:47 AM,No moonset,07:17 AM,07:00 PM,18,27,27,26,18,40,63,0.0,1012,28,10,175,12
2020-02-01,28,24,0.0,11.6,1,1,49,12:25 PM,12:14 AM,07:17 AM,07:00 PM,21,28,28,26,14,30,73,0.0,1012,28,10,183,10
2020-02-02,30,25,0.0,10.2,1,1,57,01:06 PM,01:00 AM,07:17 AM,07:00 PM,22,29,29,27,17,33,78,0.1,1013,30,10,194,12
2020-02-03,30,24,0.0,11.6,1,1,64,01:50 PM,01:48 AM,07:17 AM,07:01 PM,21,29,29,26,21,6,75,0.0,1013,30,10,206,14
2020-02-04,30,23,0.0,11.6,1,1,72,02:37 PM,02:39 AM,07:17 AM,07:01 PM,19,28,28,26,22,2,67,0.0,1012,30,10,194,14
2020-02-05,29,24,0.0,11.6,1,1,79,03:30 PM,03:34 AM,07:17 AM,07:01 PM,19,28,28,26,18,1,67,0.0,1012,29,10,186,12
2020-02-06,31,23,0.0,11.6,1,1,87,04:27 PM,04:30 AM,07:16 AM,07:02 PM,22,30,30,27,15,1,74,0.0,1011,31,10,192,11
2020-02-07,31,23,0.0,11.6,1,1,95,05:27 PM,05:30 AM,07:16 AM,07:02 PM,21,30,30,27,16,1,72,0.0,1012,31,10,212,11
2020-02-08,30,23,0.0,11.6,1,1,100,06:29 PM,06:28 AM,07:16 AM,07:02 PM,18,28,28,26,19,1,63,0.0,1012,30,10,198,13
2020-02-09,29,23,0.0,11.6,1,1,100,07:31 PM,07:26 AM,07:16 AM,07:03 PM,19,28,28,26,17,0,63,0.0,1012,29,10,174,12
2020-02-10,29,24,0.0,11.6,1,1,83,08:31 PM,08:19 AM,07:16 AM,07:03 PM,21,29,29,27,14,5,71,0.0,1013,29,10,177,11
2020-02-11,29,24,0.0,11.6,1,1,75,09:30 PM,09:11 AM,07:15 AM,07:03 PM,20,29,29,27,16,3,66,0.0,1012,29,10,206,11
2020-02-12,31,24,0.0,11.6,1,1,68,10:26 PM,10:00 AM,07:15 AM,07:03 PM,19,29,29,27,16,5,62,0.0,1011,31,10,190,11
2020-02-13,30,24,0.0,11.6,1,1,60,11:22 PM,10:47 AM,07:15 AM,07:03 PM,19,28,28,27,19,8,66,0.0,1011,30,10,197,12
2020-02-14,29,24,0.0,11.6,1,1,53,No moonrise,11:35 AM,07:15 AM,07:04 PM,21,29,29,27,15,2,71,0.0,1010,29,10,206,11
2020-02-15,29,24,0.0,11.6,1,1,45,12:17 AM,12:23 PM,07:14 AM,07:04 PM,21,29,29,27,16,0,70,0.0,1010,29,10,192,12
2020-02-16,29,23,0.0,11.6,1,1,38,01:12 AM,01:12 PM,07:14 AM,07:04 PM,21,28,28,26,17,6,77,0.0,1011,29,10,205,12
2020-02-17,29,24,0.0,11.6,1,1,30,02:08 AM,02:03 PM,07:14 AM,07:04 PM,22,29,29,26,18,3,76,0.0,1011,29,10,185,13
