date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,29,20,0.0,4.3,1,1,80,03:08 PM,03:00 AM,06:06 AM,05:51 PM,22,27,27,24,12,64,86,6.5,1013,29,6,69,7
2020-01-08,27,22,0.0,5.8,1,1,88,04:00 PM,03:54 AM,06:07 AM,05:52 PM,22,27,27,24,13,74,89,10.9,1014,27,6,54,8
2020-01-09,30,22,0.0,4.3,1,1,95,04:56 PM,04:50 AM,06:07 AM,05:52 PM,21,28,28,25,11,83,82,2.0,1014,30,6,52,7
2020-01-10,29,21,0.0,4.3,1,1,100,05:56 PM,05:49 AM,06:07 AM,05:53 PM,21,27,27,24,11,77,85,5.5,1014,29,8,58,7
2020-01-11,30,21,0.0,4.3,1,1,100,06:57 PM,06:48 AM,06:08 AM,05:53 PM,21,27,27,24,12,77,84,5.8,1014,30,9,46,7
2020-01-12,30,21,0.0,5.8,1,1,83,07:57 PM,07:46 AM,06:08 AM,05:54 PM,21,27,27,24,12,63,82,4.5,1014,30,7,44,8
2020-01-13,30,21,0.0,5.8,1,1,76,08:55 PM,08:41 AM,06:08 AM,05:54 PM,21,27,27,25,10,75,81,1.2,1013,30,6,50,7
2020-01-14,28,22,0.0,4.3,1,1,69,09:51 PM,09:33 AM,06:08 AM,05:55 PM,23,27,27,24,9,79,90,13.9,1012,28,6,51,5
2020-01-15,29,19,0.0,4.3,1,1,61,10:44 PM,10:22 AM,06:09 AM,05:55 PM,22,27,27,24,13,77,87,11.1,1012,29,8,58,8
2020-01-16,31,23,0.0,5.8,1,1,54,11:38 PM,11:09 AM,06:09 AM,05:56 PM,22,29,29,26,10,53,80,0.9,1013,31,8,60,7
2020-01-17,31,23,0.0,5.8,1,1,47,No moonrise,11:56 AM,06:09 AM,05:56 PM,22,29,29,26,10,69,82,2.6,1014,31,7,54,7
2020-01-18,31,23,0.0,4.3,1,1,40,12:30 AM,12:43 PM,06:09 AM,05:57 PM,23,29,29,26,10,83,84,6.5,1014,31,8,55,7
2020-01-19,31,23,0.0,4.3,1,1,32,01:23 AM,01:33 PM,06:10 AM,05:57 PM,22,28,28,26,11,74,81,2.5,1013,31,9,58,8
2020-01-20,31,22,0.0,5.8,1,1,25,02:17 AM,02:23 PM,06:10 AM,05:57 PM,21,28,28,26,11,65,80,1.6,1013,31,9,51,7
2020-01-21,31,22,0.0,5.8,1,1,18,03:12 AM,03:16 PM,06:10 AM,05:58 PM,21,28,28,25,11,52,80,3.1,1012,31,10,64,7
2020-01-22,31,21,0.0,7.2,1,1,11,04:07 AM,04:09 PM,06:10 AM,05:58 PM,20,27,27,25,9,27,77,0.4,1012,31,8,62,6
2020-01-23,32,20,0.0,8.7,1,1,3,05:02 AM,05:03 PM,06:10 AM,05:58 PM,19,26,26,25,10,47,77,0.0,1011,32,6,58,6
2020-01-24,32,20,0.0,8.7,1,1,0,05:54 AM,05:56 PM,06:10 AM,05:59 PM,20,27,27,25,10,51,79,0.0,1012,32,5,60,7
2020-01-25,31,21,0.0,4.3,1,1,0,06:44 AM,06:47 PM,06:11 AM,05:59 PM,21,28,28,25,9,79,79,0.3,1013,31,8,51,6
2020-01-26,31,22,0.0,7.4,1,1,4,07:30 AM,07:36 PM,06:11 AM,06:00 PM,22,28,28,26,8,78,83,5.6,1013,31,6,52,5
2020-01-27,29,22,0.0,7.4,1,1,11,08:13 AM,08:22 PM,06:11 AM,06:00 PM,23,29,29,26,7,68,84,7.3,1013,29,7,50,4
2020-01-28,33,23,0.0,8.8,1,1,18,08:54 AM,09:06 PM,06:11 AM,06:00 PM,22,29,29,26,10,52,78,0.4,1012,33,7,64,7
2020-01-29,32,23,0.0,7.4,1,1,26,09:34 AM,09:50 PM,06:11 AM,06:00 PM,22,29,29,26,11,68,83,4.0,1012,32,8,70,7
2020-01-30,30,23,0.0,7.4,1,1,33,10:12 AM,10:32 PM,06:11 AM,06:01 PM,23,29,29,26,12,65,85,9.4,1013,30,7,70,7
2020-01-31,30,23,0.0,6.0,1,1,37,10:50 AM,11:16 PM,06:11 AM,06:01 PM,23,28,28,26,13,79,85,6.9,1014,30,7,63,8
2020-02-01,31,22,0.0,6.0,1,1,49,11:30 AM,No moonset,06:11 AM,06:01 PM,21,28,28,25,12,68,79,1.8,1015,31,9,64,8
2020-02-02,32,21,0.0,8.8,1,1,57,12:12 PM,12:01 AM,06:11 AM,06:02 PM,20,28,28,25,10,47,76,1.3,1014,32,9,58,7
2020-02-03,31,21,0.0,10.2,1,1,64,12:57 PM,12:49 AM,06:11 AM,06:02 PM,20,27,27,25,9,35,76,0.0,1015,31,8,41,6
2020-02-04,32,21,0.0,8.8,1,1,72,01:46 PM,01:40 AM,06:11 AM,06:02 PM,20,28,28,26,11,71,76,0.8,1015,32,10,46,7
2020-02-05,30,22,0.0,6.0,1,1,79,02:39 PM,02:33 AM,06:11 AM,06:02 PM,21,28,28,25,12,78,79,2.7,1014,30,10,51,8
2020-02-06,30,22,0.0,6.0,1,1,87,03:37 PM,03:31 AM,06:11 AM,06:03 PM,20,28,28,25,13,75,77,2.6,1014,30,10,61,8
2020-02-07,31,21,0.0,6.0,1,1,95,04:37 PM,04:30 AM,06:11 AM,06:03 PM,20,27,27,25,11,73,77,3.2,1014,31,9,40,7
2020-02-08,31,20,0.0,8.8,1,1,100,05:39 PM,05:29 AM,06:11 AM,06:03 PM,19,26,26,25,9,44,73,0.2,1014,31,7,55,6
2020-02-09,30,21,0.0,6.0,1,1,100,06:39 PM,06:26 AM,06:10 AM,06:03 PM,21,26,26,24,13,72,82,13.1,1015,30,8,75,7
2020-02-10,31,21,0.0,8.8,1,1,83,07:39 PM,07:21 AM,06:10 AM,06:03 PM,20,27,27,25,11,57,77,1.1,1015,31,7,52,7
2020-02-11,28,22,0.0,7.4,1,1,75,08:35 PM,08:13 AM,06:10 AM,06:03 PM,22,27,27,24,11,71,90,24.9,1014,28,6,28,6
2020-02-12,29,22,0.0,6.0,1,1,68,09:31 PM,09:03 AM,06:10 AM,06:04 PM,21,27,27,25,12,76,82,2.9,1013,29,9,55,8
2020-02-13,30,22,0.0,6.0,1,1,60,10:24 PM,09:52 AM,06:10 AM,06:04 PM,21,27,27,25,13,78,80,2.1,1013,30,10,47,9
2020-02-14,31,21,0.0,8.8,1,1,53,11:19 PM,10:40 AM,06:10 AM,06:04 PM,20,28,28,25,11,45,77,1.2,1013,31,8,59,8
2020-02-15,31,21,0.0,8.8,1,1,45,No moonrise,11:30 AM,06:09 AM,06:04 PM,20,28,28,26,10,58,75,0.7,1013,31,10,44,7
2020-02-16,32,21,0.0,7.4,1,1,38,12:13 AM,12:20 PM,06:09 AM,06:04 PM,21,27,27,25,8,73,83,1.9,1012,32,6,46,5
2020-02-17,31,23,0.0,7.4,1,1,30,01:08 AM,01:12 PM,06:09 AM,06:04 PM,22,29,29,26,13,61,80,3.2,1012,31,10,77,8
2020-02-18,31,22,0.0,6.0,1,1,22,02:03 AM,02:05 PM,06:09 AM,06:04 PM,21,28,28,26,13,78,76,1.5,1013,31,10,67,9
2020-02-19,30,23,0.0,6.0,1,1,15,02:57 AM,02:58 PM,06:08 AM,06:04 PM,20,28,28,26,13,83,76,2.5,1013,30,10,60,8
2020-02-20,31,22,0.0,8.8,1,1,7,03:50 AM,03:51 PM,06:08 AM,06:04 PM,20,28,28,25,11,58,76,1.2,1012,31,10,46,7
2020-02-21,32,21,0.0,8.8,1,1,0,04:39 AM,04:42 PM,06:08 AM,06:05 PM,20,28,28,26,9,50,76,0.2,1013,32,8,41,6
2020-02-22,33,22,0.0,8.8,1,1,0,05:27 AM,05:31 PM,06:08 AM,06:05 PM,20,29,29,26,10,46,74,0.2,1013,33,8,44,7
2020-02-23,30,23,0.0,6.0,1,1,0,06:10 AM,06:17 PM,06:07 AM,06:05 PM,23,29,29,26,11,80,84,7.7,1013,30,6,65,7
2020-02-24,30,22,0.0,8.8,1,1,0,06:52 AM,07:03 PM,06:07 AM,06:05 PM,21,28,28,25,12,57,78,0.7,1013,30,10,56,8
2020-02-25,31,22,0.0,6.0,1,1,8,07:32 AM,07:46 PM,06:07 AM,06:05 PM,21,27,27,25,10,73,77,0.8,1013,31,9,55,7
2020-02-26,31,21,0.0,7.4,1,1,15,08:10 AM,08:29 PM,06:06 AM,06:05 PM,20,27,27,25,11,54,78,0.7,1013,31,8,37,7
2020-02-27,31,21,0.0,11.6,1,1,23,08:48 AM,09:12 PM,06:06 AM,06:05 PM,19,27,27,25,10,17,73,0.0,1014,31,10,34,7
2020-02-28,31,21,0.0,7.4,1,1,30,09:27 AM,09:56 PM,06:06 AM,06:05 PM,20,28,28,25,10,54,74,0.3,1014,31,10,46,7
